Close,Datetime,High,Low,Open,Volume
3.7697,1612449000000,3.77,3.45,3.67,683161
4.15,1612449060000,4.2,3.75,3.76,2721191
4.63,1612449120000,4.74,3.92,4.16,3089649
4.5478,1612449180000,4.86,4.36,4.61,2755890
4.66,1612449240000,4.72,4.28,4.55,2078661
4.48,1612449300000,4.76,4.4,4.6578,1490448
4.61,1612449360000,4.7,4.33,4.4999,1430183
4.5001,1612449420000,4.9,4.4,4.6122,2752661
4.16,1612449480000,4.53,4.09,4.52,1856603
4.34,1612449540000,4.5,4.1482,4.16,1287938
4.4,1612449600000,4.45,4.2,4.3201,994329
5.0004,1612449660000,5.08,4.4,4.43,3441205
4.9603,1612449720000,5.2,4.78,5,3041108
4.99,1612449780000,5.12,4.8,4.96,1878641
4.8535,1612449840000,5.15,4.67,4.99,1890411
4.8,1612449900000,4.9564,4.71,4.8511,1011625
4.7021,1612449960000,4.95,4.63,4.7978,1147974
4.7402,1612450020000,4.75,4.53,4.72,851196
4.57,1612450080000,4.89,4.5,4.7499,1482515
4.4899,1612450140000,4.67,4.4284,4.5678,817023
4.59,1612450200000,4.65,4.47,4.4701,650735
4.81,1612450260000,4.83,4.57,4.59,1279529
4.71,1612450320000,4.85,4.7,4.81,876827
4.6601,1612450380000,4.78,4.54,4.7,757348
4.74,1612450440000,4.75,4.55,4.67,537694
4.98,1612450500000,5.08,4.73,4.7382,2617202
5.3,1612450560000,5.39,4.95,4.98,3369635
5.08,1612450620000,5.47,5.05,5.29,2426996
5.09,1612450680000,5.26,4.93,5.09,1564467
5.0901,1612450740000,5.18,4.92,5.0812,1104829
5.2101,1612450800000,5.3,5.08,5.1,1695210
5.0201,1612450860000,5.32,4.97,5.2278,1451868
5.01,1612450920000,5.14,4.96,5.0193,815241
4.865,1612450980000,5.1,4.81,5.02,788422
5.08,1612451040000,5.08,4.86,4.87,788023
5,1612451100000,5.16,4.96,5.06,951261
4.9589,1612451160000,5.06,4.94,4.9989,495180
5.5001,1612451220000,5.67,4.95,4.9501,1987981
5.3911,1612451280000,5.51,5.3,5.5,1388582
5.11,1612451340000,5.4,5.05,5.4,1237722
4.8881,1612451400000,5.11,4.77,5.0911,1742695
4.895,1612451460000,4.94,4.81,4.89,1008777
4.78,1612451520000,4.95,4.7,4.9,959450
4.77,1612451580000,4.88,4.7639,4.78,445472
4.75,1612451640000,4.78,4.64,4.77,912569
4.65,1612451700000,4.83,4.64,4.74,656859
4.717,1612451760000,4.75,4.65,4.66,475447
4.73,1612451820000,4.79,4.65,4.7199,449783
4.7282,1612451880000,4.79,4.64,4.7201,487710
4.6801,1612451940000,4.73,4.57,4.7283,655721
4.8049,1612452000000,4.85,4.68,4.6999,876103
4.8199,1612452060000,4.85,4.73,4.84,538330
4.81,1612452120000,4.9,4.79,4.82,1050688
4.65,1612452180000,4.84,4.65,4.83,670029
4.42,1612452240000,4.655,4.36,4.65,1386869
4.33,1612452300000,4.45,4.33,4.42,694054
4.3899,1612452360000,4.4,4.31,4.34,475099
4.3051,1612452420000,4.42,4.25,4.3899,588230
4.2856,1612452480000,4.35,4.28,4.3075,307321
4.3,1612452540000,4.36,4.28,4.2899,220726
4.2691,1612452600000,4.37,4.2,4.3201,429733
4.3203,1612452660000,4.35,4.2622,4.27,254374
4.4,1612452720000,4.42,4.3225,4.3225,480834
4.3901,1612452780000,4.42,4.32,4.3989,391197
4.3681,1612452840000,4.45,4.35,4.3999,326808
4.35,1612452900000,4.37,4.3,4.36,252686
4.46,1612452960000,4.53,4.34,4.3499,512408
4.45,1612453020000,4.49,4.42,4.46,346499
4.4309,1612453080000,4.54,4.43,4.4501,514993
4.55,1612453140000,4.6,4.43,4.43,442653
4.7111,1612453200000,4.77,4.51,4.5486,987202
4.87,1612453260000,4.89,4.6439,4.71,1125496
4.7901,1612453320000,4.95,4.75,4.8601,1130836
4.7299,1612453380000,4.85,4.7,4.7999,705608
4.865,1612453440000,4.95,4.72,4.72,937411
4.7511,1612453500000,5.07,4.75,4.86,1603708
4.65,1612453560000,4.76,4.63,4.75,776717
4.6111,1612453620000,4.7,4.57,4.65,595977
4.6094,1612453680000,4.65,4.55,4.6111,510414
4.5899,1612453740000,4.68,4.5203,4.6,452284
4.7599,1612453800000,4.88,4.57,4.57,839885
4.9,1612453860000,5,4.74,4.75,1220789
4.8501,1612453920000,4.95,4.74,4.9101,791808
4.69,1612453980000,4.9,4.62,4.85,792520
4.747,1612454040000,4.78,4.69,4.7148,387106
4.65,1612454100000,4.8,4.62,4.7492,543639
4.7599,1612454160000,4.83,4.64,4.6409,282676
4.76,1612454220000,4.85,4.73,4.7563,501756
4.8097,1612454280000,4.85,4.74,4.7501,372970
4.7,1612454340000,4.8089,4.6689,4.8086,433455
4.81,1612454400000,4.88,4.7081,4.7182,598272
4.7975,1612454460000,4.9,4.77,4.79,480860
4.5003,1612454520000,4.84,4.43,4.797,1067971
4.4289,1612454580000,4.51,4.3,4.5099,809693
4.3815,1612454640000,4.45,4.37,4.4299,292217
4.4,1612454700000,4.44,4.37,4.3881,231694
4.4789,1612454760000,4.51,4.4,4.4,341037
4.3799,1612454820000,4.49,4.37,4.47,224482
4.38,1612454880000,4.44,4.35,4.3736,242406
4.3856,1612454940000,4.45,4.36,4.3601,169308
4.39,1612455000000,4.43,4.37,4.39,153382
4.3801,1612455060000,4.4,4.36,4.37,110018
4.4,1612455120000,4.43,4.38,4.3899,158285
4.495,1612455180000,4.5,4.38,4.395,227257
4.5178,1612455240000,4.58,4.48,4.499,400314
4.4875,1612455300000,4.54,4.45,4.5001,219964
4.5378,1612455360000,4.54,4.46,4.4899,119527
4.4899,1612455420000,4.54,4.46,4.53,107004
4.36,1612455480000,4.5,4.3,4.4701,409076
4.2489,1612455540000,4.3678,4.22,4.3547,527577
4.12,1612455600000,4.3,4.11,4.245,662614
4.1699,1612455660000,4.19,4.11,4.1211,399248
4.18,1612455720000,4.22,4.16,4.169,264821
4.16,1612455780000,4.2,4.15,4.189,162845
4.16,1612455840000,4.23,4.15,4.16,264035
4.22,1612455900000,4.26,4.17,4.1799,202579
4.2001,1612455960000,4.25,4.2,4.21,103608
4.135,1612456020000,4.2099,4.12,4.2099,196407
4.36,1612456080000,4.37,4.13,4.135,363649
4.38,1612456140000,4.46,4.36,4.36,443072
4.38,1612456200000,4.4,4.36,4.38,148335
4.28,1612456260000,4.4,4.26,4.38,198360
4.29,1612456320000,4.3,4.26,4.3,73232
4.25,1612456380000,4.29,4.18,4.2814,132607
4.2492,1612456440000,4.33,4.23,4.2599,138099
4.1999,1612456500000,4.25,4.16,4.24,150014
4.22,1612456560000,4.25,4.18,4.1899,85244
4.23,1612456620000,4.25,4.18,4.2201,77614
4.26,1612456680000,4.27,4.21,4.23,90634
4.28,1612456740000,4.3399,4.21,4.26,161778
4.2511,1612456800000,4.3,4.25,4.287,46187
4.2099,1612456860000,4.267,4.19,4.267,92397
4.22,1612456920000,4.24,4.19,4.2099,42205
4.21,1612456980000,4.23,4.18,4.22,83322
4.31,1612457040000,4.37,4.21,4.21,248865
4.3,1612457100000,4.35,4.22,4.32,179201
