Close,Datetime,High,Low,Open,Volume
133.875,1611239400000,134.15,133.59,133.82,2794791
134.14,1611239460000,134.27,133.79,133.86,898466
134.08,1611239520000,134.43,134.06,134.1361,1010164
133.9762,1611239580000,134.35,133.85,134.09,750641
134,1611239640000,134.1,133.8701,133.97,516653
134.3483,1611239700000,134.5,133.87,133.9906,768612
134.5485,1611239760000,134.69,134.305,134.34,771718
134.75,1611239820000,134.78,134.51,134.55,821624
134.9301,1611239880000,134.97,134.73,134.76,826649
134.4845,1611239940000,135,134.44,134.94,1021470
134.57,1611240000000,134.71,134.35,134.49,598526
134.01,1611240060000,134.62,133.95,134.57,695721
134.12,1611240120000,134.14,133.88,134.0301,571996
134.12,1611240180000,134.25,134.03,134.1276,546914
134.0499,1611240240000,134.14,133.83,134.1115,467588
134.4123,1611240300000,134.44,134.02,134.04,468247
134.595,1611240360000,134.69,134.36,134.415,474835
134.6676,1611240420000,134.7,134.53,134.6,445026
134.8,1611240480000,134.83,134.56,134.66,415849
134.775,1611240540000,134.84,134.65,134.805,392792
134.8301,1611240600000,134.84,134.6163,134.77,397280
134.65,1611240660000,134.85,134.64,134.84,367781
134.7757,1611240720000,134.8,134.48,134.645,521030
134.98,1611240780000,135.08,134.72,134.78,1215985
134.8901,1611240840000,135,134.84,134.985,384944
134.56,1611240900000,134.9085,134.37,134.89,527659
134.66,1611240960000,134.69,134.34,134.55,368490
134.81,1611241020000,134.81,134.6,134.64,317380
134.9601,1611241080000,135,134.762,134.81,427440
134.878,1611241140000,134.99,134.795,134.97,296625
134.9757,1611241200000,135.02,134.82,134.86,563555
134.925,1611241260000,134.97,134.8,134.97,353570
134.955,1611241320000,135.03,134.8563,134.92,376345
135.19,1611241380000,135.2168,134.8301,134.955,609090
135.1015,1611241440000,135.32,135.085,135.1908,578475
135.0308,1611241500000,135.16,135.03,135.11,322464
135.0439,1611241560000,135.1598,134.95,135.03,395378
135.1,1611241620000,135.14,135.04,135.04,212123
135.2993,1611241680000,135.33,135.08,135.095,509841
135.31,1611241740000,135.4,135.25,135.2997,425099
135.575,1611241800000,135.575,135.26,135.29,625740
135.639,1611241860000,135.68,135.56,135.575,399033
135.7116,1611241920000,135.76,135.6328,135.6328,393939
135.817,1611241980000,135.855,135.71,135.7116,472677
135.55,1611242040000,135.8193,135.52,135.8193,456303
135.56,1611242100000,135.7,135.52,135.545,329603
135.69,1611242160000,135.73,135.56,135.56,281430
135.785,1611242220000,135.84,135.6749,135.69,309427
135.655,1611242280000,135.79,135.63,135.785,257353
135.8132,1611242340000,135.89,135.64,135.6501,374127
135.72,1611242400000,135.81,135.56,135.81,310037
135.4204,1611242460000,135.715,135.38,135.715,535620
135.355,1611242520000,135.45,135.32,135.42,334463
135.59,1611242580000,135.618,135.35,135.35,361649
135.571,1611242640000,135.6098,135.45,135.6,248668
135.741,1611242700000,135.75,135.54,135.57,300049
135.9015,1611242760000,135.92,135.66,135.74,415016
135.92,1611242820000,135.94,135.77,135.9007,455322
135.83,1611242880000,135.98,135.751,135.9284,291983
135.8596,1611242940000,135.86,135.73,135.8301,201492
135.75,1611243000000,135.88,135.7,135.8593,247135
135.65,1611243060000,135.77,135.62,135.76,210092
135.7497,1611243120000,135.76,135.63,135.6574,182399
135.793,1611243180000,135.8,135.6901,135.75,157615
135.705,1611243240000,135.8,135.66,135.795,177257
135.51,1611243300000,135.765,135.5,135.72,317622
135.4705,1611243360000,135.54,135.42,135.51,351235
135.4701,1611243420000,135.4999,135.42,135.4708,167756
135.4498,1611243480000,135.49,135.38,135.4894,239244
135.55,1611243540000,135.615,135.43,135.445,282278
135.45,1611243600000,135.56,135.35,135.55,256983
135.5025,1611243660000,135.5706,135.46,135.46,211138
135.51,1611243720000,135.52,135.385,135.5,196127
135.595,1611243780000,135.6101,135.48,135.515,209646
135.6211,1611243840000,135.68,135.582,135.5901,256233
135.8899,1611243900000,135.9,135.63,135.635,337833
135.912,1611243960000,135.9799,135.87,135.88,340098
135.93,1611244020000,135.96,135.83,135.9129,356539
136.05,1611244080000,136.16,135.91,135.93,944193
136.1785,1611244140000,136.2,136.04,136.0501,398880
136.1024,1611244200000,136.25,136.07,136.18,419623
136.2494,1611244260000,136.25,136.08,136.1013,218420
136.25,1611244320000,136.35,136.2,136.25,383415
136.12,1611244380000,136.28,136.11,136.245,257538
136.175,1611244440000,136.2,136.08,136.114,203378
136.2468,1611244500000,136.28,136.16,136.18,204055
136.1599,1611244560000,136.31,136.14,136.24,271758
136.16,1611244620000,136.25,136.06,136.15,281381
136.07,1611244680000,136.15,136.0201,136.15,248052
135.985,1611244740000,136.09,135.95,136.075,320683
136.0521,1611244800000,136.1,135.985,135.985,236947
136.2499,1611244860000,136.25,136.0616,136.068,257326
136.2723,1611244920000,136.29,136.2,136.23,220429
136.31,1611244980000,136.3599,136.135,136.2618,336228
136.17,1611245040000,136.3388,136.15,136.31,193324
136.075,1611245100000,136.2,136.07,136.1723,168060
136.08,1611245160000,136.125,136,136.07,233528
136.115,1611245220000,136.2379,136.0507,136.08,194284
136.176,1611245280000,136.2,136.08,136.12,174507
136.3266,1611245340000,136.38,136.13,136.17,276480
136.23,1611245400000,136.348,136.19,136.3282,204452
136.21,1611245460000,136.2575,136.175,136.2293,130713
136.22,1611245520000,136.315,136.2,136.2101,187278
136.13,1611245580000,136.21,136.0501,136.21,338285
136.2771,1611245640000,136.38,136.07,136.12,414101
136.21,1611245700000,136.32,136.16,136.28,149000
136.33,1611245760000,136.355,136.16,136.2112,157029
136.265,1611245820000,136.35,136.2608,136.35,148219
136.2807,1611245880000,136.33,136.22,136.2642,150374
136.105,1611245940000,136.28,136.1,136.28,200232
136.07,1611246000000,136.21,136.04,136.11,207186
135.91,1611246060000,136.08,135.91,136.08,289556
135.9299,1611246120000,135.98,135.8402,135.9137,301181
136.0008,1611246180000,136.0793,135.9201,135.93,256884
136.07,1611246240000,136.16,135.985,136,226263
136,1611246300000,136.11,135.98,136.075,182912
136.0694,1611246360000,136.09,135.95,136.0008,110535
