Close,Datetime,High,Low,Open,Volume
136.19,1611930600000,136.27,135.51,135.85,2622106
136.2806,1611930660000,136.71,135.97,136.17,457288
136,1611930720000,136.57,135.86,136.27,340182
136.19,1611930780000,136.35,135.97,135.985,371874
136.705,1611930840000,136.7399,136.11,136.23,381776
136.16,1611930900000,136.74,136.08,136.705,360382
135.295,1611930960000,136.36,135.16,136.11,661739
135.45,1611931020000,135.78,135.17,135.3099,423708
135.5102,1611931080000,135.69,135.35,135.4301,401880
134.79,1611931140000,135.52,134.06,135.52,1404415
134.02,1611931200000,134.92,133.79,134.79,978631
134.79,1611931260000,134.84,134.01,134.035,695491
134.71,1611931320000,134.98,134.55,134.74,553571
134.72,1611931380000,134.8708,134.47,134.72,424069
134.7799,1611931440000,134.88,134.62,134.71,382094
134.5126,1611931500000,134.8,134.32,134.77,382977
134.5054,1611931560000,134.71,134.35,134.5,360059
134.6541,1611931620000,134.81,134.27,134.5,344471
134.9413,1611931680000,134.96,134.4601,134.6912,532220
134.6299,1611931740000,135.08,134.62,134.95,421742
134.97,1611931800000,135.0499,134.37,134.62,563814
134.91,1611931860000,134.98,134.76,134.9407,270829
134.42,1611931920000,134.955,134.35,134.91,356041
134.42,1611931980000,134.5399,134.34,134.4299,353077
134.24,1611932040000,134.5,134.15,134.42,426300
134.84,1611932100000,134.88,134.24,134.24,424616
134.6601,1611932160000,134.9285,134.63,134.8694,314184
134.74,1611932220000,134.84,134.51,134.65,303278
135.14,1611932280000,135.17,134.72,134.76,356943
135.1587,1611932340000,135.23,134.96,135.1499,414401
135,1611932400000,135.17,134.86,135.1101,291012
135.2,1611932460000,135.24,134.98,135.03,283675
135.16,1611932520000,135.28,134.99,135.1915,256441
134.89,1611932580000,135.18,134.86,135.1631,258319
134.91,1611932640000,135.02,134.785,134.9,222120
134.5499,1611932700000,134.9195,134.4106,134.9,402422
134,1611932760000,134.67,133.9,134.545,896200
134.2435,1611932820000,134.35,134.0001,134.0001,337124
134.46,1611932880000,134.55,134.2307,134.2485,257917
134.48,1611932940000,134.56,134.25,134.46,300962
134.6397,1611933000000,134.75,134.421,134.4798,307321
134.65,1611933060000,134.74,134.546,134.63,225852
134.8701,1611933120000,134.98,134.6004,134.66,275765
134.9692,1611933180000,135.05,134.84,134.8815,260594
134.7899,1611933240000,135.035,134.76,134.965,236950
134.65,1611933300000,134.93,134.48,134.78,311844
134.725,1611933360000,134.74,134.5,134.65,227867
134.845,1611933420000,135,134.72,134.73,266104
134.6898,1611933480000,134.8504,134.64,134.85,188673
134.68,1611933540000,134.81,134.58,134.69,169364
135.06,1611933600000,135.11,134.6507,134.68,266132
135.19,1611933660000,135.27,134.94,135.04,378405
135.31,1611933720000,135.37,135.12,135.19,284116
135.3201,1611933780000,135.4,135.2115,135.3,239950
135.52,1611933840000,135.59,135.26,135.34,372852
135.4977,1611933900000,135.5367,135.25,135.5301,285047
135.45,1611933960000,135.54,135.345,135.48,216306
135.4499,1611934020000,135.58,135.36,135.44,230932
135.25,1611934080000,135.49,135.11,135.42,237601
135.0999,1611934140000,135.33,135.05,135.25,197061
135.41,1611934200000,135.44,135.06,135.0989,210830
134.9092,1611934260000,135.4092,134.8915,135.4,287659
134.97,1611934320000,134.97,134.83,134.9092,223658
135.1901,1611934380000,135.24,134.88,134.97,301487
135.07,1611934440000,135.315,135.04,135.22,154434
134.99,1611934500000,135.1,134.88,135.06,190520
134.74,1611934560000,135,134.62,134.9899,272210
134.87,1611934620000,135.04,134.7001,134.7399,236734
134.8307,1611934680000,135.01,134.73,134.87,146103
134.8007,1611934740000,134.89,134.66,134.835,160896
134.7393,1611934800000,134.88,134.6915,134.8,154252
134.79,1611934860000,134.84,134.64,134.73,160339
134.6401,1611934920000,134.7801,134.6,134.7801,169854
134.5292,1611934980000,134.665,134.52,134.6599,191573
134.202,1611935040000,134.57,134.19,134.52,349100
134.326,1611935100000,134.34,134.15,134.2,281132
134.145,1611935160000,134.35,133.97,134.31,535167
134.3799,1611935220000,134.38,134.05,134.15,277258
134.34,1611935280000,134.45,134.18,134.35,267572
134.22,1611935340000,134.36,134.07,134.32,167562
133.9915,1611935400000,134.22,133.95,134.21,380441
134.11,1611935460000,134.25,133.95,134.01,229165
134.0493,1611935520000,134.1185,134,134.1149,193412
133.97,1611935580000,134.0613,133.83,134.06,434661
133.982,1611935640000,134.12,133.92,133.9893,242083
134.11,1611935700000,134.13,133.98,133.99,272602
134.105,1611935760000,134.17,134,134.115,197414
134.26,1611935820000,134.27,134,134.11,216064
