Close,Datetime,High,Low,Open,Volume
7.04,1582005600000,7.25,7.03,7.09,2143451
7.31,1582092000000,7.44,7.06,7.1,2308485
7.76,1582178400000,7.78,7.21,7.32,3649063
7.46,1582264800000,7.75,7.33,7.7,3035195
7.05,1582524000000,7.14,6.84,7.14,3210933
6.55,1582610400000,7.2762,6.48,7,4180967
5.93,1582696800000,6.62,5.87,6.57,7181255
6.09,1582783200000,6.2,5.12,5.71,6293973
6.26,1582869600000,6.65,5.98,6.51,7556372
6.11,1583128800000,6.32,5.63,6.31,4585413
5.81,1583215200000,6.13,5.64,6.1,3842979
5.82,1583301600000,5.9,5.4333,5.86,4483701
4.92,1583388000000,5.61,4.75,5.6,5853094
4.53,1583474400000,4.73,4.37,4.62,4599926
3.85,1583730000000,4.0699,3.68,3.95,3404003
4.2,1583816400000,4.29,3.76,4.17,3686953
3.64,1583902800000,4.07,3.56,3.98,4080272
2.91,1583989200000,3.15,2.65,2.68,8058027
3.22,1584075600000,3.273,2.8,3.14,6158287
2.6,1584334800000,2.9,2.6,2.64,8497882
2.48,1584421200000,2.75,1.95,2.62,7685679
2.47,1584507600000,3,2.11,2.28,7753495
3.37,1584594000000,3.47,2.38,2.64,8614592
3.19,1584680400000,3.6,3.02,3.4,5753982
3.15,1584939600000,3.4,2.71,3.23,6481282
3.56,1585026000000,3.56,3.2677,3.5,5168287
3.46,1585112400000,3.98,3.25,3.92,8112920
3.7,1585198800000,3.95,3.44,3.46,5104322
3.6,1585285200000,3.75,3.3,3.57,3431371
3.04,1585544400000,3.5,3.04,3.45,4219670
3.16,1585630800000,3.29,3.08,3.15,3640469
2.62,1585717200000,3.04,2.5,3,5898611
2.24,1585803600000,2.78,2.18,2.74,8808060
2.27,1585890000000,2.34,2,2.32,7493379
2.88,1586149200000,2.97,2.4,2.5,6912015
3.14,1586235600000,3.73,3.05,3.17,8977051
3.3,1586322000000,3.32,2.8,3.05,7997628
2.6,1586408400000,3.3,2.58,3.3,13981180
2.08,1586754000000,2.36,1.95,2.34,19784092
2.18,1586840400000,2.365,2.14,2.21,11747929
2.41,1586926800000,2.46,2.02,2.15,11377998
2.44,1587013200000,2.49,2.15,2.35,6290822
3.2,1587099600000,3.85,3.05,3.85,26799889
3.18,1587358800000,3.44,3.06,3.22,10787232
3.25,1587445200000,3.38,3.15,3.2,5788407
3.18,1587531600000,3.39,3.16,3.39,4572152
3.11,1587618000000,3.245,3.08,3.2,4318845
3.05,1587704400000,3.2,3.02,3.14,3652454
3.36,1587963600000,3.4,3.06,3.19,5667215
4.14,1588050000000,4.75,3.5,3.82,21601087
5.19,1588136400000,5.53,4.47,4.54,27162376
4.92,1588222800000,5.09,4.5,5.01,11235643
4.57,1588309200000,4.7,4.3,4.62,6746774
4.3,1588568400000,4.78,4,4.11,5601427
3.89,1588654800000,4.69,3.81,4.67,7504517
3.92,1588741200000,4.1,3.83,4.08,3105656
3.99,1588827600000,4.18,3.95,4.01,4110313
4.1,1588914000000,4.22,4.0415,4.14,3607855
5.32,1589173200000,6.41,4.89,6.4,106553326
5.12,1589259600000,5.84,4.91,5.77,19681891
4.6,1589346000000,5.03,4.51,5.02,10433364
4.55,1589432400000,4.65,4.08,4.25,5920537
4.52,1589518800000,4.62,4.44,4.47,3483157
4.72,1589778000000,4.93,4.63,4.8,6073843
4.56,1589864400000,4.98,4.5,4.82,4929792
4.66,1589950800000,4.75,4.59,4.69,3489476
4.63,1590037200000,4.785,4.55,4.68,4555029
4.58,1590123600000,4.68,4.56,4.66,2408834
5.11,1590469200000,5.135,4.7,4.8,8864112
5.6,1590555600000,5.65,5.11,5.48,7862371
5.07,1590642000000,5.675,5.02,5.65,6604395
5.13,1590728400000,5.38,4.8301,5,5158931
5.31,1590987600000,5.37,5.02,5.03,3913113
5.59,1591074000000,5.65,5.33,5.35,6877826
5.45,1591160400000,5.99,5.09,5.27,15353693
5.38,1591246800000,5.4,5,5.17,8572557
5.91,1591333200000,6.15,5.64,5.78,9240931
6.45,1591592400000,6.84,6.17,6.27,8587142
5.99,1591678800000,6.1889,5.56,6.1,7394309
6.29,1591765200000,7.35,6.28,7.3,15322626
5.17,1591851600000,5.65,5,5.53,9179401
5.89,1591938000000,5.93,5.22,5.69,7352885
5.8,1592197200000,5.93,5.3,5.42,5541446
5.56,1592283600000,6.06,5.5,6.02,5911939
5.42,1592370000000,5.632,5.31,5.41,3030810
5.63,1592456400000,5.72,5.34,5.35,5619724
5.52,1592542800000,6.25,5.46,6.2,13137394
5.33,1592802000000,5.48,5.2101,5.48,4412845
5.1,1592888400000,5.4,5.04,5.37,5699306
4.79,1592974800000,5.12,4.51,4.99,8104133
4.27,1593061200000,4.59,4.17,4.57,8251419
4.18,1593147600000,4.6874,4.15,4.26,5601002
4.42,1593406800000,4.44,3.75,3.91,9321558
4.29,1593493200000,4.36,4.21,4.34,3653414
4.57,1593579600000,4.6,4.26,4.26,4914525
4.53,1593666000000,4.69,4.47,4.69,3908373
4.28,1594011600000,4.64,4.13,4.62,5489739
4.13,1594098000000,4.29,4.08,4.18,2667634
4.43,1594184400000,4.52,4.2,4.49,5586820
4.57,1594270800000,4.595,4.18,4.48,4225655
4.6,1594357200000,4.6,4.38,4.39,3306121
4.26,1594616400000,4.8159,4.25,4.76,4464782
4.22,1594702800000,4.27,4.1,4.25,3291433
4.5,1594789200000,4.58,4.225,4.37,4830736
4.38,1594875600000,4.48,4.31,4.33,1997485
4.27,1594962000000,4.37,4.2,4.36,2105464
4.15,1595221200000,4.23,4.065,4.21,2393094
4.15,1595307600000,4.235,4.08,4.15,1932022
4.03,1595394000000,4.1707,4,4.1,2798769
4.06,1595480400000,4.175,4,4.08,3614295
4,1595566800000,4.18,3.96,4,3282351
3.87,1595826000000,4.03,3.81,4.01,2980499
4.15,1595912400000,4.25,3.84,3.85,6226584
4.16,1595998800000,4.2,3.95,4.07,5489414
4.12,1596085200000,4.34,4.06,4.12,3699061
4.04,1596171600000,4.15,3.95,4.08,2592848
4.11,1596430800000,4.195,3.86,4.05,4048779
4.1,1596517200000,4.24,4.06,4.07,3267795
4.15,1596603600000,4.17,4.07,4.08,1702312
4.14,1596690000000,4.24,3.99,4.11,3742639
4.75,1596776400000,5.26,4.09,4.14,24917444
4.47,1597035600000,4.74,4.35,4.65,5048156
4.56,1597122000000,4.85,4.54,4.7,5794835
4.64,1597208400000,4.76,4.56,4.62,2466462
5.31,1597294800000,5.77,4.82,5.1,23259216
5.54,1597381200000,5.63,5.05,5.56,12055836
5.6,1597640400000,5.85,5.427,5.72,7159171
5.35,1597726800000,5.57,5.13,5.57,5790682
5.39,1597813200000,5.47,5.18,5.34,5728301
5.69,1597899600000,5.78,5.3,5.57,13728403
5.19,1597986000000,5.6828,5.18,5.68,8216874
5.41,1598245200000,5.45,4.9378,5.35,8498191
5.54,1598331600000,5.58,5.21,5.46,5296893
5.6,1598418000000,5.67,5.33,5.45,4419399
6.52,1598504400000,7.1,5.7,5.81,31921159
6.3,1598590800000,6.54,6.11,6.49,9903997
5.88,1598850000000,6.45,5.76,6.33,9820238
6.07,1598936400000,6.18,5.79,5.79,9709376
7.04,1599022800000,7.71,6.46,7.01,43056236
6.6,1599109200000,7.14,6.4801,6.94,10626608
7.02,1599195600000,7.02,6.23,6.76,9328807
6.42,1599541200000,6.9471,6.37,6.76,6667449
6.26,1599627600000,6.54,6.1102,6.54,5578212
5.94,1599714000000,6.36,5.88,6.28,5881820
5.79,1599800400000,6.0656,5.6,6.06,4863006
5.54,1600059600000,5.8703,5.51,5.84,4638082
5.52,1600146000000,5.87,5.52,5.6,5099315
5.76,1600232400000,5.875,5.42,5.52,4390816
5.72,1600318800000,5.79,5.58,5.67,2619665
5.67,1600405200000,5.74,5.57,5.71,2428464
5.32,1600664400000,5.48,5.01,5.42,4563153
5.21,1600750800000,5.32,5.14,5.22,2090061
4.78,1600837200000,5.29,4.74,5.22,4285151
4.61,1600923600000,4.9,4.3573,4.69,4569670
4.88,1601010000000,4.93,4.5042,4.64,2375454
4.91,1601269200000,5.04,4.61,5.04,4676540
4.86,1601355600000,4.94,4.75,4.88,2521765
4.71,1601442000000,4.95,4.7,4.8,2515422
4.65,1601528400000,4.8,4.63,4.78,3223808
4.65,1601614800000,4.66,4.42,4.48,3575994
4.13,1601874000000,4.36,4.05,4.3,9468797
4.06,1601960400000,4.27,4.05,4.26,8404181
4.04,1602046800000,4.11,3.94,4.08,6917700
4.14,1602133200000,4.185,4.02,4.13,7868481
4.05,1602219600000,4.18,4.04,4.17,5021406
4.08,1602478800000,4.09,4,4.03,3245671
3.54,1602565200000,3.91,3.52,3.9,10164744
2.96,1602651600000,3.2,2.66,3.09,31761265
2.78,1602738000000,2.96,2.76,2.84,9808591
3.04,1602824400000,3.29,2.8,2.87,18565805
3.54,1603083600000,3.88,3.23,3.31,40385068
3.09,1603170000000,3.31,3.05,3.3,15978782
3,1603256400000,3.1299,2.98,3.1,7277305
3.12,1603342800000,3.15,2.84,2.96,12339596
2.97,1603429200000,3.15,2.95,3.13,6634962
2.75,1603688400000,2.93,2.68,2.92,10458790
2.79,1603774800000,2.9,2.61,2.88,11251269
2.61,1603861200000,2.74,2.58,2.69,8141103
2.52,1603947600000,2.68,2.48,2.65,9019304
2.36,1604034000000,2.49,2.28,2.48,11013232
2.15,1604296800000,2.32,2.11,2.3,11180071
2.34,1604383200000,2.59,2.3,2.34,15441929
2.31,1604469600000,2.4299,2.2401,2.4,7609136
2.46,1604556000000,2.57,2.27,2.35,8056242
2.49,1604642400000,2.62,2.33,2.43,9049450
3.77,1604901600000,4.39,3.23,4.27,132510953
3.51,1604988000000,4.03,3.34,3.99,42129263
3.13,1605074400000,3.24,3,3.2308,24066098
2.94,1605160800000,3.07,2.92,3.07,14836046
2.97,1605247200000,2.99,2.78,2.98,22451870
3.11,1605506400000,3.39,3.05,3.39,47604346
2.98,1605592800000,3.04,2.9,3.01,22482959
3.26,1605679200000,3.37,3.01,3.08,31717281
3.19,1605765600000,3.375,3.15,3.16,13986442
3.35,1605852000000,3.37,3.21,3.25,17088783
3.81,1606111200000,3.85,3.41,3.51,31514579
4.58,1606197600000,5,4.15,4.16,62884604
4.49,1606284000000,4.85,4.2,4.57,22647306
4.45,1606456800000,4.62,4.36,4.54,10097374
4.27,1606716000000,4.45,3.99,4.41,16554987
4.15,1606802400000,4.43,4.09,4.43,12293499
4.32,1606888800000,4.34,3.95,4.08,11847629
3.63,1606975200000,4.215,3.5,4.01,66080891
3.51,1607061600000,3.76,3.3,3.75,33157263
3.56,1607320800000,3.74,3.33,3.45,20503852
3.98,1607407200000,4.02,3.61,3.61,29530632
3.86,1607493600000,4.33,3.75,4.22,20991197
4.09,1607580000000,4.1,3.77,3.79,19872845
3.92,1607666400000,4.25,3.87,4.04,22310377
3.19,1607925600000,4.01,3,4.01,67158976
2.86,1608012000000,3.24,2.76,3.24,54432125
2.78,1608098400000,2.89,2.72,2.87,25423239
2.85,1608184800000,2.95,2.74,2.8,23799298
2.8,1608271200000,2.85,2.76,2.85,21941652
2.68,1608530400000,2.74,2.58,2.61,22699798
2.59,1608616800000,2.75,2.52,2.73,21686612
2.56,1608703200000,2.65,2.54,2.58,15724765
2.51,1608789600000,2.6,2.48,2.59,11094189
2.39,1609135200000,2.63,2.36,2.63,23942699
2.29,1609221600000,2.46,2.28,2.44,21086148
2.16,1609308000000,2.3,2.13,2.3,40278438
2.12,1609394400000,2.22,2.08,2.17,28234251
2.01,1609740000000,2.2,2,2.2,29873796
1.98,1609826400000,2.03,1.91,1.99,28148314
2.01,1609912800000,2.23,1.97,2.03,67363337
2.05,1609999200000,2.11,2.02,2.08,26150489
2.14,1610085600000,2.211,2.07,2.09,39553343
2.2,1610344800000,2.27,2.15,2.16,41695836
2.29,1610431200000,2.39,2.235,2.24,41784333
2.18,1610517600000,2.38,2.13,2.33,45847659
2.18,1610604000000,2.32,2.13,2.22,49638794
2.33,1610690400000,2.55,2.18,2.2,162356375
3.06,1611036000000,3.2,2.57,2.8,256276010
2.97,1611122400000,3.34,2.75,3.29,181862210
2.98,1611208800000,3.06,2.85,3,64823844
3.51,1611295200000,3.74,2.81,2.91,268273367
4.42,1611554400000,4.88,3.85,4.71,443238115
4.96,1611640800000,5.19,4.37,5.09,456850232
19.9,1611727200000,20.36,11.01,20.34,1253253552
8.63,1611813600000,16.5,6.51,11.98,591223928
13.26,1611900000000,16,11.6,14.31,602193320
13.3,1612159200000,17.25,12.91,17,434607989
7.82,1612245600000,10.1,6,9.48,462775907
8.97,1612332000000,9.77,7.89,8.85,221405052
7.09,1612418400000,8.74,7,8.7,162985781
6.83,1612504800000,8.27,6.52,7.17,197097568
6.18,1612764000000,6.89,5.75,6.88,128755955
5.5,1612850400000,5.81,5.26,5.81,102588098
5.8,1612936800000,6.59,5.45,5.71,152810804
5.61,1613023200000,5.85,5.47,5.62,55920386
5.59,1613109600000,5.97,5.52,5.72,46773031
