Close,Datetime,High,Low,Open,Volume
12.88,1611844200000,13.01,11.5,11.98,13257362
13.55,1611844260000,13.55,12.77,12.79,968780
13.79,1611844560000,13.95,13.4,13.56,2254317
14.59,1611844620000,14.68,13.56,13.82,2580725
15.0998,1611844680000,15.1,14.5,14.615,2735951
15.99,1611844740000,15.99,15,15.0999,1874628
16.466,1611845040000,16.5,15.2,16.39,1993744
14.5,1611845100000,16.48,14.5,16.47,3778843
15.05,1611845160000,15.73,14.5,14.58,2433103
14.25,1611845220000,15.43,14.25,15.0971,1762398
14.425,1611845280000,15.9,13.82,14.25,2363420
13.815,1611845340000,16.5,13.81,14.49,1579905
13.915,1611845400000,14,13.5,13.85,1708666
13.95,1611845460000,14.35,13.8,13.915,1207567
14.22,1611845520000,14.3,13.8,13.97,1210812
14.3,1611845580000,14.3,14,14.22,820055
14.865,1611845640000,15,14.23,14.3,1443974
14.54,1611845700000,15,14.4,14.82,1117487
14.83,1611845760000,14.9,14.51,14.5937,878852
14.9875,1611845820000,15,14.81,14.8272,958013
14.1013,1611845880000,15,14.1,14.9875,1722664
13.91,1611845940000,14.34,13.91,14.1013,1555203
13.6193,1611846000000,14,13.5,13.9375,1974152
13.67,1611846060000,13.94,13.6,13.6376,1369935
13.9236,1611846120000,14.2,13.66,13.69,1436406
12.88,1611846180000,13.93,12.88,13.9156,2887559
12.29,1611846240000,12.89,12.29,12.88,1702143
12.34,1611846540000,12.9,11.85,12.29,2294516
12.93,1611846600000,13.2,12.34,12.3404,2433365
12.89,1611846660000,12.97,12.52,12.9201,1639333
13.32,1611846720000,13.32,12.87,12.9199,1253159
13.14,1611846780000,13.35,12.97,13.3025,1367103
13.09,1611846840000,13.17,12.66,13.11,750301
13.3562,1611846900000,13.57,13.0601,13.0601,1225677
12.8087,1611846960000,13.5,12.8,13.37,1546808
12.8105,1611847020000,12.8729,12.33,12.81,2249618
12.4887,1611847080000,12.88,12.48,12.8,1220578
12.01,1611847140000,12.5,12,12.4813,1979414
11.67,1611847200000,12.05,11.33,12.02,3916580
11.8431,1611847260000,12,11.51,11.691,2121471
11.64,1611847320000,12,11.5,11.8736,1987986
11.655,1611847380000,11.79,11.28,11.6354,2610040
11.01,1611847440000,11.8,11,11.6382,3319766
10.45,1611847500000,11.0087,10.45,11.0087,1710048
9.5792,1611847800000,10.5,9.51,10,6200048
9,1611847860000,9.57,9,9.51,2369084
7.4,1611848160000,8.81,7.4,8.01,12431335
8.35,1611848220000,8.41,7.4,7.4,8407257
7.555,1611848280000,8.49,7.18,8.35,6637466
7.13,1611848340000,7.32,7.13,7.18,1630164
7.7,1611848640000,7.7,7,7,5877528
7.91,1611848940000,8,7.7,7.75,1983159
7.96,1611849000000,8.37,7.71,7.91,6237781
8.7932,1611849060000,8.94,7.8,7.96,5574275
8.92,1611849120000,8.98,8.25,8.8,4593487
8.6199,1611849180000,9.2,8.55,8.95,4433947
8.8544,1611849240000,9,8.5,8.5551,2493941
9.35,1611849300000,9.38,8.83,8.855,3176330
8.5787,1611849360000,9.44,8.51,9.3325,3286532
9.07,1611849420000,9.13,8.5712,8.5787,2018676
9.0916,1611849480000,9.23,8.76,9.0882,1924233
9.3901,1611849540000,9.41,9.05,9.0744,1989684
9.3199,1611849600000,9.41,9.2,9.41,1999758
8.71,1611849660000,9.33,8.7,9.3018,1940135
8.9921,1611849720000,9.13,8.6,8.71,1756344
9.0501,1611849780000,9.09,8.94,8.9487,817411
9.3,1611849840000,9.38,9.05,9.0525,1366918
10.0699,1611849900000,10.07,9.2701,9.32,3288190
10.21,1611849960000,10.21,10.02,10.0675,971129
9.19,1611850260000,10.2501,9.19,10.21,1997743
8.7713,1611850560000,9.19,8.65,8.8,935763
7.92,1611850620000,8.66,7.92,8.65,1506492
