Close,Datetime,High,Low,Open,Volume
18.96,1611757800000,20.36,18.96,20.32,1426089
16.79,1611757860000,18.99,16.52,18.99,2606663
16.39,1611757920000,17.13,15.14,16.8,2699302
16.36,1611757980000,16.8,16,16.33,1239667
16.11,1611758040000,16.5,15.49,16.31,1333163
15.55,1611758100000,17.25,15.5,16.07,1999118
15.98,1611758160000,16.37,15.5,15.56,1091203
15.31,1611758220000,16.16,15,16.01,1554918
15.415,1611758280000,15.55,15,15.37,1317802
15.535,1611758340000,16,15.2,15.41,1318625
16.4,1611758400000,17,15.5,15.55,1254172
17.24,1611758460000,17.24,16.21,16.44,1214933
16.015,1611758820000,17.37,15.86,16.5,32567623
16.1238,1611758880000,17,15.5,16.01,7981166
14.6201,1611758940000,16.9,14.55,16.13,7546404
14.34,1611759000000,16.05,14.34,14.61,1124918
12.24,1611759300000,14.31,12.2,14,7141019
11.6,1611759360000,14,11.6,12.235,7118354
11.6,1611759420000,14,11.6,11.6,722557
12.7768,1611759720000,12.8,11.01,11.3,11652416
13.02,1611759780000,13.02,12.38,12.75,1773956
13.575,1611760080000,14.82,13.1,13.67,6343432
14.5,1611760140000,14.55,13.3,13.575,6720847
15.31,1611760200000,15.49,13.43,14.4925,7262357
15.3,1611760260000,15.55,14.71,15.2939,6299870
15.624,1611760320000,15.79,15.26,15.3,4880563
14.751,1611760380000,15.64,13.46,15.6076,4484587
14.03,1611760440000,14.77,14,14.752,3725803
14.5879,1611760500000,14.78,13.47,14.0466,3306461
14.1871,1611760560000,14.7574,12.5,14.5519,2796057
14.34,1611760620000,14.4,12.5,14.16,1635421
14.6197,1611760680000,14.78,11.6,14.29,2720049
15.45,1611760740000,15.6,12,14.65,4528318
14.77,1611760800000,15.45,14.7,15.4,2697195
14.9895,1611760860000,15.28,13.14,14.76,2449656
15.53,1611760920000,15.58,14.9,14.9622,3347136
15.24,1611760980000,15.77,14.89,15.54,3366954
15.2203,1611761040000,15.3,14.9429,15.24,1908203
15.69,1611761100000,15.75,15.21,15.2242,2868297
16.326,1611761160000,16.4,15.53,15.72,5744396
16.06,1611761220000,16.54,14.1,16.33,4373063
15.99,1611761280000,16.39,14.2,16.08,2515484
15.975,1611761340000,16.28,15.7,15.9604,2866267
16.53,1611761400000,16.78,15.94,15.99,3583361
16.5,1611761460000,16.86,16.25,16.59,3189012
16.697,1611761520000,16.771,16.21,16.5,2521400
16.8368,1611761580000,16.94,16.44,16.7,3032118
16.9355,1611761640000,17.01,16.72,16.83,4905029
17.4188,1611761700000,17.5,16.535,16.9338,4174489
17.49,1611761760000,17.6,16.295,17.4175,4341676
17.25,1611761820000,17.51,16.4,17.5,3446152
16.99,1611761880000,17.27,16.335,17.2597,2651273
15.9888,1611761940000,17.06,15.63,16.9975,4918523
17.0554,1611762000000,17.4,15.97,15.9804,3490529
16.7525,1611762060000,17.06,16.5,17.0356,2071824
16.9102,1611762120000,17.03,16.47,16.7679,2819768
17.22,1611762180000,17.27,16.88,16.936,2871241
16.9713,1611762240000,17.27,16.5,17.2,2626943
16.5975,1611762300000,17.02,16.58,17,2074043
16.5227,1611762360000,16.7,16.05,16.59,2906564
16.32,1611762420000,16.83,16.1425,16.5071,2206527
16.46,1611762480000,16.91,16.25,16.3142,2222920
16.69,1611762540000,16.75,16.43,16.4648,1587296
16.4213,1611762600000,16.72,16.37,16.69,1708753
16.01,1611762660000,16.5,16,16.4242,2112309
15.0833,1611762720000,16.08,14.75,16.005,6134390
16,1611762780000,16.059,14.9152,15.084,3550811
15.81,1611762840000,16.2875,15.72,15.98,2763969
16,1611762900000,16.16,15.6,15.81,1845553
16.0997,1611762960000,16.84,15.92,16,1761417
16.07,1611763020000,16.27,16.0499,16.08,1914396
16.0642,1611763080000,16.1245,15.45,16.1,2687899
16,1611763140000,16.1,15.85,16.0681,1445155
16.37,1611763200000,16.38,15.9389,15.9913,2253550
15.74,1611763260000,16.374,15.55,16.36,2722367
15.45,1611763320000,15.77,15.35,15.74,2820311
15.945,1611763380000,16,15.4,15.46,1852198
15.6533,1611763440000,15.98,15.6,15.9475,1293993
16.08,1611763500000,16.12,15.65,15.67,2656819
15.95,1611763560000,16.08,15.76,16.0701,1496354
15.8903,1611763620000,16.04,15.6,15.95,1955274
15.8453,1611763680000,15.94,15.61,15.9,1306680
15.9745,1611763740000,16.04,15.76,15.847,2148105
16.15,1611763800000,16.29,15.91,15.98,2891752
16.3968,1611763860000,16.52,16.12,16.1482,3264269
16.9993,1611763920000,17,16.3833,16.3968,3497685
16.6472,1611763980000,17,16.54,16.98,3674592
16.747,1611764040000,16.985,16.51,16.6425,2063481
16.35,1611764100000,16.95,16.04,16.7486,2490898
16.0625,1611764160000,16.735,15.76,16.34,3312351
16,1611764220000,16.895,15.8,16.0625,1947203
16.13,1611764280000,16.15,15.89,15.94,1427856
16.2575,1611764340000,16.26,16,16.126,1227300
16.0398,1611764400000,16.2535,16,16.25,1539029
16.18,1611764460000,16.25,16.04,16.04,1110698
15.95,1611764520000,16.1899,15.8,16.172,2074678
