Close,Datetime,High,Low,Open,Volume
1.31,1582005600000,1.32,1.3,1.3,18219
1.41,1582092000000,1.66,1.3152,1.32,161170
1.36,1582178400000,1.4515,1.3069,1.45,24683
1.3799,1582264800000,1.4,1.3299,1.33,19931
1.3213,1582524000000,1.3697,1.3213,1.34,8485
1.2242,1582610400000,1.34,1.1001,1.33,50970
1.01,1582696800000,1.1945,1,1.19,40995
0.95,1582783200000,1,0.86,0.93,104858
0.8985,1582869600000,0.9843,0.88,0.9843,40253
0.988,1583128800000,0.988,0.95,0.95,6718
0.9211,1583215200000,1.01,0.88,1.01,5738
1,1583301600000,1.01,0.9454,0.9454,62356
1.02,1583388000000,1.04,0.9705,1.04,27458
0.9101,1583474400000,1.02,0.9,1.02,12840
0.894,1583730000000,1.01,0.8521,1.01,1129
0.8937,1583816400000,0.945,0.85,0.88,4629
0.8191,1583902800000,0.88,0.8,0.8,2610
0.65,1583989200000,0.888301,0.6,0.88,22778
0.85,1584075600000,1,0.65,0.65,26827
0.6516,1584334800000,0.8769,0.65,0.8769,9215
0.74,1584421200000,0.91,0.62,0.702642,7261
0.65,1584507600000,0.6538,0.65,0.65,1903
0.61,1584594000000,0.7,0.61,0.7,3336
0.636,1584680400000,0.68,0.513627,0.63,11722
0.6231,1584939600000,0.6778,0.56,0.5628,14279
0.615,1585026000000,0.62,0.5829,0.5829,12650
0.6,1585112400000,0.7,0.6,0.6,16333
0.628,1585198800000,0.6301,0.6,0.6,16729
0.6727,1585285200000,0.6767,0.62,0.6767,7348
0.67,1585544400000,0.74,0.6422,0.731575,10133
0.786,1585630800000,0.89,0.67,0.7,93547
0.67,1585717200000,0.7201,0.67,0.7201,17283
0.651,1585803600000,0.6969,0.58,0.65,7721
0.675,1585890000000,0.7,0.58,0.6202,13173
0.7001,1586149200000,0.7001,0.695,0.7,4013
0.7165,1586235600000,0.72,0.7001,0.7001,2653
0.7001,1586322000000,0.72,0.69,0.7186,10842
0.7007,1586408400000,0.72,0.7,0.7,5505
0.655,1586754000000,0.7167,0.602,0.65,3837
0.7799,1586840400000,0.79,0.710001,0.7199,26631
0.789701,1586926800000,0.79,0.70001,0.78,36138
0.9,1587013200000,0.9,0.7601,0.79,52535
0.87,1587099600000,0.95,0.7601,0.94,77235
0.8,1587358800000,0.95,0.8,0.95,38824
0.7999,1587445200000,0.824,0.77,0.824,32101
0.84,1587531600000,0.95,0.8,0.8,52627
0.81278,1587618000000,0.87,0.76,0.87,13308
0.8295,1587704400000,0.844,0.7701,0.7701,1752
0.8,1587963600000,0.84,0.75,0.84,39629
0.8,1588050000000,0.8505,0.7601,0.8505,15681
0.9,1588136400000,0.9,0.77,0.77,51333
0.8936,1588222800000,0.92,0.8,0.92,20662
0.8804,1588309200000,0.9,0.83001,0.8739,8465
0.9,1588568400000,0.9299,0.85,0.918,43117
0.85,1588654800000,0.9045,0.85,0.9045,6095
0.9,1588741200000,0.9255,0.85,0.85,4659
0.93,1588827600000,0.93,0.8551,0.9,7969
1.09,1588914000000,1.18,0.86,0.945,168717
1.105,1589173200000,1.14,0.993,1.1,47927
0.95,1589259600000,1.14,0.9243,1.14,86024
0.94,1589346000000,1.05,0.91,1,21061
0.9354,1589432400000,0.9354,0.81,0.91,23505
0.9605,1589518800000,1,0.91001,0.91001,7960
0.9585,1589778000000,1,0.952,0.9801,8286
0.95,1589864400000,1,0.86,0.99,44976
0.93,1589950800000,0.97,0.890101,0.9548,10834
1.18,1590037200000,1.38,0.9454,0.949999,533405
1.12,1590123600000,1.195,0.98,1.18,65173
1.14,1590469200000,1.23,1.06,1.23,21379
1.05,1590555600000,1.14,1.05,1.14,32928
1.11,1590642000000,1.11,1.05,1.08,12217
1.1,1590728400000,1.14,1.0701,1.11,25667
1.1693,1590987600000,1.18,1.1,1.14,36289
