Close,Datetime,High,Low,Open,Volume
2.79,1612967400000,2.86,2.79,2.86,3395
2.835,1612967640000,2.8533,2.835,2.835,1100
2.821,1612967700000,2.821,2.821,2.821,500
2.8,1612967760000,2.85,2.8,2.84,7190
2.8607,1612967880000,2.8607,2.8607,2.8607,500
2.8397,1612967940000,2.8397,2.8,2.8,700
2.84,1612968000000,2.86,2.83,2.83,897
2.82,1612968180000,2.91,2.82,2.88,25857
2.89,1612968240000,2.96,2.82,2.8981,24891
2.9107,1612968300000,2.96,2.9093,2.96,12600
2.89,1612968360000,2.89,2.89,2.89,1000
2.96,1612968420000,2.96,2.91,2.91,5260
3.0435,1612968480000,3.0435,2.96,2.96,7332
3.26,1612968540000,3.32,2.9246,2.9246,37123
3.5318,1612968600000,3.59,3.05,3.22,71916
3.69,1612968660000,3.76,3.5277,3.53,74280
3.46,1612968720000,3.7,3.46,3.6634,53472
3.65,1612968780000,3.663,3.5,3.54,22691
3.4694,1612968840000,3.6,3.43,3.6,14741
3.4801,1612968900000,3.5416,3.47,3.4796,9740
3.36,1612968960000,3.4742,3.1916,3.4711,28361
3.3217,1612969020000,3.4,3.31,3.36,12954
3.335,1612969080000,3.3937,3.2,3.32,15064
3.2207,1612969140000,3.3021,3.2207,3.3021,2910
3.45,1612969200000,3.45,3.28,3.28,15891
3.4407,1612969260000,3.45,3.2648,3.45,6301
3.44,1612969320000,3.44,3.325,3.325,12395
3.4,1612969380000,3.61,3.4,3.44,12673
3.502,1612969440000,3.5999,3.4239,3.4239,4670
3.6126,1612969500000,3.69,3.53,3.53,12615
3.7448,1612969560000,3.75,3.6,3.69,12036
3.53,1612969620000,3.76,3.48,3.76,18191
3.5629,1612969680000,3.5629,3.4745,3.4745,3463
3.6001,1612969740000,3.62,3.6001,3.61,5560
3.5089,1612969800000,3.62,3.5089,3.62,12269
3.5126,1612969860000,3.5917,3.51,3.5118,1700
3.56,1612969920000,3.62,3.52,3.58,8007
3.56,1612969980000,3.62,3.56,3.56,7074
3.6,1612970040000,3.6,3.561,3.5706,5589
3.6499,1612970100000,3.65,3.6067,3.61,6682
3.6508,1612970160000,3.7,3.6101,3.7,4400
3.6,1612970220000,3.69,3.59,3.68,5105
3.59,1612970280000,3.6703,3.59,3.6703,7710
3.5678,1612970340000,3.62,3.56,3.5685,3900
3.6,1612970400000,3.61,3.5,3.57,35670
3.455,1612970460000,3.59,3.35,3.545,46480
3.39,1612970520000,3.455,3.39,3.455,1400
3.44,1612970580000,3.44,3.4,3.423,8648
3.44,1612970640000,3.44,3.37,3.41,15656
3.26,1612970700000,3.4,3.2301,3.4,20170
3.2899,1612970760000,3.29,3.23,3.23,5201
3.29,1612970820000,3.29,3.2862,3.29,2200
3.24,1612970880000,3.265,3.24,3.252,1550
3.241,1612970940000,3.25,3.18,3.22,9273
3.28,1612971000000,3.29,3.1912,3.22,15153
3.26,1612971060000,3.26,3.22,3.22,2350
3.26,1612971120000,3.26,3.23,3.245,10176
3.2,1612971180000,3.23,3.2,3.23,700
3.23,1612971240000,3.23,3.2037,3.2037,950
3.2793,1612971300000,3.29,3.23,3.23,11600
3.2,1612971360000,3.2403,3.2,3.24,2203
3.24,1612971600000,3.24,3.23,3.23,1787
3.22,1612971720000,3.26,3.22,3.26,600
3.2178,1612971780000,3.2178,3.2178,3.2178,200
3.22,1612971840000,3.22,3.21,3.21,30000
3.21,1612972020000,3.21,3.2,3.2,800
3.1193,1612972080000,3.22,3.1,3.214,11304
3.1565,1612972140000,3.1565,3.1101,3.1101,2188
3.1201,1612972200000,3.15,3.1201,3.14,3800
3.121,1612972260000,3.121,3.1,3.12,1531
3.1,1612972320000,3.1,3.1,3.1,1572
3.12,1612972380000,3.12,3.12,3.12,500
3.1,1612972440000,3.1,3.1,3.1,1361
3.1,1612972500000,3.1,3.0978,3.0978,2120
3.5124,1612972560000,3.54,3.149,3.149,47884
3.405,1612972620000,3.49,3.405,3.49,2500
3.445,1612972680000,3.445,3.4,3.4,6575
3.5,1612972740000,3.592,3.43,3.44,17205
3.5906,1612972800000,3.6,3.5,3.5,815
3.6,1612972860000,3.6,3.56,3.59,21900
3.58,1612972920000,3.58,3.5306,3.56,2257
3.57,1612972980000,3.6,3.5534,3.57,7000
3.6,1612973040000,3.6,3.57,3.57,4000
3.57,1612973160000,3.58,3.43,3.58,10305
3.44,1612973220000,3.55,3.44,3.55,1080
3.46,1612973280000,3.4678,3.43,3.4678,1742
3.431,1612973340000,3.46,3.431,3.46,332
3.43,1612973400000,3.445,3.35,3.445,9841
3.4202,1612973520000,3.4202,3.4202,3.4202,300
3.4073,1612973700000,3.4073,3.4073,3.4073,200
