Close,Datetime,High,Low,Open,Volume
5.065,1613053800000,5.18,4.96,5.18,115015
5.0689,1613053860000,5.1041,4.9901,5.1041,24197
5.105,1613053920000,5.13,5.055,5.075,8213
5.1501,1613053980000,5.2,5.1,5.115,34043
5.33,1613054040000,5.33,5.15,5.15,32018
5.2653,1613054100000,5.44,5.24,5.3262,27885
5.2,1613054160000,5.2944,5.11,5.28,18469
5.17,1613054220000,5.1949,5.1101,5.16,17245
5.27,1613054280000,5.27,5.17,5.1838,10518
5.281,1613054340000,5.2999,5.2,5.2844,9503
5.22,1613054400000,5.287,5.22,5.275,5202
5.294,1613054460000,5.3,5.22,5.2253,9068
5.28,1613054520000,5.3,5.25,5.3,17595
5.29,1613054580000,5.29,5.25,5.2649,6751
4.9886,1613054640000,5.32,4.88,5.29,84879
5.0001,1613054700000,5.1198,4.9,4.9484,31808
4.96,1613054760000,5.03,4.95,5,22536
4.9385,1613054820000,4.99,4.88,4.966,51558
4.905,1613054880000,4.95,4.9,4.95,34808
4.934,1613054940000,4.98,4.88,4.91,32265
4.88,1613055000000,4.94,4.88,4.9389,11057
4.88,1613055060000,4.9138,4.88,4.91,18854
4.8971,1613055120000,4.9255,4.85,4.8799,28403
4.92,1613055180000,4.96,4.88,4.9,22399
4.915,1613055240000,4.96,4.9,4.9193,11750
4.8937,1613055300000,4.93,4.85,4.93,10508
4.8951,1613055360000,4.94,4.8639,4.88,3650
4.93,1613055420000,4.9396,4.86,4.905,8956
4.91,1613055480000,4.9397,4.9,4.93,6486
4.91,1613055540000,4.9282,4.9005,4.9282,10879
4.92,1613055600000,5.05,4.91,4.92,17837
4.94,1613055660000,4.97,4.94,4.945,35919
5.05,1613055720000,5.05,4.92,4.92,6040
5,1613055780000,5.05,4.97,5.05,6113
5.03,1613055840000,5.03,4.9701,4.9789,12633
5.03,1613055900000,5.03,4.97,5.0003,9864
5.0426,1613055960000,5.05,5,5.03,15563
5.1,1613056020000,5.1,5.0225,5.0461,14622
5.025,1613056080000,5.0989,5.0001,5.0601,16211
5.05,1613056140000,5.05,5,5.035,5735
5.03,1613056200000,5.05,5.0001,5.05,8508
5.03,1613056260000,5.05,5,5.04,7446
5.07,1613056320000,5.1,5.07,5.08,3998
5.0382,1613056380000,5.14,5.0382,5.1,3463
5.14,1613056440000,5.14,5.05,5.0929,4866
5.14,1613056500000,5.14,5.1,5.1056,10251
5.1238,1613056560000,5.1499,5.12,5.1201,8575
5.2601,1613056620000,5.2692,5.14,5.14,35685
5.3,1613056680000,5.3,5.22,5.22,17562
5.28,1613056740000,5.4,5.28,5.32,29488
5.31,1613056800000,5.3419,5.2638,5.2829,13043
5.3,1613056860000,5.318,5.28,5.3,6484
5.3,1613056920000,5.3,5.28,5.2801,10147
5.26,1613056980000,5.3,5.26,5.29,13051
5.35,1613057040000,5.35,5.26,5.28,12512
5.41,1613057100000,5.42,5.325,5.3499,18281
5.648,1613057160000,5.7,5.4,5.407,62284
5.67,1613057220000,5.68,5.5,5.619,35634
6.1989,1613057280000,6.215,5.67,5.67,126976
5.94,1613057340000,6.28,5.94,6.193,90210
6.3589,1613057400000,6.46,5.94,5.9911,93889
6.65,1613057460000,6.7,6.3501,6.3589,144143
6.2501,1613057520000,6.7,6.22,6.7,121107
5.9602,1613057580000,6.3,5.94,6.2537,104425
6.066,1613057640000,6.15,5.96,6,49326
6.0382,1613057700000,6.139,5.94,6.04,26967
6.16,1613057760000,6.18,6,6.02,49144
6.15,1613057820000,6.28,6.1101,6.18,56971
5.975,1613057880000,6.16,5.9,6.15,38477
6.025,1613057940000,6.1,5.94,5.95,13689
5.94,1613058000000,6.05,5.94,6,15372
5.9501,1613058060000,5.991,5.94,5.9411,4103
5.9926,1613058120000,6.03,5.94,5.975,11472
5.94,1613058180000,5.9999,5.94,5.95,8919
5.9533,1613058240000,5.97,5.94,5.9489,12334
5.9767,1613058300000,5.99,5.9542,5.9542,6804
5.965,1613058360000,5.99,5.94,5.98,10267
6.13,1613058420000,6.26,5.99,5.99,23875
6.2229,1613058480000,6.24,6.145,6.2332,14478
6.3588,1613058540000,6.3588,6.17,6.2197,56482
6.3926,1613058600000,6.5,6.3401,6.3553,49773
6.2402,1613058660000,6.3941,6.17,6.3941,32032
6.25,1613058720000,6.3998,6.17,6.3998,23849
6.2601,1613058780000,6.37,6.2439,6.25,16908
6.2,1613058840000,6.3,6.2,6.2601,14131
6.18,1613058900000,6.2,6.1,6.17,11474
6.2,1613058960000,6.24,6.1873,6.2,2256
6.175,1613059020000,6.2,6.16,6.19,6300
6.1642,1613059080000,6.1825,6.16,6.175,2654
5.9636,1613059140000,6.16,5.9636,6.16,31481
5.95,1613059200000,5.9975,5.95,5.97,15838
5.95,1613059260000,5.9648,5.95,5.9648,13493
5.96,1613059320000,5.97,5.9501,5.9501,13201
5.9789,1613059380000,6,5.95,5.95,7382
6.1045,1613059440000,6.13,5.97,5.97,8734
6.1551,1613059500000,6.18,6.115,6.1299,9449
6.105,1613059560000,6.17,6.0928,6.17,7700
5.94,1613059620000,6.09,5.94,6.09,12360
5.98,1613059680000,5.99,5.94,5.95,2900
5.98,1613059740000,6.093,5.965,5.965,3279
6.0899,1613059800000,6.0899,6.04,6.04,622
5.9662,1613059860000,6.0899,5.9662,6.0899,2589
5.9501,1613059920000,6.0699,5.9501,5.9501,4208
5.94,1613059980000,5.9843,5.94,5.9843,2235
5.9868,1613060040000,5.9868,5.94,5.9499,7505
5.95,1613060100000,5.95,5.9489,5.9489,400
6.1883,1613060160000,6.1884,5.94,5.9448,35142
6.0601,1613060220000,6.15,6.02,6.15,3949
6.0982,1613060280000,6.1759,6.09,6.09,2800
6.1499,1613060340000,6.19,6.1499,6.19,10000
6.0948,1613060400000,6.0999,6.02,6.0999,2426
6.03,1613060460000,6.1256,5.96,6.1256,9701
6.0201,1613060520000,6.085,6.02,6.03,3469
6.0201,1613060580000,6.0201,6.02,6.02,17142
5.6344,1613060640000,6.105,5.44,6.105,72854
5.5201,1613060700000,5.62,5.45,5.62,18205
5.5599,1613060760000,5.6189,5.53,5.6189,11464
5.34,1613060820000,5.5505,5.3,5.5505,23486
5.3,1613060880000,5.44,5.3,5.3201,19943
5.37,1613060940000,5.4189,5.3001,5.3001,2600
5.4,1613061000000,5.4199,5.365,5.365,5978
5.4,1613061060000,5.42,5.3601,5.42,7619
5.31,1613061120000,5.4338,5.31,5.42,5694
5.3622,1613061180000,5.3769,5.3527,5.3694,6690
5.365,1613061240000,5.3737,5.36,5.36,1733
5.3001,1613061300000,5.3601,5.3,5.3601,7345
5.3,1613061360000,5.343,5.3,5.3061,4322
5.31,1613061420000,5.31,5.3,5.3059,1030
5.32,1613061480000,5.3295,5.3119,5.3295,1439
5.34,1613061540000,5.42,5.32,5.3289,4557
5.3601,1613061600000,5.4816,5.3601,5.4816,400
5.48,1613061660000,5.5,5.455,5.5,5535
