Close,Datetime,High,Low,Open,Volume
1.565,1582005600000,1.67,1.51,1.58,79510
1.58,1582092000000,1.66,1.5101,1.64,32372
1.5,1582178400000,1.64,1.5,1.51,45743
1.49,1582264800000,1.5,1.4,1.5,28805
1.48,1582524000000,1.49,1.41,1.47,25881
1.3,1582610400000,1.4755,1.21,1.4337,62376
1.23,1582696800000,1.2999,1.22,1.28,15989
1.1438,1582783200000,1.2067,1.07,1.1,64515
1.07,1582869600000,1.19,0.96,1.07,58254
1.335,1583128800000,1.46,1.08,1.08,147467
1.2027,1583215200000,1.41,1.1723,1.41,39847
1.1599,1583301600000,1.28,1.12,1.2101,23403
1.1498,1583388000000,1.3699,1.14,1.1658,14101
1.1972,1583474400000,1.3799,1.0624,1.15,101672
1,1583730000000,1.2003,0.9639,1.19,79793
1.091,1583816400000,1.1,1,1.05,36548
1.0104,1583902800000,1.07,1.01,1.04,17361
0.85,1583989200000,0.98,0.7995,0.98,58058
0.844,1584075600000,0.8985,0.73265,0.86,48116
0.69,1584334800000,0.7914,0.685,0.74,27476
0.66,1584421200000,0.7,0.65,0.6936,8872
0.6725,1584507600000,0.7178,0.65,0.68,24970
0.67,1584594000000,0.73999,0.67,0.675,9603
0.78,1584680400000,0.9,0.61,0.71,202304
0.9248,1584939600000,0.9553,0.78,0.86,111240
0.88,1585026000000,0.94,0.796,0.91,61646
1.13,1585112400000,2.05,0.76,0.83,1540921
1.105,1585198800000,1.15,0.84,1.06,202972
1.05,1585285200000,1.07,0.92,1.07,53735
0.969396,1585544400000,1.03,0.9111,0.96,33055
0.96,1585630800000,1.01,0.8589,0.9139,21880
0.934801,1585717200000,1,0.9,0.91,10997
0.86,1585803600000,0.9996,0.81,0.963,10628
0.8201,1585890000000,0.8588,0.8101,0.8588,13154
0.897,1586149200000,0.97,0.825749,0.873,23832
0.9359,1586235600000,0.9936,0.8803,0.9045,16151
0.97,1586322000000,1.0448,0.9118,0.9887,31673
1.01,1586408400000,1.05,0.911,1.0059,51333
1.05,1586754000000,1.0857,0.9528,1.04,29871
1.38,1586840400000,1.98,1.05,1.25,2354558
1.17,1586926800000,1.25,1.08,1.17,127979
1.13,1587013200000,1.26,1.1,1.18,75190
1.16,1587099600000,1.2898,1.1,1.13,73580
1.18,1587358800000,1.36,1.1,1.35,75744
1.0699,1587445200000,1.16,1.0281,1.16,44898
1.1899,1587531600000,1.6,1.08,1.08,287123
1.19,1587618000000,1.34,1.15,1.2,66832
1.15,1587704400000,1.19,1.14,1.18,15583
1.21,1587963600000,1.3,1.15,1.1558,42752
1.1527,1588050000000,1.28,1.13,1.28,21535
1.2499,1588136400000,1.25,1.14,1.14,35262
1.18,1588222800000,1.27,1.11,1.27,31490
1.1824,1588309200000,1.3,1.1471,1.27,24852
1.2701,1588568400000,1.55,1.15,1.22,209566
1.3201,1588654800000,1.3851,1.3,1.36,60934
1.33,1588741200000,1.5,1.33,1.33,78403
1.37,1588827600000,1.45,1.28,1.43,53008
1.31,1588914000000,1.37,1.2702,1.33,38239
1.35,1589173200000,1.3899,1.33,1.33,20662
1.22,1589259600000,1.58,1.18,1.36,318545
1.22,1589346000000,1.3,1.2,1.3,45782
1.1,1589432400000,1.24,1.03,1.24,65417
1.2,1589518800000,1.23,1.1,1.1,32359
1.17,1589778000000,1.2003,1.13,1.18,45945
1.22,1589864400000,1.2792,1.0799,1.18,91871
1.19,1589950800000,1.32,1.1502,1.26,22026
1.21,1590037200000,1.25,1.1207,1.21,14253
1.3,1590123600000,1.3,1.18,1.22,51800
1.32,1590469200000,1.355,1.16,1.3,92659
1.43,1590555600000,1.46,1.22,1.3,226589
1.33,1590642000000,1.59,1.3,1.45,923123
1.28,1590728400000,1.37,1.1401,1.37,305913
1.2,1590987600000,1.26,1.2,1.26,65584
1.63,1591074000000,1.75,1.14,1.24,2625095
1.37,1591160400000,1.65,1.3,1.62,594201
1.26,1591246800000,1.38,1.2401,1.34,296164
1.31,1591333200000,1.33,1.26,1.33,120187
1.36,1591592400000,1.39,1.3,1.34,173017
1.38,1591678800000,1.41,1.33,1.41,119088
1.33,1591765200000,1.4,1.3,1.36,155762
1.23,1591851600000,1.35,1.19,1.25,268230
1.26,1591938000000,1.29,1.23,1.24,85160
1.26,1592197200000,1.2799,1.2,1.26,58120
1.24,1592283600000,1.35,1.19,1.29,193544
1.38,1592370000000,1.45,1.24,1.25,724279
1.52,1592456400000,1.62,1.26,1.38,1639568
1.5,1592542800000,1.62,1.46,1.54,375762
1.39,1592802000000,1.55,1.34,1.55,185960
1.415,1592888400000,1.45,1.33,1.45,107521
1.39,1592974800000,1.42,1.31,1.42,98052
1.34,1593061200000,1.4,1.31,1.36,60827
1.305,1593147600000,1.39,1.25,1.35,110386
1.25,1593406800000,1.37,1.24,1.27,302670
1.21,1593493200000,1.298,1.08,1.24,204008
1.25,1593579600000,1.32,1.21,1.21,100628
1.27,1593666000000,1.71,1.26,1.28,1547668
1.26,1594011600000,1.33,1.22,1.31,158333
1.25,1594098000000,1.33,1.25,1.28,71707
1.24,1594184400000,1.3,1.2,1.26,122950
1.21,1594270800000,1.3,1.21,1.28,136632
1.245,1594357200000,1.3,1.21,1.23,81668
1.25,1594616400000,1.32,1.23,1.27,123130
1.1,1594702800000,1.2829,1.1,1.25,219225
1.08,1594789200000,1.19,1.08,1.08,151902
1.28,1594875600000,1.35,1.08,1.11,1225214
1.2475,1594962000000,1.31,1.1888,1.28,288991
1.2,1595221200000,1.25,1.15,1.24,158035
1.25,1595307600000,1.25,1.21,1.25,119663
1.2,1595394000000,1.27,1.2,1.23,111662
1.19,1595480400000,1.24,1.17,1.21,63465
1.15,1595566800000,1.21,1.14,1.17,64878
1.13,1595826000000,1.18,1.11,1.17,88486
1.13,1595912400000,1.16,1.09,1.16,110534
1.11,1595998800000,1.14,1.1,1.11,96261
1.17,1596085200000,1.19,1.1,1.1,103332
1.15,1596171600000,1.17,1.13,1.15,59953
1.17,1596430800000,1.18,1.15,1.16,42080
1.17,1596517200000,1.19,1.12,1.15,91117
1.2,1596603600000,1.23,1.17,1.17,68833
1.25,1596690000000,1.33,1.16,1.22,997450
1.2499,1596776400000,1.33,1.14,1.33,1185394
1.23,1597035600000,1.24,1.16,1.22,285144
1.18,1597122000000,1.24,1.16,1.21,243378
1.23,1597208400000,1.4111,1.17,1.2,3823470
1.13,1597294800000,1.267,1.11,1.24,891900
1.15,1597381200000,1.21,1.05,1.12,1852183
1.11,1597640400000,1.16,1.11,1.16,309833
1.12,1597726800000,1.13,1.09,1.11,205901
1.09,1597813200000,1.14,1.08,1.1101,178019
0.935,1597899600000,1.09,0.915,1.08,575557
0.94,1597986000000,0.98,0.9,0.9,125643
0.886,1598245200000,0.93,0.86,0.93,159666
0.88,1598331600000,0.89,0.84,0.8653,113972
1.1,1598418000000,1.3,0.8784,0.88,6718637
0.98,1598504400000,1.03,0.921,1,774443
0.99,1598590800000,1.03,0.93,0.9654,362474
0.96,1598850000000,1.0115,0.93,0.97,238957
0.93,1598936400000,1.0258,0.8398,0.94,883930
0.7999,1599022800000,0.88,0.66,0.84,516536
0.7747,1599109200000,0.88,0.612,0.79,1321816
0.74,1599195600000,0.78,0.6611,0.7747,250503
0.8984,1599541200000,0.97,0.68,0.7177,1012386
1.04,1599627600000,1.06,0.9,0.9,461272
0.94,1599714000000,1.06,0.922,1.05,249342
0.89,1599800400000,0.99,0.88,0.9401,159351
0.880703,1600059600000,0.95,0.82,0.9345,158448
0.88,1600146000000,0.925,0.84,0.89,179887
0.898,1600232400000,0.925,0.86,0.8897,96259
