Close,Datetime,High,Low,Open,Volume
1.4001,1612362600000,1.42,1.3,1.31,565154
1.35,1612362660000,1.4095,1.3401,1.4,278297
1.39,1612362720000,1.4,1.3401,1.3481,117442
1.35,1612362780000,1.3887,1.35,1.3887,80993
1.3601,1612362840000,1.37,1.35,1.35,113257
1.375,1612362900000,1.38,1.36,1.37,80437
1.3,1612362960000,1.38,1.3,1.38,199562
1.3586,1612363020000,1.36,1.3,1.3093,75384
1.3489,1612363080000,1.36,1.34,1.355,101785
1.3311,1612363140000,1.35,1.33,1.3414,56955
1.3489,1612363200000,1.3517,1.33,1.34,107972
1.34,1612363260000,1.35,1.33,1.3401,60028
1.3499,1612363320000,1.35,1.3309,1.3309,35626
1.3699,1612363380000,1.38,1.35,1.351,94364
1.3799,1612363440000,1.38,1.36,1.36,64275
1.3689,1612363500000,1.38,1.36,1.3704,36644
1.3756,1612363560000,1.38,1.35,1.36,68126
1.3765,1612363620000,1.38,1.37,1.37,71140
1.37,1612363680000,1.38,1.37,1.377,11309
1.38,1612363740000,1.39,1.37,1.37,80800
1.389,1612363800000,1.39,1.37,1.385,64830
1.36,1612363860000,1.39,1.36,1.38,21878
1.34,1612363920000,1.37,1.34,1.36,97401
1.35,1612363980000,1.35,1.34,1.3489,40412
1.35,1612364040000,1.36,1.34,1.35,18237
1.3521,1612364100000,1.3599,1.35,1.35,12652
1.35,1612364160000,1.36,1.341,1.351,18197
1.345,1612364220000,1.35,1.34,1.34,6492
1.3489,1612364280000,1.35,1.34,1.345,14883
1.34,1612364340000,1.35,1.34,1.34,11609
1.34,1612364400000,1.35,1.34,1.35,32877
1.32,1612364460000,1.34,1.31,1.34,85531
1.32,1612364520000,1.34,1.31,1.335,74097
1.32,1612364580000,1.32,1.31,1.31,58328
1.31,1612364640000,1.32,1.31,1.3199,66548
1.3133,1612364700000,1.3199,1.31,1.31,48293
1.31,1612364760000,1.32,1.31,1.3101,6353
1.31,1612364820000,1.32,1.31,1.3101,28977
1.2889,1612364880000,1.32,1.28,1.32,135596
1.2898,1612364940000,1.29,1.28,1.2801,34991
1.29,1612365000000,1.29,1.28,1.2889,49011
1.28,1612365060000,1.29,1.27,1.285,43595
1.2901,1612365120000,1.3,1.2701,1.2795,75053
1.2891,1612365180000,1.3,1.28,1.29,44347
1.27,1612365240000,1.29,1.26,1.29,134289
1.31,1612365300000,1.33,1.2601,1.2601,340370
1.3,1612365360000,1.32,1.285,1.32,46505
1.31,1612365420000,1.31,1.29,1.3086,44302
1.3189,1612365480000,1.32,1.31,1.31,18223
1.3,1612365540000,1.315,1.2999,1.315,40841
1.31,1612365600000,1.31,1.3,1.3075,14787
1.2913,1612365660000,1.31,1.29,1.3025,33696
1.29,1612365720000,1.3,1.29,1.29,14483
1.29,1612365780000,1.3,1.28,1.3,14654
1.2895,1612365840000,1.29,1.28,1.2801,9554
1.3,1612365900000,1.3,1.28,1.29,23710
1.3,1612365960000,1.3,1.29,1.2999,34901
1.3289,1612366020000,1.33,1.29,1.3,71786
