Close,Datetime,High,Low,Open,Volume
7.897,1582005600000,8.2,7.51,7.99,44306
7.25,1582092000000,7.821,7.118,7.8,37077
7.134,1582178400000,7.799,6.7,7.3,98029
7.53,1582264800000,7.7,6.801,7.193,154139
7.05,1582524000000,7.6,6.9,7.55,105703
6.272,1582610400000,6.97,6.07,6.893,115606
6.201,1582696800000,6.5,6.1,6.271,29917
5.5,1582783200000,6.138,5.001,6,47764
5.3,1582869600000,6.199,5.1,5.7,112466
5.411,1583128800000,5.55899,5.3,5.39,31638
5.6,1583215200000,6.3,5.325,5.6,182059
5.95,1583301600000,6.7,5.53,5.85,294065
5.247,1583388000000,5.9,5,5.9,146835
4.656,1583474400000,5.2,4.62,5,84753
3.48,1583730000000,4.504,3.352,4.504,130749
20.5,1583816400000,29.9,9.14,13,18409233
13.5,1583902800000,24.5,13.3,20.35,10506409
18.4,1583989200000,19.7,14,14.7,8752174
11.5,1584075600000,16.1,8,15.95,5110361
15.8,1584334800000,19,12.5,14.9,8389778
15.5,1584421200000,18,13.8,17.8,5348351
14.7,1584507600000,15.5,13.5,14.2,2055979
13,1584594000000,18.2,10.7,18,5896459
13.6,1584680400000,13.7,11.7,12.9,2000451
18.7,1584939600000,19.9,16.5,18.4,12279147
19.9,1585026000000,22.2,17.3,21,8132829
16.8,1585112400000,18.2,15.5,18,2592559
16,1585198800000,17,15.7,16.5,1567470
18.2,1585285200000,18.6,16.6,17,2667076
16.8,1585544400000,18,16.5,17.8,2250377
15,1585630800000,15.9,14.2,15.5,1554781
15.3,1585717200000,17,15,17,1836872
15.7,1585803600000,16.2,13.8,14.3,1968909
16.2,1585890000000,16.9,15.5,16.4,1625887
15.7,1586149200000,16.4,15.2,16.3,953196
15.4,1586235600000,16.1,14.8,16,1348154
15.2,1586322000000,15.5,14.3,15.2,914842
14.3,1586408400000,14.8,14.2,14.8,919687
13.9,1586754000000,14.5,13.2,14,1054552
15.7,1586840400000,16.7,13,13.3,2592325
15.5,1586926800000,17.2,15,17,2043891
15,1587013200000,15.6,14.4,15.6,1880150
13.8,1587099600000,14.5,13.4,14.1,1649819
13.9,1587358800000,15,13.8,14.5,1277720
13.6,1587445200000,14.1,13.3,13.9,917441
12.4,1587531600000,13.3,12,13.1,958916
11.9,1587618000000,13.7,11.8,13.5,1739011
14,1587704400000,14.5,12.1,13.2,2865490
20.2,1587963600000,21.3,17.4,18.6,13201262
17.6,1588050000000,20,17.1,19.4,3117028
16.2,1588136400000,17,15.5,17,2411412
16.4,1588222800000,18.3,14.5,15,3252546
16,1588309200000,16.2,15,15.7,691547
15.4,1588568400000,16,15.1,16,747662
14.8,1588654800000,15.7,14.5,14.9,932899
14.5,1588741200000,14.6,14,14.2,647899
14.7,1588827600000,15.1,13.7,14.1,731563
15.3,1588914000000,15.4,14.5,14.5,567355
16.8,1589173200000,17.2,15,15.5,1129961
16.2,1589259600000,16.8,15.8,16.5,745779
16.9,1589346000000,17.2,15.2,16.248,1092472
17.8,1589432400000,19,17.3,17.9,3292812
15.6,1589518800000,16.4,15,15.75,2012293
15.5,1589778000000,16,15.1,15.8,930291
14.7,1589864400000,15.25,14.2,15.2,1209685
14.7,1589950800000,15.4,14.2,14.43,1228339
14.5,1590037200000,14.9,14.2,14.7,647757
15.15,1590123600000,15.2,14.4,14.6,679072
14.8,1590469200000,15.5,14.5,15,792280
14.4,1590555600000,14.65,14.1,14.5,556206
14,1590642000000,14.3,13.3,14.1,692285
14.9,1590728400000,15,13.7,13.8,929716
15.8,1590987600000,17,15.5,17,3271517
15.5,1591074000000,15.6,14.7,15.2,977172
15.1,1591160400000,15.4,14.8,15.1,833772
14.6,1591246800000,14.9,14.3,14.7,940022
14.8,1591333200000,15,14,14.3,1129389
14.5,1591592400000,14.9,14.1,14.8,1064198
14.8,1591678800000,14.8,14,14.4,904879
14.8,1591765200000,14.9,14.3,14.3,798109
14.3,1591851600000,14.7,14.1,14.2,761448
14.7,1591938000000,14.7,14.2,14.41,515407
14.5,1592197200000,14.7,14.1,14.5,636078
14.5,1592283600000,14.6,14.3,14.3,454558
14.8,1592370000000,15.2,14.2,14.3,843154
14.8,1592456400000,15,14.3,14.7,597486
15.2,1592542800000,15.4,14.5,14.6,895634
15.2,1592802000000,15.3,14.8,15.1,754075
15.1,1592888400000,15.2,14.8,14.9,726652
14.9,1592974800000,15.1,14.6,15,535995
15.1,1593061200000,15.1,14.7,14.9,673265
