Close,Datetime,High,Low,Open,Volume
338.88,1582005600000,339.99,336.1,338.77,2908141
338.3,1582092000000,341.4742,335.861,338.12,4935730
336.28,1582178400000,341.24,335.39,338.29,2807518
330.38,1582264800000,334.6599,330.23,334.05,3709888
317.9,1582524000000,321.74,316.33,320,6073231
304.14,1582610400000,320.64,303.63,318.26,8052504
305.59,1582696800000,315.22,304.06,307,6996558
287.76,1582783200000,301,284.29,300.37,10982361
275.11,1582869600000,282.86,269.6,278.07,15375143
289.27,1583128800000,291.7099,274.29,279.54,11012274
280.62,1583215200000,297.44,278.08,292,7499341
283.12,1583301600000,285.91,277.01,284.55,6986113
260.37,1583388000000,276.31,259.65,275.79,14669061
262.33,1583474400000,264.29,249.8,253.7,12861825
227.17,1583730000000,241.48,224.37,238.0035,11585504
231.01,1583816400000,237.83,215,237,13059626
189.08,1583902800000,226.99,187,222.99,28571908
154.84,1583989200000,189.85,154.813,160.53,31734390
170.2,1584075600000,178.28,161.3755,174.97,21168466
129.61,1584334800000,151,128.76,149.42,26844387
124.14,1584421200000,134.96,101.25,132.51,54492215
101.89,1584507600000,107.85,89,99.86,61943227
97.71,1584594000000,103.57,90.35,98.8,40210594
95.01,1584680400000,107,94.28,99.85,41370710
105.62,1584939600000,114.49,93.56,98.75,46140126
127.68,1585026000000,127.96,116.13,123.68,43683120
158.73,1585112400000,174.77,141,154.9,77825961
180.55,1585198800000,186.48,167.18,172.29,63504048
162,1585285200000,172.92,155.5401,172,47880171
152.28,1585544400000,153.81,140.68,153.81,51052463
149.14,1585630800000,160.64,149,155,29954045
130.7,1585717200000,144.38,130,138.91,41899748
123.27,1585803600000,136.68,120.0204,128.51,42372383
124.52,1585890000000,131.29,122.5,125,37347390
148.77,1586149200000,149.69,129.21,133.7,51085488
141.58,1586235600000,164.8,140.26,162,56699067
146.87,1586322000000,154,144.55,147.51,41350990
151.84,1586408400000,157.98,150.09,154.71,38049546
147.33,1586754000000,156,146.26,155.5,26034099
141,1586840400000,152.4,140,150.51,33970450
145.98,1586926800000,148.6873,132.9,139,39297633
134.24,1587013200000,143.24,134,141.46,41364808
154,1587099600000,154,145,149.41,52389410
143.61,1587358800000,151.6299,142.5,147.21,34983828
136.33,1587445200000,141.8962,135.45,139.01,27043786
134.97,1587531600000,140.8199,134.5202,140.42,22842631
137.74,1587618000000,142.38,136.05,136.5,25936404
128.98,1587704400000,137.57,128.33,137,35947671
128.68,1587963600000,131.2,123.83,129.97,34562987
131.3,1588050000000,137.2,127.74,133.88,37806915
139,1588136400000,147.18,135.25,138.08,60454407
141.02,1588222800000,144.65,132.31,137.67,37876637
133.37,1588309200000,143.71,132.84,143.23,36613106
131.46,1588568400000,131.5,124.35,127.115,30708927
125.4,1588654800000,133.8,125,132.88,30620971
121.86,1588741200000,126.8591,121.37,125.8,29627737
128.65,1588827600000,130.71,122.36,122.81,29525038
133.44,1588914000000,135.55,131.56,132.57,22739737
128.91,1589173200000,131,127.95,130.92,20055447
125.22,1589259600000,133.12,125.1989,129.72,22578972
121.5,1589346000000,125.07,119.33,125,26001998
122.52,1589432400000,122.61,113.89,118.98,37499202
120,1589518800000,121.8899,117.78,118.33,26756829
135.44,1589778000000,136.2,125.7998,126.18,43891480
130.44,1589864400000,137.04,130.28,137,32373043
133.32,1589950800000,135.45,131.3101,133.27,21835491
139,1590037200000,144.239,136.1508,137,48263858
137.53,1590123600000,141.08,135.7766,141.01,21098833
144.73,1590469200000,145.91,142.61,145.21,30338250
149.52,1590555600000,149.65,141.24,149.14,32799949
149.82,1590642000000,156.7,149.05,156.1,34849875
145.85,1590728400000,152,142.94,145.3,33905079
151.39,1590987600000,153.55,144.55,145.45,27238997
153.31,1591074000000,155.85,151.8101,154,24780510
173.16,1591160400000,173.78,155.49,157.1,66486427
184.3,1591246800000,188.6,177.4,181.28,67155584
205.43,1591333200000,218.79,197.36,205,99846047
230.5,1591592400000,234.2,218.93,222.94,80902750
216.74,1591678800000,227,213.08,222.14,66688656
203.41,1591765200000,213.03,197.4,211.17,90384851
170,1591851600000,192.18,166.01,179.35,103212832
189.51,1591938000000,191.3,176.26,187.15,89550055
190.94,1592197200000,193.23,175.89,177.18,78612901
197.77,1592283600000,208.3,192.6,207.15,76496872
192.54,1592370000000,196.43,191.25,194.52,53085360
192.29,1592456400000,198.0345,187.2,188.24,60849850
187.02,1592542800000,197.96,184.571,197.9,67262082
188.52,1592802000000,188.7,181.9,184.56,53901493
187.88,1592888400000,190.12,183.55,189.3,50281299
176.69,1592974800000,185.2,176.07,183.61,56534827
174.88,1593061200000,177.5,169.59,169.87,57335719
170.01,1593147600000,173.85,167.6,173.42,50644426
194.49,1593406800000,194.5,176.27,181,78499941
183.3,1593493200000,188.49,180.38,188.02,65493075
180.32,1593579600000,190.61,180.04,185.88,49036747
180.81,1593666000000,187.79,180.43,185.58,41792299
187.91,1594011600000,189.36,181.6,184.52,49471670
178.88,1594098000000,185.07,178.65,185.07,37105275
180.08,1594184400000,181.58,175.51,179.05,38116202
173.28,1594270800000,180.75,172.81,179.67,33514458
178.44,1594357200000,179.3251,169.75,171.7,40955570
175.65,1594616400000,183.25,174.3601,180.2,43364676
179.96,1594702800000,181.3,173.41,177,39256206
187.94,1594789200000,189.53,181.25,185.54,48044830
178.7,1594875600000,184.59,177.3385,184.32,35050015
175.66,1594962000000,181.1,175.55,178.41,26214977
174.42,1595221200000,176.57,171.62,175.13,25294295
178.63,1595307600000,182.65,176.75,178.43,40774510
179.79,1595394000000,182.95,175.39,176.43,29790308
176.45,1595480400000,182.5,175.42,178,29587221
173.76,1595566800000,181.0999,173.6,175.68,28548036
170.21,1595826000000,174.14,169,173.19,30243773
170.84,1595912400000,173.74,168.23,168.5,25349138
166.01,1595998800000,173.01,162.25,172.9,51709634
161.95,1596085200000,164.5499,160.64,162.88,29140019
158,1596171600000,163.4,156.26,161.55,30286699
162.27,1596430800000,163.58,153.41,156.51,38520485
165.07,1596517200000,167.4,163.01,164.63,30853453
174.28,1596603600000,174.98,166.4,167.6,46550968
172.2,1596690000000,175.57,170.6,172.8,32921629
170.02,1596776400000,171.8599,168.7,171.5,19317971
179.41,1597035600000,179.79,171.33,171.36,35857657
180.13,1597122000000,189.97,179.53,184.51,61036613
175.44,1597208400000,184.149,173.19,184.01,40702391
