Close,Datetime,High,Low,Open,Volume
1.95,1581487200000,2.0041,1.9439,1.96,20376
1.9,1581573600000,1.97,1.88,1.97,15941
1.9187,1581660000000,1.9297,1.91,1.91,4511
1.91,1582005600000,2.07,1.85,2.07,35306
1.88,1582092000000,1.9936,1.85,1.99,23418
1.86,1582178400000,1.9424,1.86,1.86,45034
1.86,1582264800000,1.9127,1.84,1.9,48248
1.8299,1582524000000,1.8366,1.75,1.78,51801
1.76,1582610400000,1.8702,1.75,1.87,37866
1.8029,1582696800000,1.84,1.73,1.789,25634
1.75,1582783200000,1.86,1.75,1.84,14874
1.78,1582869600000,1.78,1.7,1.7,12028
1.75,1583128800000,1.852,1.7,1.8,35799
1.805,1583215200000,1.805,1.71,1.71,19644
1.8639,1583301600000,1.89,1.8252,1.84,30287
1.87,1583388000000,1.87,1.78,1.84,10790
1.76,1583474400000,1.8562,1.76,1.76,5493
1.62,1583730000000,1.7791,1.62,1.76,26322
1.61,1583816400000,1.924,1.61,1.62,37141
1.7125,1583902800000,1.78,1.55,1.6681,28990
1.56,1583989200000,1.69,1.55,1.69,69802
1.57,1584075600000,1.5855,1.57,1.57,15443
1.3526,1584334800000,1.52,1.3526,1.52,29891
1.31,1584421200000,1.42,1.3,1.42,7025
1.14,1584507600000,1.25,1.01,1.25,123722
1.2563,1584594000000,1.43,1.08,1.1373,40123
1.25,1584680400000,1.395,1.2,1.25,12215
1.19,1584939600000,1.2,1.08,1.2,7746
1.3854,1585026000000,1.72,1.23,1.25,12911
1.46,1585112400000,1.5613,1.23,1.4926,11140
1.45,1585198800000,1.55,1.395,1.4,11030
1.32,1585285200000,1.51,1.13,1.51,45860
1.32,1585544400000,1.43,1.32,1.35,9319
1.26,1585630800000,1.5335,1.26,1.37,12675
1.33,1585717200000,1.33,1.2753,1.3,5639
1.28,1585803600000,1.45,1.28,1.38,28388
1.35,1585890000000,1.51,1.265,1.51,16958
1.3,1586149200000,1.4002,1.3,1.31,11766
1.28,1586235600000,1.28,1.25,1.2632,3049
1.2563,1586322000000,1.2808,1.22,1.22,15552
1.27,1586408400000,1.28,1.206,1.206,4465
1.2637,1586754000000,1.28,1.25,1.26,3613
1.2663,1586840400000,1.28,1.2663,1.28,4064
1.244,1586926800000,1.2602,1.2053,1.26,5248
1.16,1587013200000,1.29,1.06,1.2524,32239
1.1297,1587099600000,1.2399,1.05,1.18,39798
1.13,1587358800000,1.24,1.11,1.23,42392
1.18,1587445200000,1.2398,1.14,1.1522,4373
1.15,1587531600000,1.18,1.1101,1.18,2695
1.1535,1587618000000,1.18,1.12,1.12,3560
1.19,1587704400000,1.1908,1.1503,1.18,3428
1.22,1587963600000,1.3,1.17,1.19,20870
1.23,1588050000000,1.26,1.21,1.21,8981
1.27,1588136400000,1.44,1.23,1.23,13809
1.32,1588222800000,1.41,1.32,1.34,20118
1.3464,1588309200000,1.37,1.341,1.37,10640
1.3518,1588568400000,1.4039,1.2616,1.35,10239
1.34,1588654800000,1.38,1.33,1.38,6192
1.3,1588741200000,1.389,1.26,1.2959,44043
