Close,Datetime,High,Low,Open,Volume
4.55,1612958400000,4.98,4.29,4.79,116375
4.13,1612958460000,4.6,4.13,4.55,78282
4.39,1612958520000,4.39,4.13,4.13,55889
4.28,1612958580000,4.39,4.24,4.38,49281
4.41,1612958640000,4.41,4.27,4.29,28207
4.54,1612958700000,4.57,4.4,4.4,26647
4.57,1612958760000,4.6,4.45,4.54,68768
4.58,1612958820000,4.6,4.5,4.58,45194
4.75,1612958880000,4.77,4.58,4.58,44528
5.12,1612958940000,5.18,4.73,4.74,92631
5.08,1612959000000,5.11,4.87,5.11,106026
5.59,1612959060000,5.59,5.07,5.07,178576
5.3,1612959120000,5.69,5.26,5.59,171561
5.24,1612959180000,5.5,5.24,5.3,97292
5.07,1612959240000,5.25,4.88,5.25,109411
5.08,1612959300000,5.2,5.05,5.1,41115
5.13,1612959360000,5.24,5.08,5.08,31394
4.96,1612959420000,5.15,4.9,5.15,93886
5.06,1612959480000,5.06,4.96,4.98,22024
5.04,1612959540000,5.1,4.95,5.09,51280
5.06,1612959600000,5.08,5,5.02,17681
5,1612959660000,5.08,4.97,5.05,19784
5.08,1612959720000,5.1,4.98,5,27111
4.9,1612959780000,5.09,4.9,5.09,17790
4.88,1612959840000,5,4.84,4.9,41608
4.79,1612959900000,4.84,4.75,4.84,52968
4.8,1612959960000,4.81,4.71,4.76,74478
4.75,1612960020000,4.84,4.75,4.84,12122
4.72,1612960080000,4.85,4.59,4.73,60954
4.65,1612960140000,4.74,4.64,4.74,13303
4.51,1612960200000,4.71,4.5,4.65,53891
4.65,1612960260000,4.7,4.5,4.58,24228
4.52,1612960320000,4.62,4.51,4.62,22521
4.52,1612960380000,4.56,4.5,4.55,24383
4.61,1612960440000,4.75,4.52,4.52,45915
4.64,1612960500000,4.67,4.6,4.67,12618
4.63,1612960560000,4.64,4.59,4.64,10811
4.62,1612960620000,4.62,4.59,4.6,9655
4.65,1612960680000,4.67,4.6,4.6,12947
4.85,1612960740000,4.87,4.66,4.67,40690
4.7,1612960800000,4.85,4.66,4.85,25056
4.65,1612960860000,4.69,4.6,4.69,21296
4.69,1612960920000,4.7,4.65,4.66,10194
4.62,1612960980000,4.67,4.62,4.67,11356
4.6,1612961040000,4.62,4.6,4.62,4344
4.5,1612961100000,4.65,4.5,4.62,32326
4.46,1612961160000,4.54,4.4,4.53,38272
4.51,1612961220000,4.51,4.4,4.46,33248
4.52,1612961280000,4.52,4.5,4.51,6712
4.43,1612961340000,4.54,4.43,4.52,11970
4.44,1612961400000,4.46,4.42,4.44,8367
4.49,1612961460000,4.49,4.44,4.44,10557
4.48,1612961520000,4.5,4.48,4.48,3780
4.47,1612961580000,4.53,4.43,4.5,22981
4.34,1612961640000,4.47,4.34,4.47,33960
4.31,1612961700000,4.38,4.31,4.35,15157
4.26,1612961760000,4.35,4.26,4.33,18437
4.3,1612961820000,4.32,4.26,4.26,20661
4.4,1612961880000,4.4,4.32,4.32,8407
4.38,1612961940000,4.45,4.37,4.4,43069
4.28,1612962000000,4.38,4.28,4.36,18946
4.32,1612962060000,4.32,4.24,4.28,48959
4.3,1612962120000,4.33,4.25,4.26,26945
4.33,1612962180000,4.37,4.3,4.34,15047
4.37,1612962240000,4.38,4.32,4.35,31290
4.35,1612962300000,4.38,4.34,4.3799,25559
4.37,1612962360000,4.38,4.35,4.37,6894
4.33,1612962420000,4.38,4.31,4.38,28213
4.3,1612962480000,4.32,4.27,4.32,16970
4.3,1612962540000,4.33,4.28,4.3,15922
4.41,1612962600000,4.41,4.3,4.32,29002
4.53,1612962660000,4.53,4.34,4.34,20589
4.44,1612962720000,4.54,4.44,4.53,10989
4.4201,1612962780000,4.51,4.37,4.48,13625
4.42,1612962840000,4.49,4.41,4.49,9629
4.4,1612962900000,4.42,4.4,4.4,16608
4.4,1612962960000,4.42,4.38,4.4,21501
4.32,1612963020000,4.42,4.32,4.42,18720
4.38,1612963080000,4.38,4.34,4.35,2074
4.41,1612963140000,4.41,4.37,4.38,6992
4.49,1612963200000,4.49,4.42,4.42,19595
4.45,1612963260000,4.5,4.45,4.48,36969
4.48,1612963320000,4.5,4.46,4.49,35030
4.4,1612963380000,4.5,4.4,4.48,90029
4.49,1612963440000,4.49,4.4,4.45,69268
4.5,1612963500000,4.5,4.48,4.5,60084
4.47,1612963560000,4.5,4.42,4.5,40281
4.36,1612963620000,4.45,4.34,4.45,87675
4.34,1612963680000,4.39,4.3,4.39,44251
4.34,1612963740000,4.35,4.26,4.35,47925
4.4,1612963800000,4.4,4.33,4.3301,5465
4.38,1612963860000,4.38,4.35,4.37,17149
4.36,1612963920000,4.38,4.36,4.38,11865
4.38,1612963980000,4.38,4.36,4.36,14033
4.37,1612964040000,4.41,4.33,4.39,22254
4.34,1612964100000,4.39,4.33,4.37,7097
4.35,1612964160000,4.4,4.32,4.35,18062
4.33,1612964220000,4.35,4.3,4.35,42202
4.35,1612964280000,4.35,4.33,4.33,13292
4.39,1612964340000,4.39,4.34,4.35,22218
4.4,1612964400000,4.4,4.38,4.39,10279
4.41,1612964460000,4.42,4.4,4.4,7864
4.45,1612964520000,4.46,4.41,4.41,11014
4.47,1612964580000,4.5,4.45,4.45,38148
4.42,1612964640000,4.47,4.4,4.47,28616
4.44,1612964700000,4.45,4.42,4.44,5205
4.44,1612964760000,4.45,4.4,4.45,5307
4.39,1612964820000,4.44,4.39,4.41,4792
4.38,1612964880000,4.42,4.38,4.39,5421
4.35,1612964940000,4.37,4.35,4.37,12615
4.36,1612965000000,4.36,4.35,4.35,4703
4.37,1612965060000,4.4,4.35,4.38,13098
4.39,1612965120000,4.39,4.36,4.39,9501
4.37,1612965180000,4.38,4.36,4.38,4966
4.37,1612965240000,4.38,4.36,4.37,17633
4.38,1612965300000,4.38,4.35,4.37,14024
4.38,1612965360000,4.39,4.37,4.39,8199
4.39,1612965420000,4.39,4.38,4.38,4714
4.34,1612965480000,4.39,4.33,4.38,90770
4.28,1612965540000,4.34,4.28,4.33,25470
4.31,1612965600000,4.34,4.26,4.28,44694
4.28,1612965660000,4.34,4.26,4.3,38848
4.17,1612965720000,4.28,4.16,4.28,50436
4.1,1612965780000,4.17,4.04,4.1699,120006
4.14,1612965840000,4.15,4.07,4.08,54949
4.11,1612965900000,4.15,4.1,4.15,62412
4.11,1612965960000,4.14,4.11,4.12,29587
4.12,1612966020000,4.13,4.11,4.11,26477
4.12,1612966080000,4.14,4.11,4.12,17795
4.13,1612966140000,4.15,4.1,4.11,28336
4.18,1612966200000,4.2,4.11,4.15,22805
4.24,1612966260000,4.26,4.2,4.2,26061
4.19,1612966320000,4.25,4.18,4.23,20946
4.22,1612966380000,4.23,4.2,4.22,23837
4.2,1612966440000,4.25,4.19,4.23,18235
4.16,1612966500000,4.22,4.16,4.2,19138
4.1,1612966560000,4.17,4.1,4.17,23956
4.14,1612966620000,4.15,4.1,4.11,25831
4.13,1612966680000,4.15,4.13,4.14,16759
4.14,1612966740000,4.14,4.13,4.14,11526
4.06,1612966800000,4.14,4.04,4.14,62144
4.11,1612966860000,4.12,4.06,4.08,11537
4.11,1612966920000,4.12,4.07,4.11,19591
4.12,1612966980000,4.12,4.1,4.11,15824
4.13,1612967040000,4.13,4.11,4.11,7705
4.1,1612967100000,4.14,4.1,4.13,28302
4.12,1612967160000,4.12,4.09,4.09,5134
4.1,1612967220000,4.11,4.09,4.11,5989
4.01,1612967280000,4.1,4.01,4.08,38436
4.02,1612967340000,4.05,4,4.02,16444
3.7399,1612967400000,4.03,3.7,4.01,724337
3.7358,1612967460000,3.75,3.6,3.74,428206
3.8148,1612967520000,3.8999,3.71,3.71,256967
3.705,1612967580000,3.82,3.68,3.8,223446
3.79,1612967640000,3.8,3.7,3.725,182797
3.84,1612967700000,3.85,3.77,3.79,181527
3.6305,1612967760000,3.85,3.62,3.84,255931
3.6718,1612967820000,3.69,3.62,3.63,153681
3.6698,1612967880000,3.7,3.61,3.68,148780
3.61,1612967940000,3.66,3.6,3.65,128767
3.4212,1612968000000,3.65,3.42,3.61,292667
3.5111,1612968060000,3.54,3.41,3.44,301859
3.4911,1612968120000,3.57,3.42,3.51,218667
3.46,1612968180000,3.5,3.43,3.497,101560
3.43,1612968240000,3.5,3.43,3.44,82102
3.49,1612968300000,3.5492,3.4201,3.4201,120056
3.55,1612968360000,3.57,3.47,3.5,119216
3.6799,1612968420000,3.7,3.53,3.542,191434
3.6576,1612968480000,3.7,3.6,3.69,205525
3.6506,1612968540000,3.75,3.65,3.6501,187503
3.6,1612968600000,3.7,3.55,3.7,106562
3.5999,1612968660000,3.63,3.56,3.6,60070
3.54,1612968720000,3.5899,3.5,3.56,108129
3.61,1612968780000,3.61,3.5,3.538,68661
3.5697,1612968840000,3.61,3.52,3.5944,39414
3.62,1612968900000,3.63,3.55,3.57,49954
3.6,1612968960000,3.68,3.6,3.62,111297
3.59,1612969020000,3.66,3.55,3.6496,99748
3.63,1612969080000,3.63,3.55,3.5504,36075
3.57,1612969140000,3.64,3.56,3.6,19184
3.51,1612969200000,3.57,3.5,3.57,73867
3.52,1612969260000,3.54,3.5,3.5229,49331
3.5024,1612969320000,3.53,3.5,3.5,64937
3.535,1612969380000,3.55,3.5,3.51,110529
3.4163,1612969440000,3.5499,3.41,3.5201,188963
3.33,1612969500000,3.43,3.3,3.4148,226021
