Close,Datetime,High,Low,Open,Volume
6.36,1581487200000,6.4,6.24,6.31,92543
6.85,1581573600000,6.98,6.36,6.44,160636
6.55,1581660000000,6.92,6.33,6.85,124346
6.48,1582005600000,6.599,6.35,6.46,61627
6.4,1582092000000,6.52,6.3077,6.52,47996
6.51,1582178400000,6.55,6.29,6.4,52803
6.39,1582264800000,6.6875,6.34,6.47,52710
6.23,1582524000000,6.31,6.1,6.31,81443
5.83,1582610400000,6.2878,5.67,6.2,104437
5.78,1582696800000,5.96,5.71,5.81,37547
5.5,1582783200000,5.7,5.2531,5.67,68335
5.48,1582869600000,5.5101,5.3,5.34,66829
5.44,1583128800000,5.67,5.321,5.53,60405
6.29,1583215200000,6.44,5.36,5.54,209891
6.09,1583301600000,6.45,6.01,6.45,82859
5.72,1583388000000,6.24,5.68,6.03,121732
5.03,1583474400000,5.62,4.9272,5.39,176918
4.56,1583730000000,4.8727,4.5,4.56,101831
5.29,1583816400000,5.52,4.5004,4.8,99952
4.75,1583902800000,5.06,4.56,4.95,128798
4.11,1583989200000,4.6,4.01,4.5,106810
3.64,1584075600000,4.78,3.5209,4.42,131849
3.07,1584334800000,3.48,3.01,3.48,137984
3.2,1584421200000,3.2,2.9203,3.08,119434
3.25,1584507600000,3.7215,3.04,3.08,54186
3.57,1584594000000,3.7326,3.1,3.1,29361
3.49,1584680400000,3.74,3.27,3.61,24354
3.41,1584939600000,3.59,3.26,3.52,26879
3.63,1585026000000,3.69,3.42,3.5,43636
3.73,1585112400000,4.1,3.3869,3.78,110065
3.83,1585198800000,3.95,3.7,3.8,68482
5.07,1585285200000,5.5,3.7595,3.79,728073
4.77,1585544400000,5.2279,4.54,5.18,115675
4.5,1585630800000,4.77,4.2488,4.77,48065
4.15,1585717200000,4.39,4,4.35,54031
4.62,1585803600000,5.15,4.2,4.2,88591
4.9,1585890000000,4.93,4.59,4.62,75191
4.72,1586149200000,5.18,4.5556,5.18,78855
4.6,1586235600000,4.9629,4.545,4.8,46649
4.88,1586322000000,4.95,4.5484,4.72,59565
4.69,1586408400000,4.95,4.633,4.87,46135
5.17,1586754000000,5.62,4.82,4.84,181288
5.27,1586840400000,5.47,5.02,5.3,111031
5.79,1586926800000,6.16,5.28,5.3,388425
5.28,1587013200000,5.9609,5.19,5.8,116530
5.16,1587099600000,5.49,5.15,5.35,65612
5.36,1587358800000,5.59,5.17,5.17,93592
5.27,1587445200000,5.36,5.05,5.36,62813
5.2,1587531600000,5.27,5.02,5.27,70706
5.32,1587618000000,5.532,5.16,5.16,86009
5.73,1587704400000,5.93,5.32,5.32,187112
5.37,1587963600000,5.8408,5.31,5.73,106160
5.22,1588050000000,5.57,5.05,5.44,151102
5.3,1588136400000,5.38,5.1,5.2,91870
5.16,1588222800000,5.346,5.1,5.2708,41696
4.67,1588309200000,5.14,4.53,5.14,116757
4.58,1588568400000,4.64,4.4225,4.59,45501
4.59,1588654800000,4.8175,4.58,4.7,27232
4.62,1588741200000,4.7999,4.3485,4.6,31393
4.69,1588827600000,4.78,4.52,4.74,33122
4.93,1588914000000,5.17,4.69,4.69,62218
5.07,1589173200000,5.101,4.89,4.94,29617
5.28,1589259600000,5.54,5.047,5.06,143124
5.08,1589346000000,5.4583,4.8501,5.4583,55843
5.02,1589432400000,5.1017,4.69,5.1,69543
4.75,1589518800000,5.02,4.67,4.89,66605
5.35,1589778000000,5.57,4.77,5.02,258207
6.04,1589864400000,6.97,5.36,5.48,926987
5.9,1589950800000,6.32,5.577,6.04,225411
5.85,1590037200000,5.99,5.69,5.98,47628
5.46,1590123600000,5.8724,5.25,5.8101,89631
5.5,1590469200000,5.74,5.47,5.47,77119
5.72,1590555600000,5.8467,5.35,5.51,43703
5.55,1590642000000,5.8874,5.463,5.82,59171
5.53,1590728400000,5.68,5.376,5.4628,45808
5.22,1590987600000,5.5,5.02,5.5,93646
5.65,1591074000000,5.65,5.17,5.32,73318
5.5,1591160400000,5.69,5.4775,5.64,47009
5.49,1591246800000,5.79,4.8701,5.42,87043
5.31,1591333200000,5.6,5.21,5.49,39919
5.38,1591592400000,5.66,5.27,5.44,93279
5.68,1591678800000,6.06,5.24,5.42,355437
5.58,1591765200000,5.79,5.4,5.77,54324
5.07,1591851600000,5.5214,5.07,5.26,74220
5.205,1591938000000,5.37,5.01,5.2,45910
5.24,1592197200000,5.36,5.08,5.08,31419
5.21,1592283600000,5.4506,5.01,5.45,37139
5.02,1592370000000,5.275,5.02,5.21,33488
4.98,1592456400000,5.19,4.97,5.01,48689
5.19,1592542800000,5.34,5.03,5.04,77333
5.07,1592802000000,5.48,5.07,5.2,65916
5.04,1592888400000,5.34,5.04,5.15,52142
5.11,1592974800000,5.28,5.0126,5.11,31552
5.18,1593061200000,5.3,5.076,5.1,59091
5.01,1593147600000,5.2,5.01,5.19,56538
5.12,1593406800000,5.21,5.01,5.07,27384
5.05,1593493200000,5.12,5.01,5.1,36437
5.11,1593579600000,5.55,5.01,5.01,135765
5.07,1593666000000,5.28,5.02,5.11,55526
5.15,1594011600000,5.205,5.0301,5.1,31239
5.15,1594098000000,5.25,5.0803,5.15,27657
5.13,1594184400000,5.3059,5.02,5.13,37405
5.2,1594270800000,5.2,5,5.19,58220
5.08,1594357200000,5.21,5.03,5.09,22225
4.97,1594616400000,5.1,4.95,5.1,46478
4.94,1594702800000,4.955,4.8,4.94,64199
5.04,1594789200000,5.2299,4.92,5.0599,57613
5.16,1594875600000,5.2,4.96,4.96,29936
5.49,1594962000000,5.64,5.0901,5.155,177754
5.37,1595221200000,5.55,5.3566,5.55,71305
5.37,1595307600000,5.52,5.27,5.52,59190
5.45,1595394000000,5.5292,5.36,5.36,39097
5.4,1595480400000,5.55,5.3039,5.5,40148
5.04,1595566800000,5.4,5.03,5.4,46697
5.29,1595826000000,5.29,5.05,5.0749,23729
5.29,1595912400000,5.4,5.21,5.23,11449
5.24,1595998800000,5.3,5.15,5.22,35872
5.19,1596085200000,5.22,5.0701,5.14,28757
5.07,1596171600000,5.165,5.05,5.165,21653
5.0671,1596430800000,5.17,5.05,5.05,24427
5.035,1596517200000,5.1,4.98,5.06,30891
5.05,1596603600000,5.1362,4.9928,5.09,20935
5.08,1596690000000,5.08,4.96,5,21000
4.965,1596776400000,5.11,4.92,5.02,29288
4.97,1597035600000,4.9849,4.85,4.94,30399
4.81,1597122000000,4.99,4.8,4.94,52128
4.74,1597208400000,4.89,4.7,4.87,37553
5.5,1597294800000,5.56,4.81,5.1017,281885
4.95,1597381200000,5.6,4.925,5.6,166371
4.75,1597640400000,4.98,4.7,4.98,65842
4.37,1597726800000,4.7806,4.28,4.75,102967
4.24,1597813200000,4.48,4.2058,4.435,38431
3.96,1597899600000,4.23,3.945,4.22,83458
5.16,1597986000000,5.54,3.93,3.93,6154285
4.92,1598245200000,5.11,4.32,4.89,551537
4.6,1598331600000,4.91,4.495,4.91,90908
4.38,1598418000000,4.7099,4.32,4.63,162181
4.32,1598504400000,4.4299,4.15,4.33,79896
4.34,1598590800000,4.3999,4.115,4.3,38109
4.3,1598850000000,4.54,4.27,4.4,61399
3.86,1598936400000,4.3,3.67,4.3,212432
3.99,1599022800000,4.05,3.8,3.83,58904
3.88,1599109200000,4.07,3.81,3.91,49950
3.85,1599195600000,3.9098,3.67,3.81,29194
3.86,1599541200000,3.925,3.7244,3.75,14472
3.94,1599627600000,3.98,3.87,3.88,16677
4.09,1599714000000,4.14,3.9,3.9,79387
3.89,1599800400000,4.17,3.84,4.1,46204
4.11,1600059600000,4.21,3.8,3.88,63894
4.32,1600146000000,4.409,4.1306,4.15,48863
4.11,1600232400000,4.57,4.1001,4.39,97269
4.25,1600318800000,4.31,4.1,4.11,32128
4.44,1600405200000,4.82,4.1,4.32,698008
4.27,1600664400000,4.4,4.06,4.4,121274
4.11,1600750800000,4.26,4.11,4.24,22074
3.9968,1600837200000,4.15,3.98,4.1,25957
3.95,1600923600000,4.075,3.88,3.92,27692
4.11,1601010000000,4.21,3.8252,3.95,38839
4.19,1601269200000,4.3,3.97,4.1,44575
4.32,1601355600000,4.33,4.2,4.22,19879
4.24,1601442000000,4.5,4.24,4.34,65847
4.34,1601528400000,4.4734,4.21,4.26,17907
4.14,1601614800000,4.34,4.09,4.19,22189
4.23,1601874000000,4.3555,4.1,4.3555,41535
