Close,Datetime,High,Low,Open,Volume
5.49,1612958400000,5.55,5.18,5.18,3007
5.54,1612958460000,5.54,5.54,5.54,200
5.54,1612958580000,5.54,5.49,5.54,1690
5.72,1612958640000,5.72,5.54,5.54,1239
5.62,1612958700000,5.62,5.62,5.62,100
5.52,1612958760000,5.6,5.52,5.6,350
5.5,1612958820000,5.6,5.5,5.52,1050
5.5,1612958880000,5.52,5.5,5.5,387
5.5,1612958940000,5.5,5.5,5.5,1500
5.62,1612959000000,5.62,5.51,5.51,2380
5.7,1612959060000,5.7,5.63,5.63,200
5.7,1612959120000,5.7,5.63,5.64,850
5.9,1612959180000,5.9,5.78,5.78,2450
6.42,1612959240000,6.42,5.9,5.91,6991
6.76,1612959300000,7.25,6.4,6.42,23296
7.39,1612959360000,7.5,6.71,6.76,18617
8.44,1612959420000,9,7.12,7.12,32329
10.49,1612959480000,10.49,8.4,8.45,77249
10.72,1612959540000,11.19,9.65,10.44,74661
9.59,1612959600000,11.17,9.02,11.17,77943
9.4,1612959660000,9.75,9.15,9.64,50497
9.35,1612959720000,9.5,9.15,9.42,31971
8.6,1612959780000,9.37,8.6,9.37,76214
8.33,1612959840000,8.9,8.33,8.64,51707
8.3,1612959900000,8.55,8.18,8.34,32834
8.5,1612959960000,8.5,8.18,8.3,33908
8.46,1612960020000,8.65,8.33,8.48,43063
8.27,1612960080000,8.58,8.15,8.48,27024
7.87,1612960140000,8.28,7.8,8.27,47555
7.99,1612960200000,8,7.75,7.83,27872
8.1,1612960260000,8.18,7.96,7.99,17953
7.94,1612960320000,8.16,7.94,8.1,14104
7.76,1612960380000,7.93,7.72,7.93,17857
7.7,1612960440000,7.8,7.53,7.77,24333
7.7,1612960500000,7.7,7.66,7.68,11865
7.97,1612960560000,8,7.53,7.7,25463
8.19,1612960620000,8.3,7.98,7.99,46306
8.15,1612960680000,8.35,8.05,8.3,20642
8.16,1612960740000,8.25,8.1,8.14,12955
8.35,1612960800000,8.439,8.11,8.19,23778
8.25,1612960860000,8.46,8.21,8.35,19782
8,1612960920000,8.25,7.93,8.25,24499
7.97,1612960980000,8.11,7.96,7.98,6260
7.84,1612961040000,8.01,7.84,7.97,8647
7.9,1612961100000,7.9,7.8,7.82,7546
7.82,1612961160000,7.89,7.8,7.89,2899
7.84,1612961220000,7.85,7.82,7.82,1371
