Close,Datetime,High,Low,Open,Volume
11.17,1613053800000,11.48,11.15,11.4,60508
10.9847,1613053860000,11.158,10.85,11.158,76341
10.9001,1613053920000,11.145,10.9,10.9611,15197
10.9,1613053980000,11,10.83,11,15636
10.7899,1613054040000,10.88,10.61,10.88,24558
10.81,1613054100000,10.9,10.66,10.66,31047
10.7591,1613054160000,10.97,10.7,10.8731,17580
10.5001,1613054220000,10.78,10.5001,10.76,35944
10.61,1613054280000,10.8,10.5,10.5,33387
10.5,1613054340000,10.625,10.5,10.6,15733
10.1532,1613054400000,10.52,10.15,10.52,45203
10.3108,1613054460000,10.5,10.1833,10.22,41418
10.5,1613054520000,10.5,10.2883,10.2883,30794
10.3676,1613054580000,10.52,10.3676,10.5,6129
10.2701,1613054640000,10.4457,10.2601,10.37,25660
10.3104,1613054700000,10.5,10.305,10.305,18929
10.4,1613054760000,10.42,10.3,10.34,15801
10.3,1613054820000,10.42,10.15,10.4,16748
10.0622,1613054880000,10.3,10.06,10.29,27279
10,1613054940000,10.06,9.8601,10.06,57807
10.12,1613055000000,10.12,9.99,9.99,24094
10.1599,1613055060000,10.18,10.0387,10.1161,17512
9.99,1613055120000,10.1599,9.75,10.12,27700
9.951,1613055180000,10,9.8666,10,17202
9.6317,1613055240000,9.95,9.63,9.95,20208
9.5,1613055300000,9.745,9.25,9.7199,49313
9.565,1613055360000,9.579,9.35,9.5,43601
9.53,1613055420000,9.7,9.53,9.5933,25923
9.45,1613055480000,9.6,9.4101,9.5539,12222
9.48,1613055540000,9.55,9.41,9.44,16108
9.39,1613055600000,9.45,9.37,9.41,18952
9.3664,1613055660000,9.39,9.3,9.39,20611
9.37,1613055720000,9.37,9.3,9.35,18602
9.5407,1613055780000,9.5998,9.33,9.3664,34879
9.64,1613055840000,9.64,9.54,9.55,19473
9.6596,1613055900000,9.7,9.6,9.6234,18119
9.63,1613055960000,9.72,9.55,9.6556,8895
9.585,1613056020000,9.6199,9.55,9.58,2700
9.52,1613056080000,9.62,9.5005,9.59,5956
9.54,1613056140000,9.59,9.5,9.54,8194
9.535,1613056200000,9.55,9.5,9.5399,17617
9.52,1613056260000,9.54,9.5,9.54,3402
9.55,1613056320000,9.55,9.52,9.53,6008
9.5099,1613056380000,9.55,9.45,9.5475,11464
9.53,1613056440000,9.53,9.4634,9.47,6743
9.52,1613056500000,9.54,9.51,9.54,2200
9.4511,1613056560000,9.52,9.32,9.5114,13505
9.32,1613056620000,9.46,9.3,9.46,12993
9.275,1613056680000,9.35,9.26,9.3001,11969
9.4,1613056740000,9.4,9.26,9.28,19039
9.415,1613056800000,9.5,9.38,9.4,22353
9.4847,1613056860000,9.5,9.3589,9.3589,3868
9.425,1613056920000,9.4746,9.41,9.4746,5632
9.46,1613056980000,9.48,9.41,9.41,2208
9.36,1613057040000,9.4599,9.36,9.4,9821
9.3,1613057100000,9.45,9.3,9.45,4802
9.2056,1613057160000,9.3,9.2,9.2981,17833
9.1101,1613057220000,9.25,9.11,9.25,14013
9.215,1613057280000,9.23,9.092,9.165,28243
9.42,1613057340000,9.4291,9.1308,9.2,27300
9.312,1613057400000,9.449,9.22,9.42,12351
9.4,1613057460000,9.41,9.2861,9.41,1800
9.4,1613057520000,9.4,9.2701,9.2801,27858
9.42,1613057580000,9.42,9.3001,9.3884,13217
9.3301,1613057640000,9.45,9.32,9.4432,3218
9.335,1613057700000,9.3999,9.32,9.3985,5836
9.41,1613057760000,9.45,9.33,9.33,19151
9.4,1613057820000,9.4899,9.38,9.44,7471
9.4133,1613057880000,9.45,9.4025,9.4386,2918
9.425,1613057940000,9.49,9.39,9.4,8014
9.44,1613058000000,9.48,9.4126,9.4369,4870
9.45,1613058060000,9.45,9.4046,9.44,5224
9.48,1613058120000,9.48,9.404,9.44,8407
9.47,1613058180000,9.48,9.4201,9.48,1000
9.44,1613058240000,9.464,9.35,9.435,6250
9.4352,1613058300000,9.455,9.37,9.4467,4400
9.37,1613058360000,9.4329,9.37,9.41,2603
9.3,1613058420000,9.4,9.3,9.398,15708
9.2543,1613058480000,9.3747,9.25,9.35,35246
9.26,1613058540000,9.38,9.26,9.3,2816
9.35,1613058600000,9.35,9.27,9.28,3374
9.3036,1613058660000,9.35,9.28,9.34,1925
9.2927,1613058720000,9.3281,9.2701,9.3,2810
9.219,1613058780000,9.285,9.2,9.285,6143
9.3,1613058840000,9.34,9.2,9.2,2980
9.2965,1613058900000,9.34,9.28,9.34,1375
9.2529,1613058960000,9.2917,9.2501,9.26,2246
9.257,1613059020000,9.26,9.24,9.2545,2599
9.3,1613059080000,9.3,9.25,9.26,1261
9.2962,1613059140000,9.31,9.25,9.31,2743
9.2528,1613059200000,9.34,9.25,9.29,3844
9.34,1613059260000,9.34,9.25,9.2788,4000
9.46,1613059320000,9.47,9.32,9.3399,7937
9.45,1613059380000,9.53,9.45,9.47,17527
9.46,1613059440000,9.5,9.455,9.475,13747
9.5,1613059500000,9.51,9.44,9.455,3147
9.519,1613059560000,9.52,9.4605,9.4605,1747
9.515,1613059620000,9.52,9.5,9.5001,3818
9.5966,1613059680000,9.5966,9.51,9.51,10626
9.62,1613059740000,9.66,9.57,9.57,8980
9.61,1613059800000,9.62,9.59,9.61,7612
9.52,1613059860000,9.65,9.52,9.5935,5167
9.55,1613059920000,9.58,9.52,9.5201,2550
9.5799,1613059980000,9.58,9.559,9.58,1843
9.58,1613060040000,9.65,9.57,9.5701,1763
9.5801,1613060100000,9.6493,9.58,9.58,3320
9.64,1613060160000,9.64,9.62,9.6273,1181
9.6201,1613060220000,9.67,9.62,9.6441,3022
9.6851,1613060280000,9.686,9.6001,9.635,10686
9.6301,1613060340000,9.7,9.6201,9.6201,4705
9.656,1613060400000,9.69,9.6005,9.66,11652
9.6454,1613060460000,9.66,9.6454,9.66,906
9.58,1613060520000,9.7,9.58,9.65,9953
9.6896,1613060580000,9.6997,9.6,9.6,10750
9.6899,1613060640000,9.69,9.63,9.68,1060
9.545,1613060700000,9.64,9.5,9.64,11132
9.555,1613060760000,9.6199,9.55,9.6199,1802
9.35,1613060820000,9.5,9.33,9.5,8886
9.3294,1613060880000,9.4499,9.2701,9.4499,16121
9.331,1613060940000,9.35,9.3,9.3,12491
9.3106,1613061000000,9.4,9.3,9.37,12444
9.344,1613061060000,9.375,9.32,9.3547,9074
9.3501,1613061120000,9.41,9.35,9.35,1290
9.39,1613061180000,9.41,9.35,9.41,3886
9.48,1613061240000,9.48,9.38,9.395,3905
9.4654,1613061300000,9.47,9.41,9.44,2100
9.45,1613061360000,9.48,9.41,9.434,3484
9.45,1613061420000,9.45,9.41,9.45,7151
9.42,1613061480000,9.435,9.42,9.435,3520
9.353,1613061540000,9.36,9.35,9.36,4136
9.3197,1613061600000,9.36,9.3,9.36,6444
9.25,1613061660000,9.3037,9.2312,9.3037,14147
9.3,1613061720000,9.3,9.22,9.23,3879
9.3152,1613061780000,9.35,9.25,9.3,7479
9.3887,1613061840000,9.4232,9.315,9.315,6828
9.2801,1613061900000,9.4499,9.28,9.4,4023
9.37,1613061960000,9.37,9.28,9.28,2105
9.39,1613062020000,9.39,9.33,9.33,5603
9.45,1613062080000,9.45,9.3901,9.3901,525
9.4,1613062140000,9.5,9.4,9.43,4376
9.3523,1613062200000,9.4,9.33,9.4,2473
9.35,1613062260000,9.35,9.305,9.3445,1075
9.3,1613062320000,9.35,9.3,9.35,4609
9.32,1613062380000,9.37,9.2901,9.2901,2900
9.4215,1613062440000,9.43,9.2702,9.32,8170
9.34,1613062500000,9.37,9.2502,9.37,9652
9.2875,1613062560000,9.41,9.23,9.41,7072
9.1945,1613062620000,9.23,9.1,9.23,12347
9.13,1613062680000,9.1854,9.13,9.1854,6052
9.13,1613062740000,9.15,9.11,9.12,6624
9.045,1613062800000,9.13,9,9.13,12560
9.0101,1613062860000,9.1,9,9.08,5783
9.01,1613062920000,9.0946,9,9.02,10857
8.9499,1613062980000,9.0498,8.87,9.0165,11070
8.87,1613063040000,9,8.87,8.95,12384
8.9434,1613063100000,8.97,8.87,8.905,13497
8.9,1613063160000,8.9299,8.8997,8.9,4110
8.9695,1613063220000,8.9695,8.9101,8.92,7162
8.93,1613063280000,8.96,8.9,8.9401,4526
8.9799,1613063340000,9,8.92,8.9556,4678
8.93,1613063400000,8.98,8.91,8.98,4101
8.95,1613063460000,8.95,8.93,8.93,500
8.94,1613063520000,8.98,8.94,8.98,990
8.96,1613063580000,8.96,8.9558,8.9558,650
8.945,1613063640000,8.9657,8.93,8.959,1750
8.91,1613063700000,8.9591,8.901,8.9591,5853
8.9,1613063760000,8.92,8.9,8.9,2648
8.88,1613063820000,8.955,8.88,8.92,10978
8.85,1613063880000,8.95,8.8,8.95,10797
8.76,1613063940000,8.86,8.76,8.85,10971
8.78,1613064000000,8.8,8.7142,8.7958,10629
8.75,1613064060000,8.7765,8.7101,8.7765,7065
8.74,1613064120000,8.8,8.715,8.715,5683
8.69,1613064180000,8.72,8.62,8.71,11925
8.6555,1613064240000,8.67,8.65,8.6533,7632
8.6,1613064300000,8.65,8.595,8.65,15452
8.62,1613064360000,8.65,8.6,8.6,5115
8.65,1613064420000,8.66,8.61,8.61,3960
8.6699,1613064480000,8.7,8.64,8.64,2889
8.68,1613064540000,8.7499,8.65,8.66,5349
8.6954,1613064600000,8.7,8.664,8.665,2020
8.665,1613064660000,8.68,8.631,8.68,7224
8.66,1613064720000,8.7,8.656,8.6737,3734
8.6699,1613064780000,8.68,8.63,8.665,6279
8.6577,1613064840000,8.6577,8.6,8.651,6768
8.665,1613064900000,8.6985,8.62,8.66,3617
8.745,1613064960000,8.7799,8.675,8.675,3732
8.82,1613065020000,8.82,8.745,8.745,5950
8.8799,1613065080000,8.88,8.77,8.82,17649
8.87,1613065140000,8.87,8.7801,8.83,4600
8.8671,1613065200000,8.8671,8.78,8.845,3469
8.8175,1613065260000,8.82,8.79,8.7901,2424
8.84,1613065320000,8.84,8.78,8.8199,9601
8.83,1613065380000,8.85,8.79,8.8,1790
8.88,1613065440000,8.88,8.86,8.86,2950
8.8201,1613065500000,8.94,8.8201,8.8401,3831
8.95,1613065560000,8.95,8.8734,8.88,750
8.8201,1613065620000,8.94,8.8201,8.88,1220
8.855,1613065680000,8.9,8.82,8.8984,5439
8.8701,1613065740000,8.91,8.84,8.88,2559
8.8296,1613065800000,8.926,8.82,8.926,2683
8.74,1613065860000,8.82,8.74,8.82,2745
8.78,1613065920000,8.78,8.7437,8.7437,3744
8.82,1613065980000,8.83,8.7977,8.8,2055
8.8799,1613066040000,8.93,8.8201,8.8201,18621
8.87,1613066100000,8.8748,8.82,8.8748,1400
8.845,1613066160000,8.88,8.8233,8.85,2050
8.8501,1613066220000,8.87,8.8201,8.8201,3628
8.93,1613066280000,8.93,8.8301,8.89,2874
8.8754,1613066340000,8.97,8.8501,8.9399,5405
8.89,1613066400000,8.91,8.82,8.8701,4413
8.9,1613066460000,8.9,8.8797,8.9,1233
8.87,1613066520000,8.8999,8.87,8.8999,402
8.91,1613066580000,8.92,8.87,8.87,5870
8.912,1613066640000,8.9429,8.8701,8.9429,770
8.94,1613066700000,8.95,8.875,8.875,2474
9,1613066760000,9,8.9275,8.9275,1966
8.9999,1613066820000,9,8.9101,8.955,1200
8.9999,1613066880000,9,8.9954,9,2950
9,1613066940000,9,8.96,8.97,1200
9.09,1613067000000,9.13,9,9,13792
9.1,1613067060000,9.1798,9.07,9.12,8618
9.11,1613067120000,9.11,9.07,9.1,3995
9.0701,1613067180000,9.1055,9.0201,9.1055,3737
9.077,1613067240000,9.1105,9.07,9.074,4380
9.01,1613067300000,9.08,9.01,9.065,2800
9.0131,1613067420000,9.0131,9.01,9.01,1179
9.0399,1613067480000,9.0399,9.025,9.025,291
9.02,1613067540000,9.04,9.02,9.04,2246
8.94,1613067600000,9.01,8.87,9.01,9415
8.8806,1613067660000,8.94,8.88,8.882,8377
8.9399,1613067720000,8.9399,8.88,8.8838,3460
8.94,1613067780000,8.94,8.89,8.94,3186
9.02,1613067840000,9.03,8.9,8.9,8216
9.07,1613067900000,9.09,9.025,9.0313,1307
9.045,1613067960000,9.07,9.0201,9.07,2100
9.03,1613068020000,9.05,9,9.05,2852
9.0095,1613068080000,9.02,9.004,9.02,2200
9.1,1613068140000,9.1,9.02,9.02,2970
9.09,1613068200000,9.09,9.05,9.05,1800
9.17,1613068260000,9.17,9.05,9.075,7347
9.17,1613068320000,9.17,9.135,9.1665,650
9.1699,1613068380000,9.17,9.13,9.13,4450
9.32,1613068440000,9.32,9.155,9.1669,22598
9.27,1613068500000,9.3199,9.1578,9.2756,798
9.19,1613068560000,9.2616,9.19,9.225,1950
9.1701,1613068620000,9.19,9.15,9.19,3036
9.35,1613068680000,9.35,9.2394,9.24,4403
9.296,1613068740000,9.3399,9.2958,9.2958,2865
9.26,1613068800000,9.2999,9.21,9.2999,4921
9.26,1613068860000,9.26,9.2148,9.26,700
9.24,1613068920000,9.26,9.215,9.26,1896
9.25,1613068980000,9.28,9.2301,9.26,2400
9.27,1613069040000,9.28,9.25,9.27,1053
9.21,1613069100000,9.27,9.21,9.27,5050
9.215,1613069160000,9.215,9.21,9.21,740
9.2,1613069220000,9.22,9.2,9.21,4499
9.1501,1613069280000,9.1596,9.1501,9.1596,2100
9.04,1613069340000,9.18,9.04,9.1508,4512
9.14,1613069400000,9.1499,9.14,9.1499,300
9.08,1613069460000,9.1099,9.08,9.1099,302
9.045,1613069520000,9.06,9.045,9.06,2633
9.0233,1613069580000,9.08,9.0101,9.0101,1264
8.975,1613069640000,9.0443,8.93,9.0443,6022
9.05,1613069700000,9.05,9,9,5340
9.029,1613069760000,9.05,9.029,9.0499,1000
9.16,1613069820000,9.16,9.086,9.1,1900
9.21,1613069880000,9.23,9.1168,9.1168,1050
9.15,1613069940000,9.2,9.1008,9.1008,3100
9.13,1613070000000,9.13,9.09,9.09,518
9.045,1613070120000,9.09,9.045,9.09,1751
9.0532,1613070240000,9.09,9.0532,9.07,852
9.0501,1613070300000,9.06,9.05,9.06,600
9.06,1613070360000,9.06,9.06,9.06,492
9.07,1613070420000,9.07,9.0633,9.07,1674
9.0795,1613070480000,9.08,9.07,9.08,3861
9.08,1613070540000,9.08,9.0757,9.0757,1900
9.07,1613070600000,9.08,9.07,9.075,1942
9.13,1613070660000,9.18,9.08,9.08,1600
9.15,1613070720000,9.2,9.07,9.13,3700
9.15,1613070780000,9.2,9.15,9.1501,18435
9.2,1613070840000,9.2,9.1482,9.1482,600
9.1945,1613070900000,9.1945,9.1945,9.1945,348
9.15,1613070960000,9.2,9.137,9.137,3948
9.15,1613071020000,9.2,9.15,9.19,400
9.14,1613071080000,9.19,9.14,9.19,609
9.18,1613071140000,9.18,9.18,9.18,400
9.15,1613071200000,9.18,9.14,9.18,1794
9.18,1613071260000,9.18,9.16,9.18,1350
9.23,1613071320000,9.23,9.16,9.17,1200
9.18,1613071380000,9.21,9.16,9.18,3279
9.27,1613071440000,9.27,9.18,9.19,1400
9.29,1613071500000,9.29,9.204,9.204,2500
9.32,1613071560000,9.32,9.28,9.28,250
9.2,1613071620000,9.32,9.16,9.32,14632
9.19,1613071680000,9.1989,9.1601,9.1601,3181
9.2,1613071740000,9.2,9.1999,9.2,1812
9.18,1613071800000,9.24,9.1701,9.1753,496
9.17,1613071860000,9.24,9.17,9.24,595
9.205,1613071920000,9.205,9.18,9.18,5200
9.2,1613071980000,9.2,9.1985,9.2,1000
9.03,1613072040000,9.17,9.03,9.17,3683
9.01,1613072160000,9.08,9.01,9.06,12085
9,1613072220000,9.01,8.95,9.01,5660
9,1613072280000,9,9,9,1227
9.08,1613072400000,9.08,9.04,9.08,400
9.0797,1613072460000,9.08,9.05,9.05,800
9.0787,1613072520000,9.15,9.0787,9.12,10830
9.116,1613072700000,9.2,9.116,9.135,500
9.2,1613072760000,9.21,9.18,9.19,7598
9.25,1613072820000,9.25,9.25,9.25,100
9.225,1613072880000,9.225,9.225,9.225,2000
9.225,1613072940000,9.25,9.225,9.25,2600
9.25,1613073000000,9.25,9.25,9.25,100
9.2396,1613073060000,9.24,9.2396,9.24,2300
9.18,1613073180000,9.23,9.18,9.19,1058
9.18,1613073240000,9.23,9.18,9.22,2400
9.145,1613073360000,9.18,9.11,9.145,5547
9.185,1613073420000,9.22,9.123,9.1584,1944
9.17,1613073480000,9.19,9.17,9.18,600
9.1798,1613073540000,9.1798,9.1795,9.1795,900
9.24,1613073600000,9.25,9.1799,9.18,4787
9.24,1613073660000,9.24,9.18,9.18,1100
9.23,1613073720000,9.23,9.23,9.23,100
9.23,1613073780000,9.23,9.23,9.23,100
9.22,1613073840000,9.23,9.22,9.22,1708
9.22,1613073900000,9.2394,9.22,9.2394,1237
9.2,1613073960000,9.2,9.1001,9.19,6798
9.2,1613074020000,9.205,9.2,9.205,710
9.16,1613074080000,9.18,9.1046,9.11,840
9.14,1613074140000,9.18,9.13,9.1799,1154
9.14,1613074200000,9.14,9.13,9.13,958
9.13,1613074260000,9.16,9.12,9.13,5625
9.1052,1613074320000,9.145,9.1052,9.12,3055
9.1199,1613074380000,9.17,9.11,9.1652,842
9.16,1613074440000,9.16,9.13,9.155,1116
9.19,1613074500000,9.19,9.12,9.12,3100
9.1985,1613074560000,9.2,9.1701,9.19,11147
9.29,1613074620000,9.29,9.1901,9.23,3440
9.2905,1613074680000,9.3232,9.255,9.3232,5715
9.29,1613074740000,9.315,9.29,9.315,1100
9.35,1613074800000,9.35,9.2624,9.2624,2787
9.325,1613074860000,9.35,9.2601,9.2601,11683
9.35,1613074920000,9.35,9.32,9.32,400
9.34,1613074980000,9.35,9.28,9.35,2535
9.31,1613075040000,9.33,9.31,9.33,500
9.27,1613075100000,9.27,9.27,9.27,100
