Close,Datetime,High,Low,Open,Volume
77.58,1582005600000,78.86,77.51,78.61,10364196
78.05,1582092000000,78.39,77.62,77.87,9145241
78.22,1582178400000,78.695,77.31,77.66,11763378
76.44,1582264800000,77.96,76.15,77.56,14020006
72.53,1582524000000,74.05,72.44,73.38,21096233
69.43,1582610400000,73.21,69,72.63,27451032
68.18,1582696800000,70.61,68.16,70.02,25579944
64.45,1582783200000,66.885,64.4,66.1,34656830
63.46,1582869600000,64.45,61.34,62,46029788
67.59,1583128800000,67.61,63.12,63.85,29006418
65.05,1583215200000,68.43,64.47,67.86,29547744
67.39,1583301600000,67.52,64.3632,66.05,24188500
63.49,1583388000000,65.12,63.01,64.8,27277560
61.28,1583474400000,62.31,59.74,60.46,29916593
51.37,1583730000000,55.61,51,54.31,35625570
55.58,1583816400000,55.7,51.5,54.73,32527538
50.79,1583902800000,54.33,50.02,53.95,36731404
43.26,1583989200000,49,42.82,45.3,45941590
51.04,1584075600000,51.24,45.31,47.82,40519843
41.19,1584334800000,45.23,39.57,40.49,35133764
40.25,1584421200000,43.98,38.8,42,51650016
36.43,1584507600000,37.99,32,37.06,48351376
39.64,1584594000000,41.24,34.2,35.47,43397147
38.06,1584680400000,40.99,37.2,40.46,38163900
35.39,1584939600000,38.15,34.62,37.55,33013303
40.66,1585026000000,40.92,37.34,37.65,34100579
41.86,1585112400000,44.7,39.43,42.31,38211105
46.02,1585198800000,46.29,43,43.68,31566032
43.8,1585285200000,45.5,43,44.13,25484515
44.08,1585544400000,44.26,41.57,44.05,27459001
42.12,1585630800000,44.225,41.65,43.63,26219109
38.51,1585717200000,40.25,38,39.14,29219521
39.23,1585803600000,39.66,37.3,38.36,29532135
37.49,1585890000000,39.46,36.67,39,25327087
41.12,1586149200000,41.335,39.51,39.8,30064673
41.25,1586235600000,45.59,41.12,44.81,35220739
44.26,1586322000000,44.445,41.9693,42.85,32944829
47.41,1586408400000,49.22,46.365,46.94,43659221
46.68,1586754000000,47.57,45.27,47.5,27944323
45.42,1586840400000,47.74,43.525,47.66,40466175
42.86,1586926800000,44.27,42.61,43.37,32248988
40.52,1587013200000,42.84,40.1,42.71,37756002
45.45,1587099600000,45.62,42.65,43.15,41252949
44.01,1587358800000,45.44,42.885,43.395,33471942
41.57,1587445200000,43.11,41.07,42.35,35336163
42.24,1587531600000,43.12,41.85,43,21911584
42.46,1587618000000,43.74,42.26,42.65,23970687
43.1,1587704400000,43.34,41.73,43,26310348
46.56,1587963600000,46.82,43.73,44.17,30929200
47.21,1588050000000,49.59,46.93,48.94,28973276
50.26,1588136400000,50.65,48.455,49.7,32941087
48.56,1588222800000,49.77,48.04,49.07,28687029
45.52,1588309200000,46.47,45.22,46.31,28078944
45.12,1588568400000,45.36,43.98,45.03,26340199
43.95,1588654800000,46.35,43.92,46.3,27342878
42.95,1588741200000,45.02,42.72,44.49,25028023
44.64,1588827600000,45.16,43.4375,43.52,29849053
46.32,1588914000000,46.42,45.26,45.32,22919094
44.07,1589173200000,45.25,43.81,45.21,34765225
42.35,1589259600000,44.69,42.32,44.39,33328252
40.6,1589346000000,42.2,40.23,42,35350610
42.06,1589432400000,42.1,38.76,39.99,40976448
41.92,1589518800000,42.45,41.1,41.58,28494867
45.67,1589778000000,45.91,43.49,44.05,39406071
44.43,1589864400000,45.79,44.21,45.27,27271584
45.47,1589950800000,46.28,45.22,45.57,23841345
45,1590037200000,45.79,44.782,45.17,21698324
44.1,1590123600000,45.045,43.69,44.77,22631719
48.17,1590469200000,48.9,45.98,46.2,34429307
52.26,1590555600000,52.39,49.86,51.68,43660514
49.16,1590642000000,53.01,49.11,52.99,38022028
47.91,1590728400000,49.48,47.56,48.02,35900474
49.45,1590987600000,49.68,47.82,48.14,22886527
50.84,1591074000000,51.29,50.16,50.71,27651298
53.34,1591160400000,53.76,52.42,52.56,33341763
55.65,1591246800000,55.69,52.61,53.3,33083512
