Close,Datetime,High,Low,Open,Volume
3.3959,1612535400000,3.46,3.39,3.41,407268
3.3986,1612535460000,3.439,3.38,3.4,95693
3.295,1612535520000,3.4,3.27,3.39,164356
3.1099,1612535580000,3.2978,3.1,3.2851,295427
3.15,1612535640000,3.15,3.1,3.1014,87225
3.1508,1612535700000,3.167,3.1,3.135,125702
3.18,1612535760000,3.19,3.15,3.1547,31261
3.1255,1612535820000,3.19,3.1,3.185,80464
3.1,1612535880000,3.15,3.1,3.1,72398
3.12,1612535940000,3.14,3.1,3.13,51963
3.03,1612536000000,3.12,3.03,3.12,117788
3.06,1612536060000,3.08,3.03,3.0304,77543
3.0699,1612536120000,3.09,3.05,3.067,57238
3.0035,1612536180000,3.07,3,3.0614,169206
2.74,1612536240000,3.01,2.7139,3.0001,304618
2.81,1612536300000,2.83,2.7216,2.7216,259336
2.91,1612536360000,2.92,2.78,2.81,110944
2.9119,1612536420000,2.94,2.87,2.91,81682
2.91,1612536480000,2.94,2.8989,2.91,39949
2.9319,1612536540000,2.94,2.91,2.9184,32111
3.01,1612536600000,3.02,2.9314,2.94,120263
3.045,1612536660000,3.08,3.001,3.005,101759
3.04,1612536720000,3.05,3.01,3.0499,32442
3.0399,1612536780000,3.04,3.0291,3.04,37160
3.0378,1612536840000,3.04,3.03,3.0319,12657
3.03,1612536900000,3.04,3.03,3.0311,7461
3.01,1612536960000,3.035,3.01,3.035,21537
2.9501,1612537020000,3.02,2.95,3.0186,80945
2.9511,1612537080000,2.96,2.94,2.9581,32201
2.98,1612537140000,3,2.955,2.955,23546
2.9619,1612537200000,2.99,2.9619,2.985,17439
2.965,1612537260000,2.97,2.95,2.969,27368
2.9699,1612537320000,2.97,2.96,2.967,32008
2.96,1612537380000,2.97,2.96,2.96,9139
2.9991,1612537440000,3,2.96,2.961,59512
3.055,1612537500000,3.06,2.9999,3,67754
3.05,1612537560000,3.06,3.05,3.05,33407
3.055,1612537620000,3.07,3.0401,3.055,31261
3.0901,1612537680000,3.0901,3.05,3.05,19162
3.11,1612537740000,3.11,3.09,3.0976,29082
3.115,1612537800000,3.12,3.105,3.105,14841
3.16,1612537860000,3.16,3.1177,3.12,18038
3.17,1612537920000,3.17,3.14,3.16,25787
3.1716,1612537980000,3.19,3.1609,3.1648,59633
3.03,1612538040000,3.1789,3.01,3.1789,102538
3.0622,1612538100000,3.08,3.0299,3.03,19468
3.05,1612538160000,3.08,3.04,3.0601,35955
3.0378,1612538220000,3.06,3.021,3.06,25504
2.9901,1612538280000,3.0401,2.99,3.04,36839
2.989,1612538340000,2.9999,2.98,2.9999,12694
2.9811,1612538400000,2.99,2.98,2.9883,20097
2.9797,1612538460000,2.99,2.9716,2.9881,9705
2.98,1612538520000,2.99,2.97,2.98,20053
3,1612538580000,3,2.97,2.9999,27645
3.005,1612538640000,3.02,3,3.0098,10260
3.0189,1612538700000,3.03,3.0014,3.0091,8005
3.035,1612538760000,3.04,3.02,3.02,14907
3.04,1612538820000,3.05,3.03,3.04,15009
3.075,1612538880000,3.09,3.0319,3.0319,44484
3.103,1612538940000,3.13,3.0798,3.08,34108
3.109,1612539000000,3.13,3.1,3.12,30283
3.12,1612539060000,3.125,3.11,3.1199,15338
3.13,1612539120000,3.13,3.11,3.11,11274
3.1101,1612539180000,3.13,3.11,3.1201,23790
3.1015,1612539240000,3.12,3.1,3.12,13954
3.12,1612539300000,3.13,3.1,3.12,6144
3.125,1612539360000,3.15,3.1071,3.1198,20106
3.07,1612539420000,3.1213,3.05,3.1213,27920
3.0181,1612539480000,3.07,3.01,3.0687,29652
3,1612539540000,3.0233,2.99,3.0108,47167
2.9763,1612539600000,3,2.96,2.9989,21590
3.03,1612539660000,3.03,2.97,2.97,46530
3.01,1612539720000,3.02,3.0081,3.0162,5269
3.02,1612539780000,3.02,3,3.0042,14108
3.0398,1612539840000,3.04,3.016,3.02,3730
3.0599,1612539900000,3.06,3.0301,3.059,22525
3.099,1612539960000,3.0993,3.055,3.06,11282
3.11,1612540020000,3.12,3.1,3.1,13225
3.075,1612540080000,3.11,3.0701,3.1004,25912
3.0709,1612540140000,3.09,3.07,3.07,9898
3.085,1612540200000,3.09,3.07,3.07,4744
3.0737,1612540260000,3.09,3.04,3.0881,15421
3.0501,1612540320000,3.06,3.04,3.05,4810
3.0581,1612540380000,3.06,3.05,3.06,5723
3.055,1612540440000,3.06,3.0501,3.0581,11477
3.055,1612540500000,3.06,3.05,3.06,7809
3.06,1612540560000,3.06,3.05,3.06,5074
3.06,1612540620000,3.06,3.0501,3.0583,7770
3.1,1612540680000,3.1,3.0511,3.0511,39299
3.1,1612540740000,3.12,3.0983,3.0983,22295
3.0987,1612540800000,3.11,3.09,3.105,13280
3.095,1612540860000,3.1,3.09,3.0998,11971
3.0985,1612540920000,3.1,3.0911,3.0981,3218
3.1292,1612540980000,3.1292,3.09,3.095,30708
3.1194,1612541040000,3.12,3.11,3.12,3091
3.12,1612541100000,3.13,3.11,3.12,28005
3.129,1612541160000,3.13,3.12,3.13,5860
3.1219,1612541220000,3.13,3.12,3.1289,11417
3.13,1612541280000,3.14,3.12,3.13,14025
3.1322,1612541340000,3.1478,3.13,3.1389,9242
3.15,1612541400000,3.15,3.14,3.1415,38384
3.227,1612541460000,3.227,3.1499,3.15,81558
3.2481,1612541520000,3.25,3.22,3.23,36639
3.25,1612541580000,3.25,3.24,3.2411,26364
3.2463,1612541640000,3.25,3.24,3.2481,12686
3.2401,1612541700000,3.25,3.24,3.2487,11276
3.17,1612541760000,3.25,3.17,3.245,42652
3.215,1612541820000,3.24,3.185,3.1991,20791
3.189,1612541880000,3.23,3.18,3.2299,15633
3.18,1612541940000,3.1978,3.18,3.19,13908
3.1825,1612542000000,3.2,3.17,3.173,13712
3.1916,1612542060000,3.2,3.18,3.1999,15553
3.1881,1612542120000,3.1911,3.1701,3.1911,14373
3.17,1612542180000,3.1882,3.17,3.1838,6438
3.13,1612542240000,3.1577,3.1,3.153,44300
3.1219,1612542300000,3.1289,3.12,3.1289,3957
3.1489,1612542360000,3.1489,3.1201,3.129,8330
3.1463,1612542420000,3.15,3.1401,3.145,7150
3.157,1612542480000,3.157,3.1414,3.15,5120
3.155,1612542540000,3.16,3.14,3.1473,24000
3.16,1612542600000,3.16,3.15,3.15,15171
3.1769,1612542660000,3.1899,3.16,3.1686,9147
3.1938,1612542720000,3.2,3.17,3.1727,3753
3.22,1612542780000,3.22,3.19,3.1984,23851
3.2476,1612542840000,3.25,3.22,3.227,39067
3.245,1612542900000,3.25,3.24,3.25,6285
3.25,1612542960000,3.25,3.24,3.245,20161
3.2481,1612543020000,3.25,3.24,3.2491,10468
3.245,1612543080000,3.25,3.24,3.247,7623
3.24,1612543140000,3.25,3.21,3.2489,13335
3.19,1612543200000,3.2299,3.19,3.2226,18620
3.17,1612543260000,3.2,3.16,3.2,33257
3.19,1612543320000,3.21,3.18,3.19,4843
3.1989,1612543380000,3.2,3.19,3.195,11710
3.1987,1612543440000,3.2,3.18,3.195,4325
3.1976,1612543500000,3.2,3.195,3.1995,11891
3.2,1612543560000,3.2,3.19,3.2,6869
3.195,1612543620000,3.2,3.19,3.1981,16677
3.1922,1612543680000,3.2053,3.19,3.19,2888
3.1976,1612543740000,3.2099,3.19,3.2099,2024
3.2084,1612543800000,3.21,3.19,3.2,8312
3.2143,1612543860000,3.22,3.2081,3.2081,1430
3.2411,1612543920000,3.25,3.215,3.22,11219
3.22,1612543980000,3.26,3.22,3.25,26286
3.225,1612544040000,3.24,3.22,3.2389,7110
3.23,1612544100000,3.2374,3.2289,3.2289,5603
3.225,1612544160000,3.23,3.22,3.23,12779
3.2389,1612544220000,3.2489,3.23,3.23,18195
3.23,1612544280000,3.24,3.22,3.2378,2330
3.24,1612544340000,3.26,3.2201,3.2375,10205
3.25,1612544400000,3.26,3.2375,3.25,17514
3.2754,1612544460000,3.28,3.2578,3.2578,13484
3.285,1612544520000,3.29,3.2666,3.28,29582
3.2901,1612544580000,3.3,3.2822,3.29,15493
3.31,1612544640000,3.31,3.2901,3.3,24919
3.325,1612544700000,3.34,3.305,3.3081,22298
3.35,1612544760000,3.35,3.32,3.32,8519
3.345,1612544820000,3.35,3.34,3.345,19903
3.3002,1612544880000,3.355,3.3,3.35,89953
3.34,1612544940000,3.39,3.3,3.3,45174
3.3389,1612545000000,3.34,3.323,3.323,7301
3.35,1612545060000,3.36,3.3372,3.3372,17145
3.345,1612545120000,3.35,3.3401,3.35,4528
3.3499,1612545180000,3.35,3.3399,3.35,24482
3.345,1612545240000,3.36,3.3401,3.3489,5726
3.345,1612545300000,3.35,3.3401,3.345,5540
3.37,1612545360000,3.38,3.3411,3.3452,20759
3.3711,1612545420000,3.38,3.365,3.3722,7948
3.3799,1612545480000,3.3799,3.35,3.375,27991
3.39,1612545540000,3.395,3.3693,3.37,50200
3.39,1612545600000,3.39,3.3801,3.385,32567
3.3889,1612545660000,3.39,3.38,3.39,9969
3.39,1612545720000,3.39,3.38,3.3889,7898
3.3535,1612545780000,3.39,3.35,3.388,29341
3.36,1612545840000,3.39,3.35,3.35,15883
3.3587,1612545900000,3.36,3.35,3.36,12664
3.3594,1612545960000,3.36,3.35,3.3511,14781
3.28,1612546020000,3.355,3.28,3.355,53422
3.2753,1612546080000,3.3,3.23,3.2974,23318
3.3051,1612546140000,3.32,3.25,3.265,19440
3.3199,1612546200000,3.32,3.295,3.31,8033
3.32,1612546260000,3.33,3.3037,3.3194,13199
3.3298,1612546320000,3.34,3.3,3.32,9450
3.33,1612546380000,3.33,3.3211,3.3289,2635
3.3197,1612546440000,3.33,3.3,3.33,3510
3.3,1612546500000,3.32,3.3,3.3178,5731
3.3101,1612546560000,3.33,3.305,3.305,6665
3.3278,1612546620000,3.34,3.31,3.31,17515
3.34,1612546680000,3.34,3.3289,3.33,3093
3.34,1612546740000,3.34,3.323,3.33,1600
3.34,1612546800000,3.34,3.3378,3.34,3582
3.37,1612546860000,3.38,3.35,3.35,11280
3.365,1612546920000,3.37,3.36,3.365,5967
3.3601,1612546980000,3.37,3.3601,3.37,2125
3.3789,1612547040000,3.3878,3.3701,3.38,15660
3.3874,1612547100000,3.39,3.3701,3.373,8040
3.3789,1612547160000,3.39,3.3701,3.3799,3597
3.38,1612547220000,3.38,3.37,3.375,4521
3.3789,1612547280000,3.3889,3.3701,3.3766,13794
3.37,1612547340000,3.38,3.36,3.38,13798
3.3599,1612547400000,3.36,3.35,3.35,7826
3.335,1612547460000,3.36,3.32,3.3589,22514
3.34,1612547520000,3.34,3.3301,3.3311,5579
3.3399,1612547580000,3.34,3.33,3.3319,6735
3.355,1612547640000,3.37,3.33,3.3312,13893
3.3513,1612547700000,3.36,3.3513,3.355,1949
3.34,1612547760000,3.38,3.34,3.35,24352
3.3301,1612547820000,3.34,3.33,3.34,6073
3.335,1612547880000,3.34,3.3311,3.3389,1143
3.315,1612547940000,3.34,3.3111,3.34,10706
3.31,1612548000000,3.315,3.31,3.3111,3997
3.3089,1612548060000,3.315,3.3008,3.31,16849
3.305,1612548120000,3.31,3.3,3.3,7654
3.32,1612548180000,3.35,3.3001,3.3089,25439
3.325,1612548240000,3.33,3.3122,3.32,4280
3.269,1612548300000,3.33,3.26,3.3275,60262
3.285,1612548360000,3.29,3.26,3.27,4036
3.289,1612548420000,3.29,3.2841,3.2881,4046
3.3153,1612548480000,3.3153,3.2801,3.29,5154
3.34,1612548540000,3.34,3.3178,3.3178,6449
3.3262,1612548600000,3.3355,3.295,3.3341,7737
3.3599,1612548660000,3.36,3.309,3.309,28633
3.3478,1612548720000,3.36,3.33,3.36,7388
3.3389,1612548780000,3.35,3.3341,3.35,6094
3.3489,1612548840000,3.3489,3.33,3.335,4221
3.3399,1612548900000,3.3478,3.33,3.3478,2085
3.3307,1612548960000,3.3389,3.3301,3.3301,1639
3.3301,1612549020000,3.3373,3.33,3.3373,1092
3.33,1612549080000,3.34,3.33,3.3389,4266
3.3301,1612549140000,3.3301,3.3274,3.33,913
3.3389,1612549200000,3.34,3.33,3.3389,12952
3.34,1612549260000,3.35,3.3311,3.3311,6603
3.35,1612549320000,3.35,3.33,3.33,6360
3.3368,1612549380000,3.35,3.31,3.33,12034
3.33,1612549440000,3.35,3.31,3.3389,4003
3.335,1612549500000,3.35,3.3201,3.335,900
3.3306,1612549560000,3.35,3.3306,3.3428,13990
3.3589,1612549620000,3.36,3.35,3.36,7331
3.3709,1612549680000,3.38,3.355,3.355,54776
3.39,1612549740000,3.39,3.3711,3.3711,6637
3.3789,1612549800000,3.385,3.3711,3.385,4344
3.3889,1612549860000,3.3889,3.37,3.375,6665
3.3705,1612549920000,3.385,3.3601,3.385,18204
3.36,1612549980000,3.37,3.35,3.37,4465
3.3534,1612550040000,3.36,3.34,3.35,3456
3.3501,1612550100000,3.36,3.35,3.36,12649
3.36,1612550160000,3.36,3.35,3.36,8585
3.37,1612550220000,3.3848,3.36,3.37,7532
3.36,1612550280000,3.38,3.36,3.38,35413
3.3763,1612550340000,3.38,3.3678,3.3678,4009
3.38,1612550400000,3.38,3.3769,3.3789,3998
3.373,1612550460000,3.38,3.3707,3.3707,9317
3.3878,1612550520000,3.3886,3.3722,3.38,3050
3.4095,1612550580000,3.41,3.3878,3.3878,45088
3.44,1612550640000,3.45,3.4057,3.41,39446
3.5,1612550700000,3.5,3.44,3.444,76415
3.48,1612550760000,3.5,3.46,3.483,13960
3.5759,1612550820000,3.58,3.47,3.4849,137357
3.6209,1612550880000,3.639,3.545,3.56,94274
3.61,1612550940000,3.63,3.6,3.6214,75369
3.64,1612551000000,3.64,3.6,3.608,64184
3.6967,1612551060000,3.6967,3.63,3.63,130340
3.6701,1612551120000,3.71,3.65,3.7,147033
3.66,1612551180000,3.7,3.6,3.6781,160459
3.649,1612551240000,3.66,3.61,3.61,30641
3.675,1612551300000,3.68,3.6495,3.65,32531
3.7,1612551360000,3.7,3.67,3.6789,34787
3.6703,1612551420000,3.7,3.67,3.7,24438
3.6,1612551480000,3.6899,3.59,3.6899,62584
3.5492,1612551540000,3.6,3.51,3.6,56283
3.5489,1612551600000,3.55,3.54,3.5429,13835
3.5732,1612551660000,3.58,3.54,3.5411,23540
3.5985,1612551720000,3.6,3.565,3.565,19906
3.62,1612551780000,3.62,3.59,3.6,24118
3.6379,1612551840000,3.65,3.6,3.61,43729
3.6254,1612551900000,3.64,3.6,3.62,17334
3.62,1612551960000,3.63,3.6,3.6201,28308
3.62,1612552020000,3.63,3.62,3.625,14023
3.555,1612552080000,3.6267,3.54,3.625,59947
3.59,1612552140000,3.59,3.5501,3.5501,12843
3.57,1612552200000,3.5978,3.5606,3.5973,24778
3.5427,1612552260000,3.58,3.54,3.57,13461
3.52,1612552320000,3.56,3.52,3.5489,43863
3.5,1612552380000,3.5398,3.5,3.535,29249
3.4528,1612552440000,3.4965,3.44,3.4801,37794
3.4715,1612552500000,3.4715,3.44,3.45,36920
3.4755,1612552560000,3.48,3.45,3.4612,7381
3.48,1612552620000,3.5,3.47,3.48,6078
3.4801,1612552680000,3.5,3.48,3.49,8670
3.4911,1612552740000,3.4999,3.48,3.4822,2236
3.4911,1612552800000,3.5,3.49,3.495,8184
3.48,1612552860000,3.49,3.4646,3.49,11622
3.4778,1612552920000,3.49,3.4612,3.4847,7049
3.465,1612552980000,3.48,3.46,3.4778,8334
3.465,1612553040000,3.47,3.46,3.47,6844
3.48,1612553100000,3.48,3.4601,3.47,5124
3.4701,1612553160000,3.49,3.4701,3.48,9806
3.4699,1612553220000,3.4799,3.46,3.475,20674
3.46,1612553280000,3.4699,3.46,3.469,2739
3.45,1612553340000,3.47,3.45,3.4611,9767
3.4589,1612553400000,3.4695,3.45,3.4695,3020
3.4506,1612553460000,3.4537,3.45,3.45,1231
3.4399,1612553520000,3.4599,3.41,3.4599,28427
3.4392,1612553580000,3.4478,3.4145,3.418,6085
3.4495,1612553640000,3.45,3.43,3.44,7732
3.4322,1612553700000,3.4478,3.43,3.4352,6539
3.45,1612553760000,3.45,3.43,3.43,4592
3.4589,1612553820000,3.4589,3.44,3.44,21402
3.4789,1612553880000,3.5,3.45,3.46,14846
3.5,1612553940000,3.5,3.473,3.4789,26042
3.5276,1612554000000,3.53,3.52,3.52,8665
3.537,1612554060000,3.5399,3.5201,3.5399,10565
3.5416,1612554120000,3.55,3.53,3.53,4586
3.5301,1612554180000,3.55,3.5,3.5481,16231
3.5625,1612554240000,3.57,3.53,3.53,21815
3.5602,1612554300000,3.5799,3.5602,3.5676,6820
3.509,1612554360000,3.57,3.5,3.5609,16313
3.4898,1612554420000,3.55,3.482,3.55,32104
3.4447,1612554480000,3.4779,3.44,3.4711,21276
3.4421,1612554540000,3.4748,3.4352,3.455,3622
3.4753,1612554600000,3.5082,3.45,3.45,2740
3.5173,1612554660000,3.52,3.4917,3.52,5275
3.5378,1612554720000,3.55,3.51,3.515,7372
3.5178,1612554780000,3.54,3.5,3.52,19185
3.51,1612554840000,3.5178,3.49,3.51,17871
3.46,1612554900000,3.52,3.46,3.5,28189
3.4561,1612554960000,3.46,3.4406,3.4596,21985
3.46,1612555020000,3.46,3.4501,3.46,25211
3.455,1612555080000,3.46,3.455,3.455,7250
3.46,1612555140000,3.46,3.44,3.45,7105
3.45,1612555200000,3.46,3.4422,3.4578,23200
3.45,1612555260000,3.46,3.4429,3.46,2801
3.45,1612555320000,3.4594,3.4325,3.4594,2502
3.4578,1612555380000,3.46,3.44,3.45,8617
3.48,1612555440000,3.4878,3.4408,3.4535,17580
3.4801,1612555500000,3.4899,3.4801,3.4879,2557
3.48,1612555560000,3.48,3.48,3.48,288
3.4928,1612555620000,3.5,3.47,3.48,21913
3.485,1612555680000,3.496,3.4701,3.49,3283
3.4801,1612555740000,3.485,3.48,3.485,4414
3.4889,1612555800000,3.49,3.47,3.48,3255
3.485,1612555860000,3.4896,3.48,3.485,9823
3.46,1612555920000,3.485,3.46,3.485,5574
3.46,1612555980000,3.48,3.46,3.465,8739
3.45,1612556040000,3.4501,3.41,3.45,19965
3.4252,1612556100000,3.45,3.42,3.4497,7834
3.43,1612556160000,3.45,3.41,3.45,13052
3.43,1612556220000,3.44,3.4211,3.4399,16479
3.45,1612556280000,3.45,3.4211,3.4211,4910
3.4325,1612556340000,3.46,3.43,3.46,4633
3.4234,1612556400000,3.45,3.4201,3.4499,10070
3.43,1612556460000,3.45,3.42,3.4448,5905
3.435,1612556520000,3.45,3.4261,3.4499,3450
3.44,1612556580000,3.45,3.4243,3.4243,7172
3.4364,1612556640000,3.44,3.41,3.42,15335
3.409,1612556700000,3.4346,3.4,3.42,15991
3.4189,1612556760000,3.4189,3.4,3.409,9138
3.4182,1612556820000,3.42,3.41,3.415,3218
3.41,1612556880000,3.42,3.4,3.4103,10612
3.405,1612556940000,3.4178,3.4022,3.4159,1549
3.4,1612557000000,3.41,3.4,3.405,4919
3.365,1612557060000,3.4071,3.36,3.4,20794
3.36,1612557120000,3.38,3.36,3.362,21654
3.3649,1612557180000,3.37,3.36,3.3611,4925
3.37,1612557240000,3.37,3.36,3.365,4209
3.38,1612557300000,3.39,3.37,3.38,2503
3.3778,1612557360000,3.38,3.3601,3.3637,2843
3.385,1612557420000,3.39,3.366,3.37,5210
3.3778,1612557480000,3.3778,3.36,3.37,2213
3.3867,1612557540000,3.3867,3.355,3.36,32217
3.335,1612557600000,3.36,3.32,3.36,69390
3.3299,1612557660000,3.35,3.32,3.3447,37600
3.3153,1612557720000,3.33,3.31,3.325,6796
3.225,1612557780000,3.33,3.21,3.32,104030
3.25,1612557840000,3.25,3.22,3.2348,2941
3.24,1612557900000,3.24,3.2,3.23,34691
3.22,1612557960000,3.24,3.21,3.2145,22051
3.2337,1612558020000,3.26,3.22,3.2299,15437
3.2699,1612558080000,3.2725,3.2305,3.24,4885
3.2646,1612558140000,3.27,3.25,3.2637,20488
3.27,1612558200000,3.28,3.25,3.28,6232
3.276,1612558260000,3.276,3.2603,3.27,9402
3.33,1612558320000,3.33,3.2788,3.3,10803
3.37,1612558380000,3.37,3.3122,3.34,33754
3.4,1612558440000,3.4,3.342,3.342,16293
3.36,1612558500000,3.4,3.34,3.4,36538
3.3697,1612558560000,3.3778,3.36,3.36,31849
3.3311,1612558620000,3.36,3.3311,3.36,10329
3.35,1612558680000,3.35,3.3301,3.3308,20859
3.35,1612558740000,3.36,3.3,3.3562,41081
