Close,Datetime,High,Low,Open,Volume
4.14,1582005600000,4.16,4,4.06,42806
4.14,1582092000000,4.2372,4.03,4.15,41512
4.13,1582178400000,4.24,4.1,4.1,36930
4.1,1582264800000,4.21,4.07,4.2,33370
4.0687,1582524000000,4.11,4,4.06,39222
3.9901,1582610400000,4.09,3.99,4.09,27950
3.79,1582696800000,4.0507,3.7,3.96,44577
3.9001,1582783200000,3.95,3.4,3.8,87019
3.7199,1582869600000,4.01,3.5,4.01,22134
3.9267,1583128800000,3.95,3.5209,3.72,28888
3.91,1583215200000,5.09,3.9,4.5,1226306
4,1583301600000,4.0006,3.8016,3.92,63654
3.76,1583388000000,4.04,3.75,4.03,55598
3.71,1583474400000,3.99,3.71,3.9,41859
3.5,1583730000000,3.6999,3.4,3.65,62913
3.52,1583816400000,3.67,3.43,3.54,30220
2.905,1583902800000,3.52,2.9,3.52,43305
2.21,1583989200000,2.95,2.16,2.8,77830
2,1584075600000,2.39,1.93,2.3,56967
1.45,1584334800000,1.836,1.2582,1.82,207376
1.75,1584421200000,1.875,1.45,1.56,64488
1.85,1584507600000,1.865,1.63,1.74,75654
2.24,1584594000000,2.3,1.8576,1.86,24858
2.48,1584680400000,3.24,2.25,2.3,53230
2.4,1584939600000,3.5,2.1,3.5,173449
2.57,1585026000000,3.5,2.34,2.97,535485
2.5,1585112400000,2.62,2.02,2.62,58367
2.39,1585198800000,2.475,2.2036,2.47,42666
2.12,1585285200000,2.34,2,2.2,23137
2.09,1585544400000,2.34,2.015,2.12,14983
2.1,1585630800000,2.1,2,2,18215
2.05,1585717200000,2.1185,1.83,2.01,23615
2,1585803600000,2.0899,1.9225,1.95,6991
2.16,1585890000000,2.16,1.92,2,27042
2.2,1586149200000,2.29,1.8926,2.12,11916
2,1586235600000,2.33,1.93,2.33,41507
2.75,1586322000000,3.07,2.3,2.4,497309
3.34,1586408400000,5.62,3.15,4.65,3807399
3.7,1586754000000,4.1846,3.5,4.15,644156
3.31,1586840400000,3.68,3.1,3.68,301667
3.27,1586926800000,3.33,3.1,3.21,74643
3.16,1587013200000,3.31,3.1,3.29,98704
3.09,1587099600000,3.26,2.61,3.16,201452
3.23,1587358800000,3.25,3.01,3.09,54131
3.07,1587445200000,3.23,2.9,3.23,64148
2.99,1587531600000,3.1,2.9,3.1,56816
2.95,1587618000000,3.16,2.85,3.15,152509
2.79,1587704400000,2.97,2.7,2.97,102797
2.93,1587963600000,2.93,2.75,2.76,62594
2.98,1588050000000,3,2.75,2.84,67946
2.91,1588136400000,3.0291,2.8,2.98,55302
2.87,1588222800000,2.87,2.75,2.85,60809
2.76,1588309200000,2.87,2.7,2.79,60217
2.4,1590642000000,3.09,2.16,2.73,209653
2.66,1590728400000,2.78,2.31,2.31,89247
2.85,1590987600000,2.88,2.65,2.67,40811
2.75,1591074000000,2.89,2.62,2.89,51049
2.7,1591160400000,2.84,2.62,2.7,46676
2.7612,1591246800000,2.86,2.55,2.64,31185
2.66,1591333200000,2.84,2.62,2.78,30600
2.535,1591592400000,2.7,2.5,2.67,45213
2.52,1591678800000,2.6499,2.5,2.5,17885
2.68,1591765200000,3.34,2.55,2.76,793889
2.59,1591851600000,2.94,2.35,2.92,686140
2.47,1591938000000,2.61,2.4,2.61,89045
2.42,1592197200000,2.49,2.4,2.41,66376
2.42,1592283600000,2.63,2.33,2.63,59207
2.38,1592370000000,2.4399,2.24,2.36,82482
2.35,1592456400000,2.45,2.2501,2.36,34105
2.29,1592542800000,2.41,2.17,2.4,42823
2.29,1592802000000,2.29,2.2,2.21,39561
2.48,1592888400000,2.48,2.26,2.26,85916
2.33,1592974800000,2.66,2.32,2.41,101569
2.25,1593061200000,2.523,2.25,2.47,56492
2.05,1593147600000,2.44,2.04,2.25,34645
2.07,1593406800000,2.185,2.0508,2.06,15724
2.14,1593493200000,2.4408,2.06,2.1,54415
2.09,1593579600000,2.18,2.06,2.18,18088
2.07,1593666000000,2.15,2.06,2.06,20593
2.155,1594011600000,2.28,2.07,2.07,48455
1.95,1594098000000,2.32,1.93,2.11,48811
2.06,1594184400000,2.172,1.97,2.15,86913
1.95,1594270800000,2.1,1.9,2.1,98727
1.87,1594357200000,2.0195,1.75,1.95,117087
1.69,1594616400000,1.86,1.59,1.86,54279
1.72,1594702800000,1.8,1.6201,1.69,99364
1.87,1594789200000,1.94,1.73,1.83,108424
2.05,1594875600000,2.05,1.8501,1.95,67055
2.05,1594962000000,2.12,1.9,2.1,44140
1.96,1595221200000,2.05,1.92,2.02,55555
1.91,1595307600000,2.07,1.86,2.01,48215
1.93,1595394000000,2,1.73,2,76909
1.99,1595480400000,2,1.86,1.93,103849
1.96,1595566800000,2,1.8601,1.96,40850
1.92,1595826000000,1.96,1.9001,1.92,26685
1.9249,1595912400000,2,1.9,1.95,36050
1.9,1595998800000,2.36,1.9,1.93,278078
1.89,1596085200000,1.935,1.85,1.88,55819
1.86,1596171600000,1.89,1.84,1.89,38197
1.83,1596430800000,1.8587,1.79,1.79,67588
1.93,1596517200000,1.9773,1.88,1.9,34116
1.93,1596603600000,2.01,1.85,1.94,75607
1.87,1596690000000,1.94,1.85,1.94,17606
1.8754,1596776400000,1.9183,1.85,1.9,62181
1.91,1597035600000,2.04,1.88,1.9,53122
1.83,1597122000000,1.95,1.83,1.92,65323
1.77,1597208400000,1.8611,1.72,1.84,53365
1.825,1597294800000,1.825,1.72,1.8,38803
1.77,1597381200000,1.9432,1.75,1.9,52109
1.81,1597640400000,1.84,1.7381,1.74,20756
1.8,1597726800000,1.8,1.75,1.79,19583
1.79,1597813200000,1.86,1.74,1.86,23496
1.7302,1597899600000,1.8,1.72,1.8,55075
1.73,1597986000000,1.79,1.71,1.79,23431
2.16,1598245200000,2.5,1.8,1.85,1465294
2.18,1598331600000,2.44,2.1,2.3,395063
2.64,1598418000000,2.85,2.35,2.45,972232
2.5,1598504400000,2.5,2.3,2.3,184675
2.37,1598590800000,2.55,2.29,2.55,91693
2.15,1598850000000,2.37,2.15,2.37,114316
2.07,1598936400000,2.14,2,2.1,75343
1.98,1599022800000,2.17,1.95,2.17,70190
2.2389,1599109200000,2.29,2,2,276078
2.15,1599195600000,2.24,2.05,2.24,80567
2.07,1599541200000,2.35,2,2.14,112056
2.05,1599627600000,2.2,2.01,2.06,82618
2.06,1599714000000,2.1099,2.04,2.05,31636
2.01,1599800400000,2.09,2.01,2.06,37277
1.95,1600059600000,2.07,1.9,2.01,78352
1.96,1600146000000,2.055,1.96,2.01,41145
1.96,1600232400000,2.05,1.91,2,26959
1.95,1600318800000,2.01,1.9,1.9,31698
1.88,1600405200000,2.0002,1.88,1.96,85072
1.9,1600664400000,1.95,1.8501,1.86,41886
1.84,1600750800000,1.95,1.8,1.87,29537
1.8,1600837200000,1.9512,1.8,1.923,23649
1.76,1600923600000,1.8695,1.7,1.85,50481
1.85,1601010000000,1.89,1.79,1.8,41693
1.8,1601269200000,1.9,1.7737,1.85,16726
1.78,1601355600000,1.84,1.71,1.76,19020
1.76,1601442000000,1.85,1.75,1.75,31468
1.865,1601528400000,1.9,1.75,1.75,47303
1.83,1601614800000,1.86,1.8134,1.83,19477
1.85,1601874000000,1.93,1.79,1.79,19258
1.83,1601960400000,1.91,1.83,1.91,11117
1.88,1602046800000,1.9,1.8,1.8,8434
1.85,1602133200000,1.87,1.8,1.86,10381
1.9,1602219600000,1.97,1.82,1.87,66774
1.85,1602478800000,1.96,1.84,1.94,61677
1.9399,1602565200000,1.94,1.85,1.85,26807
1.9,1602651600000,1.95,1.8,1.8908,48982
1.8544,1602738000000,1.9,1.81,1.85,16395
1.83,1602824400000,1.9329,1.8,1.9329,18684
1.82,1603083600000,1.855,1.8,1.81,28623
1.8601,1603170000000,1.8912,1.8,1.85,32510
1.83,1603256400000,1.89,1.8033,1.89,17593
1.82,1603342800000,1.85,1.8,1.84,14528
1.88,1603429200000,1.88,1.81,1.82,6532
1.81,1603688400000,1.8665,1.77,1.81,15622
1.84,1603774800000,1.86,1.77,1.86,5866
