Close,Datetime,High,Low,Open,Volume
2.16,1612449000000,2.16,2.15,2.15,30642
2.1324,1612449060000,2.1592,2.1309,2.1592,74645
2.13,1612449120000,2.1415,2.12,2.1415,16667
2.125,1612449180000,2.1281,2.1205,2.125,5006
2.13,1612449240000,2.13,2.12,2.1299,26015
2.125,1612449300000,2.1277,2.12,2.1211,5935
2.1241,1612449360000,2.13,2.12,2.12,3370
2.1126,1612449420000,2.123,2.11,2.123,76170
2.12,1612449480000,2.12,2.1102,2.1102,3104
2.1152,1612449540000,2.12,2.11,2.12,19100
2.1181,1612449600000,2.12,2.11,2.12,2050
2.12,1612449660000,2.12,2.115,2.115,13100
2.13,1612449720000,2.13,2.119,2.119,12900
2.12,1612449780000,2.13,2.12,2.12,9189
2.12,1612449840000,2.12,2.12,2.12,316
2.11,1612449900000,2.115,2.11,2.1145,4722
2.115,1612449960000,2.115,2.1131,2.1131,2350
2.115,1612450080000,2.12,2.115,2.12,3000
2.1199,1612450200000,2.1199,2.1199,2.1199,1200
2.11,1612450260000,2.1199,2.11,2.1199,10954
2.11,1612450320000,2.1175,2.11,2.1175,2750
2.1101,1612450380000,2.1105,2.09,2.11,36042
2.1127,1612450440000,2.1127,2.11,2.11,500
2.117,1612450500000,2.117,2.115,2.115,3000
2.1011,1612450560000,2.1196,2.1011,2.1196,5796
2.1,1612450620000,2.105,2.1,2.1,4441
2.105,1612450680000,2.11,2.1,2.11,9043
2.1076,1612450740000,2.1076,2.1,2.1,1531
2.1,1612450800000,2.1001,2.1,2.1,775
2.09,1612450860000,2.1001,2.09,2.1,24122
2.0981,1612450920000,2.1,2.09,2.09,9750
2.09,1612450980000,2.095,2.09,2.095,1600
2.105,1612451040000,2.105,2.091,2.095,4535
2.1011,1612451100000,2.1095,2.1011,2.1095,2348
2.11,1612451160000,2.11,2.11,2.11,400
2.111,1612451220000,2.111,2.111,2.111,1000
2.12,1612451280000,2.12,2.1,2.1141,19546
2.13,1612451340000,2.13,2.125,2.13,10836
2.12,1612451400000,2.12,2.12,2.12,820
2.12,1612451460000,2.12,2.12,2.12,100
2.1219,1612451520000,2.125,2.12,2.125,2100
2.12,1612451580000,2.127,2.12,2.1219,4964
2.12,1612451640000,2.1299,2.12,2.1299,7700
2.13,1612451700000,2.13,2.1286,2.1286,6042
2.16,1612451760000,2.16,2.14,2.14,43020
2.155,1612451820000,2.1581,2.15,2.1547,1965
2.155,1612451880000,2.16,2.15,2.155,7317
2.14,1612451940000,2.1589,2.14,2.1589,20565
2.15,1612452060000,2.15,2.145,2.145,500
2.1489,1612452120000,2.1489,2.1411,2.1411,1500
2.145,1612452180000,2.145,2.145,2.145,5100
2.15,1612452240000,2.15,2.145,2.1456,1800
2.145,1612452360000,2.155,2.145,2.155,9816
2.1426,1612452420000,2.1499,2.14,2.14,750
2.145,1612452480000,2.145,2.14,2.145,1238
2.145,1612452540000,2.15,2.145,2.15,5500
2.145,1612452600000,2.145,2.145,2.145,100
2.1407,1612452660000,2.1407,2.1407,2.1407,2000
2.141,1612452720000,2.15,2.14,2.15,4031
2.14,1612452780000,2.149,2.13,2.149,6582
2.159,1612452840000,2.159,2.145,2.145,10102
2.16,1612452900000,2.16,2.15,2.16,25200
2.1887,1612452960000,2.19,2.16,2.16,75976
2.1814,1612453020000,2.1879,2.18,2.1827,3111
2.1887,1612453080000,2.1889,2.1811,2.1811,1700
2.1801,1612453140000,2.1801,2.175,2.18,10017
2.2,1612453200000,2.2,2.185,2.185,34403
2.24,1612453260000,2.24,2.19,2.2,104329
2.24,1612453320000,2.25,2.2311,2.2346,15045
2.2351,1612453380000,2.25,2.23,2.25,28578
2.235,1612453440000,2.235,2.23,2.2307,3050
2.2301,1612453500000,2.235,2.23,2.23,5914
2.24,1612453560000,2.25,2.235,2.24,13173
2.24,1612453620000,2.25,2.24,2.2496,14892
2.21,1612453680000,2.249,2.21,2.245,34942
2.21,1612453740000,2.22,2.203,2.2102,3158
2.228,1612453800000,2.228,2.21,2.21,7350
2.2281,1612453860000,2.2281,2.21,2.2214,1700
2.211,1612453920000,2.2293,2.21,2.22,11148
2.2119,1612453980000,2.2119,2.2101,2.2101,5098
2.211,1612454040000,2.211,2.211,2.211,1000
2.2126,1612454100000,2.215,2.21,2.21,1383
2.211,1612454160000,2.211,2.211,2.211,500
2.205,1612454220000,2.2112,2.2012,2.2112,2987
2.205,1612454280000,2.2093,2.2,2.205,6764
2.2001,1612454400000,2.205,2.2,2.205,884
2.19,1612454460000,2.2022,2.19,2.2,11582
2.1871,1612454520000,2.1871,2.1871,2.1871,250
2.197,1612454580000,2.199,2.197,2.199,3200
2.1989,1612454700000,2.1989,2.183,2.183,900
2.1989,1612454760000,2.1989,2.1912,2.1912,1400
2.1901,1612454820000,2.2,2.19,2.195,1756
2.1912,1612454880000,2.1912,2.1912,2.1912,500
2.1999,1612454940000,2.1999,2.19,2.19,9600
2.21,1612455000000,2.22,2.195,2.195,22449
2.2001,1612455060000,2.22,2.2001,2.211,3656
2.205,1612455120000,2.205,2.205,2.205,500
