Close,Datetime,High,Low,Open,Volume
19.77,1612440000000,20.05,19.55,19.68,8482
19.74,1612440060000,19.74,19.61,19.65,800
19.61,1612440120000,19.7,19.6,19.7,1984
19.34,1612440180000,19.58,19.25,19.58,3193
19.15,1612440240000,19.27,19.1,19.27,5031
19.01,1612440300000,19.17,19.01,19.13,2149
18.5,1612440360000,19.09,18.5,19.04,5344
18.14,1612440420000,18.32,18.08,18.32,11433
18.45,1612440480000,18.57,18.09,18.09,4998
18.89,1612440540000,18.94,18.45,18.48,4258
19.11,1612440600000,19.22,18.79,18.92,2227
18.99,1612440660000,19.2,18.97,19.19,2868
18.7,1612440720000,18.93,18.7,18.91,1335
18.5,1612440780000,18.69,18.5,18.64,1200
18.58,1612440840000,18.6,18.5,18.5,1727
18.5,1612440900000,18.6,18.5,18.58,1160
17.68,1612440960000,18.4,17.68,18.4,14367
18.11,1612441020000,18.11,17.65,17.76,9043
18.08,1612441080000,18.33,18.08,18.33,4445
18.15,1612441140000,18.18,18,18.15,2136
18.3,1612441200000,18.33,18.28,18.28,731
18.6,1612441260000,18.6,18.18,18.28,5522
18.05,1612441320000,18.71,18.05,18.58,7200
18.5,1612441380000,18.5,18.03,18.03,1468
18,1612441440000,18.49,17.83,18.43,17023
18.2,1612441500000,18.33,18,18,13850
18.5,1612441620000,18.58,18.25,18.25,11993
18.38,1612441680000,18.5,18.38,18.49,1440
18.4,1612441740000,18.5,18.39,18.39,1832
18,1612441800000,18.26,18,18.25,2945
18.36,1612441860000,18.36,18.19,18.19,4700
18.3,1612441920000,18.32,18.3,18.32,836
18.09,1612441980000,18.15,18.07,18.15,3801
18.08,1612442040000,18.08,18.08,18.08,100
18.18,1612442100000,18.2,18.18,18.2,390
18.23,1612442160000,18.23,18.23,18.23,100
18.4,1612442220000,18.4,18.25,18.25,2947
18.47,1612442280000,18.47,18.4,18.4,1598
18.47,1612442340000,18.47,18.46,18.47,725
18.45,1612442400000,18.45,18.41,18.44,1397
18.3,1612442460000,18.45,18.3,18.45,1000
18.4,1612442520000,18.4,18.3,18.37,1750
18.3,1612442580000,18.44,18.3,18.43,852
18.18,1612442640000,18.28,18.18,18.28,5303
18.24,1612442700000,18.24,18.2,18.2,680
18.26,1612442760000,18.36,18.24,18.24,600
18.4,1612442820000,18.4,18.38,18.39,600
