Close,Datetime,High,Low,Open,Volume
1.471,1582005600000,1.6,1.471,1.51,76949
1.5424,1582092000000,1.61,1.45,1.52,82738
1.64,1582178400000,1.75,1.58,1.58,71496
1.56,1582264800000,1.82,1.53,1.63,45994
1.68,1582524000000,1.77,1.52,1.55,24804
1.57,1582610400000,1.68,1.5635,1.68,9867
1.5788,1582696800000,1.6158,1.5764,1.6105,15233
1.49,1582783200000,1.61,1.378,1.61,15394
1.44,1582869600000,1.49,1.36,1.36,28549
1.42,1583128800000,1.495,1.4,1.4,3358
1.4862,1583215200000,1.4988,1.4428,1.46,6615
1.5883,1583301600000,1.5999,1.48,1.48,36237
1.6015,1583388000000,1.74,1.5401,1.74,50062
1.6,1583474400000,1.65,1.6,1.6001,5442
1.35,1583730000000,1.45,1.28,1.42,11924
1.4,1583816400000,1.4318,1.4,1.4,15292
1.2951,1583902800000,1.31,1.2001,1.2981,18174
1.2,1583989200000,1.2605,1.18,1.18,38028
1.19,1584075600000,1.2036,1.17,1.2,19270
1.0051,1584334800000,1.19,0.98,1.19,19702
1,1584421200000,1,0.893659,0.961,57377
0.97,1584507600000,1.0851,0.97,1.08,2107
0.9852,1584594000000,1,0.88,0.97,8629
0.9651,1584680400000,1,0.92,1,9768
0.9624,1584939600000,0.9624,0.9166,0.9166,840
1.0653,1585026000000,1.0679,0.95,0.95,2473
1.05,1585112400000,1.05,1.01,1.01,1640
1.02,1585198800000,1.0398,0.985,1,9760
0.99,1585285200000,1.03,0.95,1.03,9491
0.953,1585544400000,1.04,0.95,0.95,3867
1.01,1585630800000,1.02,0.9518,0.9518,1276
0.953,1585717200000,1.0371,0.951,0.9659,12282
0.951,1585803600000,1.01,0.951,0.951,3245
0.92,1585890000000,0.9248,0.9124,0.9124,4086
0.95,1586149200000,0.986,0.95,0.9843,5652
0.988,1586235600000,1.03,0.96,0.96,30959
0.99,1586322000000,1.05,0.99,1.0152,35067
1.01,1586408400000,1.0651,1.01,1.0651,2067
1,1586754000000,1.053,0.9721,1.05,4318
