Close,Datetime,High,Low,Open,Volume
34.41,1582005600000,34.74,33.955,34.25,10531932
34.92,1582092000000,35.1,34.52,34.53,9079526
35.29,1582178400000,35.4,34.59,34.66,7817861
34.65,1582264800000,35.08,34.41,34.99,8432370
33.09,1582524000000,33.75,32.79,33.64,14743094
31.75,1582610400000,33.28,31.395,33.25,14621869
32,1582696800000,32.61,31.8853,32.1,14432820
30.71,1582783200000,31.915,30.55,31.3,14940354
30.5,1582869600000,30.5,29.33,29.78,20832323
31.42,1583128800000,31.45,29.74,30.52,14994619
30.52,1583215200000,32.3,30.26,31.5,15816152
31.53,1583301600000,31.565,30.355,31,16227821
30.1,1583388000000,30.77,30.01,30.54,17921345
28.69,1583474400000,29.54,28.45,29.21,20009524
24.69,1583730000000,26.12,24.15,26,28350596
27.12,1583816400000,27.14,24.59,25.98,18287699
26,1583902800000,26.62,25.76,26,21319198
23.04,1583989200000,24.345,22.5,23.6,20344472
24.71,1584075600000,25.33,22.9,24.6,17909817
21,1584334800000,22.41,21,21.51,18056794
20.32,1584421200000,21.58,19.5,21.31,23544424
16.8,1584507600000,19.05,14.325,18.83,39591120
17.71,1584594000000,18.99,15,16.34,34361822
18.14,1584680400000,18.9569,17.68,18.42,35702005
17.6,1584939600000,18.56,17.23,18.01,25419726
21.11,1585026000000,21.6697,18.6,19.32,24082872
21.49,1585112400000,23.145,21,23,27617207
22.56,1585198800000,22.97,21.0601,21.64,16990666
21.38,1585285200000,21.96,20.74,21.37,18349686
21.32,1585544400000,22.48,20.6259,22.31,18477823
20.78,1585630800000,22.21,20.55,20.97,20312832
19.26,1585717200000,20.165,18.99,19.5,17467100
18.19,1585803600000,19.69,17.79,19.1,17920646
18.04,1585890000000,18.78,17.85,18.4,13835515
19.55,1586149200000,19.76,18.55,19.1,22442074
21.3,1586235600000,22.21,20.71,21.27,30405572
23.13,1586322000000,23.6,21.4694,21.74,23774358
24.06,1586408400000,24.99,23.5832,24.16,22490477
23.01,1586754000000,24.1,22.72,24.04,14802606
22.98,1586840400000,23.77,22.67,23.6,12654736
21.66,1586926800000,22.27,21.47,21.92,12760859
20.87,1587013200000,21.65,20.555,21.64,11501687
22.48,1587099600000,22.54,21.83,21.92,17166298
22.38,1587358800000,22.64,21.44,21.72,15912370
21.24,1587445200000,21.89,20.98,21.27,13507349
21.3,1587531600000,21.78,21.07,21.65,9553595
21.52,1587618000000,22.055,21.445,21.55,10673000
21.95,1587704400000,22.24,21.54,21.71,11991402
22.45,1587963600000,22.57,21.1401,21.52,20240596
22.18,1588050000000,23.4,22.1,23.18,22085532
23.78,1588136400000,24.565,22.68,22.75,23540997
22.29,1588222800000,23.44,22.25,23.44,15272408
20.9,1588309200000,21.76,20.8,21.65,17874488
20.75,1588568400000,20.875,20.1201,20.45,16188812
21.26,1588654800000,21.97,21.12,21.25,17802261
21.89,1588741200000,23.65,21.83,23.05,34430543
22.44,1588827600000,22.98,22.03,22.18,16983203
23.93,1588914000000,24,23.05,23.07,16562348
22.8,1589173200000,23.39,22.59,23.25,16754036
22.56,1589259600000,23.27,22.55,22.99,12182920
21.46,1589346000000,22.45,21.13,22.44,16832581
22.31,1589432400000,22.34,20.49,20.66,15629092
22.63,1589518800000,22.68,21.83,21.97,14221282
24.81,1589778000000,25.205,24,24,23289194
24.69,1589864400000,25.7,24.29,24.75,18484597
25.48,1589950800000,25.89,25.215,25.31,14056780
25.8,1590037200000,26.02,25.21,25.29,14320717
25.98,1590123600000,26.23,25.215,25.99,14317399
27.4,1590469200000,27.89,27.25,27.82,18870479
27.79,1590555600000,28.83,26.91,28.53,15030744
26.68,1590642000000,27.94,26.6,27.86,11673961
25.88,1590728400000,26.57,25.69,26.35,22223456
26.94,1590987600000,27.22,25.91,25.99,10478952
27.41,1591074000000,27.615,26.945,27.32,10953773
29.07,1591160400000,29.13,28.25,28.42,16860902
29.16,1591246800000,29.435,28.52,28.86,16328793
30.61,1591333200000,31.15,29.81,31,29418645
30.68,1591592400000,31.66,30.6,31.22,15234200
29.86,1591678800000,30.215,28.71,29.4,16945519
28.75,1591765200000,29.84,28.42,29.8,15647982
26.5,1591851600000,27.8,26.29,26.62,19121916
27.96,1591938000000,28.96,27.07,28.72,21587200
27.77,1592197200000,28.1,26.57,26.61,15321200
27.78,1592283600000,29.18,27.475,29.11,17466144
27.16,1592370000000,28.0501,27.13,27.78,11123842
27.09,1592456400000,27.55,26.71,26.9,11086368
26.59,1592542800000,27.83,26.33,27.74,27880402
26.37,1592802000000,26.64,25.85,26.6,13079482
26.25,1592888400000,26.85,26.23,26.75,12455447
25.28,1592974800000,25.98,25.01,25.85,14887786
25.23,1593061200000,25.29,24.535,25,14328321
24.46,1593147600000,25.11,24.25,25,16476831
25.3,1593406800000,25.35,24.475,24.71,10011694
25.3,1593493200000,25.595,24.74,25.09,14321970
24.96,1593579600000,25.935,24.93,25.3,11963033
25.24,1593666000000,25.85,25.082,25.62,22202259
25.73,1594011600000,26.04,25.4299,25.96,9172140
25.13,1594098000000,25.625,25.06,25.59,11950538
24.94,1594184400000,25.255,24.67,25.19,11111568
23.42,1594270800000,24.8299,23.33,24.76,17778150
24.39,1594357200000,24.4,23.33,23.55,15660006
24.86,1594616400000,25.19,24.37,24.65,14766806
25.64,1594702800000,25.845,24.67,24.8,16477078
26.88,1594789200000,27.03,26.13,26.32,14893699
26.85,1594875600000,27.185,26.26,26.35,9736414
26.45,1594962000000,27,26.25,26.99,8241084
26.01,1595221200000,26.54,25.77,26.21,8663498
26.15,1595307600000,26.48,25.97,26.17,9740141
26.3,1595394000000,26.5,25.8,25.87,10702597
26.76,1595480400000,27.325,26.33,26.44,13653512
26.25,1595566800000,26.875,26.11,26.6,8584829
25.7,1595826000000,25.92,25.31,25.88,16598108
26.33,1595912400000,26.745,25.69,25.78,12854295
25.89,1595998800000,27.05,24.93,27.04,28792147
25.2,1596085200000,25.46,25.02,25.13,16012008
24.89,1596171600000,25.15,24.44,25.12,17784317
25.64,1596430800000,25.77,24.82,25.06,10445588
25.8,1596517200000,26.03,25.51,25.87,15609605
26.33,1596603600000,26.35,25.88,26.2,9252746
26.62,1596690000000,27.19,26.15,26.17,14171812
26.72,1596776400000,26.81,26.17,26.48,8038761
27.98,1597035600000,28.06,26.86,26.91,10853597
28.52,1597122000000,29.3481,28.435,28.47,17260203
28.03,1597208400000,29.75,27.78,28.99,10062446
27.55,1597294800000,28.22,27.5,27.73,7586072
27.86,1597381200000,28.125,27.15,27.29,8587722
30.01,1597640400000,30.775,28.4284,28.6,33827832
29.84,1597726800000,31.12,29.79,30.55,23102828
29.22,1597813200000,30.0281,29.08,29.65,14504204
28.83,1597899600000,29.17,28.64,28.7,9680168
28.56,1597986000000,28.9548,28.43,28.74,9841202
30.31,1598245200000,30.755,28.99,29.28,20137882
29.69,1598331600000,30.73,29.48,30.4,13006666
29.48,1598418000000,29.83,29.12,29.78,9740007
29.69,1598504400000,30.235,29.52,29.6,8745402
30.02,1598590800000,30.225,29.635,29.86,9180199
29.63,1598850000000,30.19,29.61,30.02,9585300
29.79,1598936400000,29.85,29.34,29.53,9012046
30.96,1599022800000,31.09,29.8004,29.85,16246155
29.48,1599109200000,31.52,29.13,30.93,22358112
30,1599195600000,30.37,29.355,29.93,13821989
32.38,1599541200000,33.33,31.05,31.72,52000038
31.95,1599627600000,32.75,31.725,32.11,22376277
30.17,1599714000000,31.88,30.14,31.82,24848223
30.46,1599800400000,30.57,29.87,30.3,13638656
31.18,1600059600000,31.56,30.535,30.72,11972070
31.58,1600146000000,33.14,30.825,31.36,21096305
31.79,1600232400000,32.79,31.74,32.68,16402402
31.92,1600318800000,31.95,30.95,31.31,11459926
31.5,1600405200000,32.05,31.36,31.85,15040936
30,1600664400000,30.42,29.16,30.3,20577928
29.44,1600750800000,30.36,29.325,29.85,11106814
29.34,1600837200000,29.99,29.2001,29.49,10899715
29.11,1600923600000,29.585,28.24,29.05,12393740
29,1601010000000,29.22,28.56,28.86,9350419
29.44,1601269200000,30.04,29.38,29.82,8395670
28.74,1601355600000,29.4,28.5,29.27,7438617
29.59,1601442000000,29.82,28.89,28.89,11523758
30.38,1601528400000,30.51,29.15,29.52,15052939
30.46,1601614800000,30.9,29.59,29.65,9474033
30.96,1601874000000,31.29,30.8,30.85,8314143
30.4,1601960400000,31.45,30.3,31.27,10293663
31.62,1602046800000,31.76,30.81,30.85,11794973
32.21,1602133200000,32.635,31.795,31.9,17323331
32.16,1602219600000,32.68,32.015,32.3,9411657
