Close,Datetime,High,Low,Open,Volume
4.19,1581487200000,4.51,4.07,4.13,4820604
4.11,1581573600000,4.26,4.07,4.12,2081693
4.02,1581660000000,4.19,4.02,4.11,1582660
4.06,1582005600000,4.08,3.96,4.01,1467612
4.15,1582092000000,4.27,3.915,4.06,2593092
4.14,1582178400000,4.295,4.1077,4.16,1562341
4.04,1582264800000,4.18,3.99,4.12,1695693
3.7,1582524000000,3.93,3.7,3.9,3566289
3.56,1582610400000,3.79,3.55,3.77,4447956
3.39,1582696800000,3.62,3.36,3.58,4725372
3.47,1582783200000,3.625,3.1849,3.23,3879480
3.6,1582869600000,3.72,3.34,3.34,4692197
3.83,1583128800000,3.85,3.39,3.6,3208428
3.63,1583215200000,3.89,3.5,3.88,4282456
3.77,1583301600000,3.83,3.46,3.71,4257629
3.96,1583388000000,3.99,3.59,3.7,3599627
3.92,1583474400000,4.07,3.76,3.84,2096803
3.7,1583730000000,3.97,3.5,3.59,2732022
4.23,1583816400000,4.26,3.8,3.94,4863169
4.14,1583902800000,4.25,4,4.14,4414196
3.98,1583989200000,4.04,3.48,3.7,5123363
4.59,1584075600000,4.65,3.845,4.13,5787211
4.37,1584334800000,4.57,3.9,3.93,4866696
4.23,1584421200000,4.65,4.11,4.4,3562210
3.77,1584507600000,4.25,3.5,4.1,3651709
4.19,1584594000000,4.2,3.55,3.71,5039539
3.76,1584680400000,4.08,3.65,4.08,7722194
3.81,1584939600000,3.86,3.5,3.58,6009784
4.16,1585026000000,4.21,3.8901,3.95,6805659
4.17,1585112400000,4.49,4.04,4.15,3592059
4.41,1585198800000,4.71,4.24,4.24,6210979
4.22,1585285200000,5.09,4.15,4.94,7024763
3.65,1585544400000,4.27,3.65,4.22,3350571
3.5,1585630800000,3.8,3.5,3.63,2304132
3.25,1585717200000,3.49,3.12,3.45,4568695
2.85,1585803600000,3.35,2.85,3.26,4064339
2.8,1585890000000,2.94,2.57,2.85,3830761
3.09,1586149200000,3.2,2.825,2.86,3340544
3.27,1586235600000,3.4399,3.1,3.39,2836859
3.41,1586322000000,3.6701,3.2,3.23,2884528
3.89,1586408400000,4.25,3.49,3.6,5908916
4.74,1586754000000,4.76,4.16,4.25,6844501
5.95,1586840400000,6.47,5.14,5.21,13506632
5.27,1586926800000,5.67,4.9,5.66,7499854
5.03,1587013200000,5.44,4.88,5.12,3371921
4.88,1587099600000,5.28,4.43,5.22,5653188
5.61,1587358800000,5.9,4.78,4.85,6085011
4.78,1587445200000,5.3,4.76,5.23,4142050
4.89,1587531600000,5.17,4.83,5.14,2678133
4.7,1587618000000,4.89,4.58,4.75,2265853
4.77,1587704400000,4.85,4.66,4.78,2236544
5.82,1587963600000,5.99,4.81,4.85,7275138
5.64,1588050000000,6.04,5.06,5.92,5200189
6.04,1588136400000,6.09,5.4502,5.83,3370045
5.73,1588222800000,5.975,5.64,5.87,2173530
6.05,1588309200000,6.18,5.45,5.65,4005598
5.48,1588568400000,5.93,5.4,5.84,4068105
5.39,1588654800000,5.63,5.3501,5.55,2105919
4.93,1588741200000,5.4,4.9,5.4,3369640
4.87,1588827600000,4.935,4.65,4.83,2501195
4.98,1588914000000,5.19,4.82,4.88,2353661
4.76,1589173200000,4.959,4.75,4.92,1699158
4.54,1589259600000,4.92,4.4601,4.78,2639157
