Close,Datetime,High,Low,Open,Volume
95.7572,1611671400000,95.9299,87.78,88.56,1310182
93.84,1611671460000,101.62,93.81,95.7254,1434812
90.9999,1611671520000,94.62,88.26,93.82,752929
97.103,1611671580000,97.58,90,90.755,635769
95.6871,1611671640000,96.9999,92.93,96.9999,422084
96.67,1611671700000,97,94.01,95.7981,383002
97.7403,1611671760000,98,96.24,96.75,554079
96.29,1611671820000,98,93.75,97.522,553469
95.5212,1611671880000,97,95.1,96.1082,229745
85.45,1611671940000,95.81,85.45,95.81,866356
85.45,1611672000000,85.45,85.45,85.45,41845
90.1032,1611672300000,90.46,85.41,86.95,563254
90.5,1611672360000,91.98,89,90.4,538612
88.39,1611672420000,90.539,86.83,89.656,383619
89.2243,1611672480000,89.99,87.5,88.3899,212697
89.515,1611672540000,91.29,88.2701,89.17,297684
87.6101,1611672600000,89.77,87.6,89.6657,201188
87.95,1611672660000,89.5,87.6,87.7,162219
89.0001,1611672720000,89.49,87.6,87.8201,149501
88.8761,1611672780000,89.53,88.3,89.2058,125966
89.4142,1611672840000,90,88.21,88.9563,240696
89.69,1611672900000,91,89.41,89.495,290016
90.77,1611672960000,91.3399,89.5,89.9899,240039
94.07,1611673020000,95,90.78,90.9443,549555
91.6768,1611673080000,94.65,91.5,94.3,317868
87.57,1611673140000,91.98,87,91.5,404512
89.2678,1611673200000,90,87,87.575,222072
90.5431,1611673260000,91.5,89.16,89.32,222326
89.7601,1611673320000,90.6799,89.2,90.52,137107
90.31,1611673380000,91.5,89.64,89.6673,171988
90.1462,1611673440000,91,89.4132,90.395,128193
89.8799,1611673500000,90.4491,88.57,90.0063,135190
89.84,1611673560000,90.44,89.2501,89.5684,115317
89.58,1611673620000,89.99,88.58,89.7548,106758
88.6,1611673680000,89.62,88.5,89.6,92428
86.57,1611673740000,89.3,86.01,88.6337,328724
88.0001,1611673800000,88.5,86.3901,86.6,228246
87.99,1611673860000,88.7999,87.7,88.2299,131781
88.1699,1611673920000,88.33,87,87.96,138628
87.9799,1611673980000,88.88,87.3,88.0769,155887
87.0201,1611674040000,87.8799,86.5,87.8334,165746
86.3904,1611674100000,87.38,85.51,87.27,267475
85.82,1611674160000,86.6999,85.01,86.6371,256249
86.4405,1611674220000,86.95,85.5301,85.93,161973
83.4693,1611674280000,86.4599,82.91,86.384,403750
82.2601,1611674340000,83.8,81.15,83.49,402493
83.8818,1611674400000,83.93,81.11,82.2601,317722
84.9456,1611674460000,85.75,83.5,83.88,277751
85.925,1611674520000,86,84.25,84.57,180972
84.64,1611674580000,85.99,84.55,85.9739,127195
84.37,1611674640000,85.25,84.25,84.6454,101071
83.965,1611674700000,84.51,83.6,84.51,129187
