Close,Datetime,High,Low,Open,Volume
17.4,1582005600000,18.09,17.21,18.09,5164383
17.18,1582092000000,17.425,16.98,17.38,4774899
17.47,1582178400000,17.63,17.01,17.13,3831337
17.06,1582264800000,17.585,16.985,17.33,4093415
16.29,1582524000000,16.615,16.09,16.41,7992517
15.37,1582610400000,16.39,15.27,16.39,9900178
14.7,1582696800000,15.73,14.69,15.65,7455978
14.19,1582783200000,14.84,13.47,14.27,11351346
14.33,1582869600000,14.49,13.72,13.76,11432657
14.03,1583128800000,14.48,13.49,14.36,12373843
13.82,1583215200000,14.68,13.67,14.08,9841508
14.28,1583301600000,14.29,13.73,13.95,7287545
13.36,1583388000000,13.99,13.16,13.88,7536785
13.19,1583474400000,13.5,12.63,12.86,7394892
11.77,1583730000000,12.36,11.54,12.29,8322655
12.43,1583816400000,12.69,11.64,12.25,8773869
10.97,1583902800000,12.09,10.93,12.03,13851714
10.07,1583989200000,10.42,9.35,10.04,14243327
10.81,1584075600000,11.36,10.29,10.79,17753312
8.34,1584334800000,9.77,7.75,9.32,18884972
8.35,1584421200000,8.54,6.79,8.38,17251363
7.89,1584507600000,8.98,6.8,7.69,14056962
8.07,1584594000000,8.59,7.22,7.66,10645894
7.22,1584680400000,8.5334,7.12,8.28,11055904
6.28,1584939600000,7.23,6.04,7.13,13734833
8.13,1585026000000,8.23,6.62,6.9,11112566
8.98,1585112400000,9.695,7.78,8.52,12522959
8.45,1585198800000,9.34,8.43,9.06,10841429
7.79,1585285200000,8,7.4,7.82,8422272
7.42,1585544400000,7.67,7.12,7.65,7686124
7.04,1585630800000,7.43,6.9,7.19,9535436
5.89,1585717200000,6.65,5.7,6.53,14975253
5.5,1585803600000,6.14,5.26,5.82,17446021
5.65,1585890000000,5.79,5.47,5.5,15268642
6.59,1586149200000,6.8,6.11,6.22,14020057
6.97,1586235600000,7.86,6.8833,7.23,21926828
7.85,1586322000000,8.07,6.92,7.15,11660983
9.09,1586408400000,9.39,8.25,8.35,18870217
8.33,1586754000000,9.32,8.11,9.16,11479377
8.43,1586840400000,9.01,8.175,8.81,8991747
7.71,1586926800000,8.06,7.41,8,10331461
7.63,1587013200000,7.85,7.41,7.73,6467627
8.35,1587099600000,8.82,8.08,8.17,11515412
7.84,1587358800000,8.29,7.71,8.02,7297994
7.56,1587445200000,7.84,7.285,7.45,6383796
7.11,1587531600000,7.84,6.96,7.71,11319422
7.1,1587618000000,7.4407,6.98,7.02,10938869
6.9,1587704400000,7.25,6.595,7.17,14140971
7.79,1587963600000,7.84,6.85,6.94,9654911
8.61,1588050000000,8.77,8.075,8.16,14675036
9.05,1588136400000,9.37,8.78,9.09,11407272
8.12,1588222800000,8.77,7.98,8.76,23168715
