Close,Datetime,High,Low,Open,Volume
66.14,1582005600000,66.69,65.88,66.66,12766566
67.11,1582092000000,67.2,66.18,66.39,13551202
65.45,1582178400000,67.29,64.56,67.04,26452594
64.34,1582264800000,65.25,64.04,65.18,20780465
61.76,1582524000000,62.77,61.32,61.6135,26903117
59.73,1582610400000,62.28,59.46,61.99,34495728
59.65,1582696800000,60.82,59.27,60.11,26217740
55.83,1582783200000,58.51,55.8,57.93,42226859
55.52,1582869600000,56.38,53.6,54.3,60727999
58.18,1583128800000,58.22,54.52,55.79,43140304
55.97,1583215200000,59.02,55.4,58.03,49740276
58.68,1583301600000,58.71,56.16,57.01,29223071
56.96,1583388000000,58.66,56.61,57.06,29099163
55.77,1583474400000,56.01,54.54,55.18,36259158
50.85,1583730000000,52.71,50,51.92,56196983
53.98,1583816400000,54,50.43,52.76,36568951
51.66,1583902800000,53.54,51.01,52.39,38573961
45.54,1583989200000,50.091,45.37,47.99,50661745
54.43,1584075600000,55,47.74,48.26,48805059
44.61,1584334800000,52.25,43.63,47.51,53878939
50.08,1584421200000,51.63,45.2,45.755,52085162
47.61,1584507600000,50.05,45.2,46.71,49309879
45.94,1584594000000,49.23,45.16,47.84,44538030
45.83,1584680400000,49.42,45.47,46.51,52344045
49.58,1584939600000,50.49,45.9132,46.02,46698478
52.4,1585026000000,54.64,51.35,53.14,50019753
51.26,1585112400000,53.785,49.91,52.48,41106063
55.54,1585198800000,55.95,51.66,51.74,41475406
52.37,1585285200000,54.64,52.065,53.42,31633487
55.49,1585544400000,56.1,52.83,52.99,31628610
54.12,1585630800000,55.795,53.22,55.06,48081861
51.88,1585717200000,54.69,51.43,52.5,29586562
54.35,1585803600000,54.56,51.22,51.29,27809987
54.13,1585890000000,55.13,52.73,53.85,23906062
58.43,1586149200000,58.77,56.12,56.63,32323387
58.4,1586235600000,61.49,58.21,59.94,41410012
58.98,1586322000000,59.51,57.91,58.99,26719500
57.14,1586408400000,59.72,56.06,59.36,40515419
58.7,1586754000000,58.77,56.57,56.57,23251938
60.66,1586840400000,60.9,59.51,60.0378,25673992
58.87,1586926800000,59.83,58.385,59.74,22841552
60.79,1587013200000,60.96,58.81,59.61,24433516
60.36,1587099600000,62.13,59.825,62.02,27385636
59.18,1587358800000,60.04,58.89,59.279,26420309
56.36,1587445200000,58.6,55.93,58.11,25248033
60.1,1587531600000,60.5,57.81,58.27,23443745
59.04,1587618000000,60.1,58.81,59.6735,35091952
59.26,1587704400000,59.4,56.1,56.2,50220505
59.47,1587963600000,59.83,58.385,59.72,25902236
58.75,1588050000000,60.22,58.26,59.99,28784707
61.8,1588136400000,62.03,59.32,59.44,30451541
59.98,1588222800000,61.54,59.75,61.3666,26279877
57.47,1588309200000,59.32,57.31,58.83,21194802
57.99,1588568400000,58.07,56.31,57.12,18957227
58.75,1588654800000,59.3,58.35,58.79,17252063
59.18,1588741200000,59.95,58.94,59.04,17848655
59.17,1588827600000,60.0969,58.92,59.93,14733519
59.67,1588914000000,59.78,59.05,59.6694,20391091
60.13,1589173200000,60.84,59.71,59.74,18684439
58.39,1589259600000,60.64,58.26,60.22,16754898
57.74,1589346000000,59.23,56.9,58.45,21064971
59.08,1589432400000,59.15,56.1,57.32,21569352
58.28,1589518800000,58.37,56.96,57.4,21373268
59.92,1589778000000,60.28,59.36,59.7406,20443708
60.29,1589864400000,61.77,59.85,60.13,21865009
63.1,1589950800000,63.489,61.02,61.16,30583988
61.98,1590037200000,63.8,61.82,63.095,20987740
62.255,1590123600000,62.32,61.42,61.98,14103013
62.34,1590469200000,64.14,62.12,63.68,20933556
63.56,1590555600000,63.59,61.07,62.32,19886271
61.7,1590642000000,63.45,61.49,63,17264131
62.93,1590728400000,63.66,61.62,61.9,33395738
61.86,1590987600000,62.66,61.66,62.4851,14329044
62.12,1591074000000,62.17,60.825,61.7,20702353
61.93,1591160400000,62.54,61.53,62.45,16737271
62.97,1591246800000,63.47,61.3438,61.74,22010142
64.34,1591333200000,65.11,63.16,63.36,26813098
63.67,1591592400000,64.15,62.94,63.97,21546178
63.04,1591678800000,63.71,62.9,62.9935,23594133
63.87,1591765200000,64.289,62.75,62.79,21367845
59.7,1591851600000,63.3,59.52,63.07,26998242
59.33,1591938000000,60.96,58.121,60.11,30419768
60.1,1592197200000,60.36,58.58,59.33,29651719
60.4,1592283600000,61.65,59.49,61.49,23226634
60.49,1592370000000,61.28,60.06,60.74,20454771
60.08,1592456400000,60.51,59.32,60.35,24899699
59.62,1592542800000,60.89,59.1,60.65,60324579
60.09,1592802000000,60.545,58.83,59.73,22846013
59.92,1592888400000,60.47,59.8612,60.19,22809579
59.09,1592974800000,59.805,58.67,59.64,27764482
58.51,1593061200000,59.09,57.48,58.98,21906941
57.5,1593147600000,58.73,57.07,58.49,38477509
58.27,1593406800000,58.35,56.76,57.47,22150266
59.83,1593493200000,59.98,58.54,58.71,31542056
58.81,1593579600000,60.03,58.76,59.91,14748072
59.13,1593666000000,59.81,58.97,59.19,15578580
59.54,1594011600000,59.62,58.6,58.72,20536717
58.31,1594098000000,59.57,58.14,59.07,15996487
