Close,Datetime,High,Low,Open,Volume
822,1582005600000,824.5,747.701,764,361147
902.9,1582092000000,902.9,831,857.3,353267
883.6,1582178400000,924.2,855.4,882.6,353943
955.3,1582264800000,964.2,917.8,932,362242
955.4,1582524000000,1052.4,915,1046,506763
815.1,1582610400000,953.599,806.05,907,403827
812.7,1582696800000,852.4,792.1,816.8,298342
653.6,1582783200000,849.3,650,842,589253
467.4,1582869600000,558.8,425,556.8,1081300
542.7,1583128800000,545.8,498.8,517.5,493939
612,1583215200000,678.956,540.5,575,1143372
631.9,1583301600000,648.399,583.7,637.2,420117
669,1583388000000,678.45,611.907,652.7,440464
629.7,1583474400000,678.7,565.1,677.9,540723
492.1,1583730000000,569.6,465.001,541.9,388369
496.5,1583816400000,526.2,434.1,500.9,494134
344.6,1583902800000,473.88,323.281,460.1,629413
132.2,1583989200000,330,110,241.1,2059931
44.7,1584075600000,117.9,35,116,4162406
82,1584334800000,89.4,39.5,41.965,5126928
130,1584421200000,136.889,85.8,86.4,5846848
50.8,1584507600000,131.6,50,107.6,6141227
41.4,1584594000000,62.5,35,44.9,10465208
33.2,1584680400000,53.5,33.2,51.1,8385904
40.1,1584939600000,45.4,35.2,40,7662652
56.2,1585026000000,57.5,50,57.3,7546777
63.1,1585112400000,71.8,53,57,7605591
58.9,1585198800000,71.8,55.1,69.1,6288840
46.1,1585285200000,56.589,43.1,52.9,5969493
42.5,1585544400000,52,38.1,47.7,5866548
39.7,1585630800000,45.7,38.8,41,4908359
42,1585717200000,42.8,38.8,38.9,4086639
45.2,1585803600000,48,44,44.6,4062947
43.2,1585890000000,47.7,43,45.8,2461877
50.5,1586149200000,52,46.7,48.3,3913398
49.2,1586235600000,53.4,48,53,3790876
51.3,1586322000000,52.6,50,50.6,1781762
60.9,1586408400000,61.5,55.8,56.9,4463354
70.7,1586754000000,72.675,55.401,61.1,5350630
71,1586840400000,81.5,67.1,73.8,6955209
67.4,1586926800000,70.9,62.8,64.9,3174295
69.2,1587013200000,71.8,65.5,68.6,3183362
63,1587099600000,68.2,62.2,66,2845079
68.5,1587358800000,69.7,63.5,63.7,2808921
66,1587445200000,67.3,62.1,62.5,2474987
75,1587531600000,76,70.9,71,3387852
79.68,1587618000000,87.5,77.03,78.62,4896447
81.81,1587704400000,84.79,75.67,83.48,3563011
82.5,1587963600000,83.65,77.41,82.05,2363069
82.15,1588050000000,83.53,78.15,81.72,2158246
86.74,1588136400000,87.08,79.68,80.72,2862806
76.55,1588222800000,85.07,75.64,81.94,3432658
79.99,1588309200000,80.6,71.5001,72.58,3180483
82.74,1588568400000,83.99,80.7275,81.49,2125234
85.05,1588654800000,85.9908,78.08,82.46,2278914
79.97,1588741200000,82.92,78.0803,81.36,2026159
87.55,1588827600000,89.7998,80.32,82.06,3119681
86.68,1588914000000,90.5,84.85,86.94,2144154
82.17,1589173200000,87.63,80.55,86.82,2192716
83.1,1589259600000,88.76,81.69,84.31,2610995
83.2,1589346000000,86.9328,79.81,85.65,2192260
87.11,1589432400000,88.48,81.34,82.02,2526892
97.87,1589518800000,98,91.19,92.27,2721116
97.79,1589778000000,102.76,94.78,101.92,2645860
107.09,1589864400000,109.05,100.42,101.14,3086348
106.9,1589950800000,110.22,104.09,107.86,2580505
101.07,1590037200000,103.51,96.635,102.99,2152508
100.25,1590123600000,105.6,99.63,102.52,1533905
93,1590469200000,100.5,92.4101,100.5,2303444
93.15,1590555600000,93.17,84.71,87.3,2672478
93.25,1590642000000,98.3,90.84,96.44,2112474
97.58,1590728400000,99.55,95.73,97.94,1865723
105.59,1590987600000,106.05,99.83,100.93,1992681
97.49,1591074000000,107.39,97.0633,107.13,2817288
91.09,1591160400000,94.43,88.3182,91.57,2823249
94.33,1591246800000,96,90.9401,94.35,1950054
90.44,1591333200000,90.83,84.26,87.53,3217686
93.09,1591592400000,93.5429,88.8701,92,1415908
91.76,1591678800000,95.76,91.02,94,1600115
101.14,1591765200000,101.43,88.66,94.89,3303524
88.32,1591851600000,101.21,85.51,99,3033306
87.69,1591938000000,94.1374,86.55,91.87,2068506
92.05,1592197200000,93.4001,79.74,81.49,2815551
86.02,1592283600000,92.88,85.02,92.1,2052491
87.88,1592370000000,89.4,86.03,86.96,1393223
84.78,1592456400000,88.02,83.67,85.84,1486783
90.57,1592542800000,93.36,86.3036,87.88,3299037
99.48,1592802000000,101.56,95.3147,96,3513226
104,1592888400000,105.68,101.37,103.5,2011417
98.18,1592974800000,104.45,95.1501,100.76,3082401
99.5,1593061200000,99.56,94.541,97.97,1529434
101.28,1593147600000,101.82,93.27,96.4,2226206
103.65,1593406800000,103.99,99.78,101.83,1261145
110.33,1593493200000,111.64,101.64,102.68,2323626
110.39,1593579600000,110.77,104.11,110.63,1854066
109,1593666000000,115.31,108.37,108.89,1768448
114.17,1594011600000,115.94,110.75,112.95,1359884
119.94,1594098000000,121.56,112.56,112.88,2015824
128.97,1594184400000,130.65,122.82,126.48,2521921
128.01,1594270800000,133.53,121.3001,130.76,2345870
126.5,1594357200000,131,123.15,130.51,1475955
118.58,1594616400000,132.65,117.02,131.05,1875644
127.65,1594702800000,127.8,116.61,118.05,1672040
130.09,1594789200000,130.1,122.6,127.41,1198760
124.2,1594875600000,129.505,121.95,126.49,1370670
133.9,1594962000000,134.94,126.16,128,1739354
142.5,1595221200000,144.1399,136.821,137.87,1558097
149.67,1595307600000,155.22,145.33,153,2092007
158.2,1595394000000,160,151.8007,153.88,2243144
148.97,1595480400000,161.9677,143.12,157.23,2778090
155.44,1595566800000,156.48,148.97,152.84,1714020
173.08,1595826000000,177.29,167.2102,170,2490182
169.6,1595912400000,174.2,163.65,167.44,1945526
168.5,1595998800000,173.92,157.7507,169.56,2567786
