Close,Datetime,High,Low,Open,Volume
59.53,1582005600000,59.93,59.45,59.81,10076116
59.77,1582092000000,60,59.47,59.51,6265794
59.72,1582178400000,59.86,59.11,59.68,7597337
60.13,1582264800000,60.13,59.43,59.51,10842358
58.65,1582524000000,59.8,58.57,59.11,14415502
57.82,1582610400000,59.2,57.62,58.7,15915089
57.6,1582696800000,58.47,57.475,57.98,15839658
54.93,1582783200000,57.89,54.88,57.15,23754008
53.49,1582869600000,53.89,51.58,53.83,40891823
55.92,1583128800000,55.96,53.7,53.93,25698629
56.06,1583215200000,57.49,55.64,56.76,27099173
58.92,1583301600000,59,56.41,56.41,20526142
56.74,1583388000000,58.17,56.19,57.8,17948494
55.26,1583474400000,55.91,53.98,54.94,22353925
51.86,1583730000000,53.58,51.475,52.05,27898258
53.66,1583816400000,53.795,51.17,53.22,27457400
52.21,1583902800000,52.65,51.14,52.35,22660708
47.16,1583989200000,49.93,46.69,48.54,31913103
48.47,1584075600000,49.56,46.605,49.51,33697153
45.26,1584334800000,47.88,41.17,42.24,28682285
47.18,1584421200000,47.5,45.37,45.88,32106680
44.85,1584507600000,45.15,41.59,44.74,35408291
41.83,1584594000000,44.66,41.04,44.36,41956853
38.3,1584680400000,42.07,37.51,41.95,51513503
37.56,1584939600000,38.8862,36.27,38.755,44978496
39.45,1585026000000,41.4,38.83,41.22,49096206
41.61,1585112400000,43.45,39.91,40.63,42511651
44.29,1585198800000,45.27,42.45,42.84,37828294
42.81,1585285200000,44.03,42.4,43.66,23297904
45,1585544400000,45.56,43.04,43.04,23445966
44.25,1585630800000,45.51,44.06,45.07,25373932
42.12,1585717200000,43.65,41.8,42.48,21936414
43.95,1585803600000,44.19,41.8623,42.22,17621881
43.83,1585890000000,44.335,43.31,43.58,14207106
46.67,1586149200000,47.01,44.69,45.39,22849977
46.51,1586235600000,48.6,46.48,48.5,21279572
47.82,1586322000000,48.09,46.33,46.64,18937133
49,1586408400000,49.73,48.35,48.44,19167279
46.93,1586754000000,48.64,46.5,48.35,19586015
48.92,1586840400000,49.25,46.93,47.94,21801877
47.61,1586926800000,48.4,47.41,47.71,12893170
47.1,1587013200000,47.85,46.76,47.4,17606777
48.06,1587099600000,48.3,47.37,48.3,19844640
46.53,1587358800000,48,46.31,47.79,18957924
45.38,1587445200000,46.9014,44.26,45.88,26863724
45.68,1587531600000,46.145,45.5,46.05,15815150
45.07,1587618000000,46.1,44.97,45.95,17668165
45.43,1587704400000,45.75,45.1201,45.5,15177581
46.78,1587963600000,46.975,45.71,46,19175538
46.74,1588050000000,48,46.57,47.9,17246696
47.12,1588136400000,47.86,46.88,47.27,15780000
45.89,1588222800000,47,45.7,47,20801092
45.6,1588309200000,46.39,45.21,45.62,14290418
45.14,1588568400000,45.48,44.6,45.32,22544162
45.4,1588654800000,46.1,45.15,45.36,13370526
44.75,1588741200000,45.63,44.72,45.4,11892890
44.6,1588827600000,45.24,44.5,45.15,16474652
46.11,1588914000000,46.22,44.88,45.08,13987843
45.54,1589173200000,46.11,45.52,45.69,10874595
44.82,1589259600000,45.85,44.8,45.6,13424424
43.94,1589346000000,44.78,43.5217,44.71,15854778
43.7,1589432400000,44.06,43.23,43.38,18000815
43.26,1589518800000,44.69,43.2,43.96,31579431
44.97,1589778000000,45.39,44.13,44.82,26122327
44.54,1589864400000,45.33,44.25,45.01,17839922
45.89,1589950800000,46.17,45.02,45.2,22295929
45.17,1590037200000,46.09,45.03,46.08,13193528
45.03,1590123600000,45.305,44.65,45.22,13008410
46.09,1590469200000,46.93,45.93,46.92,22223098
46.73,1590555600000,47.09,46.165,47,18447622
47.09,1590642000000,47.46,46.82,47.3,16234424
46.68,1590728400000,47.19,46.14,46.68,51129923
46.99,1590987600000,47.23,46.59,46.66,17013041
46.9,1591074000000,47.28,46.56,47.16,15255146
47.9,1591160400000,48.115,47.12,47.27,15508291
47.92,1591246800000,48.265,47.38,47.94,13604668
49.09,1591333200000,49.49,48.46,48.54,20504798
49.85,1591592400000,49.97,49.47,49.54,19896657
49,1591678800000,49.59,48.68,49.59,16713660
48.62,1591765200000,49.265,48.57,49.16,15716570
45.54,1591851600000,47.92,45.46,47.81,26070384
45.6,1591938000000,46.25,45.01,46.21,21822737
46.3,1592197200000,46.45,44.47,44.57,15627065
46.77,1592283600000,47.685,46.19,47.56,18808008
46.58,1592370000000,47.06,46.44,46.78,12602791
46.99,1592456400000,47.04,46.07,46.3,9380779
46.02,1592542800000,47.79,46.02,47.77,30432088
45.74,1592802000000,46.15,45.38,46.03,20876167
45.64,1592888400000,46.29,45.58,46,14675296
44.65,1592974800000,45.44,44.5,45.37,17631817
44.93,1593061200000,44.98,44.03,44.47,13829653
43.57,1593147600000,45.01,43.51,44.92,21955057
44.36,1593406800000,44.57,43.55,44,17603890
