Close,Datetime,High,Low,Open,Volume
0.88,1581487200000,0.89,0.84,0.84,10604
0.832,1581573600000,0.9,0.8303,0.8303,2890
0.90215,1581660000000,0.94,0.86,0.9,6460
0.881269,1582005600000,0.99,0.8801,0.92,15084
0.8931,1582092000000,0.899,0.86,0.872841,17641
0.88,1582178400000,0.899,0.86,0.8816,29184
0.8907,1582264800000,0.899,0.842,0.899,3924
0.8301,1582524000000,0.8989,0.8301,0.8894,3230
0.7927,1582610400000,0.86,0.79,0.851334,29270
0.83,1582696800000,0.8323,0.78,0.8323,3581
0.81,1582783200000,0.82,0.7808,0.7808,24639
0.86,1582869600000,0.86,0.78,0.78,15527
0.8542,1583128800000,0.86,0.804,0.804,2287
0.7901,1583215200000,0.8663,0.79,0.82,10504
0.83,1583301600000,0.8935,0.8,0.86,5478
0.821301,1583388000000,0.8299,0.821301,0.8299,5768
0.8201,1583474400000,0.8864,0.8,0.8048,2047
0.79,1583730000000,0.8127,0.77,0.79,13363
0.74,1583816400000,0.79,0.68,0.77,19662
0.7,1583902800000,0.74,0.66946,0.74,16846
0.52,1583989200000,0.65,0.51,0.65,29642
0.56,1584075600000,0.5669,0.53,0.53,21822
0.5279,1584334800000,0.5721,0.449,0.5721,6463
0.489721,1584421200000,0.57,0.42,0.5543,37919
0.428,1584507600000,0.45,0.35,0.44,25355
0.446,1584594000000,0.57,0.3905,0.43,26722
0.568,1584680400000,1.12,0.4,0.5,765535
0.47,1584939600000,0.5902,0.45,0.5,96625
0.535001,1585026000000,0.56,0.452,0.56,26790
0.56005,1585112400000,0.59,0.4601,0.5277,59920
0.53,1585198800000,0.638,0.53,0.59,44667
0.59,1585285200000,0.6,0.53,0.5611,27230
0.5699,1585544400000,0.6,0.54,0.584,7727
0.58,1585630800000,0.58,0.55,0.55,2096
0.4801,1585717200000,0.5776,0.4,0.5776,73307
0.45,1585803600000,0.4865,0.45,0.481,13598
0.4412,1585890000000,0.5,0.4201,0.48,13662
0.4218,1586149200000,0.46,0.4011,0.46,4773
0.49,1586235600000,0.49,0.3,0.46,145726
0.512,1586322000000,0.516001,0.4901,0.51,35758
0.5002,1586408400000,0.54,0.47,0.54,3070
0.5373,1586754000000,0.54,0.52,0.54,26672
0.6,1586840400000,0.6379,0.55,0.55,46111
0.698,1586926800000,0.93,0.584,0.584,325686
0.6975,1587013200000,0.748,0.55,0.7,45397
0.67,1587099600000,0.748,0.633,0.692,18312
0.64,1587358800000,0.7035,0.6216,0.7035,11639
0.633,1587445200000,0.7,0.5837,0.7,16756
0.687,1587531600000,0.7245,0.607,0.69,10760
0.674,1587618000000,0.696,0.61,0.61,7058
0.67,1587704400000,0.674,0.62,0.650271,9773
0.621,1587963600000,0.71,0.611,0.71,23801
0.64,1588050000000,0.7,0.6375,0.64,6483
0.64,1588136400000,0.6961,0.615,0.6961,9571
0.62,1588222800000,0.63995,0.62,0.62,10146
0.6212,1588309200000,0.65,0.59,0.63,14601
0.68,1588568400000,0.71,0.586,0.6405,45960
0.7962,1588654800000,0.7962,0.69,0.7,34554
0.92,1588741200000,0.94,0.7961,0.8,180339
0.85,1588827600000,0.94,0.8001,0.9,38569
0.7399,1588914000000,0.882,0.6845,0.882,18809
0.76,1589173200000,0.8099,0.755,0.7768,8089
0.7752,1589259600000,0.8,0.755,0.8,7805
0.8099,1589346000000,0.8099,0.755,0.8,16715
0.84,1589432400000,0.85,0.7551,0.82,9207
0.8499,1589518800000,0.85,0.8021,0.8021,2497
0.9601,1589778000000,1.02,0.87,0.87,55059
0.909752,1589864400000,1.19,0.9,0.9975,428767
1.15,1589950800000,1.29,0.905,0.9552,870534
1.05,1590037200000,1.1586,0.94,1.03,155017
1.09,1590123600000,1.1,0.95,1.0511,30276
1.035,1590469200000,1.15,1.01,1.07,114260
1.085,1590555600000,1.15,1,1.15,53086
1.02,1590642000000,1.12,0.9765,1.1,88646
1.02,1590728400000,1.04,0.98,0.98,22827
1.03,1590987600000,1.0451,0.9761,0.99,26530
0.9201,1591074000000,1.0291,0.905,1,74128
0.9412,1591160400000,0.9596,0.9101,0.95,54746
0.959,1591246800000,0.9798,0.91,0.9798,30261
0.91,1591333200000,0.97,0.9027,0.922,31143
0.93,1591592400000,0.9555,0.92,0.9555,37406
0.9323,1591678800000,1.01,0.9304,0.95,18604
1.14,1591765200000,1.8,0.94,1,1387921
1.03,1591851600000,1.3,0.95,1.03,421627
0.96,1591938000000,1,0.94,0.9956,67864
0.94,1592197200000,1,0.91,0.98,39664
1.07,1592283600000,1.15,0.9701,0.9999,141125
1.51,1592370000000,4.89,1.41,2.74,57279699
1.48,1592456400000,1.643,1.3,1.38,2889025
1.79,1592542800000,2.97,1.61,1.95,27563753
1.85,1592802000000,2.08,1.6,2,3305699
1.59,1592888400000,1.8,1.5,1.66,1758508
1.46,1592974800000,1.74,1.42,1.6,1009661
1.53,1593061200000,1.55,1.37,1.46,647621
1.31,1593147600000,1.6,1.3,1.41,1051375
1.23,1593406800000,1.31,1.17,1.28,352533
1.3699,1593493200000,1.66,1.33,1.58,1459238
1.34,1593579600000,1.38,1.25,1.31,288826
1.27,1593666000000,1.33,1.2,1.33,1203094
1.99,1594011600000,2.42,1.68,2.02,20171168
1.77,1594098000000,1.89,1.59,1.6,2090630
1.63,1594184400000,1.74,1.57,1.62,599970
1.64,1594270800000,1.67,1.55,1.59,545314
1.55,1594357200000,1.68,1.54,1.63,631453
1.32,1594616400000,1.55,1.31,1.5,564848
1.25,1594702800000,1.35,1.19,1.31,666270
1.36,1594789200000,1.45,1.3,1.36,524190
1.4,1594875600000,1.43,1.31,1.38,221259
1.36,1594962000000,1.44,1.3501,1.36,316643
1.38,1595221200000,1.4,1.33,1.39,337103
1.31,1595307600000,1.38,1.28,1.31,244941
1.54,1595394000000,1.615,1.31,1.31,1426838
1.43,1595480400000,1.56,1.37,1.49,360211
1.41,1595566800000,1.435,1.35,1.4,88613
1.42,1595826000000,1.445,1.37,1.43,89208
1.37,1595912400000,1.4,1.35,1.4,129963
1.38,1595998800000,1.42,1.36,1.36,89729
1.38,1596085200000,1.42,1.34,1.34,123309
1.36,1596171600000,1.47,1.35,1.35,234736
1.29,1596430800000,1.37,1.28,1.32,226625
1.33,1596517200000,1.35,1.29,1.32,215939
1.37,1596603600000,1.45,1.3101,1.32,470259
1.4,1596690000000,1.44,1.35,1.37,155010
1.68,1596776400000,1.75,1.35,1.4,2835761
1.54,1597035600000,1.6481,1.49,1.59,516321
1.35,1597122000000,1.4999,1.35,1.47,425131
1.46,1597208400000,1.69,1.36,1.38,1632029
1.07,1597294800000,1.4999,1.01,1.43,2082687
0.7999,1597381200000,0.83,0.73,0.799,9249478
0.78,1597640400000,0.8,0.761,0.8,1679464
0.7578,1597726800000,0.803,0.68,0.765,4624451
0.7,1597813200000,0.741,0.685,0.6999,1771063
0.691,1597899600000,0.7099,0.652049,0.6907,1251408
0.691,1597986000000,0.7198,0.646,0.6655,1028158
0.7399,1598245200000,0.83,0.669,0.6703,12598363
0.71,1598331600000,0.7438,0.675,0.71,4995543
0.7051,1598418000000,0.74,0.6761,0.685,3190915
0.6568,1598504400000,0.704,0.6302,0.7,3395907
0.65,1598590800000,0.6573,0.6253,0.6399,1146573
0.654,1598850000000,0.6626,0.6421,0.655,484505
0.6275,1598936400000,0.655,0.6065,0.64,1031153
0.65,1599022800000,0.685,0.562,0.6299,2953777
0.6465,1599109200000,0.7036,0.621,0.65,1182349
0.6229,1599195600000,0.644,0.5711,0.6306,785102
0.5952,1599541200000,0.62,0.5734,0.6085,429822
0.615,1599627600000,0.63,0.5734,0.6042,909230
0.612,1599714000000,0.6299,0.5801,0.61,386322
0.6,1599800400000,0.6199,0.59,0.5902,180613
0.6054,1600059600000,0.617,0.5807,0.6009,382560
0.609,1600146000000,0.65,0.593,0.605,811538
0.6079,1600232400000,0.62,0.593,0.61,240798
0.5897,1600318800000,0.6,0.5779,0.5931,460930
0.5831,1600405200000,0.594,0.57,0.588,479201
0.5699,1600664400000,0.5831,0.539,0.58,511072
0.5795,1600750800000,0.61,0.5513,0.5703,1577355
0.54,1600837200000,0.6074,0.5002,0.5816,895363
0.5586,1600923600000,0.575,0.4832,0.531,1986391
0.6136,1601010000000,0.649,0.515,0.515,2890144
0.7597,1601269200000,0.805,0.6004,0.6029,28310679
0.87,1601355600000,1.23,0.8069,1.03,61827075
0.657,1601442000000,0.75,0.65,0.7,8367590
0.6457,1601528400000,0.647,0.605,0.62,1787599
0.6501,1601614800000,0.699,0.6012,0.62,1853744
0.5988,1601874000000,0.6393,0.5831,0.637,1863694
0.609,1601960400000,0.655,0.55,0.5601,4015268
0.6294,1602046800000,0.6738,0.58,0.609,2591630
0.6257,1602133200000,0.72,0.61,0.615,4634877
0.61,1602219600000,0.6495,0.608,0.6129,1122494
0.6499,1602478800000,0.73,0.6255,0.6358,3947724
0.69,1602565200000,0.7,0.6245,0.638,1570738
0.66,1602651600000,0.7,0.6412,0.7,590281
0.6803,1602738000000,0.72,0.636,0.6467,1465534
0.6898,1602824400000,0.7,0.670201,0.671,1018109
0.6501,1603083600000,0.6799,0.641,0.675,810983
0.6345,1603170000000,0.66,0.6215,0.6551,904715
0.6692,1603256400000,0.6899,0.612,0.64,1551087
0.64,1603342800000,0.67,0.6336,0.6417,906460
0.64,1603429200000,0.67,0.615,0.639,945443
0.599,1603688400000,0.64,0.5761,0.64,943709
0.5899,1603774800000,0.618,0.5856,0.6,286948
0.5629,1603861200000,0.5772,0.55,0.5548,718100
0.5754,1603947600000,0.5864,0.5515,0.5689,308725
0.5648,1604034000000,0.5798,0.5288,0.5779,423374
0.5681,1604296800000,0.58,0.5401,0.5648,413325
0.59,1604383200000,0.6114,0.5681,0.5759,257069
0.566,1604469600000,0.5938,0.552,0.5938,273680
0.5677,1604556000000,0.5854,0.56,0.5738,301465
0.5502,1604642400000,0.57,0.5407,0.5616,352687
0.5568,1604901600000,0.5888,0.548,0.562,867207
0.5581,1604988000000,0.5674,0.547,0.55,274208
0.57,1605074400000,0.59,0.5412,0.565,452742
0.614,1605160800000,0.66,0.5619,0.5619,2250197
0.5741,1605247200000,0.61,0.561,0.61,528032
0.588,1605506400000,0.589,0.567,0.58,406317
0.596,1605592800000,0.61,0.5726,0.5799,813768
0.6084,1605679200000,0.63,0.59,0.63,451845
0.593,1605765600000,0.61,0.572,0.61,553121
0.6287,1605852000000,0.64,0.56,0.5816,1247520
0.616,1606111200000,0.6301,0.6,0.6185,392932
0.659,1606197600000,0.666,0.608,0.608,999656
0.6852,1606284000000,0.7,0.634,0.66,1179433
0.717,1606456800000,0.735,0.661,0.71,1757833
0.705,1606716000000,0.72,0.66,0.72,1269961
0.79,1606802400000,0.808,0.68,0.7,3189799
0.785,1606888800000,0.795,0.71,0.74,2219178
0.795,1606975200000,0.85,0.77,0.7701,4769365
0.759,1607061600000,0.8133,0.711,0.81,1871138
0.7252,1607320800000,0.77,0.711,0.77,1461971
0.6726,1607407200000,0.717,0.6262,0.715,962794
0.6591,1607493600000,0.6993,0.6311,0.675,593547
0.6394,1607580000000,0.6666,0.62,0.6483,652655
0.651,1607666400000,0.68,0.63,0.64,373398
0.6421,1607925600000,0.6759,0.642,0.651,283660
0.6349,1608012000000,0.698,0.5836,0.65,837435
0.6348,1608098400000,0.641,0.6172,0.6312,374448
0.627,1608184800000,0.67,0.6188,0.63,675486
0.6314,1608271200000,0.664,0.6188,0.62,678052
0.625,1608530400000,0.6393,0.6,0.628,1078981
0.6356,1608616800000,0.6797,0.6222,0.66,825468
0.6447,1608703200000,0.6524,0.6201,0.6311,729880
0.6399,1608789600000,0.6825,0.6251,0.6825,539543
0.661,1609135200000,0.6748,0.626,0.64,850296
0.76,1609221600000,0.79,0.6173,0.65,5929681
0.69,1609308000000,0.7582,0.6707,0.75,2309972
0.67,1609394400000,0.7,0.66,0.7,785415
0.6901,1609740000000,0.7294,0.641,0.69,1220048
0.725,1609826400000,0.75,0.695,0.7,1651756
0.785,1609912800000,0.7999,0.73,0.7451,2777325
0.7689,1609999200000,0.82,0.75,0.7747,3577577
2.13,1610085600000,2.31,0.71,0.78,234786060
2.45,1610344800000,3.7,2.27,3.33,222126880
1.97,1610431200000,2.17,1.85,1.99,38226813
1.87,1610517600000,1.97,1.67,1.81,17192412
1.91,1610604000000,2.25,1.74,1.8,26203608
1.85,1610690400000,2.24,1.765,1.9228,25470758
1.8,1611036000000,1.94,1.77,1.88,8480726
1.7,1611122400000,1.78,1.61,1.75,5680169
1.69,1611208800000,1.75,1.62,1.62,3619735
1.77,1611295200000,1.8,1.56,1.63,8958231
1.76,1611554400000,1.9,1.65,1.85,5359996
1.77,1611640800000,1.98,1.71,1.83,7309865
1.58,1611727200000,1.69,1.53,1.59,5690391
1.5,1611813600000,1.62,1.4301,1.58,7173313
2.05,1611900000000,3.17,1.95,2.89,102274235
1.84,1612159200000,1.91,1.75,1.9,7466400
1.81,1612245600000,1.9396,1.72,1.78,4505281
1.86,1612332000000,1.89,1.76,1.77,3609852
1.8,1612418400000,1.85,1.77,1.84,2631766
1.83,1612504800000,1.9,1.75,1.8,3418784
2,1612764000000,2.04,1.8089,1.88,5072965
1.98,1612850400000,2.07,1.9,2.03,6577349
2.04,1612936800000,2.2,1.88,2.2,7368945
2.09,1613023200000,2.2,1.95,2.1,6893048
1.99,1613109600000,2.08,1.96,2.07,2751285
