Close,Datetime,High,Low,Open,Volume
0.777449,1610116200000,0.785,0.77,0.78,14670
0.7717,1610116260000,0.78,0.7716,0.7716,12860
0.774741,1610116320000,0.774741,0.77,0.77,630
0.777499,1610116380000,0.785,0.777499,0.785,306
0.785,1610116440000,0.785,0.78,0.7825,4477
0.779951,1610116500000,0.779951,0.77,0.7739,985
0.7849,1610116560000,0.7849,0.7766,0.7766,10250
0.7611,1610116620000,0.7705,0.7555,0.77,14231
0.7623,1610116680000,0.783,0.7566,0.7566,7239
0.7686,1610116740000,0.7689,0.7612,0.7612,7181
0.7633,1610116800000,0.764899,0.76,0.76,1300
0.7553,1610116860000,0.755301,0.755201,0.755301,9180
0.76,1610116920000,0.7648,0.755301,0.755301,20239
0.7628,1610116980000,0.7648,0.76,0.76,3004
0.757151,1610117040000,0.763,0.757,0.763,6400
0.7553,1610117100000,0.757,0.7553,0.7555,4190
0.755,1610117160000,0.7599,0.752,0.7553,5340
0.740101,1610117280000,0.752,0.74,0.752,58560
0.741,1610117340000,0.752051,0.7401,0.7401,3120
0.7634,1610117400000,0.7634,0.7448,0.7448,1200
0.7501,1610117460000,0.7515,0.7501,0.7515,873
0.762999,1610117520000,0.762999,0.7615,0.7615,400
0.7582,1610117760000,0.7582,0.7501,0.7501,1300
0.7499,1610117880000,0.75,0.7431,0.75,3850
0.7484,1610117940000,0.7484,0.7401,0.7431,7633
0.74,1610118000000,0.746,0.74,0.746,3404
0.74,1610118060000,0.744449,0.74,0.74,18081
0.72,1610118120000,0.74,0.71,0.74,37322
0.73,1610118180000,0.73,0.716,0.72,32754
0.725,1610118240000,0.734456,0.725,0.73,7700
0.738,1610118300000,0.738,0.7204,0.726,14864
0.7379,1610118360000,0.7379,0.7301,0.7379,1175
0.74,1610118420000,0.74,0.7301,0.7375,37286
0.7421,1610118480000,0.7421,0.7421,0.7421,5400
0.749799,1610118540000,0.7498,0.743,0.7498,5250
0.745951,1610118600000,0.7498,0.745951,0.7498,4142
0.7494,1610118660000,0.7494,0.7401,0.746,2557
0.740101,1610118720000,0.740101,0.740101,0.740101,350
0.7476,1610118780000,0.749,0.7401,0.7401,30766
0.747999,1610118840000,0.749,0.747999,0.7488,1440
0.7453,1610118900000,0.7479,0.741101,0.741101,2500
0.749,1610118960000,0.749,0.7415,0.7415,9442
0.7479,1610119020000,0.7479,0.7479,0.7479,100
0.749,1610119080000,0.749,0.7489,0.7489,1671
0.741051,1610119140000,0.7432,0.741,0.7432,7389
0.7415,1610119200000,0.742,0.741,0.742,6637
0.7419,1610119260000,0.7419,0.7401,0.7411,7850
0.7401,1610119320000,0.7401,0.7401,0.7401,100
0.7401,1610119380000,0.740506,0.74,0.7401,6185
0.740999,1610119440000,0.740999,0.740999,0.740999,471
0.7409,1610119500000,0.741,0.7393,0.7393,1642
0.74,1610119560000,0.74,0.74,0.74,200
0.7333,1610119620000,0.7377,0.7333,0.7377,900
0.7318,1610119680000,0.731801,0.7318,0.731801,4570
0.7374,1610119740000,0.7375,0.7338,0.7375,877
0.7305,1610119860000,0.7325,0.7305,0.7325,1619
0.7374,1610119920000,0.7374,0.7374,0.7374,1300
0.7305,1610119980000,0.7375,0.7305,0.7374,32300
0.7375,1610120160000,0.7375,0.7375,0.7375,12000
0.7315,1610120220000,0.734,0.7305,0.734,10829
0.7305,1610120280000,0.734,0.7305,0.734,800
0.725,1610120340000,0.7374,0.725,0.7374,6541
0.7374,1610120400000,0.7374,0.725,0.7373,1222
0.725,1610120460000,0.7302,0.725,0.73,10000
0.726,1610120520000,0.726,0.726,0.726,500
0.7374,1610120580000,0.737499,0.726,0.726,4742
0.7375,1610120640000,0.7375,0.7375,0.7375,250
0.7389,1610120700000,0.7389,0.7389,0.7389,150
