Close,Datetime,High,Low,Open,Volume
3.445,1610375400000,3.46,3.27,3.33,2392469
3.7,1610375460000,3.7,3.3914,3.445,2581136
3.115,1610375520000,3.7,3.1,3.7,2708313
3.19,1610375580000,3.25,3,3.115,2530643
3.179,1610375640000,3.3,3.15,3.2,1124981
3,1610375700000,3.19,2.9,3.1799,2605813
2.8512,1610375760000,3.05,2.81,3.0178,1499773
2.92,1610375820000,2.93,2.79,2.855,1747573
2.9511,1610375880000,2.97,2.89,2.9171,1149975
3.1,1610375940000,3.15,2.95,2.95,1717192
3.045,1610376000000,3.13,2.97,3.1,1291610
3.1,1610376060000,3.15,3,3.05,939110
3.02,1610376120000,3.12,3,3.0799,907265
3.04,1610376180000,3.08,2.96,3.02,813356
3.04,1610376240000,3.06,2.97,3.035,422575
2.885,1610376300000,3.05,2.81,3.04,1283044
2.8663,1610376360000,2.93,2.81,2.88,1076673
2.9011,1610376420000,2.98,2.86,2.87,638151
2.965,1610376480000,2.99,2.9,2.91,429586
2.95,1610376540000,2.99,2.9,2.96,419625
3.1,1610376600000,3.1,2.95,2.96,1122974
3.055,1610376660000,3.11,3.03,3.0901,759933
3.035,1610376720000,3.07,3.02,3.05,442342
3.06,1610376780000,3.17,3.0345,3.0378,1484481
3.1199,1610376840000,3.14,3.06,3.07,899233
3.0921,1610376900000,3.15,3.07,3.12,708369
3,1610376960000,3.1,2.92,3.095,958465
2.98,1610377020000,3.01,2.95,2.99,382232
3.0331,1610377080000,3.09,2.97,2.9789,455028
3.01,1610377140000,3.08,3.01,3.033,419076
2.9,1610377200000,3.02,2.9,3.015,1038835
2.9187,1610377260000,2.94,2.85,2.905,1149910
2.835,1610377320000,2.92,2.8,2.9111,1167935
2.9,1610377380000,2.94,2.81,2.83,753606
2.9,1610377440000,2.91,2.84,2.9099,430775
2.8625,1610377500000,2.93,2.85,2.8989,479713
2.87,1610377560000,2.88,2.8,2.85,716507
2.8,1610377620000,2.91,2.8,2.8711,612710
2.715,1610377680000,2.81,2.66,2.8,2141391
2.71,1610377740000,2.74,2.66,2.7199,973043
2.785,1610377800000,2.79,2.67,2.71,718217
2.785,1610377860000,2.79,2.74,2.7899,612394
2.81,1610377920000,2.83,2.75,2.79,890230
2.825,1610377980000,2.83,2.76,2.81,449496
2.7711,1610378040000,2.83,2.76,2.8298,297783
2.7089,1610378100000,2.78,2.7,2.78,474465
