Close,Datetime,High,Low,Open,Volume
2.88,1582005600000,2.9136,2.8,2.9,715711
2.92,1582092000000,2.99,2.87,2.88,506266
2.85,1582178400000,2.975,2.81,2.92,760532
2.69,1582264800000,2.83,2.66,2.83,1136601
2.77,1582524000000,2.8007,2.5115,2.56,911247
2.85,1582610400000,2.88,2.7,2.79,929050
2.855,1582696800000,3,2.79,2.84,1729925
2.77,1582783200000,2.96,2.7,2.79,976100
2.775,1582869600000,2.87,2.66,2.67,1307291
2.83,1583128800000,2.835,2.6588,2.83,1164357
2.61,1583215200000,2.88,2.56,2.83,1318112
2.63,1583301600000,2.72,2.51,2.63,730722
2.46,1583388000000,2.63,2.34,2.62,1010812
2.36,1583474400000,2.45,2.28,2.34,1019876
2.21,1583730000000,2.31,2.12,2.21,1394900
2.3,1583816400000,2.3,2.17,2.25,925441
2.27,1583902800000,2.28,2.07,2.2,1449587
1.93,1583989200000,2.12,1.7,1.75,1332896
2.03,1584075600000,2.1312,1.8,2.02,1235746
2.05,1584334800000,2.05,1.84,1.9,1783840
2.35,1584421200000,2.44,1.98,2.21,1523511
2.26,1584507600000,2.47,2.06,2.23,762227
2.36,1584594000000,2.5,2.17,2.23,958690
2.01,1584680400000,2.165,1.75,2.07,1643245
2.04,1584939600000,2.09,1.89,1.99,599885
2.01,1585026000000,2.2598,1.95,2.11,996930
1.91,1585112400000,2.15,1.9,2.01,839694
1.95,1585198800000,2.03,1.86,1.96,1049110
1.8,1585285200000,1.97,1.8,1.88,642745
1.88,1585544400000,1.9,1.77,1.83,528932
1.95,1585630800000,2.08,1.85,1.9,1013424
1.78,1585717200000,1.96,1.75,1.89,740192
1.89,1585803600000,1.92,1.75,1.78,692363
1.76,1585890000000,1.875,1.75,1.86,524335
1.86,1586149200000,1.88,1.78,1.8,617481
1.75,1586235600000,1.86,1.75,1.85,844805
1.82,1586322000000,1.845,1.705,1.76,1261242
1.88,1586408400000,1.915,1.8101,1.82,1055800
2.26,1586754000000,2.3,1.88,1.9,1255861
2.22,1586840400000,2.3399,2.15,2.26,652097
2.02,1586926800000,2.16,1.99,2.16,392292
2,1587013200000,2.09,1.98,2.03,437402
1.88,1587099600000,2.09,1.88,2.08,1014868
1.92,1587358800000,2.02,1.83,1.91,1159998
1.96,1587445200000,1.98,1.87,1.9,599972
1.86,1587531600000,2.04,1.86,1.93,566926
1.86,1587618000000,1.96,1.85,1.89,897658
2.05,1587704400000,2.1,1.83,1.89,850923
2.3,1587963600000,2.59,2.085,2.289,2369881
2.12,1588050000000,2.4,2.025,2.33,1322306
2.12,1588136400000,2.2245,2.09,2.18,1019439
1.89,1588222800000,2.14,1.88,2.14,1716250
1.9,1588309200000,1.95,1.85,1.92,760488
1.89,1588568400000,1.94,1.81,1.93,758397
1.9,1588654800000,2,1.89,1.94,782727
1.92,1588741200000,1.96,1.86,1.91,881599
1.9,1588827600000,1.965,1.89,1.95,599451
1.93,1588914000000,2,1.92,1.93,547143
2.13,1589173200000,2.16,1.9,1.91,1204216
2.015,1589259600000,2.22,2.01,2.14,926177
1.94,1589346000000,2.08,1.86,2.01,818577
1.89,1589432400000,1.99,1.87,1.99,805437
1.88,1589518800000,1.96,1.85,1.91,991351
1.98,1589778000000,1.995,1.9,1.94,898985
2.05,1589864400000,2.1,1.97,1.98,874620
2.03,1589950800000,2.11,2,2.1,570225
1.97,1590037200000,2.07,1.94,2.07,493052
2.01,1590123600000,2.01,1.92,1.98,580645
1.955,1590469200000,2.07,1.95,2.05,706349
2.03,1590555600000,2.03,1.87,1.97,858576
2.03,1590642000000,2.16,2,2.05,1370514
1.91,1590728400000,2.05,1.88,2.05,1727539
1.92,1590987600000,2.0011,1.9,1.91,623892
1.91,1591074000000,1.9483,1.88,1.94,762521
1.89,1591160400000,1.95,1.89,1.92,665606
1.89,1591246800000,1.925,1.86,1.9,571434
1.95,1591333200000,1.99,1.9,1.92,907218
2.19,1591592400000,2.28,1.95,1.9846,2281326
2.04,1591678800000,2.2,2.01,2.16,1061434
2.01,1591765200000,2.14,2.005,2.05,859539
1.88,1591851600000,1.9979,1.88,1.99,1669269
1.87,1591938000000,1.97,1.82,1.95,1286482
1.89,1592197200000,1.95,1.8201,1.87,906382
1.86,1592283600000,1.95,1.86,1.95,751331
1.83,1592370000000,1.9,1.83,1.89,811151
1.85,1592456400000,1.875,1.81,1.84,757922
1.95,1592542800000,2.01,1.84,1.86,1638761
2.01,1592802000000,2.05,1.93,2.01,1110918
2.05,1592888400000,2.1,1.9825,2.03,877115
1.99,1592974800000,2.09,1.98,2.05,646610
1.99,1593061200000,2.03,1.9502,1.99,609730
2.03,1593147600000,2.04,1.95,2.01,1135297
1.98,1593406800000,2.19,1.97,2.04,1083956
1.995,1593493200000,2.05,1.96,2.01,645088
2.01,1593579600000,2.045,1.96,2,571631
1.94,1593666000000,2.03,1.93,2.02,547079
1.91,1594011600000,1.99,1.9,1.98,582916
1.9,1594098000000,1.98,1.89,1.9,551804
1.93,1594184400000,1.94,1.88,1.91,599832
1.85,1594270800000,1.95,1.85,1.94,850621
1.94,1594357200000,1.94,1.86,1.89,610962
1.9,1594616400000,1.95,1.88,1.94,496000
1.96,1594702800000,1.96,1.865,1.9,630316
2.06,1594789200000,2.09,1.9101,1.96,1175108
1.99,1594875600000,2.06,1.96,2.06,448337
2.1,1594962000000,2.1,1.978,1.98,670479
2.1,1595221200000,2.1883,2.055,2.16,596791
2.075,1595307600000,2.89,2.07,2.74,23577799
1.93,1595394000000,2.0544,1.87,2.01,5416201
1.82,1595480400000,1.9401,1.81,1.92,3208145
1.73,1595566800000,1.82,1.72,1.82,2343114
1.74,1595826000000,1.78,1.7377,1.76,1391633
1.74,1595912400000,1.76,1.7,1.74,1953894
1.74,1595998800000,1.79,1.7,1.75,2018067
2,1596085200000,2.19,1.81,2.03,16823601
1.94,1596171600000,1.94,1.8,1.861,2622641
1.9,1596430800000,1.94,1.87,1.9,1954720
1.96,1596517200000,1.99,1.86,1.88,1824976
1.92,1596603600000,1.965,1.87,1.92,1766955
1.9,1596690000000,1.95,1.8809,1.9,865250
1.84,1596776400000,1.91,1.83,1.87,1581775
1.93,1597035600000,1.94,1.84,1.87,1397370
1.9,1597122000000,1.945,1.88,1.94,1002923
1.86,1597208400000,1.92,1.84,1.89,1153708
1.84,1597294800000,1.855,1.81,1.85,1100707
1.81,1597381200000,1.8319,1.8,1.83,647941
1.82,1597640400000,1.8383,1.8,1.82,802492
1.81,1597726800000,1.83,1.79,1.8,736987
1.86,1597813200000,1.875,1.79,1.81,1097922
1.81,1597899600000,1.8411,1.79,1.84,526741
1.76,1597986000000,1.81,1.73,1.79,1014822
1.73,1598245200000,1.775,1.71,1.76,1169297
1.8,1598331600000,1.81,1.655,1.73,1240882
1.78,1598418000000,1.81,1.75,1.77,741658
1.76,1598504400000,1.78,1.73,1.76,756209
1.74,1598590800000,1.77,1.73,1.73,412106
1.75,1598850000000,1.78,1.71,1.72,688278
1.75,1598936400000,1.77,1.68,1.73,1097929
1.67,1599022800000,1.755,1.67,1.73,1152475
1.6,1599109200000,1.72,1.6,1.68,1341354
1.6,1599195600000,1.7092,1.57,1.6,1757185
1.59,1599541200000,1.65,1.5796,1.59,564070
1.6,1599627600000,1.63,1.57,1.61,690577
1.58,1599714000000,1.61,1.56,1.61,546104
1.53,1599800400000,1.59,1.51,1.57,828950
1.61,1600059600000,1.63,1.55,1.55,723859
1.59,1600146000000,1.655,1.58,1.655,575100
1.66,1600232400000,1.67,1.6,1.6,509673
1.7,1600318800000,1.71,1.65,1.66,420591
1.62,1600405200000,1.71,1.6,1.7,858982
1.56,1600664400000,1.63,1.56,1.63,444148
1.54,1600750800000,1.585,1.52,1.58,914545
1.51,1600837200000,1.555,1.5,1.54,726196
1.45,1600923600000,1.54,1.43,1.54,1004931
1.52,1601010000000,1.53,1.43,1.44,739759
1.56,1601269200000,1.665,1.47,1.65,1146102
1.46,1601355600000,1.55,1.45,1.55,999165
1.44,1601442000000,1.48,1.415,1.47,498805
1.43,1601528400000,1.47,1.4,1.46,1229462
1.45,1601614800000,1.46,1.37,1.43,622156
1.415,1601874000000,1.48,1.405,1.46,1031583
1.44,1601960400000,1.5,1.42,1.45,1697416
1.48,1602046800000,1.51,1.44,1.45,1410308
1.56,1602133200000,1.58,1.5,1.5,558756
1.56,1602219600000,1.59,1.55,1.57,420204
1.49,1602478800000,1.57,1.45,1.57,665259
1.48,1602565200000,1.5075,1.48,1.49,437877
1.45,1602651600000,1.48,1.42,1.46,832439
1.51,1602738000000,1.53,1.43,1.46,525440
1.47,1602824400000,1.51,1.45,1.5,437582
1.42,1603083600000,1.5,1.42,1.49,730874
1.38,1603170000000,1.4343,1.37,1.42,1028455
1.39,1603256400000,1.41,1.35,1.39,700230
1.36,1603342800000,1.4,1.34,1.4,763830
1.33,1603429200000,1.375,1.32,1.37,934259
1.34,1603688400000,1.35,1.3,1.32,691838
1.32,1603774800000,1.35,1.29,1.33,564871
1.22,1603861200000,1.3,1.22,1.3,906925
1.16,1603947600000,1.25,1.12,1.25,1270826
1.11,1604034000000,1.16,1.1,1.15,885728
1.05,1604296800000,1.09,1.05,1.09,958019
1.1,1604383200000,1.11,1.07,1.07,627438
1.08,1604469600000,1.155,1.07,1.1,458461
1.1,1604556000000,1.13,1.08,1.11,531108
1.07,1604642400000,1.1245,1.06,1.11,492995
1.16,1604901600000,1.17,1.03,1.03,1022013
1.28,1604988000000,1.34,1.1666,1.17,1612934
1.24,1605074400000,1.29,1.21,1.29,655262
1.23,1605160800000,1.26,1.2,1.25,421072
1.27,1605247200000,1.3,1.19,1.23,551824
1.29,1605506400000,1.31,1.25,1.28,592858
1.81,1605592800000,2.38,1.71,2.25,102548681
1.6,1605679200000,1.815,1.57,1.8077,10424085
1.55,1605765600000,1.59,1.47,1.57,3248674
1.5,1605852000000,1.56,1.48,1.53,2046029
1.46,1606111200000,1.5,1.435,1.49,2131471
1.58,1606197600000,1.59,1.45,1.48,2351151
1.65,1606284000000,1.68,1.55,1.62,2471351
1.62,1606456800000,1.66,1.59,1.65,900491
