Close,Datetime,High,Low,Open,Volume
4.1437,1610634600000,4.29,4.132,4.21,183532
4.1301,1610634660000,4.15,4.07,4.1301,87315
4.1001,1610634720000,4.16,4.1,4.1362,29795
4.1661,1610634780000,4.17,4.1001,4.1001,38176
4.238,1610634840000,4.24,4.15,4.159,69302
4.3,1610634900000,4.3,4.2185,4.23,94697
4.378,1610634960000,4.39,4.2801,4.2984,118210
4.42,1610635020000,4.44,4.35,4.38,180697
4.3727,1610635080000,4.41,4.36,4.4068,69677
4.4,1610635140000,4.4,4.37,4.37,48713
4.48,1610635200000,4.52,4.39,4.3921,180693
4.57,1610635260000,4.57,4.47,4.475,153787
4.5135,1610635320000,4.57,4.45,4.5616,119107
4.6399,1610635380000,4.64,4.52,4.52,157733
4.625,1610635440000,4.66,4.562,4.635,103565
4.82,1610635500000,4.82,4.61,4.6286,218331
5.08,1610635560000,5.0911,4.82,4.82,472609
5.005,1610635620000,5.15,4.9,5.061,371078
5.01,1610635680000,5.1,4.94,5.006,229348
4.945,1610635740000,5,4.91,4.9884,113267
5.0116,1610635800000,5.09,4.945,4.945,232955
4.9,1610635860000,5.0291,4.86,5.01,156973
4.8745,1610635920000,4.95,4.82,4.907,115337
4.89,1610635980000,4.9499,4.85,4.89,109944
4.8901,1610636040000,4.91,4.85,4.87,55285
4.85,1610636100000,4.9068,4.84,4.9034,73397
4.8038,1610636160000,4.86,4.78,4.8489,90729
4.8026,1610636220000,4.82,4.76,4.81,63901
4.8766,1610636280000,4.89,4.8,4.8006,67109
4.9607,1610636340000,4.97,4.8763,4.8763,207301
4.9467,1610636400000,4.99,4.91,4.969,129099
5.0979,1610636460000,5.1,4.9411,4.97,246454
5.27,1610636520000,5.28,5.09,5.0984,428135
5.3877,1610636580000,5.4,5.2,5.25,371561
5.46,1610636640000,5.5,5.3,5.3701,423910
5.365,1610636700000,5.49,5.36,5.4629,258714
5.48,1610636760000,5.4899,5.33,5.3612,246100
5.49,1610636820000,5.55,5.44,5.4722,458365
5.49,1610636880000,5.5789,5.45,5.49,328217
5.515,1610636940000,5.55,5.47,5.4916,178028
5.41,1610637000000,5.51,5.38,5.51,242249
5.44,1610637060000,5.44,5.345,5.41,161926
5.285,1610637120000,5.43,5.2755,5.43,184770
5.295,1610637180000,5.3,5.2,5.2879,184453
5.2799,1610637240000,5.2982,5.24,5.2936,62500
5.345,1610637300000,5.36,5.26,5.27,171271
5.52,1610637360000,5.55,5.33,5.345,409216
5.6774,1610637420000,5.7099,5.45,5.52,537263
5.67,1610637480000,5.75,5.63,5.665,512388
5.8,1610637540000,5.8,5.54,5.6828,521860
5.67,1610637600000,5.79,5.58,5.7549,396510
5.8,1610637660000,5.88,5.65,5.6789,652414
5.95,1610637720000,5.99,5.7694,5.84,647809
5.7994,1610637780000,6,5.73,5.945,811924
5.7,1610637840000,5.8,5.67,5.79,362189
5.93,1610637900000,5.94,5.66,5.7,451961
5.8719,1610637960000,5.9484,5.83,5.9306,488788
5.7794,1610638020000,5.94,5.76,5.8799,396416
5.76,1610638080000,5.87,5.76,5.77,158255
5.7686,1610638140000,5.8,5.65,5.7834,334573
5.7098,1610638200000,5.79,5.67,5.75,171331
5.62,1610638260000,5.74,5.6,5.7087,204500
5.66,1610638320000,5.7,5.62,5.62,132461
5.73,1610638380000,5.75,5.66,5.67,161095
5.56,1610638440000,5.72,5.55,5.7101,199508
5.4465,1610638500000,5.6,5.43,5.58,356795
5.3554,1610638560000,5.4599,5.28,5.43,545541
5.33,1610638620000,5.39,5.32,5.3524,252905
5.37,1610638680000,5.43,5.32,5.3284,144315
5.43,1610638740000,5.5,5.37,5.371,192270
5.54,1610638800000,5.54,5.42,5.42,158944
5.43,1610638860000,5.57,5.4,5.55,175544
5.36,1610638920000,5.45,5.33,5.4284,142930
5.285,1610638980000,5.4,5.25,5.36,208615
5.33,1610639040000,5.36,5.25,5.2801,102764
5.3479,1610639100000,5.35,5.28,5.34,98883
5.325,1610639160000,5.3929,5.31,5.345,82450
