Close,Datetime,High,Low,Open,Volume
7.41,1610721000000,7.49,7.37,7.47,402722
7.2307,1610721060000,7.47,7.1,7.47,345561
7.26,1610721120000,7.31,7.15,7.255,144986
7.2566,1610721180000,7.37,7.25,7.2707,111788
7.13,1610721240000,7.3,7.02,7.265,215342
7.178,1610721300000,7.18,7.05,7.13,122901
7.44,1610721360000,7.46,7.175,7.1764,239756
7.32,1610721420000,7.41,7.28,7.41,124890
7.72,1610721480000,7.72,7.31,7.31,222734
7.5201,1610721540000,7.76,7.52,7.72,159773
7.6586,1610721600000,7.67,7.47,7.52,119659
7.51,1610721660000,7.66,7.5,7.66,65860
7.5501,1610721720000,7.56,7.51,7.5184,42522
7.31,1610721780000,7.56,7.31,7.5534,185532
7.32,1610721840000,7.32,7.15,7.315,124608
7.3495,1610721900000,7.5,7.22,7.32,87262
7.25,1610721960000,7.35,7.25,7.3401,57550
7.2553,1610722020000,7.2826,7.225,7.26,99227
7.165,1610722080000,7.26,7.16,7.255,61091
7.144,1610722140000,7.17,7.07,7.16,162220
7.0801,1610722200000,7.16,7.08,7.148,84946
7.1646,1610722260000,7.17,7.05,7.08,144389
7.15,1610722320000,7.18,7.06,7.1611,89180
7.1958,1610722380000,7.25,7.14,7.1515,87071
7.227,1610722440000,7.24,7.19,7.194,46630
7.3399,1610722500000,7.35,7.22,7.22,68332
7.235,1610722560000,7.33,7.23,7.32,44354
7.1793,1610722620000,7.24,7.15,7.235,55279
7.2019,1610722680000,7.2019,7.17,7.175,18535
7.17,1610722740000,7.22,7.16,7.2141,47997
7.105,1610722800000,7.169,7.1,7.162,57652
7.05,1610722860000,7.11,7.05,7.107,67153
7.12,1610722920000,7.15,7.05,7.0501,77820
7.06,1610722980000,7.12,7.06,7.115,38732
6.89,1610723040000,7.07,6.88,7.065,184681
6.9,1610723100000,6.9,6.82,6.8884,129589
6.92,1610723160000,6.93,6.88,6.8906,66827
6.9316,1610723220000,6.99,6.92,6.9284,54397
6.93,1610723280000,6.94,6.9,6.9384,83697
6.9,1610723340000,6.94,6.9,6.93,40415
6.8916,1610723400000,6.9,6.84,6.9,58986
6.895,1610723460000,6.9,6.85,6.9,68732
6.9419,1610723520000,6.95,6.9,6.9,66474
6.9299,1610723580000,6.95,6.92,6.94,41134
6.8696,1610723640000,6.92,6.86,6.92,54725
6.795,1610723700000,6.8667,6.75,6.8667,165824
6.8,1610723760000,6.83,6.75,6.79,140542
6.73,1610723820000,6.815,6.73,6.81,79684
6.7104,1610723880000,6.75,6.7,6.73,113551
6.69,1610723940000,6.72,6.69,6.7038,60723
6.67,1610724000000,6.72,6.67,6.69,80302
6.62,1610724060000,6.68,6.6,6.675,102098
6.61,1610724120000,6.63,6.6,6.62,67139
6.55,1610724180000,6.61,6.55,6.6098,90812
6.6203,1610724240000,6.63,6.55,6.55,158255
6.655,1610724300000,6.68,6.605,6.625,51204
6.675,1610724360000,6.69,6.65,6.66,74683
6.675,1610724420000,6.735,6.66,6.675,55903
6.71,1610724480000,6.72,6.6795,6.68,50624
6.6701,1610724540000,6.72,6.67,6.71,54582
6.555,1610724600000,6.6784,6.55,6.6784,61155
6.5668,1610724660000,6.6,6.55,6.5584,68570
6.59,1610724720000,6.61,6.56,6.56,60784
6.5916,1610724780000,6.6016,6.57,6.5916,39149
6.65,1610724840000,6.67,6.5801,6.5957,57910
6.685,1610724900000,6.685,6.65,6.6501,34949
6.8884,1610724960000,6.89,6.675,6.68,212102
6.8524,1610725020000,6.9,6.82,6.881,78185
6.9301,1610725080000,6.9301,6.8514,6.86,100594
6.86,1610725140000,6.94,6.86,6.935,103395
6.8116,1610725200000,6.87,6.8116,6.865,40497
6.85,1610725260000,6.85,6.75,6.82,49174
6.83,1610725320000,6.88,6.83,6.85,27214
6.87,1610725380000,6.88,6.8,6.83,43278
6.9064,1610725440000,6.92,6.85,6.869,41514
6.875,1610725500000,6.9016,6.87,6.9001,15129
6.865,1610725560000,6.9,6.86,6.88,30652
6.9465,1610725620000,6.955,6.86,6.8632,99525
7.04,1610725680000,7.04,6.94,6.95,81475
7.1101,1610725740000,7.1316,7.03,7.04,107225
7.2,1610725800000,7.2,7.09,7.115,100561
7.2132,1610725860000,7.28,7.17,7.19,144248
7.09,1610725920000,7.215,7.06,7.215,101301
7.0701,1610725980000,7.15,7.06,7.08,47185
7.13,1610726040000,7.15,7.0701,7.0701,79617
7.09,1610726100000,7.16,7.07,7.1301,48252
7.0716,1610726160000,7.095,7.03,7.09,53148
7.11,1610726220000,7.1189,7.0706,7.0706,30936
7.085,1610726280000,7.1,7.07,7.1,39322
7.11,1610726340000,7.12,7,7.0884,74487
7.14,1610726400000,7.16,7.1037,7.1037,43546
7.1316,1610726460000,7.15,7.11,7.14,37506
7.1299,1610726520000,7.14,7.12,7.125,11172
7.0695,1610726580000,7.13,7.06,7.1284,19132
7.02,1610726640000,7.065,7.01,7.065,34950
7.0287,1610726700000,7.0316,7,7.02,56520
7.0108,1610726760000,7.05,7,7.0201,62881
7.0058,1610726820000,7.015,7,7.01,13754
6.97,1610726880000,7.0084,6.96,7,27213
6.97,1610726940000,6.97,6.91,6.965,69468
6.905,1610727000000,6.995,6.9,6.98,39826
6.92,1610727060000,6.93,6.9,6.9043,23185
6.925,1610727120000,6.93,6.91,6.93,27361
6.9099,1610727180000,6.92,6.9,6.92,42596
6.8474,1610727240000,6.91,6.83,6.91,26983
6.8092,1610727300000,6.8516,6.8,6.85,29404
6.8192,1610727360000,6.83,6.8,6.8,26601
6.8,1610727420000,6.8196,6.8,6.815,21969
6.81,1610727480000,6.81,6.8,6.8,11918
6.82,1610727540000,6.83,6.8,6.8,30299
6.825,1610727600000,6.83,6.8,6.82,21192
6.855,1610727660000,6.8599,6.8,6.82,47891
6.9099,1610727720000,6.91,6.83,6.855,67674
6.89,1610727780000,6.94,6.8727,6.91,46673
6.92,1610727840000,6.93,6.88,6.8818,29482
6.9499,1610727900000,6.97,6.92,6.92,65208
6.98,1610727960000,7.02,6.9401,6.9492,45529
7,1610728020000,7,6.9701,6.98,35133
6.995,1610728080000,7.01,6.98,7,38449
7.025,1610728140000,7.06,6.995,6.9974,45909
7.01,1610728200000,7.03,6.995,7.025,31924
7.0084,1610728260000,7.02,7.005,7.005,5378
7.0507,1610728320000,7.065,7,7.005,58948
7.05,1610728380000,7.055,7.04,7.05,10417
7.05,1610728440000,7.07,7.04,7.0406,21832
7.07,1610728500000,7.07,7.053,7.055,9454
7.045,1610728560000,7.08,7.04,7.07,22192
7.0823,1610728620000,7.09,7.04,7.0408,30133
7.065,1610728680000,7.09,7.0601,7.09,26187
7.0784,1610728740000,7.09,7.065,7.065,35450
7.075,1610728800000,7.08,7.07,7.075,15676
7.0501,1610728860000,7.075,7.05,7.075,32437
7.065,1610728920000,7.09,7.05,7.05,25215
7.105,1610728980000,7.11,7.065,7.07,29367
7.1009,1610729040000,7.11,7.0816,7.11,20661
7.07,1610729100000,7.11,7.06,7.11,25521
7.065,1610729160000,7.07,7.06,7.065,11446
7.065,1610729220000,7.065,7.06,7.065,12868
7.09,1610729280000,7.09,7.06,7.065,23925
7.0601,1610729340000,7.09,7.06,7.085,24585
7.065,1610729400000,7.07,7.06,7.06,15461
7.055,1610729460000,7.07,7.05,7.0613,14994
7.065,1610729520000,7.07,7.05,7.055,16388
7.085,1610729580000,7.09,7.055,7.06,11264
7.0684,1610729640000,7.09,7.06,7.09,11889
7.075,1610729700000,7.0884,7.065,7.065,6904
7.075,1610729760000,7.085,7.07,7.075,13563
7.075,1610729820000,7.0798,7.07,7.07,6431
7.19,1610729880000,7.19,7.0719,7.075,51045
7.0954,1610729940000,7.19,7.0954,7.19,46579
7.08,1610730000000,7.108,7.07,7.09,28994
7.0003,1610730060000,7.075,7.0003,7.075,46512
6.998,1610730120000,7.005,6.99,7.005,67508
6.9916,1610730180000,7,6.99,6.995,4418
