Close,Datetime,High,Low,Open,Volume
405.86,1611930600000,406.59,400.2,400.75,38099
404,1611930660000,406.53,404,405.6,8019
401.25,1611930720000,404.14,401.25,403.98,1600
403,1611930780000,403,401.63,402.15,3645
401.79,1611930840000,403.5,401.57,402.51,2000
401.5,1611930900000,402.4099,400.0332,400.96,4097
400.27,1611930960000,401.42,399.0101,400.54,9134
399.17,1611931020000,400.9,398.5001,399.27,12615
399.18,1611931080000,399.84,398.2,398.81,5378
397.83,1611931140000,399.92,397.5,399.11,13635
397.1,1611931200000,399.2976,397,398,7527
397.2,1611931260000,398.49,397,397.49,10085
396.1182,1611931320000,398.04,396.11,397,10176
396.48,1611931380000,397.1499,395.0096,396.5045,20467
395.21,1611931440000,396.9799,394.5001,396.5,10301
395.75,1611931500000,396.5361,395.121,395.245,8900
397.14,1611931560000,397.52,395.82,396.58,9107
398.575,1611931620000,398.62,396.006,397.2,8838
399.5399,1611931680000,399.5399,397.0401,398.575,5918
396.405,1611931740000,399.29,396.405,399.22,12277
396.88,1611931800000,397,395.44,396.72,9233
396.25,1611931860000,397.15,396.22,396.59,4801
394.86,1611931920000,396.73,394.75,396.7299,12981
396.38,1611931980000,396.44,394.98,395.32,13453
396.015,1611932040000,397.6,395.37,396.24,15315
397.55,1611932100000,397.57,396.18,396.39,6451
396.05,1611932160000,397.61,396.05,397.6,4134
395.62,1611932220000,396.11,395.26,396.11,3246
397.4832,1611932280000,398.04,395.89,395.947,10559
395.24,1611932340000,396.92,395,396.92,8737
396.1148,1611932400000,396.47,395.5,395.5,3024
395.61,1611932460000,396.4898,395.5,396.14,3505
395.65,1611932520000,396.44,395.3302,396.19,5285
395.64,1611932580000,396.12,395.01,395.85,8715
397.08,1611932640000,397.5,395.83,396.1,5369
395.49,1611932700000,396.31,395.49,396.16,1478
393.75,1611932760000,395.83,393.5,395.46,20764
394.89,1611932820000,395.4344,393.44,393.58,4066
395.01,1611932880000,395.5,394.8603,394.99,2197
397.81,1611932940000,398.11,395.7,395.85,10785
398.72,1611933000000,399.25,397.79,397.8,7446
397.76,1611933060000,398.79,397.3,398.63,5972
398.8201,1611933120000,399.3599,397.81,397.81,4289
397.12,1611933180000,399.35,397.12,398.84,7834
397.89,1611933240000,398.11,397.17,397.5413,4864
397.7501,1611933300000,398.27,397.32,398.11,4628
397.53,1611933360000,397.9173,396.75,397.59,2744
397.66,1611933420000,398.27,397.21,397.64,7303
397.12,1611933480000,397.86,396.99,397.67,400
397.2001,1611933540000,398.1445,397.2001,397.45,6550
398.59,1611933600000,398.59,397.28,397.28,4548
397.61,1611933660000,398.63,397.61,398.63,4357
397.77,1611933720000,398.11,397.5,397.5,5862
397.9,1611933780000,398.04,397.29,397.97,7446
398.24,1611933840000,398.38,397,397.9,21619
398.24,1611933900000,398.2444,397.5,398.09,3460
398.8,1611933960000,399,398.0601,398.48,6913
398.9845,1611934020000,399.52,398.615,398.78,8507
398.52,1611934080000,399.42,398.47,398.89,5875
397.2,1611934140000,398.51,397.0801,398.51,5350
397.68,1611934200000,397.92,397,397.225,16023
396.5,1611934260000,398,396.5,397.54,3027
396.5,1611934320000,396.59,395.82,396,2075
396.22,1611934380000,396.62,395.28,396.15,5338
395.8454,1611934440000,395.8454,395.0048,395.5388,4084
394.77,1611934500000,395.4,394.52,395.23,62096
393.24,1611934560000,394.8299,393.1755,394.65,17068
394.565,1611934620000,394.66,393.25,393.55,6458
395.1127,1611934680000,395.1805,394.25,394.375,4514
396.63,1611934740000,396.9399,394.5101,394.5101,9650
397.31,1611934800000,397.9644,396.48,396.615,7379
397.9718,1611934860000,397.9799,396.62,397.16,3251
397,1611934920000,398.5,396.6846,397.97,5938
397.89,1611934980000,398.2413,397.394,397.394,1864
