Close,Datetime,High,Low,Open,Volume
127.15,1582005600000,133.55,125.24,131.66,19482375
126.56,1582092000000,131.6,126.4,129.22,17247330
124.08,1582178400000,127.79,121.12,127.25,15397007
119.38,1582264800000,123.75,118.24,122.95,12571066
116.99,1582524000000,118,108.05,110.3,16435534
118.67,1582610400000,120.4899,113.06,119.48,14532957
112.71,1582696800000,119.36,112.33,118.29,9769336
110.03,1582783200000,115.2,105.5685,106.88,15852128
113.67,1582869600000,114.12,106,107,12392755
114.67,1583128800000,116.16,111.33,115.49,9298131
108.62,1583215200000,114.75,106.42,113.98,11612323
109.61,1583301600000,110.45,105.6531,110.01,8881232
106.44,1583388000000,110.0765,105.66,108.2,8623366
102.02,1583474400000,105.3,98.6,104.35,11841524
96.26,1583730000000,101.95,90.4,91,10503215
97.3,1583816400000,101.06,92.75,101.06,9694177
90.63,1583902800000,97.35,89.15,96.38,8764425
78.81,1583989200000,86.6399,78.8,80.65,13580474
80.95,1584075600000,83.48,74.25,82.71,11943993
63.84,1584334800000,76.47,63.59,74.7,14455803
69.46,1584421200000,75.79,58.22,60.3,24859201
67.5,1584507600000,74.85,61.5,64.785,19522017
74.12,1584594000000,75.5414,67.2201,69.47,13199827
76.13,1584680400000,80.08,73.16,76.52,13755047
89.46,1584939600000,90.44,74.77,77.37,18705860
97.2,1585026000000,101.78,92.1001,96.5,17774347
94.85,1585112400000,100,88.88,97.85,15629748
89.75,1585198800000,96.437,87,93.2,15247800
87.45,1585285200000,89.5,83.13,87.4,9820742
89.61,1585544400000,90.8498,86.15,88.95,7899543
87.48,1585630800000,94.7,87.08,89.16,9175507
82.42,1585717200000,86.5,81.64,84.98,8694551
82.53,1585803600000,84.6218,80.75,81.41,5268774
81.46,1585890000000,83.34,79.38,82.28,4738109
89.49,1586149200000,90.44,83.5,83.71,7148433
87.8,1586235600000,93.68,86.56,92.85,6192990
87.81,1586322000000,92.15,87.52,88.9004,6446886
92.45,1586408400000,94.1016,89.13,90.1,7271763
96.56,1586754000000,96.8,91.07,92.5,8648443
106.53,1586840400000,108.6,102.42,107.99,22987861
113,1586926800000,114.32,101.97,102.42,18210721
128,1587013200000,132.4,115.1,117,38289480
126.8,1587099600000,128.01,118.559,123.68,20691751
130.04,1587358800000,135.47,127.35,127.85,18823122
123.56,1587445200000,132.74,118.1201,131.75,19014497
122.19,1587531600000,125.732,119.25,124.43,12271221
123.06,1587618000000,128.4,122.2132,123,11360861
124.83,1587704400000,126.02,121.64,124.86,7635995
128.63,1587963600000,130.36,125.32,126.3,6580570
119.36,1588050000000,127.26,118.5101,126.05,13001587
119.52,1588136400000,122.86,116.65,119.185,8984944
121.23,1588222800000,124.5,118.6993,119.165,8027682
114.02,1588309200000,122,111.3601,119.55,9717854
124.3,1588568400000,124.33,112.69,113.46,14551633
123.49,1588654800000,126.77,121.77,126.3,9657805
127.52,1588741200000,128.95,122.51,123.54,10567091
137.5,1588827600000,138.79,130.28,131.2,22127781
126.66,1588914000000,133.67,124.345,125.57,29648136
132.18,1589173200000,132.88,124.6,125.02,14463853
127.16,1589259600000,134.98,126.6801,132.69,11524266
117.56,1589346000000,128.55,114.6,128.28,18672264
116.6,1589432400000,120.7,115.06,117.5,12161100
112.93,1589518800000,116.79,112.48,115.82,9708498
118.45,1589778000000,120.09,114.5169,114.53,9362843
116.02,1589864400000,119.99,115.03,118.87,6676783
117.04,1589950800000,119.92,114.2494,118.5,8665556
114.7,1590037200000,116.56,112.0701,116.36,7715740
108.51,1590123600000,114.4,107.62,111.63,11992019
107.59,1590469200000,111.6607,107.3,110.21,8255852
106.56,1590555600000,109.09,101.56,107.34,7960772
109.2,1590642000000,110.84,104.88,105.63,7472425
109.51,1590728400000,112.12,107.31,109.85,6830394
112.95,1590987600000,114.2,108.4,109.1653,6974119
110.82,1591074000000,114.38,108.87,113.72,6356971
103.96,1591160400000,111.35,103.9,111,13477493
102.93,1591246800000,107.75,101.8,104,11763664
104.38,1591333200000,104.5,100.19,103.95,10496236
112.95,1591592400000,113.02,103.97,105.53,9120362
113.25,1591678800000,115.17,108.6009,112.44,9760459
113.8,1591765200000,116.28,110.22,114.49,8123735
106.95,1591851600000,114.92,106.24,108.69,8314027
108.07,1591938000000,110.16,105.3,108.81,7460366
107.49,1592197200000,107.64,103.94,107.17,5940034
120.81,1592283600000,120.85,107.7,109.81,17193425
117.32,1592370000000,123.1,115.78,119.48,14462364
127.79,1592456400000,129.19,117.73,117.75,19343497
128.5,1592542800000,132.17,124.75,128.17,18937186
129.78,1592802000000,134.81,128.51,129.5,13285637
127.88,1592888400000,132.42,127.325,131,8997654
123.35,1592974800000,129.9288,120.42,127.13,8242087
123.6,1593061200000,125,120.57,123,4810116
122.55,1593147600000,126.55,120.26,124.82,7984056
115.05,1593406800000,123.2092,112.11,122.4,12073777
116.53,1593493200000,117.87,113.88,115.1,5845926
128.39,1593579600000,129.44,116.35,117.3,15001827
128.65,1593666000000,132.5,125.195,128.47,12158069
132.03,1594011600000,135.97,128.66,130.86,10413884
130.42,1594098000000,135.81,129.4,131.69,7458937
133.76,1594184400000,135.14,130.7001,131.88,6408142
149.69,1594270800000,149.98,136.28,136.5,25309442
153.05,1594357200000,159.88,147.26,147.82,24628168
149.06,1594616400000,166.1836,147.42,158.99,18541457
150.36,1594702800000,156.364,142.1472,149.51,12712257
154.21,1594789200000,155.88,147.59,150.98,9203160
153.31,1594875600000,157.28,149.48,152.72,8910187
148.36,1594962000000,153.71,147.95,150.99,6527409
150.46,1595221200000,151.63,146.58,148.78,6177844
153.36,1595307600000,159.06,150.22,152.78,9381667
152.17,1595394000000,156,150.82,153.53,3576100
150.16,1595480400000,158.47,148.04,152.22,7138757
151.17,1595566800000,153.1,145.17,147.244,4891509
155.97,1595826000000,156.58,151.55,153.34,5140619
148.75,1595912400000,155.95,148.5,154.39,5496831
151.57,1595998800000,154.42,149.2001,150,4599213
150.35,1596085200000,154.02,149.24,150.16,3458186
154.89,1596171600000,158.27,151.1203,153.61,8087277
161.82,1596430800000,163.42,156.62,158.36,8886606
166.44,1596517200000,168.15,163.305,164.23,8704308
165.42,1596603600000,169.14,163.75,164.85,12796111
153.87,1596690000000,160.5,150.0503,159.57,19647035
156.39,1596776400000,164.73,153.39,154.45,15904116
150.41,1597035600000,157.79,147.5558,157.42,6280343
146.41,1597122000000,152.25,143.21,149.28,5630840
146.98,1597208400000,153.85,146.66,151.45,10277180
149.97,1597294800000,152.005,146.81,148.6185,5544661
146.85,1597381200000,152.5,146.2,150.85,3854973
145.71,1597640400000,148.27,143.36,147.77,4907425
149.85,1597726800000,152.19,146.51,147.3,5945820
147.37,1597813200000,150.8899,146.1727,149,4333671
148.89,1597899600000,151.89,146.42,147.31,4492910
147.13,1597986000000,150.5608,146.6,148.95,3544280
148.58,1598245200000,149.7,145.6,149.5,4350896
147.77,1598331600000,148.715,145.86,148,3577572
164.28,1598418000000,167.17,151.1301,151.61,17714783
160.97,1598504400000,166.15,157.86,162.59,7424980
172.85,1598590800000,177.54,161.5,162,26709825
173.48,1598850000000,175.5101,168.06,172.51,10227085
179.27,1598936400000,185.44,176.63,176.9965,10575667
178.32,1599022800000,183.76,171.03,183.76,8279562
166.9,1599109200000,176.48,165.08,172.18,8175479
159.91,1599195600000,167.42,150.38,165,7218555
162.63,1599541200000,170.44,155,155.0842,11271261
161.18,1599627600000,166.8,159.08,166.07,6125401
159.44,1599714000000,168.6,158.9326,162.24,5310831
155.46,1599800400000,161.5,152.62,160.7528,5037086
157.73,1600059600000,160.2,155.4,157.06,5009864
168.52,1600146000000,170.4399,161.77,162.715,10223589
169.99,1600232400000,174.19,167.71,168,8092496
164.67,1600318800000,168.1323,161.3601,165.86,6320792
160.47,1600405200000,165.78,157.54,165.232,9286668
188.82,1600664400000,189.8,163.5401,166.05,35514976
193.79,1600750800000,195.36,182.5,187.38,20693156
187.25,1600837200000,200.73,185,193.49,18585117
178.27,1600923600000,184.97,177.68,183.57,10836107
182.43,1601010000000,186.9588,176.6303,182.6674,8288036
186.29,1601269200000,189.01,181.66,185,5653581
187.87,1601355600000,190.34,183.22,186.2,6243442
188.8,1601442000000,193.55,185.856,187.89,6795956
200.34,1601528400000,200.47,192.7,192.83,9732140
200,1601614800000,203.56,194.8,195.37,7415315
204.16,1601874000000,204.94,197.9501,201.39,5171513
204.83,1601960400000,208.96,202.66,203.76,5504880
212.55,1602046800000,214.26,207.5,207.95,5165809
223.84,1602133200000,228.33,219.33,221.96,12767712
223.95,1602219600000,226.83,221.63,226.05,7254511
221.68,1602478800000,227,221.35,226.2028,5775833
238.575,1602565200000,239.1399,219.02,221.1,8305730
233.05,1602651600000,238.33,228.79,237.35,6624592
226.47,1602738000000,230.0664,223.65,225,4741012
222.32,1602824400000,231.4399,222.19,227.66,4021691
222.14,1603083600000,228.6199,220.18,223.71,4396241
218.4,1603170000000,224.98,217.23,223.63,3742486
222.78,1603256400000,227.49,216.2701,218,5073563
222.36,1603342800000,229.45,218.9,223.49,3500152
223.96,1603429200000,224.88,218.5,223.3,2170843
218.42,1603688400000,229.55,216.74,223.63,3136753
225.07,1603774800000,226.5,217.18,219.74,2773391
217.4,1603861200000,224.96,215.64,222,2172579
217.93,1603947600000,221.58,214.631,219.8,2383402
202.4,1604034000000,218.1299,200.45,217.1,4607977
206.88,1604296800000,212.8,203.71,205.66,3512040
203.49,1604383200000,209.3099,196.52,208.55,6691535
215.68,1604469600000,215.72,205.04,208.13,3584230
225.06,1604556000000,226.59,217.1201,221.975,7754541
253.36,1604642400000,255.66,228.89,235.99,16526943
221.91,1604901600000,240.88,220.88,231.5591,11659328
216.98,1604988000000,228.2,207.5,227.84,7618350
231.43,1605074400000,232.0798,217.69,220.01,7432963
230.9,1605160800000,236.65,227.61,231.24,5072354
228.1,1605247200000,236.44,225,232.59,4185375
232.7,1605506400000,232.89,220.6,222.2,2971567
237.13,1605592800000,242.46,232.2,233,5169420
231.99,1605679200000,239.1894,231.5,235.88,2751930
255.67,1605765600000,257.49,235.6001,236.16,12021959
263.14,1605852000000,265.97,254.79,257.09,6669636
276.58,1606111200000,279.5,268.6,270,7852603
273.01,1606197600000,283.9999,268.14,279.5,6320929
278.06,1606284000000,278.78,270.77,275,3135167
275.34,1606456800000,280.6,273.01,279.7,2480944
293.57,1606716000000,293.65,274.28,275.39,6194160
285.71,1606802400000,292.81,279.38,290.5,4516199
281.33,1606888800000,284.5316,273.79,281.44,3117781
289.1,1606975200000,292.1,281.55,281.96,3190531
296.38,1607061600000,298.13,286.0001,290.19,3748607
299.98,1607320800000,302.6175,289,295.65,3803044
306.13,1607407200000,307.63,297.25,299.98,2605089
306.23,1607493600000,328.74,303.16,315.11,9820728
321.99,1607580000000,322.0895,300.07,301,4435928
330.87,1607666400000,331.87,316.9,321,5441740
324.32,1607925600000,336.17,319.37,332.9989,4124703
320.14,1608012000000,331.1,319.01,325.41,3372550
325.82,1608098400000,327.96,320.27,321.2,3349706
329.48,1608184800000,352.12,326.5,346.65,14082093
340.71,1608271200000,343.6,329.4801,331.98,6843490
354,1608530400000,358.79,341.54,344,6435198
354.71,1608616800000,361.6829,344.4816,356.33,5475292
360.56,1608703200000,361.04,344.21,355,3781622
356.99,1608789600000,363.44,355.13,360.1719,1846127
340.41,1609135200000,360.9999,339.1201,359.5,4726524
339.57,1609221600000,344.94,332.05,339.96,3639140
338.74,1609308000000,344.4399,333.5,339.167,3215275
332.02,1609394400000,339.91,330.818,337.5,2086364
317.9,1609740000000,340,316.46,339.98,4919713
335.18,1609826400000,335.38,320.5,320.8,4506492
342.95,1609912800000,347.9536,320.21,325.04,7546926
379.29,1609999200000,379.39,352,352.01,8091042
399.13,1610085600000,402.85,387.175,391.35,8410817
403.13,1610344800000,416.22,390.03,390.3,5850650
415.29,1610431200000,419.75,405.5601,407.9,4766175
408.6,1610517600000,422.9999,404.503,419.3,4036917
418.46,1610604000000,422.52,410.109,410.81,3416864
408.3,1610690400000,425.99,407.09,418,3365868
434.14,1611036000000,438.36,420.0918,420.73,6043327
428.5,1611122400000,448.17,425.6047,442.82,4352990
423.64,1611208800000,430.9997,418.886,429.31,3272740
422.85,1611295200000,429.8899,418.33,422,2989751
426.64,1611554400000,443.85,415.01,430.89,4770271
403.4,1611640800000,429.39,400.31,424.98,4229847
402.26,1611727200000,420,383.6,394.95,5698388
404.01,1611813600000,409.114,392.1835,409.1,3558832
389.03,1611900000000,406.59,384.0301,400.2,3853206
416.2,1612159200000,416.34,393.19,395.33,3774472
418.75,1612245600000,420.57,409,420,2750429
425.07,1612332000000,432.61,421.875,422.495,2400460
432.68,1612418400000,432.75,420.9959,427.89,1887344
439.89,1612504800000,443.2,430.912,435.21,2646191
434.63,1612764000000,449.1947,431.82,444.02,3056625
467.3,1612850400000,484.8499,433.53,436.46,8053741
469.69,1612936800000,478.65,449.4201,469.22,4002484
465.69,1613023200000,479.95,462.955,474.39,2796999
468.67,1613109600000,470.35,457.06,463.85,2115676
469.7,1613455200000,486.72,466.28,476.99,3726504
