Close,Datetime,High,Low,Open,Volume
1.35,1582005600000,1.4,1.12,1.16,5903369
1.47,1582092000000,1.75,1.38,1.49,7704795
1.55,1582178400000,1.7,1.49,1.65,5224586
1.44,1582264800000,1.61,1.39,1.54,3503880
1.62,1582524000000,1.68,1.5,1.62,5999180
1.62,1582610400000,1.78,1.55,1.7,8773669
1.54,1582696800000,1.65,1.49,1.62,3641656
1.39,1582783200000,1.5,1.3,1.45,3210154
1.4,1582869600000,1.41,1.2,1.37,3283870
1.6,1583128800000,1.7,1.4,1.42,4795420
1.46,1583215200000,1.68,1.44,1.68,2795388
1.56,1583301600000,1.58,1.4622,1.5,1526051
1.54,1583388000000,1.6,1.48,1.5,1348007
1.46,1583474400000,1.535,1.43,1.47,1590410
1.24,1583730000000,1.37,1.22,1.3,1997951
1.25,1583816400000,1.34,1.22,1.34,1472589
1.08,1583902800000,1.28,1.06,1.23,2489055
0.907,1583989200000,1.03,0.88,0.9815,2719667
0.853,1584075600000,0.853,0.6811,0.8,5928455
0.71,1584334800000,0.76,0.6101,0.76,1924555
0.7687,1584421200000,0.7687,0.66,0.7456,1835279
0.62,1584507600000,0.78,0.5657,0.75,2916394
0.6409,1584594000000,0.68,0.5901,0.61,1933444
0.6372,1584680400000,0.75,0.6229,0.74,2136260
0.5676,1584939600000,0.65,0.538,0.6,2441534
0.56,1585026000000,0.64,0.5225,0.64,3380060
0.815,1585112400000,1.05,0.58,0.5953,6839833
0.7,1585198800000,0.82,0.69,0.78,3510609
0.66,1585285200000,0.71,0.63,0.7,2637402
0.6348,1585544400000,0.66,0.58,0.62,2675549
0.6335,1585630800000,0.65,0.6,0.65,1295093
0.5687,1585717200000,0.61,0.563,0.61,1151484
0.55,1585803600000,0.59,0.54,0.56,1414262
0.5251,1585890000000,0.5643,0.5073,0.5643,1024403
0.6,1586149200000,0.6093,0.5586,0.56,1617862
0.6093,1586235600000,0.6472,0.6,0.634,1322891
0.6481,1586322000000,0.6481,0.601,0.625,931282
0.6741,1586408400000,0.7154,0.61,0.6403,1177939
0.65,1586754000000,0.69,0.6467,0.69,844573
0.6921,1586840400000,0.71,0.66,0.6685,753347
0.6799,1586926800000,0.71,0.65,0.7,902018
0.67,1587013200000,0.7,0.65,0.7,1022094
0.69,1587099600000,0.7,0.651,0.7,769173
0.6891,1587358800000,0.7079,0.66,0.69,1316306
0.6563,1587445200000,0.6876,0.6547,0.67,733654
0.6043,1587531600000,0.72,0.59,0.72,2401412
0.5834,1587618000000,0.6255,0.56,0.611,1667810
0.6044,1587704400000,0.63,0.58,0.6002,1456526
0.6257,1587963600000,0.6479,0.615,0.629,2131650
0.5989,1588050000000,0.64,0.59,0.64,1506252
0.6,1588136400000,0.6251,0.5901,0.6155,2450822
0.57,1588222800000,0.605,0.57,0.6,1599126
0.54,1588309200000,0.5788,0.533,0.5723,1957950
0.5387,1588568400000,0.5498,0.515,0.54,1541989
0.53,1588654800000,0.5597,0.53,0.54,1206318
0.534,1588741200000,0.554,0.5283,0.531,1737987
0.5358,1588827600000,0.5855,0.53,0.56,4595902
0.5346,1588914000000,0.558,0.53,0.5565,2006489
0.5252,1589173200000,0.5591,0.52,0.5591,2008703
0.528,1589259600000,0.569,0.528,0.53,4001291
0.5235,1589346000000,0.545,0.51,0.5323,2334612
0.49,1589432400000,0.525,0.47,0.525,4478663
0.4793,1589518800000,0.519,0.4744,0.519,2326610
0.48,1589778000000,0.505,0.4729,0.5,2608239
0.4688,1589864400000,0.527,0.4626,0.48,7077050
0.475,1589950800000,0.4824,0.45,0.47,3248160
0.4614,1590037200000,0.4829,0.4515,0.475,2711069
0.4646,1590123600000,0.476,0.4535,0.47,2007758
0.4771,1590469200000,0.5,0.4616,0.48,4171347
0.5018,1590555600000,0.5339,0.485,0.5199,5714831
