Close,Datetime,High,Low,Open,Volume
3.5091,1612794600000,3.56,3.5,3.53,1454510
3.4,1612794660000,3.5198,3.4,3.5,790792
3.45,1612794720000,3.46,3.36,3.4,681579
3.58,1612794780000,3.59,3.45,3.45,884402
3.63,1612794840000,3.64,3.5619,3.58,986566
3.6499,1612794900000,3.66,3.6,3.63,802230
3.645,1612794960000,3.7,3.64,3.645,1038509
3.6511,1612795020000,3.675,3.61,3.6411,500764
3.69,1612795080000,3.7,3.65,3.65,543403
3.6489,1612795140000,3.69,3.63,3.6813,739013
3.595,1612795200000,3.6499,3.57,3.6499,692402
3.57,1612795260000,3.6,3.56,3.595,494452
3.551,1612795320000,3.57,3.5203,3.5627,538946
3.5119,1612795380000,3.58,3.51,3.55,616075
3.5198,1612795440000,3.53,3.5,3.51,665989
3.4698,1612795500000,3.52,3.45,3.52,622560
3.4899,1612795560000,3.49,3.45,3.47,396929
3.5299,1612795620000,3.54,3.48,3.48,495699
3.5789,1612795680000,3.58,3.52,3.53,412021
3.55,1612795740000,3.58,3.54,3.5799,282487
3.565,1612795800000,3.585,3.55,3.5589,401072
3.53,1612795860000,3.57,3.51,3.5601,254333
3.5501,1612795920000,3.57,3.52,3.535,145112
3.525,1612795980000,3.56,3.52,3.56,177852
3.48,1612796040000,3.54,3.47,3.525,591216
3.505,1612796100000,3.52,3.47,3.48,301406
3.5123,1612796160000,3.52,3.5,3.505,170340
3.515,1612796220000,3.52,3.5,3.52,242617
3.5084,1612796280000,3.52,3.5,3.52,113515
3.475,1612796340000,3.5098,3.46,3.5,340724
3.4801,1612796400000,3.49,3.47,3.47,186419
3.495,1612796460000,3.4987,3.48,3.48,136183
3.53,1612796520000,3.5381,3.49,3.4904,232030
3.57,1612796580000,3.57,3.53,3.5399,308864
3.57,1612796640000,3.58,3.56,3.57,319659
3.59,1612796700000,3.6,3.56,3.575,328946
3.59,1612796760000,3.6,3.57,3.59,194824
3.62,1612796820000,3.62,3.59,3.59,470917
3.64,1612796880000,3.64,3.61,3.6197,467742
3.62,1612796940000,3.65,3.61,3.64,537409
3.61,1612797000000,3.65,3.61,3.62,464305
3.625,1612797060000,3.65,3.61,3.62,352979
3.66,1612797120000,3.6789,3.62,3.625,396266
3.665,1612797180000,3.68,3.65,3.65,271526
3.65,1612797240000,3.67,3.65,3.665,249161
3.625,1612797300000,3.66,3.62,3.66,295793
3.61,1612797360000,3.639,3.61,3.6213,231165
3.61,1612797420000,3.63,3.6,3.615,290285
3.6689,1612797480000,3.67,3.6114,3.6114,421402
3.735,1612797540000,3.74,3.66,3.66,1348251
3.75,1612797600000,3.7609,3.72,3.74,1216607
3.786,1612797660000,3.79,3.68,3.7484,911499
3.78,1612797720000,3.79,3.76,3.78,494538
3.705,1612797780000,3.79,3.68,3.79,715184
3.7477,1612797840000,3.75,3.7,3.71,330988
3.7611,1612797900000,3.82,3.74,3.7411,1336794
3.7811,1612797960000,3.81,3.75,3.77,421506
3.7306,1612798020000,3.79,3.72,3.785,397546
3.68,1612798080000,3.74,3.67,3.74,980013
3.71,1612798140000,3.72,3.68,3.685,302431
3.69,1612798200000,3.72,3.68,3.71,314466
3.68,1612798260000,3.7,3.67,3.69,453889
3.6613,1612798320000,3.68,3.63,3.675,672405
3.64,1612798380000,3.67,3.64,3.66,281248
3.64,1612798440000,3.66,3.63,3.6499,255286
3.6414,1612798500000,3.65,3.62,3.6407,437448
3.6399,1612798560000,3.67,3.63,3.64,286308
3.6302,1612798620000,3.645,3.62,3.64,250027
3.6389,1612798680000,3.64,3.62,3.6384,184100
3.645,1612798740000,3.66,3.62,3.63,270730
3.6,1612798800000,3.64,3.58,3.64,635492
3.62,1612798860000,3.63,3.58,3.59,327789
3.593,1612798920000,3.63,3.59,3.6201,168803
3.57,1612798980000,3.6,3.535,3.6,589501
3.605,1612799040000,3.62,3.56,3.58,416742
3.5981,1612799100000,3.62,3.58,3.6,365039
3.6289,1612799160000,3.63,3.59,3.595,356648
3.64,1612799220000,3.64,3.61,3.62,197144
3.64,1612799280000,3.66,3.63,3.63,258084
3.65,1612799340000,3.66,3.63,3.6387,208487
3.64,1612799400000,3.65,3.61,3.64,176583
3.615,1612799460000,3.65,3.61,3.65,201742
3.5811,1612799520000,3.6189,3.58,3.61,209212
3.5881,1612799580000,3.6,3.58,3.585,124579
3.59,1612799640000,3.595,3.56,3.59,305195
3.595,1612799700000,3.6,3.58,3.5909,88258
3.595,1612799760000,3.6,3.59,3.5901,121232
3.6,1612799820000,3.6,3.59,3.5919,73316
3.59,1612799880000,3.6,3.59,3.595,95624
3.6189,1612799940000,3.63,3.59,3.5908,580485
3.6095,1612800000000,3.62,3.6,3.6116,201240
3.5601,1612800060000,3.61,3.56,3.605,257689
3.575,1612800120000,3.58,3.54,3.57,391455
3.59,1612800180000,3.59,3.57,3.5711,116252
3.57,1612800240000,3.59,3.56,3.59,101431
3.5719,1612800300000,3.58,3.56,3.5799,120433
3.5614,1612800360000,3.59,3.56,3.575,211289
3.5797,1612800420000,3.59,3.56,3.57,197642
3.5789,1612800480000,3.59,3.57,3.5787,124772
3.5889,1612800540000,3.59,3.57,3.58,148308
3.5811,1612800600000,3.59,3.58,3.5802,82029
3.59,1612800660000,3.6,3.58,3.59,140368
3.59,1612800720000,3.6,3.58,3.59,102726
3.59,1612800780000,3.62,3.59,3.59,237394
3.54,1612800840000,3.6,3.52,3.6,527992
3.52,1612800900000,3.54,3.51,3.53,418141
3.5213,1612800960000,3.54,3.51,3.52,265305
3.51,1612801020000,3.54,3.51,3.52,285825
3.51,1612801080000,3.5295,3.5,3.51,288861
3.425,1612801140000,3.515,3.4,3.515,1716131
3.4498,1612801200000,3.45,3.42,3.42,359591
