Close,Datetime,High,Low,Open,Volume
4.04,1612881000000,4.09,4,4.09,1045761
4.0211,1612881060000,4.1,4,4.04,701110
4.0185,1612881120000,4.03,3.94,4.02,940745
4,1612881180000,4.03,3.95,4.0194,637829
4.023,1612881240000,4.04,3.98,3.9981,397076
4.085,1612881300000,4.1,4.0219,4.0286,509348
4.115,1612881360000,4.14,4.08,4.085,1077080
4.175,1612881420000,4.2,4.11,4.1189,1295227
4.2405,1612881480000,4.25,4.1701,4.175,1363732
4.2,1612881540000,4.25,4.16,4.245,1275938
4.13,1612881600000,4.22,4.13,4.205,950508
4.0011,1612881660000,4.14,3.98,4.14,1060022
4.015,1612881720000,4.03,3.98,4.01,633405
4.09,1612881780000,4.1,3.99,4.02,738160
4.09,1612881840000,4.12,4.06,4.0899,453834
4.0911,1612881900000,4.1,4.07,4.0983,414693
4.115,1612881960000,4.13,4.09,4.0981,385840
4.1095,1612882020000,4.13,4.1,4.1181,391349
4.0611,1612882080000,4.12,4.04,4.1199,501164
4.03,1612882140000,4.0781,4.02,4.06,472214
4.04,1612882200000,4.06,4.01,4.0309,361978
4.08,1612882260000,4.0881,4.0403,4.0498,218204
4.0487,1612882320000,4.085,4.02,4.08,314837
4.0684,1612882380000,4.07,4.0312,4.0447,316721
4.041,1612882440000,4.09,4.04,4.07,289619
4.01,1612882500000,4.05,4,4.045,426094
3.975,1612882560000,4.03,3.97,4.015,565706
3.9655,1612882620000,3.99,3.95,3.97,382321
3.9897,1612882680000,4,3.96,3.9606,351978
3.9689,1612882740000,4,3.96,3.99,359524
3.9789,1612882800000,3.985,3.95,3.97,233428
3.98,1612882860000,3.99,3.97,3.97,220016
3.9989,1612882920000,4,3.97,3.9889,201456
3.9911,1612882980000,4.02,3.99,4,401146
4.0095,1612883040000,4.01,3.98,3.995,259187
4,1612883100000,4.03,3.99,4.01,232743
3.98,1612883160000,4.01,3.97,4.005,210539
3.9611,1612883220000,3.98,3.96,3.9711,269172
3.9689,1612883280000,3.98,3.96,3.9611,161564
3.9589,1612883340000,3.98,3.95,3.97,255965
3.91,1612883400000,3.96,3.9,3.9511,899380
3.89,1612883460000,3.915,3.86,3.9011,884762
3.9298,1612883520000,3.95,3.88,3.895,528790
3.89,1612883580000,3.95,3.88,3.9219,255946
3.885,1612883640000,3.9,3.88,3.89,401125
3.8599,1612883700000,3.89,3.85,3.8897,334171
3.8711,1612883760000,3.88,3.81,3.86,696247
3.87,1612883820000,3.89,3.85,3.875,507124
3.88,1612883880000,3.88,3.84,3.865,328427
3.8781,1612883940000,3.88,3.86,3.88,248198
3.87,1612884000000,3.89,3.85,3.88,313084
3.9114,1612884060000,3.93,3.87,3.88,322846
3.9381,1612884120000,3.94,3.91,3.915,225451
3.91,1612884180000,3.94,3.89,3.94,350415
3.935,1612884240000,3.94,3.9081,3.91,393569
3.935,1612884300000,3.9489,3.93,3.94,223668
3.95,1612884360000,3.95,3.93,3.94,233026
3.96,1612884420000,3.975,3.95,3.95,407852
3.98,1612884480000,3.99,3.9595,3.96,278594
3.9857,1612884540000,4,3.98,3.9889,282724
3.96,1612884600000,4.01,3.95,3.99,670157
3.9496,1612884660000,3.97,3.92,3.955,173654
3.91,1612884720000,3.95,3.91,3.945,144643
3.9089,1612884780000,3.925,3.9,3.915,119441
3.9387,1612884840000,3.94,3.9,3.91,141271
3.9475,1612884900000,3.95,3.92,3.9397,237077
3.9603,1612884960000,3.97,3.93,3.94,163835
3.9601,1612885020000,3.97,3.9401,3.96,208476
3.96,1612885080000,3.98,3.95,3.97,275171
3.9795,1612885140000,3.98,3.95,3.9593,143020
3.965,1612885200000,3.9881,3.96,3.98,87635
3.965,1612885260000,3.98,3.95,3.97,244681
3.97,1612885320000,3.98,3.9511,3.96,148820
3.945,1612885380000,3.97,3.93,3.96,186101
3.9498,1612885440000,3.95,3.93,3.945,148804
3.9399,1612885500000,3.95,3.93,3.9485,135033
3.9299,1612885560000,3.9489,3.9289,3.94,146370
3.93,1612885620000,3.94,3.92,3.925,221062
3.9489,1612885680000,3.96,3.93,3.93,98163
3.9499,1612885740000,3.955,3.94,3.9497,64923
3.965,1612885800000,3.98,3.94,3.9411,153825
3.9683,1612885860000,3.98,3.96,3.965,333383
3.97,1612885920000,3.985,3.96,3.9699,163486
3.9599,1612885980000,3.98,3.95,3.97,178802
3.955,1612886040000,3.96,3.95,3.95,44041
3.945,1612886100000,3.9589,3.92,3.9589,166285
3.9799,1612886160000,3.99,3.9416,3.9496,191697
3.9717,1612886220000,3.99,3.97,3.9778,93492
3.97,1612886280000,3.98,3.9601,3.97,94261
3.9702,1612886340000,3.98,3.96,3.9681,171285
3.975,1612886400000,3.98,3.97,3.975,82315
3.9601,1612886460000,3.98,3.9601,3.9789,98209
3.965,1612886520000,3.98,3.96,3.964,145066
3.96,1612886580000,3.98,3.96,3.965,91808
3.9797,1612886640000,3.98,3.9601,3.9601,92887
3.96,1612886700000,3.98,3.96,3.9711,201806
3.9799,1612886760000,3.98,3.9614,3.965,217686
3.99,1612886820000,3.99,3.97,3.98,95768
3.9899,1612886880000,4,3.98,3.9889,279731
4.01,1612886940000,4.01,3.98,3.99,411745
4.0183,1612887000000,4.02,3.99,4.005,168361
4.0199,1612887060000,4.03,4.01,4.0111,223006
4.03,1612887120000,4.04,4.01,4.0181,307740
4.05,1612887180000,4.07,4.02,4.03,556724
4.0489,1612887240000,4.055,4.03,4.05,264767
4.035,1612887300000,4.075,4.03,4.0489,304548
4.015,1612887360000,4.04,4,4.04,187143
4.002,1612887420000,4.02,4,4.0111,107597
3.985,1612887480000,4.0089,3.97,4.005,157993
3.98,1612887540000,3.99,3.96,3.985,247845
3.99,1612887600000,3.99,3.97,3.9897,104565
3.973,1612887660000,3.99,3.96,3.9891,99101
3.9601,1612887720000,3.97,3.94,3.97,307120
3.9709,1612887780000,3.98,3.95,3.96,195332
3.9826,1612887840000,3.99,3.97,3.9714,129724
3.9807,1612887900000,3.99,3.975,3.9891,42785
4.0011,1612887960000,4.01,3.98,3.9811,108674
4.01,1612888020000,4.02,3.99,4,107204
3.9895,1612888080000,4.02,3.98,4.0199,135166
3.995,1612888140000,4,3.98,3.9881,121155
3.999,1612888200000,4.005,3.99,3.9963,96602
3.975,1612888260000,4.01,3.97,3.99,159952
3.97,1612888320000,3.99,3.96,3.9789,141873
3.96,1612888380000,3.97,3.95,3.9696,89967
3.9583,1612888440000,3.97,3.95,3.96,276702
3.96,1612888500000,3.97,3.95,3.96,177131
3.9789,1612888560000,3.98,3.95,3.9589,121921
3.969,1612888620000,3.98,3.955,3.97,301416
3.98,1612888680000,3.985,3.9611,3.97,62716
3.98,1612888740000,3.99,3.97,3.9789,186794
3.985,1612888800000,3.99,3.97,3.98,160287
3.9801,1612888860000,4,3.98,3.9811,86796
3.99,1612888920000,3.99,3.98,3.99,46218
3.9689,1612888980000,3.9899,3.96,3.9886,62961
3.965,1612889040000,3.97,3.95,3.965,113079
3.9789,1612889100000,3.98,3.965,3.965,55457
3.97,1612889160000,3.99,3.96,3.9799,63844
3.97,1612889220000,3.98,3.96,3.965,190488
3.9754,1612889280000,3.99,3.9681,3.9681,43005
3.975,1612889340000,3.98,3.97,3.9704,27373
3.98,1612889400000,3.98,3.97,3.9781,61252
3.935,1612889460000,3.98,3.93,3.975,177757
3.9189,1612889520000,3.9397,3.91,3.93,165380
3.88,1612889580000,3.92,3.86,3.9106,943177
3.9,1612889640000,3.9,3.87,3.87,275448
3.915,1612889700000,3.93,3.89,3.8989,181133
3.93,1612889760000,3.94,3.9,3.92,102098
3.9111,1612889820000,3.93,3.91,3.9286,76932
3.9111,1612889880000,3.93,3.9,3.92,117167
3.93,1612889940000,3.93,3.91,3.915,33716
3.9288,1612890000000,3.94,3.92,3.925,64276
3.92,1612890060000,3.93,3.9,3.9298,240383
3.9289,1612890120000,3.93,3.91,3.9181,64574
3.9089,1612890180000,3.9281,3.9,3.925,68209
3.9284,1612890240000,3.93,3.9,3.905,123999
3.92,1612890300000,3.93,3.92,3.92,79528
3.91,1612890360000,3.93,3.9,3.925,101206
3.9192,1612890420000,3.93,3.9,3.9101,87877
3.915,1612890480000,3.93,3.91,3.9189,46703
3.9,1612890540000,3.92,3.87,3.9189,277113
3.89,1612890600000,3.9,3.87,3.9,192834
3.8699,1612890660000,3.9,3.86,3.89,206338
3.8604,1612890720000,3.875,3.86,3.8689,227889
3.845,1612890780000,3.875,3.84,3.865,544251
3.87,1612890840000,3.875,3.84,3.84,301271
3.8586,1612890900000,3.88,3.85,3.87,153685
3.85,1612890960000,3.86,3.84,3.8511,164498
3.85,1612891020000,3.8593,3.84,3.8501,119899
3.8501,1612891080000,3.86,3.84,3.8411,75953
3.8681,1612891140000,3.88,3.85,3.85,83598
3.86,1612891200000,3.88,3.85,3.87,246902
3.87,1612891260000,3.88,3.85,3.8599,118345
3.8696,1612891320000,3.88,3.86,3.87,141733
3.8789,1612891380000,3.88,3.87,3.87,79935
3.88,1612891440000,3.88,3.87,3.8789,32273
