Close,Datetime,High,Low,Open,Volume
1.34,1582005600000,1.395,1.29,1.34,1795407
1.35,1582092000000,1.39,1.31,1.34,1010025
1.4,1582178400000,1.44,1.33,1.35,1245472
1.53,1582264800000,1.57,1.4,1.4,1583632
1.57,1582524000000,1.62,1.44,1.52,1476984
1.49,1582610400000,1.61,1.41,1.6,975904
1.46,1582696800000,1.51,1.32,1.48,948195
1.43,1582783200000,1.5,1.41,1.44,816298
1.42,1582869600000,1.56,1.31,1.4,1524251
1.48,1583128800000,1.54,1.4,1.44,1056600
1.48,1583215200000,1.5,1.35,1.45,945902
1.65,1583301600000,1.7,1.47,1.5,1522873
1.45,1583388000000,1.65,1.44,1.6,673430
1.33,1583474400000,1.475,1.33,1.45,494977
1.22,1583730000000,1.44,1.09,1.25,1910868
1.06,1583816400000,1.28,1.05,1.25,867819
0.911,1583902800000,1.14,0.91,1.14,831898
0.8101,1583989200000,1.05,0.68,0.841,1052156
0.7437,1584075600000,0.9026,0.67,0.83,794517
0.68,1584334800000,0.73,0.63,0.63,566783
0.6703,1584421200000,0.75,0.6701,0.75,320433
0.6099,1584507600000,0.7,0.57,0.6751,545718
0.6993,1584594000000,0.7,0.61,0.63,513795
0.79,1584680400000,0.9449,0.7,0.72,914214
0.7501,1584939600000,0.9265,0.6301,0.8295,553597
0.7938,1585026000000,0.86,0.75,0.8434,470625
0.8201,1585112400000,0.86,0.76,0.8111,596176
1.05,1585198800000,1.05,0.8301,0.86,1281688
1.04,1585285200000,1.16,0.87,0.99,1098492
0.95,1585544400000,1.04,0.95,0.99,421928
0.64,1585630800000,0.7499,0.51,0.57,3051357
0.5697,1585717200000,0.64,0.55,0.6101,1010854
0.4936,1585803600000,0.59,0.48,0.57,1496572
0.4713,1585890000000,0.54,0.4655,0.52,859987
0.5288,1586149200000,0.54,0.481,0.505,1287029
0.5175,1586235600000,0.55,0.49011,0.545,1054452
0.56,1586322000000,0.58,0.5,0.534,784811
0.6199,1586408400000,0.6199,0.5598,0.5722,1406921
0.59,1586754000000,0.62,0.55,0.61,507152
0.5894,1586840400000,0.5999,0.55,0.5999,333259
0.58,1586926800000,0.6,0.47,0.6,854197
0.5311,1587013200000,0.59,0.52,0.59,204927
0.56,1587099600000,0.57,0.535,0.5501,311611
0.58,1587358800000,0.6,0.53,0.55,720271
0.54,1587445200000,0.59,0.51,0.54,720485
0.52,1587531600000,0.55,0.515,0.515,364754
0.527,1587618000000,0.54,0.51,0.54,246276
0.5,1587704400000,0.54,0.495,0.54,626062
0.4934,1587963600000,0.54,0.47,0.528,1437423
0.495,1588050000000,0.525,0.48,0.5025,519985
0.4985,1588136400000,0.5,0.4901,0.4959,704620
0.57,1588222800000,0.59,0.4511,0.505,1914471
0.6354,1588309200000,0.67,0.55,0.5985,1284288
0.5783,1588568400000,0.65,0.5237,0.65,1009885
0.55,1588654800000,0.6,0.531,0.56,461482
0.56,1588741200000,0.59,0.52,0.56,439739
0.5152,1588827600000,0.58,0.5,0.5772,747569
0.5091,1588914000000,0.5483,0.5,0.525,556616
0.502,1589173200000,0.53,0.4948,0.53,638162
0.4926,1589259600000,0.5293,0.48,0.5271,1072655
0.39,1589346000000,0.5,0.39,0.5,2794240
0.3871,1589432400000,0.41,0.3701,0.4011,1407630
0.55,1589518800000,0.699,0.4515,0.4601,11981520
0.61,1589778000000,0.69,0.582,0.61,4765121
0.5789,1589864400000,0.615,0.55,0.615,1737186
0.554,1589950800000,0.59,0.53,0.5775,948156
0.605,1590037200000,0.62,0.5365,0.5775,2320213
0.8451,1590123600000,1.28,0.65,0.6537,50212649
0.9147,1590469200000,0.9837,0.83,0.92,7339764
0.86,1590555600000,0.93,0.811,0.904,3447667
0.88,1590642000000,0.96,0.831,0.88,4009186
0.851,1590728400000,0.9,0.85,0.8599,1419529
0.8565,1590987600000,0.885,0.75,0.844,1530233
0.83,1591074000000,0.87,0.81,0.8505,995913
0.8201,1591160400000,0.85,0.81,0.84,960524
0.812,1591246800000,0.825,0.77,0.8,1318439
0.82,1591333200000,0.85,0.755,0.8,2226486
1.09,1591592400000,1.1,0.85,0.8925,7401129
1.1,1591678800000,1.25,1.06,1.12,5321154
1.1,1591765200000,1.14,0.99,1.12,2174502
0.91,1591851600000,1.02,0.88,0.92,2188324
0.97,1591938000000,1.05,0.924,0.97,1283202
0.995,1592197200000,1.02,0.945,0.945,1017487
1.01,1592283600000,1.06,0.97,1.04,971518
0.9236,1592370000000,1.02,0.9131,1,1049363
0.9096,1592456400000,0.985,0.8977,0.93,1681808
0.87,1592542800000,0.95,0.85,0.9305,1026439
