Close,Datetime,High,Low,Open,Volume
1.91,1612958400000,1.95,1.9,1.93,1582592
1.93,1612958460000,1.94,1.9,1.91,645992
1.955,1612958520000,1.96,1.93,1.94,780652
1.98,1612958580000,1.98,1.95,1.955,763475
2,1612958640000,2,1.97,1.97,1726587
1.99,1612958700000,2,1.98,2,966006
1.98,1612958760000,1.99,1.96,1.99,846924
1.97,1612958820000,1.98,1.96,1.98,503753
1.975,1612958880000,1.98,1.96,1.97,452794
1.99,1612958940000,1.99,1.97,1.98,584589
2.02,1612959000000,2.02,1.98,1.99,2559116
2.025,1612959060000,2.03,2,2.02,1474691
2.005,1612959120000,2.03,1.99,2.02,1243648
1.98,1612959180000,2.02,1.97,2.005,1417475
1.99,1612959240000,1.99,1.97,1.98,569360
2,1612959300000,2,1.98,1.99,452930
1.98,1612959360000,2,1.97,2,696594
1.965,1612959420000,1.98,1.96,1.98,557126
1.98,1612959480000,1.98,1.96,1.96,298881
1.98,1612959540000,1.99,1.97,1.975,600927
1.98,1612959600000,1.99,1.97,1.99,280075
1.99,1612959660000,1.99,1.975,1.98,406543
1.965,1612959720000,1.99,1.96,1.99,707048
1.97,1612959780000,1.98,1.95,1.965,610628
1.965,1612959840000,1.97,1.95,1.97,378533
1.975,1612959900000,1.98,1.96,1.965,252597
1.975,1612959960000,1.98,1.97,1.975,219823
1.975,1612960020000,1.98,1.97,1.97,182278
1.985,1612960080000,1.99,1.975,1.975,516913
2,1612960140000,2,1.98,1.99,333425
2,1612960200000,2.01,1.99,2,933465
1.99,1612960260000,2.01,1.99,2.01,858848
1.98,1612960320000,1.99,1.97,1.99,410900
1.98,1612960380000,1.99,1.97,1.98,139042
1.985,1612960440000,1.99,1.98,1.985,252165
1.98,1612960500000,1.99,1.98,1.985,88372
1.985,1612960560000,1.99,1.98,1.98,258355
1.985,1612960620000,1.99,1.98,1.985,132567
1.985,1612960680000,1.99,1.98,1.985,117244
2,1612960740000,2.005,1.985,1.985,827783
2,1612960800000,2.01,1.99,2,314619
1.995,1612960860000,2,1.99,2,156211
1.995,1612960920000,2,1.99,1.995,132948
2.015,1612960980000,2.02,1.99,2,793276
2.03,1612961040000,2.04,2.01,2.02,989924
2.045,1612961100000,2.07,2.03,2.035,1177005
2.04,1612961160000,2.05,2.02,2.045,984394
2.06,1612961220000,2.07,2.04,2.04,619491
2.07,1612961280000,2.07,2.06,2.06,747043
2.04,1612961340000,2.08,2.04,2.065,1220899
2.05,1612961400000,2.06,2.04,2.05,411330
2.06,1612961460000,2.07,2.055,2.055,376959
2.05,1612961520000,2.07,2.05,2.065,852899
2.035,1612961580000,2.055,2.035,2.05,817485
2.035,1612961640000,2.04,2.03,2.03,317591
2.035,1612961700000,2.04,2.03,2.04,495170
2.04,1612961760000,2.05,2.03,2.035,594318
2.04,1612961820000,2.04,2.03,2.04,272455
2.035,1612961880000,2.04,2.03,2.035,163891
2.03,1612961940000,2.04,2.03,2.035,166641
2.015,1612962000000,2.04,2.01,2.03,833197
2.01,1612962060000,2.02,2.01,2.01,524553
2.005,1612962120000,2.02,2,2.01,1055527
2.005,1612962180000,2.01,2,2.01,669194
2.01,1612962240000,2.01,2,2,941083
2,1612962300000,2.01,1.99,2.01,1265641
1.99,1612962360000,2,1.99,1.99,496539
1.99,1612962420000,2,1.98,1.99,738938
1.995,1612962480000,2,1.99,1.995,293454
2,1612962540000,2,1.99,1.995,524776
2.005,1612962600000,2.01,1.99,2,1053812
2.02,1612962660000,2.02,2,2.01,1005672
2.015,1612962720000,2.03,2.01,2.02,746520
2.0199,1612962780000,2.02,2.01,2.02,379847
2.02,1612962840000,2.02,2.01,2.02,311457
2.01,1612962900000,2.02,2.01,2.01,352653
2.015,1612962960000,2.02,2.01,2.02,218242
2.03,1612963020000,2.03,2.01,2.02,718294
2.03,1612963080000,2.03,2.02,2.02,259766
2.03,1612963140000,2.03,2.02,2.025,371192
2.025,1612963200000,2.03,2.02,2.03,277576
2.02,1612963260000,2.03,2.02,2.025,230371
2.025,1612963320000,2.03,2.02,2.025,252153
2.025,1612963380000,2.03,2.02,2.02,506181
2.0299,1612963440000,2.03,2.02,2.025,287199
2.04,1612963500000,2.04,2.02,2.03,1293434
2.04,1612963560000,2.05,2.03,2.035,436062
2.05,1612963620000,2.05,2.04,2.05,746311
2.05,1612963680000,2.06,2.04,2.05,829580
2.07,1612963740000,2.07,2.05,2.055,763670
2.065,1612963800000,2.07,2.06,2.07,696994
2.055,1612963860000,2.07,2.05,2.065,831663
2.06,1612963920000,2.07,2.05,2.06,895536
2.04,1612963980000,2.06,2.04,2.06,1099774
2.04,1612964040000,2.05,2.04,2.045,458552
2.045,1612964100000,2.05,2.04,2.04,266310
2.05,1612964160000,2.05,2.04,2.045,244703
2.045,1612964220000,2.05,2.04,2.04,205227
2.03,1612964280000,2.05,2.03,2.045,775246
2.03,1612964340000,2.04,2.03,2.04,535896
2.04,1612964400000,2.05,2.03,2.03,925650
2.045,1612964460000,2.05,2.03,2.04,524930
2.05,1612964520000,2.05,2.04,2.05,252341
2.04,1612964580000,2.05,2.04,2.05,354073
2.05,1612964640000,2.05,2.03,2.045,505205
2.05,1612964700000,2.05,2.04,2.045,244766
2.06,1612964760000,2.07,2.04,2.05,1149032
2.055,1612964820000,2.07,2.05,2.06,631347
2.06,1612964880000,2.07,2.05,2.06,523037
2.09,1612964940000,2.1,2.06,2.06,1573661
2.1,1612965000000,2.11,2.08,2.09,1844144
2.08,1612965060000,2.1,2.07,2.1,1485422
2.08,1612965120000,2.08,2.05,2.075,1008491
2.08,1612965180000,2.09,2.07,2.08,650352
2.08,1612965240000,2.09,2.07,2.08,499276
2.075,1612965300000,2.08,2.07,2.08,502280
2.09,1612965360000,2.09,2.07,2.075,576398
2.1,1612965420000,2.1,2.08,2.09,825426
2.06,1612965480000,2.11,2.05,2.1,3277411
2.04,1612965540000,2.07,2.03,2.055,1856788
2.0501,1612965600000,2.06,2.04,2.05,2530332
2.07,1612965660000,2.07,2.05,2.05,1718237
