Close,Datetime,High,Low,Open,Volume
3.805,1613053800000,3.96,3.68,3.96,44237041
3.4001,1613053860000,3.9,3.4,3.8089,26306834
3.225,1613053920000,3.6,3.11,3.4,37728141
2.86,1613053980000,3.3,2.84,3.2294,40494403
2.76,1613054040000,2.86,2.76,2.84,9730655
3.11,1613054340000,3.14,1,2.85,40861476
3.47,1613054400000,3.48,2.8899,3.13,31396717
3.68,1613054460000,3.68,3.4,3.465,26645246
3.61,1613054520000,3.77,2.99,3.68,20669908
3.2201,1613054580000,3.61,3.21,3.605,23207322
3.5089,1613054640000,3.6,3.21,3.23,19243222
3.3511,1613054700000,3.51,3.35,3.5089,11456110
3.44,1613054760000,3.55,3.35,3.3599,9813515
3.26,1613054820000,3.45,3.25,3.4499,9782671
3.34,1613054880000,3.43,3.25,3.2501,9551639
3.25,1613054940000,3.39,3.25,3.3499,8013151
3.12,1613055000000,3.29,3.12,3.25,13889337
2.76,1613055060000,3.13,2.76,3.13,25067027
3.16,1613055120000,3.29,2.76,2.76,25166108
3.1899,1613055180000,3.21,2.95,3.155,12898130
3.0694,1613055240000,3.2,3,3.19,10186390
3.2499,1613055300000,3.25,3.06,3.0699,12588144
3.1001,1613055360000,3.29,3.08,3.2489,10573279
3.205,1613055420000,3.26,3.1,3.11,8155950
3.185,1613055480000,3.25,3.11,3.2087,7623494
3.1711,1613055540000,3.25,3.12,3.1899,7740646
3.1799,1613055600000,3.23,3.11,3.1799,8085591
3.145,1613055660000,3.22,3.135,3.18,5583048
3.075,1613055720000,3.1499,3.01,3.1499,10761587
3.02,1613055780000,3.14,3.02,3.0786,6777597
3.0501,1613055840000,3.08,3,3.0281,13985654
3.0519,1613055900000,3.15,3.03,3.0506,8383229
3.0299,1613055960000,3.1,3.02,3.0599,5670547
3.08,1613056020000,3.12,3,3.0201,14093040
3.0899,1613056080000,3.15,3.06,3.08,7590432
3.1202,1613056140000,3.19,3.03,3.08,7723130
3.0899,1613056200000,3.14,3.02,3.125,9192816
3.0489,1613056260000,3.09,3.02,3.09,6026103
3.0889,1613056320000,3.13,3.0401,3.0499,5960667
3.0901,1613056380000,3.13,3.06,3.0814,5080219
3.27,1613056440000,3.28,3.09,3.095,17387957
3.2889,1613056500000,3.35,3.2,3.275,12676026
3.3699,1613056560000,3.37,3.27,3.285,9485067
3.3496,1613056620000,3.47,3.32,3.37,13794039
3.4284,1613056680000,3.44,3.34,3.345,7832286
3.4,1613056740000,3.47,3.35,3.4299,10527273
3.2801,1613056800000,3.4,3.23,3.3999,8609269
3.305,1613056860000,3.36,3.26,3.2811,5624342
3.25,1613056920000,3.33,3.21,3.3,6787862
3.27,1613056980000,3.32,3.2401,3.2587,4380463
3.3383,1613057040000,3.35,3.2701,3.28,3793653
3.35,1613057100000,3.37,3.33,3.335,4537885
3.3484,1613057160000,3.4,3.34,3.36,5288304
3.3199,1613057220000,3.35,3.28,3.3401,4073559
3.3499,1613057280000,3.35,3.29,3.315,3444767
3.35,1613057340000,3.37,3.3301,3.345,3720825
3.3701,1613057400000,3.39,3.32,3.3511,4388132
3.38,1613057460000,3.4,3.35,3.3799,3905293
3.35,1613057520000,3.39,3.33,3.38,4554478
3.2599,1613057580000,3.35,3.25,3.345,7223388
3.2599,1613057640000,3.28,3.2,3.255,7851899
3.29,1613057700000,3.32,3.24,3.2599,3911263
3.27,1613057760000,3.32,3.27,3.29,2887117
3.3,1613057820000,3.32,3.25,3.27,2797338
3.255,1613057880000,3.32,3.25,3.3,4208554
3.23,1613057940000,3.29,3.23,3.255,3713365
3.215,1613058000000,3.25,3.21,3.2309,4060768
3.1589,1613058060000,3.22,3.11,3.2101,8785484
3.2181,1613058120000,3.22,3.14,3.1501,4557065
3.2089,1613058180000,3.23,3.19,3.2101,3326835
3.1501,1613058240000,3.23,3.15,3.2001,3403978
3.18,1613058300000,3.19,3.14,3.1501,3162430
3.1899,1613058360000,3.2,3.17,3.175,2708148
3.2099,1613058420000,3.25,3.1801,3.1881,3051113
3.1801,1613058480000,3.22,3.18,3.2001,2774112
3.1811,1613058540000,3.19,3.16,3.19,2972301
3.2289,1613058600000,3.23,3.18,3.185,2584204
3.165,1613058660000,3.23,3.16,3.2201,3052896
3.1501,1613058720000,3.19,3.15,3.17,4042028
3.14,1613058780000,3.17,3.14,3.1501,4656381
3.11,1613058840000,3.15,3.11,3.1499,3974885
3.0399,1613058900000,3.12,3.03,3.12,8495811
3.0812,1613058960000,3.12,3.03,3.0311,7408331
3.1314,1613059020000,3.14,3.08,3.0889,3018598
3.1101,1613059080000,3.14,3.11,3.1399,2596707
3.1287,1613059140000,3.15,3.1101,3.12,2615672
3.07,1613059200000,3.1299,3.06,3.1299,2895533
3.05,1613059260000,3.1,3.05,3.0681,3838998
3.039,1613059320000,3.06,3.03,3.05,5817636
