Close,Datetime,High,Low,Open,Volume
54.2,1582005600000,54.295,53.07,53.49,2769260
53.95,1582092000000,54.66,53.79,54.32,2107740
54.75,1582178400000,54.8799,53.5174,54.02,2220165
54.04,1582264800000,54.5,53.55,54.46,2355766
52.04,1582524000000,53.05,51.96,52.11,3115841
50.42,1582610400000,52.83,50.125,52.65,3426887
51.08,1582696800000,52.19,50.835,51.04,3056901
48.36,1582783200000,50.2,48.33,49.67,4479924
47.95,1582869600000,48.02,46.2,47.15,6034720
50.37,1583128800000,50.42,48.34,49.01,4056988
50.21,1583215200000,51.45,48.85,50.18,4147096
51.44,1583301600000,51.61,50.24,51.34,2912146
50.27,1583388000000,50.86,49.66,50.09,2204590
49.26,1583474400000,49.67,48.025,48.51,3010687
45.31,1583730000000,47.09,44.73,45.66,4427508
47.9,1583816400000,47.94,44.67,47.14,3888868
45.33,1583902800000,46.83,44.39,46.52,3550961
44.55,1583989200000,45.23,40.64,42.09,6520522
48.93,1584075600000,48.98,44.22,46.29,5238577
40.97,1584334800000,44.41,40.97,42.73,4638445
45.15,1584421200000,45.3,40.25,41.63,4473801
42.99,1584507600000,44.63,40.38,42.4,4210182
42.66,1584594000000,46.49,41.8701,42.46,3452766
40.73,1584680400000,43.29,40.6,43.08,3817526
40.78,1584939600000,41.33,39.02,40.54,4791759
43.46,1585026000000,44.025,41.59,42.46,3622246
44.52,1585112400000,48.16,43.05,43.9,4310804
47.97,1585198800000,48.1,44.5,44.64,3661034
47.97,1585285200000,49.46,46.11,46.57,3417311
49.87,1585544400000,50.615,47.67,48.21,2985427
48.8,1585630800000,50.62,48.66,49.43,3620936
47.86,1585717200000,48.703,46.66,47.39,3020761
47.58,1585803600000,48.81,46.15,47.42,2798295
45.76,1585890000000,48.09,45.45,47.46,2492710
48.64,1586149200000,49.02,47.19,47.87,2334129
49.07,1586235600000,50.925,49.03,50.06,2781974
51.03,1586322000000,51.35,49.27,49.48,2168767
51.25,1586408400000,53.27,51.1,51.65,3287467
50.91,1586754000000,51,49.55,50.79,2002121
51.43,1586840400000,52.6,51.025,52.05,2809723
50.23,1586926800000,50.94,49.44,50.94,2328844
