Close,Datetime,High,Low,Open,Volume
0.7498,1582005600000,0.8,0.7387,0.8,710447
0.731,1582092000000,0.77,0.725,0.76,1712815
0.7475,1582178400000,0.7725,0.735,0.77,1518896
0.734,1582264800000,0.741,0.7301,0.738,417209
0.701387,1582524000000,0.734,0.6901,0.733,950582
0.706,1582610400000,0.724,0.68,0.7224,723595
0.693,1582696800000,0.71,0.69,0.704,545099
0.6782,1582783200000,0.7056,0.66,0.685,626723
0.656,1582869600000,0.68,0.6301,0.68,1334564
0.692,1583128800000,0.748,0.69,0.71,773349
0.6901,1583215200000,0.718,0.69,0.718,282035
0.6813,1583301600000,0.71,0.68,0.6915,389813
0.68,1583388000000,0.69,0.68,0.688,354851
0.6735,1583474400000,0.6886,0.65,0.65,627742
0.65,1583730000000,0.66,0.63,0.6597,669533
0.6514,1583816400000,0.7245,0.65,0.7245,453536
0.6107,1583902800000,0.64,0.6107,0.64,611777
0.545,1583989200000,0.6,0.51,0.59,593208
0.4961,1584075600000,0.5899,0.4811,0.55,770162
0.4778,1584334800000,0.5,0.45,0.495,612504
0.4632,1584421200000,0.49,0.4502,0.48,299387
0.4002,1584507600000,0.487,0.3801,0.487,1015496
0.4,1584594000000,0.43,0.35,0.39,505446
0.3685,1584680400000,0.4095,0.355,0.4,718711
0.3762,1584939600000,0.41,0.3621,0.3682,394374
0.3857,1585026000000,0.43,0.3701,0.43,418504
0.363,1585112400000,0.395,0.355,0.395,797719
0.3456,1585198800000,0.3689,0.32,0.361,1980903
0.4068,1585285200000,0.45,0.335,0.35,1734668
0.3799,1585544400000,0.43,0.35,0.43,1298115
0.376,1585630800000,0.3888,0.341,0.36,905550
0.36,1585717200000,0.38,0.3451,0.36,445242
0.345,1585803600000,0.376,0.31,0.365,502156
0.33,1585890000000,0.345,0.3105,0.3403,239626
0.3333,1586149200000,0.3399,0.29,0.3312,1017950
0.325101,1586235600000,0.34,0.3222,0.34,295752
0.36,1586322000000,0.3623,0.33,0.3351,437644
0.37,1586408400000,0.38,0.35001,0.36,407992
0.38,1586754000000,0.38,0.36,0.38,298004
0.445,1586840400000,0.45,0.3629,0.4,967225
0.465,1586926800000,0.4899,0.4,0.4203,619670
0.4437,1587013200000,0.5,0.434,0.48,403144
0.4202,1587099600000,0.4498,0.415,0.445,285614
0.4149,1587358800000,0.438,0.41,0.435,262693
0.39,1587445200000,0.4261,0.3801,0.42,305459
0.4433,1587531600000,0.4879,0.39,0.4,751961
0.4499,1587618000000,0.48,0.435,0.4554,416360
0.4499,1587704400000,0.4699,0.4346,0.4699,125977
0.4588,1587963600000,0.46,0.435,0.45,307691
0.45,1588050000000,0.469,0.4352,0.459,178336
0.44811,1588136400000,0.46,0.435,0.435,249990
0.494,1588222800000,0.494,0.44,0.44,526656
0.47,1588309200000,0.498,0.451,0.495,300090
0.4777,1588568400000,0.4899,0.46,0.48,229198
0.4725,1588654800000,0.5496,0.4389,0.4899,979418
0.5338,1588741200000,0.59,0.47,0.495,2060860
0.43,1588827600000,0.54,0.4001,0.53,2081463
0.419,1588914000000,0.44,0.408,0.44,566183
0.4081,1589173200000,0.4259,0.39,0.4259,565534
0.41,1589259600000,0.42,0.385,0.419,524273
0.3715,1589346000000,0.4,0.36,0.4,679167
0.38,1589432400000,0.39,0.362,0.39,302890
0.375,1589518800000,0.3899,0.363,0.38,244520
0.3989,1589778000000,0.4,0.3801,0.3811,325020
0.44,1589864400000,0.48,0.39,0.4,1270755
0.4294,1589950800000,0.47,0.4203,0.4513,414641
0.4502,1590037200000,0.4693,0.4291,0.4294,640587
0.4639,1590123600000,0.489,0.44,0.4502,587864
0.5144,1590469200000,0.5538,0.4421,0.464,1418720
0.51,1590555600000,0.55,0.461,0.54,672249
0.4747,1590642000000,0.5,0.47,0.49,217957
0.45,1590728400000,0.4799,0.4421,0.465,271256
0.4852,1590987600000,0.49,0.45,0.48,193739
0.5048,1591074000000,0.51,0.4801,0.4891,313605
0.5229,1591160400000,0.525,0.4802,0.495,374610
0.54,1591246800000,0.5595,0.501,0.53,462256
0.59,1591333200000,0.62,0.54,0.5702,869077
0.6686,1591592400000,0.6879,0.605,0.6271,1776339
0.6283,1591678800000,0.689,0.61,0.689,490043
0.59,1591765200000,0.67,0.523,0.64,755889
0.5022,1591851600000,0.56,0.5,0.5334,625831
0.515,1591938000000,0.6,0.5101,0.5301,322761
0.5751,1592197200000,0.5799,0.515,0.5224,314147
0.59,1592283600000,0.609,0.58,0.6,390851
0.78,1592370000000,0.7889,0.57,0.57,7481322
0.68,1592456400000,0.7599,0.6509,0.71,3244907
0.661,1592542800000,0.74,0.66,0.7299,1198291
0.64455,1592802000000,0.69,0.59,0.67,1129738
0.628,1592888400000,0.643949,0.6059,0.6099,452980
0.5995,1592974800000,0.618,0.553,0.618,685759
