Close,Datetime,High,Low,Open,Volume
22.195,1612449000000,22.2,21.82,21.99,168240
23.19,1612449060000,23.19,22.15,22.21,237135
22.59,1612449120000,23.1499,22.53,23.0901,167543
22.3448,1612449180000,22.88,22.22,22.5327,109638
23.1,1612449240000,23.25,22.3193,22.3781,173239
22.66,1612449300000,23.22,22.64,23.17,93122
22.685,1612449360000,23,22.52,22.67,80977
22.8809,1612449420000,22.92,22.65,22.72,45712
22.775,1612449480000,22.97,22.65,22.9,75623
22.79,1612449540000,22.79,22.55,22.7501,53453
23.4082,1612449600000,23.43,22.72,22.8,192559
23.59,1612449660000,23.7499,23.15,23.4106,165013
23.0612,1612449720000,23.5852,23.01,23.5301,84929
23.75,1612449780000,23.75,23.05,23.12,97923
23.37,1612449840000,23.75,23.37,23.685,83243
23.2099,1612449900000,23.4881,22.92,23.4881,68556
23.22,1612449960000,23.43,23.14,23.1407,44753
23.6,1612450020000,23.62,23.22,23.3487,127023
23.24,1612450080000,23.6,23.24,23.4812,79707
23.2699,1612450140000,23.29,23.05,23.25,66602
23.2599,1612450200000,23.4,23.1,23.22,46356
22.72,1612450260000,23.2499,22.63,23.1203,120649
22.805,1612450320000,22.96,22.65,22.79,55598
22.425,1612450380000,22.8499,22.38,22.77,56199
22.29,1612450440000,22.47,22.14,22.47,51350
22.8,1612450500000,22.8,22.25,22.2833,52347
22.5994,1612450560000,22.84,22.54,22.7999,35164
22.7881,1612450620000,22.8289,22.54,22.5999,33251
22.69,1612450680000,22.8,22.6,22.7878,29238
22.6732,1612450740000,22.733,22.5108,22.7119,27833
22.5799,1612450800000,22.69,22.535,22.69,9935
22.8856,1612450860000,22.9,22.53,22.5367,44905
22.8653,1612450920000,23.1263,22.7001,22.84,50144
22.67,1612450980000,23,22.6,22.87,48720
22.7273,1612451040000,22.89,22.6059,22.6805,23155
22.79,1612451100000,22.87,22.71,22.7999,12177
23.09,1612451160000,23.09,22.7702,22.7702,41417
23.2999,1612451220000,23.3399,23.02,23.03,91645
23.22,1612451280000,23.3,23.0121,23.2699,43973
22.77,1612451340000,23.22,22.75,23.22,27309
22.9501,1612451400000,23.03,22.6,22.7763,44541
22.96,1612451460000,23.07,22.89,23.04,16487
23.0466,1612451520000,23.2,22.89,22.9996,38189
23.04,1612451580000,23.1,23,23.0563,22633
22.87,1612451640000,23.07,22.82,23.0498,37165
22.96,1612451700000,22.97,22.8776,22.8895,7469
22.9364,1612451760000,23,22.83,22.957,12570
22.9782,1612451820000,23,22.8401,22.89,14939
23.0618,1612451880000,23.0752,22.953,22.99,26914
22.9199,1612451940000,23.18,22.855,23.06,76995
22.8815,1612452000000,22.9874,22.8,22.89,25970
22.91,1612452060000,23.03,22.81,22.8776,23352
22.8525,1612452120000,23,22.73,22.9138,32445
22.8322,1612452180000,22.9,22.76,22.86,10627
22.54,1612452240000,22.89,22.51,22.84,44744
22.24,1612452300000,22.53,22.09,22.525,95590
21.9001,1612452360000,22.3,21.9001,22.24,60339
22.0727,1612452420000,22.2,21.93,21.93,42594
22.2529,1612452480000,22.28,22.06,22.1,24903
22.1352,1612452540000,22.26,22,22.25,42679
22.14,1612452600000,22.25,22,22.065,31446
22.17,1612452660000,22.25,22.1,22.1,14705
22.27,1612452720000,22.3,22.1,22.15,26561
22.26,1612452780000,22.34,22.221,22.3143,10376
22.3,1612452840000,22.35,22.17,22.29,23047
22.0892,1612452900000,22.3699,22.0146,22.3698,28099
22.08,1612452960000,22.16,22.01,22.06,17679
22,1612453020000,22.1499,21.95,22.06,19662
21.8422,1612453080000,22,21.61,21.9568,53543
21.6919,1612453140000,21.95,21.65,21.85,39215
21.61,1612453200000,21.78,21.6005,21.7,20444
21.565,1612453260000,21.62,21.41,21.6,66133
21.68,1612453320000,21.76,21.55,21.5561,41162
21.6689,1612453380000,21.68,21.5551,21.635,26262
21.76,1612453440000,21.76,21.63,21.6301,22245
21.7537,1612453500000,21.76,21.6511,21.7006,19279
21.8686,1612453560000,21.95,21.7529,21.7556,24032
21.83,1612453620000,21.9477,21.7,21.92,31496
21.8176,1612453680000,21.8499,21.7001,21.746,14239
21.99,1612453740000,22.1,21.75,21.8174,27201
21.82,1612453800000,22.09,21.8,21.9995,18346
