Close,Datetime,High,Low,Open,Volume
1.47,1582005600000,1.52,1.426,1.51,666067
1.588,1582092000000,1.64,1.5,1.54,1965756
2.04,1582178400000,2.099,1.59,1.62,7801018
2.42,1582264800000,2.95,2.1,2.75,10879105
2.115,1582524000000,2.35,1.97,2.345,2650087
2.302,1582610400000,2.598,2.207,2.55,3105408
1.875,1582696800000,2.19,1.82,2.17,2243778
1.85,1582783200000,2.076,1.512,1.62,2905942
1.8,1582869600000,1.8,1.57,1.7,1457005
1.7,1583128800000,1.85,1.57,1.7,1234379
2.05,1583215200000,2.175,1.65,1.7,3573928
1.929,1583301600000,1.999,1.839,1.94,1521711
1.88,1583388000000,1.9,1.83,1.9,533168
1.77,1583474400000,1.85,1.7,1.8,741671
1.6,1583730000000,1.7,1.52,1.67,922092
1.62,1583816400000,1.699,1.565,1.691,711612
1.687,1583902800000,2.19,1.653,2.16,3588730
1.67646,1583989200000,2,1.52,1.65,2441764
1.698,1584075600000,1.928,1.65,1.872,1691354
1.575,1584334800000,1.7,1.54,1.7,827861
1.579,1584421200000,1.65,1.52,1.62,1005510
1.474,1584507600000,1.585,1.415,1.558,814524
1.391,1584594000000,1.5,1.3,1.412,930255
1.384,1584680400000,1.433,1.352,1.4,567072
1.3345,1584939600000,1.399,1.25,1.365,623642
1.316,1585026000000,1.398,1.296,1.35,594805
1.414,1585112400000,1.45,1.288,1.345,1090354
1.42,1585198800000,1.45,1.355,1.45,598239
1.5,1585285200000,1.69,1.336,1.39,1970578
1.8,1585544400000,2.34,1.713,1.8,10602317
1.457,1585630800000,1.78,1.45,1.763,2490245
1.391,1585717200000,1.49,1.351,1.489,1176092
1.381,1585803600000,1.43,1.35,1.4,1078074
1.592,1585890000000,1.63,1.385,1.45,3114124
1.529,1586149200000,1.716,1.512,1.6,2009367
1.52,1586235600000,1.6,1.461,1.58,1313040
1.411,1586322000000,1.5,1.3,1.5,2659558
1.679,1586408400000,2.1,1.629,2.03,10486415
1.616,1586754000000,1.75,1.55,1.699,1947359
1.497,1586840400000,1.62,1.383,1.61,3178572
1.43,1586926800000,1.6,1.11,1.41,17744632
1.37,1587013200000,1.42,1.25,1.4,3228291
1.37,1587099600000,1.4,1.31,1.34,1978335
1.36,1587358800000,1.44,1.3,1.36,1842853
1.33,1587445200000,1.38,1.3,1.31,1587499
1.34,1587531600000,1.37,1.3,1.33,2015026
1.38,1587618000000,1.39,1.32,1.33,1752937
1.37,1587704400000,1.38,1.33,1.36,1257570
