Close,Datetime,High,Low,Open,Volume
16.33,1581487200000,16.96,16.22,16.92,1885523
16.13,1581573600000,16.74,16.01,16.21,2428931
17.39,1581660000000,17.98,16.7,17.21,5792872
17.1,1582005600000,17.88,16.75,17.3,2252743
18.51,1582092000000,18.54,17.0602,17.1,3339066
19.24,1582178400000,21.09,18.05,18.55,7513009
19.37,1582264800000,19.82,18.53,19.28,2343001
17.29,1582524000000,18.1499,17.1,17.98,3035431
16.57,1582610400000,17.6078,16.4,17.6,1981180
15.89,1582696800000,17.01,15.78,16.6,2900374
14.54,1582783200000,15.39,14,15.25,3333392
14.43,1582869600000,14.43,13.2,13.75,3601624
15.35,1583128800000,15.62,13.55,14.74,5001481
13.02,1583215200000,14.1899,13,13,5689997
12.51,1583301600000,13.45,12.25,13.45,4139405
11.2,1583388000000,12.3899,11.08,12.06,3777853
10.02,1583474400000,10.94,10,10.29,2884042
7.67,1583730000000,9.3,7.62,8.26,4552882
7.84,1583816400000,8.38,7.598,8.34,3498133
7.09,1583902800000,8.22,7.05,7.5,3346434
5.95,1583989200000,6.89,5.93,6.1,2800461
4.025,1584075600000,5.03,3.8,4.92,12744875
3.05,1584334800000,3.64,3.04,3.55,6982795
2.9,1584421200000,3.2,2.68,3.2,9005263
2.47,1584507600000,2.89,2.43,2.8,4961564
3.85,1584594000000,3.98,2.55,2.6,19894055
3.65,1584680400000,5.33,3.6,4.4,26545684
3.85,1584939600000,4.1,3.25,4.07,9254315
4.02,1585026000000,4.41,3.9,4.41,8237005
5.04,1585112400000,5.74,3.72,4.17,26072998
7.9,1585198800000,9.7,5.91,5.93,70595163
9.1,1585285200000,10.6,8.5,9,55330606
6.61,1585544400000,8.51,6.5,8.31,20631495
6.88,1585630800000,7.84,6,6.13,26464361
5.9,1585717200000,6.88,5.75,6.38,13066960
6.1,1585803600000,6.85,5.92,5.95,13982995
5.54,1585890000000,6.15,5.5,6.145,13148660
5.96,1586149200000,6.46,5.75,6.1,13169281
6.37,1586235600000,6.8,6.06,6.49,13905642
6.98,1586322000000,7.55,6.47,6.7,18336255
6.78,1586408400000,7.47,6.51,7.45,12378878
6.57,1586754000000,6.8,6.13,6.75,8589147
7.04,1586840400000,7.3,6.57,6.69,11935440
6.79,1586926800000,7.04,6.6,6.91,6378587
6.37,1587013200000,6.5799,6.15,6.51,7652055
6.5,1587099600000,6.84,6.32,6.64,8980950
6.76,1587358800000,7.4299,6.35,6.4,12945450
6.76,1587445200000,7.2,6.5,6.63,8420551
