Close,Datetime,High,Low,Open,Volume
63.516,1612967400000,67,62.73,66.01,2770240
61.8,1612967460000,65.35,61.5,63.6,1257099
59.0978,1612967520000,62.43,58.51,61.66,1780147
58.8732,1612967580000,60.65,57.51,59.08,1528312
61.9715,1612967640000,62.28,57.61,58.8637,1328151
64.21,1612967700000,64.21,61,61.9685,1187667
63.2122,1612967760000,64.25,61.5,64.21,964272
61.5,1612967820000,63.31,60.75,63.2,690550
59.4999,1612967880000,61.4965,58,61.48,991326
58.7566,1612967940000,60.38,58.4001,59.4069,752204
56.7,1612968000000,60.5,56.7,58.74,1104947
55.99,1612968060000,57.74,55,56.8,1626097
53.7,1612968120000,56,53.56,55.9899,1493001
55.9294,1612968180000,56.5,52.93,53.93,1696300
56.2875,1612968240000,56.8099,55.19,55.88,1106156
57.11,1612968300000,57.34,55.22,56.3841,1055035
58.49,1612968360000,58.5,56.3461,57.12,1026974
60.46,1612968420000,61,58.24,58.37,1321159
61.68,1612968480000,61.82,59.5,60.4512,1211693
59.87,1612968540000,62,59.69,61.71,1025850
62.4823,1612968600000,64,59.5901,59.805,1714779
63.29,1612968660000,63.73,62.3,62.49,953352
62.6101,1612968720000,63.52,61.1301,63.2899,874420
61.03,1612968780000,62.75,60.51,62.61,657484
59.095,1612968840000,61.33,59.05,60.9301,894190
59.5391,1612968900000,60,58.11,59.0764,799731
60.61,1612968960000,60.96,59.5,59.69,608205
59.8047,1612969020000,61.48,59,60.7,637244
58.2899,1612969080000,59.81,57.1,59.81,811357
57.5001,1612969140000,58.2899,56,58.0365,796462
58.6604,1612969200000,59,57.4,57.5899,502456
58.655,1612969260000,59.76,58,58.6699,523230
58.6363,1612969320000,59.67,58.5,58.7575,348138
56.8918,1612969380000,58.76,56.15,58.76,650483
57.0385,1612969440000,57.78,56.5,57,331752
56.22,1612969500000,57.61,56.03,57.0101,536890
57.45,1612969560000,58.058,55.5,56.2999,662592
58.3722,1612969620000,58.59,56.9301,57.33,461675
59.92,1612969680000,61,57.79,58.38,870354
59.1,1612969740000,61,57,59.9199,651009
59.29,1612969800000,59.55,57.46,59.3999,364809
58.5611,1612969860000,59.69,57.23,59.1401,285692
59.221,1612969920000,59.5,58.45,58.57,236067
58.35,1612969980000,59.2065,58.2,59.13,191207
58.0801,1612970040000,58.7999,57.3,58.2301,265577
57.92,1612970100000,58.49,57.64,58.2681,177175
58.8799,1612970160000,58.88,57.66,57.99,360108
60,1612970220000,60.75,58.48,58.52,782609
61.193,1612970280000,61.9,59.49,60.24,730654
59.51,1612970340000,62,58.8,61.1601,711316
58.9099,1612970400000,60,58.07,59.68,361926
58.51,1612970460000,59,58,58.9099,352766
57.8,1612970520000,58.75,57.5,58.63,549790
55.15,1612970580000,57.9499,55.0501,57.9499,1004390
52.96,1612970640000,55.3699,52.36,55.17,1285857
54.13,1612970700000,54.18,51.84,52.7501,1054031
55.83,1612970760000,56.21,53.5901,54.07,896026
56.035,1612970820000,56.2199,54.5,55.8,595074
55.97,1612970880000,56.41,55,56.0201,442381
55.86,1612970940000,56.49,55.2,55.99,322417
53.7001,1612971000000,55.8699,53.5,55.8699,518761
53.1229,1612971060000,54,52.12,53.9399,618676
52.1001,1612971120000,53.39,51.92,53.0045,583167
51.5193,1612971180000,52.31,51.05,52.27,735321
52.0736,1612971240000,52.68,50.33,51.4,804936
53.5,1612971300000,53.52,51.69,52.27,652017
54.2499,1612971360000,54.68,53.39,53.42,557973
52.81,1612971420000,54.25,52.63,54.04,409096
51.76,1612971480000,52.87,51.19,52.81,413549
52.6323,1612971540000,52.804,51.6662,51.6751,250736
52.173,1612971600000,53.24,51.8,52.5,255809
51.51,1612971660000,52.5899,51.5,52.173,275696
50.0648,1612971720000,51.7418,50.05,51.5914,664031
48.222,1612971780000,50.5,48.18,50.14,1401491
47.92,1612971840000,48.5,47.5,48.18,1144726
49.05,1612971900000,49.06,47.8,47.9179,752903
49.34,1612971960000,49.51,48.45,48.978,653379
49.48,1612972020000,49.68,47.49,49.32,634628
49.0799,1612972080000,49.49,48.3201,49.47,370949
47.23,1612972140000,49.7399,47.2,49,668768
48.23,1612972200000,49,47,47.29,585796
49.7401,1612972260000,50.48,48.06,48.4399,633378
51.845,1612972320000,51.99,49.7401,49.7401,881256
52.71,1612972380000,53.1467,50.32,51.86,1058198
52.16,1612972440000,52.63,51.28,52.63,555032
53.39,1612972500000,53.69,52.1451,52.2034,642600
53.0118,1612972560000,53.8,52.65,53.39,572601
52.8796,1612972620000,53.4799,52.26,53.0634,346702
53.54,1612972680000,53.99,52.51,52.8728,476892
53.79,1612972740000,54.4,53.5001,53.555,649444
53.23,1612972800000,54,52.88,53.7901,329786
52.7999,1612972860000,53.42,52.17,53.2101,270708
52.81,1612972920000,52.98,52.13,52.6678,199209
54.2682,1612972980000,54.33,52.6,52.8399,357829
53.83,1612973040000,55,53.33,54.2682,588753
51.6876,1612973100000,53.9299,50.86,53.72,499742
52.2499,1612973160000,52.44,51.12,51.958,279966
53.1285,1612973220000,53.17,52.1701,52.2303,254310
52.7408,1612973280000,53.3699,52.52,53.07,183234
53.0201,1612973340000,53.33,52.8,52.88,177650
53.3,1612973400000,53.53,52.5801,53.1432,257509
54.47,1612973460000,54.5999,53.2001,53.415,502755
54.45,1612973520000,54.52,53.5,54.33,350765
55.8197,1612973580000,56.37,54.1647,54.45,769300
54.89,1612973640000,55.8499,54.25,55.7946,416060
54.5325,1612973700000,55,54.2,54.8001,338322
55.01,1612973760000,55.28,54.3,54.5,267358
54.6873,1612973820000,55.0699,54.38,54.9952,194886
53.3201,1612973880000,54.71,52.5,54.5201,379192
54.5094,1612973940000,54.8209,53.07,53.3339,323664
55.63,1612974000000,55.7299,54,54.4017,392265
56.26,1612974060000,56.73,55.24,55.56,488140
55.9899,1612974120000,56.88,55.6,56.4799,486842
56.29,1612974180000,56.5,55.8001,55.9899,318538
55.34,1612974240000,56.35,55.06,56.2,312956
54.428,1612974300000,55.81,54.3,55.1636,277186
54.395,1612974360000,54.7899,54,54.3001,295217
54.349,1612974420000,55.1099,54.08,54.393,236336
54.8601,1612974480000,55.25,54.2501,54.298,191335
