Close,Datetime,High,Low,Open,Volume
7.36,1582005600000,7.46,7.24,7.37,398402
7.3,1582092000000,7.44,7.2,7.36,275172
7.38,1582178400000,7.44,7.29,7.3,258390
7.13,1582264800000,7.37,7.07,7.36,335082
6.86,1582524000000,7,6.771,6.97,394913
6.63,1582610400000,6.87,6.51,6.87,332404
6.49,1582696800000,6.76,6.41,6.67,264830
6.41,1582783200000,6.69,6.13,6.32,564022
6.5,1582869600000,6.64,6.21,6.28,392450
6.11,1583128800000,6.57,6.06,6.51,432327
5.97,1583215200000,6.3126,5.92,6.09,554030
6.27,1583301600000,6.36,6,6.02,400053
6.03,1583388000000,6.26,5.93,6.22,370699
5.82,1583474400000,6.12,5.69,5.88,476882
5.31,1583730000000,5.54,5.2,5.47,320514
5.34,1583816400000,5.8,5.25,5.45,350897
4.67,1583902800000,5.25,4.62,5.2,529452
4.34,1583989200000,4.525,4.27,4.33,548012
5.1,1584075600000,5.34,4.65,5.19,1065824
3.9,1584334800000,4.65,3.77,4.64,717699
4.07,1584421200000,4.39,3.8,3.91,698791
3.7,1584507600000,4.25,3.7,3.83,609415
4.15,1584594000000,4.18,3.58,3.73,686873
3.99,1584680400000,4.6583,3.96,4.39,653690
3.81,1584939600000,4.15,3.75,4,423258
4.32,1585026000000,4.52,4.11,4.18,458349
4.41,1585112400000,4.74,4.23,4.24,442478
4.55,1585198800000,4.6934,4.34,4.43,471762
4.33,1585285200000,4.55,4.16,4.35,316553
4.22,1585544400000,4.47,4.02,4.37,372917
4.13,1585630800000,4.64,4.1,4.25,459669
3.72,1585717200000,4.15,3.668,4,264699
3.63,1585803600000,3.8,3.55,3.71,305351
3.61,1585890000000,3.75,3.46,3.61,373295
4.1,1586149200000,4.18,3.72,3.78,389037
4.37,1586235600000,4.627,4.28,4.41,433472
4.49,1586322000000,4.615,4.37,4.37,251703
5.14,1586408400000,5.22,4.56,4.63,658342
4.97,1586754000000,5.09,4.866,5.04,358028
4.97,1586840400000,5.09,4.72,5.08,401747
4.71,1586926800000,4.83,4.59,4.75,257730
4.57,1587013200000,4.82,4.52,4.71,285452
4.88,1587099600000,5.06,4.77,4.9,331668
4.6,1587358800000,4.93,4.52,4.87,275894
4.47,1587445200000,4.62,4.38,4.44,278423
4.14,1587531600000,4.52,4.05,4.52,523244
4.17,1587618000000,4.33,4.04,4.1,307733
4.32,1587704400000,4.43,4.02,4.21,310167
4.75,1587963600000,4.98,4.35,4.35,264727
5.2,1588050000000,5.3,4.89,4.91,376790
5.69,1588136400000,5.81,5.34,5.39,548599
5.89,1588222800000,5.89,5.52,5.6,507814
5.57,1588309200000,5.75,5.29,5.75,361722
5.22,1588568400000,5.59,5.07,5.54,145361
4.59,1588654800000,5.36,4.56,5.31,343176
4.64,1588741200000,4.75,4.545,4.69,260053
4.76,1588827600000,4.96,4.67,4.7,343872
5.13,1588914000000,5.15,4.79,4.93,208366
4.82,1589173200000,5,4.605,5,240884
4.44,1589259600000,4.98,4.41,4.85,252670
4.06,1589346000000,4.355,4.02,4.34,405782
4.08,1589432400000,4.13,3.69,4.05,368182
4.35,1589518800000,4.44,4,4.08,221689
4.67,1589778000000,4.875,4.51,4.58,322317
4.53,1589864400000,4.77,4.48,4.66,166038
4.39,1589950800000,4.68,4.32,4.54,162700
4.91,1590037200000,5.02,4.42,4.42,256598
4.95,1590123600000,5.04,4.85,4.96,232531
5.28,1590469200000,5.34,5.05,5.18,171846
5.8,1590555600000,5.96,5.42,5.48,364734
5.53,1590642000000,5.98,5.52,5.98,218072
5.12,1590728400000,5.44,5.01,5.44,342970
5.7,1590987600000,5.78,5.14,5.18,342512
6.06,1591074000000,6.1,5.28,5.75,457479
6.3,1591160400000,6.51,5.89,6.2,925683
6.15,1591246800000,6.67,5.89,6.4,696381
6.4,1591333200000,6.67,6.11,6.48,687761
6.92,1591592400000,7,6.46,6.58,421381
6.66,1591678800000,6.81,6.305,6.72,188375
6.28,1591765200000,6.6067,6.03,6.51,228405
5.88,1591851600000,6.13,5.72,5.99,426008
6.26,1591938000000,6.29,5.84,6.2,406086
6,1592197200000,6.23,5.86,5.89,204262
6.15,1592283600000,6.41,5.99,6.34,171878
5.74,1592370000000,6.12,5.59,6.12,192553
5.76,1592456400000,5.83,5.55,5.74,164068
5.7,1592542800000,5.9399,5.655,5.8,344975
5.95,1592802000000,5.97,5.68,5.7,267629
5.81,1592888400000,6.06,5.715,6,262186
5.46,1592974800000,5.77,5.33,5.74,325880
5.38,1593061200000,5.49,5.25,5.45,174452
5.37,1593147600000,5.55,5.145,5.26,559382
5.82,1593406800000,6.02,5.44,5.49,295165
5.67,1593493200000,5.77,5.52,5.72,209069
5.18,1593579600000,5.95,5.09,5.66,536993
5.41,1593666000000,5.55,5.32,5.35,148622
5.37,1594011600000,5.61,5.23,5.6,182841
5.32,1594098000000,5.42,5.05,5.29,311720
5.33,1594184400000,5.39,5.14,5.28,179269
5.38,1594270800000,5.38,5.06,5.33,396255
5.6,1594357200000,5.71,5.24,5.39,294849
5.53,1594616400000,5.7,5.34,5.69,195507
5.55,1594702800000,5.56,5.3847,5.54,182560
6,1594789200000,6.075,5.75,5.78,347683
6.52,1594875600000,6.59,5.925,6,413157
6.74,1594962000000,6.83,6.5,6.54,432785
6.37,1595221200000,6.7,6.25,6.66,438003
6.32,1595307600000,6.56,6.2,6.43,445067
6.23,1595394000000,6.36,6.09,6.22,313718
6.25,1595480400000,6.3,5.93,6.2,355021
6.08,1595566800000,6.27,6.01,6.27,220300
6,1595826000000,6.2,5.92,6.01,148099
6.1,1595912400000,6.13,5.97,5.99,215246
6.28,1595998800000,6.375,6.11,6.11,294467
6.16,1596085200000,6.27,5.87,6.12,320240
6.01,1596171600000,6.12,5.8173,6.06,309974
5.91,1596430800000,6.03,5.69,6.03,381508
6.18,1596517200000,6.26,5.86,5.89,205275
6.16,1596603600000,6.27,6.06,6.21,276628
5.91,1596690000000,6.13,5.86,6.01,323113
5.99,1596776400000,6.09,5.8,5.91,417284
6.19,1597035600000,6.42,6,6,529244
6.03,1597122000000,6.41,5.98,6.34,304603
5.89,1597208400000,6.13,5.77,6.13,269506
5.87,1597294800000,5.88,5.61,5.87,267046
5.95,1597381200000,5.97,5.64,5.84,199826
6.05,1597640400000,6.11,5.79,6,294112
5.95,1597726800000,6.05,5.5738,6.05,401780
5.78,1597813200000,5.94,5.64,5.94,329216
5.8,1597899600000,5.84,5.61,5.72,613214
5.84,1597986000000,6,5.7,5.75,282591
6.16,1598245200000,6.22,5.77,5.89,266144
6.14,1598331600000,6.25,6.01,6.17,215434
6.1,1598418000000,6.28,6.05,6.13,542925
5.93,1598504400000,6.22,5.92,6.16,264207
6.26,1598590800000,6.26,5.9,6.08,438291
6.34,1598850000000,6.46,6.01,6.24,379859
6.45,1598936400000,6.48,6.16,6.24,254250
6.63,1599022800000,6.77,6.49,6.57,572803
6.92,1599109200000,6.97,6.4862,6.71,729198
7.32,1599195600000,7.5,7.04,7.04,1014939
7.44,1599541200000,7.57,7.2067,7.3,435212
7.34,1599627600000,7.52,7.12,7.52,309550
7.47,1599714000000,7.68,7.33,7.34,435076
7.66,1599800400000,7.74,7.3701,7.5,178408
7.96,1600059600000,8.05,7.56,7.69,298305
7.75,1600146000000,8.06,7.55,7.93,369571
7.68,1600232400000,7.91,7.64,7.75,294887
7.59,1600318800000,7.785,7.57,7.58,242391
7.17,1600405200000,7.65,7.11,7.61,407458
6.64,1600664400000,7.01,6.5981,6.98,260515
6.7,1600750800000,6.75,6.525,6.65,241281
6.48,1600837200000,6.855,6.46,6.69,156943
6.45,1600923600000,6.5601,6.2605,6.48,160515
6.24,1601010000000,6.42,6.2,6.37,169879
6.42,1601269200000,6.56,6.3,6.3,95340
6.09,1601355600000,6.34,6.04,6.33,244180
6.03,1601442000000,6.38,5.98,6.12,257774
5.99,1601528400000,6.2299,5.96,6.04,314765
6.21,1601614800000,6.33,5.83,5.9,526482
6.46,1601874000000,6.54,6.26,6.27,217793
6.24,1601960400000,6.59,6.21,6.55,191840
6.37,1602046800000,6.49,6.3,6.37,144356
