Close,Datetime,High,Low,Open,Volume
0.5875,1582005600000,0.588,0.57,0.588,75159
0.63,1582092000000,0.65,0.59,0.59,213014
0.62,1582178400000,0.66,0.62,0.66,210547
0.6379,1582264800000,0.65,0.62,0.6357,113269
0.585,1582524000000,0.6389,0.5711,0.62,253933
0.69,1582610400000,0.7,0.6306,0.66,1125117
0.668,1582696800000,0.7,0.641,0.7,444433
0.6388,1582783200000,0.665,0.6,0.665,400475
0.651,1582869600000,0.699,0.65,0.699,183839
0.6902,1583128800000,0.7,0.66,0.699,198865
0.69,1583215200000,0.7499,0.6501,0.695,550267
0.68,1583301600000,0.695,0.651,0.695,174311
0.6854,1583388000000,0.695,0.66,0.695,159799
0.65,1583474400000,0.695,0.65,0.68,344452
0.5,1583730000000,0.55,0.34,0.491,688379
0.516,1583816400000,0.58,0.47,0.5237,341637
0.451215,1583902800000,0.55705,0.45,0.53,212650
0.3801,1583989200000,0.5706,0.3136,0.5706,527080
0.404,1584075600000,0.4389,0.38,0.38,358246
0.4002,1584334800000,0.44,0.37,0.4,228560
0.4016,1584421200000,0.415,0.36,0.4,297626
0.311,1584507600000,0.38,0.3003,0.38,258379
0.34,1584594000000,0.39,0.3,0.32,252980
0.412,1584680400000,0.466,0.3628,0.3648,261483
0.3898,1584939600000,0.47,0.38,0.47,139522
0.405,1585026000000,0.416,0.385,0.4,138507
0.4286,1585112400000,0.45,0.41,0.41,152273
0.42,1585198800000,0.44,0.4015,0.44,135074
0.4101,1585285200000,0.4401,0.3808,0.44,97373
0.386,1585544400000,0.42,0.359,0.39,151562
0.393,1585630800000,0.46,0.35,0.3849,509384
0.357,1585717200000,0.391,0.3223,0.38,175760
0.37,1585803600000,0.4097,0.32,0.346,172741
0.405,1585890000000,0.42,0.36,0.36,100045
0.4008,1586149200000,0.4195,0.39,0.4195,89209
0.4135,1586235600000,0.42,0.39,0.4,70181
0.42,1586322000000,0.46,0.375,0.39,245320
0.48,1586408400000,0.65,0.42,0.4379,1352637
0.444,1586754000000,0.49,0.409861,0.48,373731
0.41,1586840400000,0.438,0.39,0.415,185482
0.3844,1586926800000,0.4,0.36,0.4,224733
0.365,1587013200000,0.4,0.36,0.4,123693
0.37,1587099600000,0.3899,0.37,0.3832,141797
0.3928,1587358800000,0.399,0.36,0.399,152341
0.398,1587445200000,0.4,0.36,0.367,211327
0.3688,1587531600000,0.3979,0.3613,0.3863,138362
0.41,1587618000000,0.4399,0.3619,0.3872,383851
0.44,1587704400000,0.48,0.41,0.422,315614
0.3972,1587963600000,0.46,0.3705,0.4032,226807
0.411,1588050000000,0.43,0.41,0.417,43450
0.4222,1588136400000,0.45,0.4002,0.42,132671
0.4125,1588222800000,0.43,0.4,0.42,290704
0.402,1588309200000,0.43,0.39,0.4,162591
0.408952,1588568400000,0.42,0.3853,0.402,122422
0.425,1588654800000,0.425,0.4,0.4,70368
0.4699,1588741200000,0.4699,0.4051,0.4051,221596
0.449,1588827600000,0.48,0.4388,0.48,68731
0.435,1588914000000,0.48,0.4223,0.48,150373
0.445,1589173200000,0.47,0.43,0.47,117354
0.418,1589259600000,0.4749,0.4003,0.45,204451
0.3681,1589346000000,0.4201,0.36,0.4012,723716
0.29,1589432400000,0.377,0.2841,0.37,1443377
0.43,1589518800000,0.545,0.3804,0.42,3215189
0.365,1589778000000,0.38,0.355,0.38,2369132
0.355,1589864400000,0.375,0.355,0.3749,897541
0.362,1589950800000,0.38,0.3551,0.3712,865238
0.3507,1590037200000,0.367,0.35,0.365,551614
0.357,1590123600000,0.36,0.3401,0.36,370853
0.349,1590469200000,0.357,0.34,0.357,342373
0.342,1590555600000,0.349,0.33,0.3477,462082
0.3724,1590642000000,0.38,0.335,0.34,754967
0.352,1590728400000,0.3849,0.352,0.38,155236
0.3551,1590987600000,0.3576,0.342,0.352,161663
0.3466,1591074000000,0.36,0.343,0.3524,214474
0.3541,1591160400000,0.3725,0.3501,0.36,285469
0.3625,1591246800000,0.369,0.3458,0.3675,467626
0.3919,1591333200000,0.4387,0.3552,0.36,2643555
0.505,1591592400000,0.58,0.46,0.51,4087638
0.4702,1591678800000,0.49,0.4201,0.49,1407480
0.4458,1591765200000,0.4799,0.43,0.47,746350
0.3915,1591851600000,0.43,0.3806,0.43,684147
0.4,1591938000000,0.4259,0.3915,0.4259,662357
0.3881,1592197200000,0.39,0.3602,0.3841,683507
0.4199,1592283600000,0.46,0.4053,0.44,1305593
0.4088,1592370000000,0.4198,0.396,0.419,458622
0.39,1592456400000,0.4095,0.37885,0.4095,482621
0.3842,1592542800000,0.4201,0.3842,0.42,727049
0.3794,1592802000000,0.4,0.362,0.39,388507
0.4098,1592888400000,0.427,0.3804,0.387,1392266
0.3634,1592974800000,0.397,0.3505,0.3952,866632
0.3772,1593061200000,0.385,0.3584,0.3601,1007111
0.35,1593147600000,0.3848,0.35,0.377,639399
0.3626,1593406800000,0.378,0.3334,0.342,1456263
0.3625,1593493200000,0.3899,0.35,0.3642,840132
0.3625,1593579600000,0.38,0.3511,0.37,631430
0.3499,1593666000000,0.3738,0.342,0.3738,539627
0.3574,1594011600000,0.36,0.34,0.3499,387352
0.3587,1594098000000,0.359,0.34,0.3561,472183
0.3451,1594184400000,0.358,0.3411,0.35,278652
0.3513,1594270800000,0.3575,0.335,0.345,739863
0.355,1594357200000,0.365,0.3451,0.3546,542132
0.329,1594616400000,0.36,0.3262,0.36,969410
0.3153,1594702800000,0.332961,0.3011,0.33,700502
0.33,1594789200000,0.3349,0.3153,0.3155,249994
0.33,1594875600000,0.333409,0.32,0.33,153655
0.335,1594962000000,0.34,0.3201,0.33,446582
0.3299,1595221200000,0.34,0.3212,0.34,417788
0.344,1595307600000,0.3496,0.3248,0.3248,522350
0.4075,1595394000000,0.419,0.332,0.35,4381205
0.365,1595480400000,0.38,0.3505,0.3564,1281421
0.3457,1595566800000,0.37,0.3401,0.355,931376
0.3479,1595826000000,0.368,0.341,0.368,519436
0.3193,1595912400000,0.36,0.2978,0.35,2196631
0.327,1595998800000,0.3301,0.3001,0.32,798410
0.3249,1596085200000,0.3269,0.3106,0.3175,707276
0.3207,1596171600000,0.3345,0.3104,0.3248,814318
0.32,1596430800000,0.327,0.3012,0.3199,805427
0.3226,1596517200000,0.34,0.3101,0.3199,1708348
0.3183,1596603600000,0.335,0.3165,0.3343,604930
0.3111,1596690000000,0.32,0.307,0.32,397611
0.3095,1596776400000,0.3151,0.3012,0.311,559828
0.3103,1597035600000,0.3151,0.306,0.3151,893299
0.3031,1597122000000,0.3194,0.3013,0.3161,845341
0.31,1597208400000,0.315,0.3071,0.3149,237191
0.3253,1597294800000,0.4198,0.321,0.4198,6910506
0.3088,1597381200000,0.3224,0.305,0.31,981414
0.3176,1597640400000,0.345,0.303,0.345,2067752
0.3028,1597726800000,0.320951,0.296101,0.32,901590
0.3046,1597813200000,0.3101,0.3,0.3034,507331
0.2974,1597899600000,0.3046,0.2952,0.3,605551
0.307,1597986000000,0.3096,0.291,0.3,1651605
0.315,1598245200000,0.325,0.307,0.32,817626
0.305,1598331600000,0.315,0.2984,0.315,471829
0.3088,1598418000000,0.315,0.305,0.306,1757659
0.31,1598504400000,0.313,0.3031,0.313,974505
0.3268,1598590800000,0.3589,0.3103,0.34,6686252
0.3081,1598850000000,0.3151,0.3031,0.31,1208944
0.2849,1598936400000,0.3081,0.27,0.308,1286661
0.2897,1599022800000,0.2985,0.2811,0.29,737200
0.2774,1599109200000,0.292299,0.2701,0.29,698532
0.264,1599195600000,0.2798,0.2511,0.279,816214
0.26,1599541200000,0.27,0.251671,0.27,447556
0.2739,1599627600000,0.28,0.247,0.2611,1078128
0.2734,1599714000000,0.28,0.26,0.269,627188
0.262,1599800400000,0.2714,0.2601,0.2601,236414
0.275,1600059600000,0.2829,0.252,0.2575,643961
0.2835,1600146000000,0.312,0.27,0.27,2928486
0.2878,1600232400000,0.3,0.2752,0.2929,2650483
0.2991,1600318800000,0.305,0.28,0.28,1527463
0.3,1600405200000,0.3124,0.290501,0.2918,1374723
0.2792,1600664400000,0.375,0.269,0.322,11072297
0.2598,1600750800000,0.2798,0.25,0.275,1771228
0.2327,1600837200000,0.2598,0.2261,0.251,1546949
0.2261,1600923600000,0.2326,0.2111,0.212,1071737
0.2365,1601010000000,0.25,0.225,0.2311,637136
0.2568,1601269200000,0.26,0.23,0.236,939561
0.2636,1601355600000,0.285,0.2536,0.26,1300214
0.26,1601442000000,0.2687,0.2441,0.2566,423663
0.265,1601528400000,0.2687,0.25,0.2522,227831
0.264,1601614800000,0.2687,0.2517,0.2687,1327340
0.2651,1601874000000,0.2782,0.26,0.26,529777
0.2549,1601960400000,0.2942,0.2549,0.2942,387040
0.2567,1602046800000,0.2649,0.249,0.2559,251990
0.2638,1602133200000,0.269,0.2502,0.268,570733
0.325,1602219600000,0.335,0.2645,0.2645,8953547
0.39,1602478800000,0.3987,0.333,0.336,8484319
0.3353,1602565200000,0.3965,0.322,0.39,3315436
0.3395,1602651600000,0.3542,0.33,0.35,1035411
0.3,1602738000000,0.309,0.285,0.309,1449501
0.292,1602824400000,0.3029,0.29,0.2937,516216
0.2796,1603083600000,0.3046,0.2702,0.3,1014293
0.2803,1603170000000,0.291,0.261,0.287,890297
0.2749,1603256400000,0.31,0.266,0.31,515646
0.2689,1603342800000,0.28,0.263,0.28,561908
0.2749,1603429200000,0.275,0.2688,0.2694,488148
0.2799,1603688400000,0.2894,0.271,0.28,646673
0.2798,1603774800000,0.285,0.271797,0.28,304015
0.292,1603861200000,0.292,0.2688,0.288,707141
0.288,1603947600000,0.3,0.2725,0.295,775595
0.2741,1604034000000,0.29,0.27,0.29,327178
0.2779,1604296800000,0.28,0.2631,0.276,535688
0.2768,1604383200000,0.2779,0.27,0.2768,310933
0.2674,1604469600000,0.2757,0.26,0.2757,463528
0.2629,1604556000000,0.265,0.25,0.26,504689
0.2681,1604642400000,0.272,0.257,0.2571,317463
0.2652,1604901600000,0.27,0.25501,0.26,665939
0.2652,1604988000000,0.2699,0.2632,0.2698,293328
0.269,1605074400000,0.279,0.2634,0.27,379435
0.2673,1605160800000,0.279,0.26,0.2767,290567
0.2749,1605247200000,0.282376,0.257,0.2729,1244709
0.2761,1605506400000,0.287,0.258,0.287,957514
0.28,1605592800000,0.2837,0.268,0.268,388871
0.29,1605679200000,0.3,0.2836,0.2927,668479
0.2937,1605765600000,0.2937,0.275,0.285,403732
0.2977,1605852000000,0.3,0.2891,0.3,434993
0.314,1606111200000,0.3192,0.29,0.2977,658683
0.335,1606197600000,0.335,0.3171,0.32,965063
0.36,1606284000000,0.363,0.337,0.346,1770647
0.394,1606456800000,0.42,0.3216,0.3642,3124200
0.3834,1606716000000,0.4343,0.379,0.4067,4997341
0.35,1606802400000,0.3974,0.34,0.39,1601130
0.39,1606888800000,0.42,0.3333,0.3598,6675105
