Close,Datetime,High,Low,Open,Volume
1.7,1612958400000,1.73,1.68,1.72,14372
1.7,1612958460000,1.71,1.7,1.7,10500
1.7,1612958520000,1.71,1.7,1.7,2940
1.7,1612958580000,1.71,1.7,1.71,1100
1.71,1612958640000,1.71,1.7,1.71,720
1.71,1612958700000,1.72,1.71,1.71,14193
1.72,1612958760000,1.72,1.72,1.72,6267
1.72,1612958820000,1.72,1.72,1.72,200
1.74,1612958880000,1.74,1.73,1.73,13899
1.74,1612958940000,1.74,1.74,1.74,1580
1.73,1612959000000,1.73,1.73,1.73,900
1.73,1612959060000,1.74,1.73,1.73,2453
1.74,1612959120000,1.74,1.73,1.73,5304
1.74,1612959180000,1.74,1.74,1.74,1597
1.75,1612959240000,1.75,1.74,1.74,1459
1.76,1612959300000,1.76,1.75,1.75,37575
1.8,1612959360000,1.8,1.75,1.75,50569
1.79,1612959420000,1.8,1.78,1.8,7390
1.79,1612959480000,1.8,1.78,1.78,48850
1.8,1612959540000,1.8,1.78,1.79,3480
1.78,1612959600000,1.79,1.78,1.79,7750
1.79,1612959660000,1.79,1.79,1.79,6595
1.8,1612959720000,1.8,1.8,1.8,305
1.81,1612959780000,1.81,1.8,1.8,12483
1.81,1612959840000,1.81,1.8,1.81,1960
1.83,1612959900000,1.83,1.81,1.81,9524
1.85,1612959960000,1.85,1.82,1.82,11269
1.83,1612960020000,1.85,1.83,1.85,14200
1.83,1612960080000,1.83,1.83,1.83,1412
1.85,1612960140000,1.85,1.83,1.83,2348
1.85,1612960200000,1.85,1.83,1.83,9651
1.85,1612960260000,1.85,1.84,1.85,2700
1.84,1612960320000,1.85,1.84,1.84,11989
1.84,1612960380000,1.84,1.84,1.84,100
1.85,1612960440000,1.85,1.84,1.84,11033
1.86,1612960500000,1.87,1.85,1.85,12055
1.88,1612960560000,1.89,1.87,1.87,28262
1.89,1612960620000,1.89,1.82,1.89,14708
1.92,1612960680000,1.92,1.9,1.9,20605
1.94,1612960740000,1.94,1.92,1.92,17329
1.93,1612960800000,1.94,1.92,1.94,14399
1.92,1612960860000,1.93,1.9,1.93,8350
1.91,1612960920000,1.92,1.9,1.92,8792
1.91,1612960980000,1.92,1.91,1.91,3453
1.91,1612961040000,1.92,1.9,1.91,14561
1.9,1612961100000,1.92,1.9,1.9,12150
1.91,1612961160000,1.91,1.9,1.9,5746
1.9,1612961220000,1.91,1.9,1.91,16775
1.91,1612961280000,1.91,1.9,1.9,3995
1.92,1612961340000,1.93,1.91,1.91,21124
1.92,1612961400000,1.93,1.911,1.92,2260
1.92,1612961460000,1.92,1.91,1.91,5329
1.91,1612961520000,1.92,1.9,1.92,81285
1.89,1612961580000,1.9,1.89,1.9,80124
1.89,1612961640000,1.9,1.89,1.9,2273
1.89,1612961700000,1.9,1.89,1.9,3144
1.85,1612961760000,1.89,1.85,1.89,5200
1.87,1612961820000,1.87,1.86,1.86,7777
1.87,1612961880000,1.87,1.87,1.87,5058
1.88,1612961940000,1.88,1.87,1.87,500
1.85,1612962000000,1.87,1.85,1.86,10393
1.85,1612962060000,1.86,1.83,1.86,31715
1.83,1612962120000,1.85,1.83,1.85,18932
1.82,1612962180000,1.84,1.82,1.83,25267
1.78,1612962240000,1.81,1.77,1.81,30626
1.78,1612962300000,1.78,1.77,1.78,29795
