Close,Datetime,High,Low,Open,Volume
2.36,1613053800000,2.42,2.35,2.41,609842
2.315,1613053860000,2.36,2.31,2.3511,461766
2.2589,1613053920000,2.315,2.25,2.3111,471420
2.245,1613053980000,2.26,2.24,2.2599,363767
2.28,1613054040000,2.28,2.24,2.245,358783
2.3611,1613054100000,2.4,2.26,2.28,442544
2.375,1613054160000,2.39,2.33,2.3655,266222
2.385,1613054220000,2.39,2.36,2.375,123785
2.3825,1613054280000,2.39,2.36,2.38,172821
2.3701,1613054340000,2.39,2.36,2.38,96289
2.3989,1613054400000,2.3989,2.37,2.3799,124664
2.48,1613054460000,2.5,2.3901,2.3915,276012
2.485,1613054520000,2.5,2.47,2.49,459781
2.46,1613054580000,2.49,2.45,2.48,297764
2.5389,1613054640000,2.55,2.4601,2.4699,244172
2.5811,1613054700000,2.59,2.53,2.5399,383377
2.643,1613054760000,2.65,2.58,2.59,428678
2.6089,1613054820000,2.65,2.6,2.65,368439
2.54,1613054880000,2.61,2.53,2.6099,391266
2.56,1613054940000,2.56,2.5301,2.5389,152709
2.5511,1613055000000,2.56,2.55,2.55,111219
2.555,1613055060000,2.56,2.55,2.5501,133390
2.49,1613055120000,2.56,2.49,2.5589,245612
2.485,1613055180000,2.5,2.48,2.4901,78966
2.4601,1613055240000,2.49,2.46,2.4824,129385
2.53,1613055300000,2.5482,2.46,2.46,151075
2.5111,1613055360000,2.565,2.51,2.5289,117716
2.505,1613055420000,2.525,2.5,2.52,60439
2.505,1613055480000,2.51,2.5,2.5001,39865
2.5199,1613055540000,2.5389,2.5,2.5089,102885
2.5002,1613055600000,2.5189,2.5,2.5178,58007
2.5,1613055660000,2.51,2.5,2.5011,66739
2.5,1613055720000,2.51,2.5,2.505,76957
2.5011,1613055780000,2.51,2.5,2.5006,95577
2.4911,1613055840000,2.51,2.4901,2.505,46909
2.4519,1613055900000,2.4989,2.45,2.4911,114832
2.4715,1613055960000,2.48,2.45,2.4517,100111
2.4701,1613056020000,2.49,2.47,2.4702,58633
2.46,1613056080000,2.48,2.45,2.47,66976
2.41,1613056140000,2.47,2.4,2.465,110401
2.345,1613056200000,2.4099,2.34,2.401,235011
2.375,1613056260000,2.405,2.34,2.3481,421417
2.3481,1613056320000,2.3781,2.34,2.3781,134429
2.35,1613056380000,2.36,2.34,2.35,261810
2.315,1613056440000,2.36,2.31,2.35,164581
2.3199,1613056500000,2.33,2.3,2.32,212295
2.3913,1613056560000,2.4,2.31,2.3199,636723
2.3889,1613056620000,2.4,2.38,2.3922,293101
2.3699,1613056680000,2.39,2.36,2.385,133878
2.355,1613056740000,2.37,2.35,2.3611,130538
2.3699,1613056800000,2.37,2.3503,2.3588,184052
2.365,1613056860000,2.37,2.36,2.3699,44222
2.3887,1613056920000,2.39,2.36,2.3682,82924
2.3881,1613056980000,2.39,2.38,2.38,69672
2.38,1613057040000,2.4,2.38,2.39,93389
2.37,1613057100000,2.3867,2.35,2.385,171212
2.3693,1613057160000,2.37,2.36,2.365,82819
2.355,1613057220000,2.37,2.35,2.36,53353
2.3411,1613057280000,2.3599,2.34,2.355,81246
2.3381,1613057340000,2.35,2.33,2.34,90917
2.3507,1613057400000,2.36,2.33,2.3305,98941
2.3801,1613057460000,2.4,2.3511,2.3511,99335
2.3689,1613057520000,2.3886,2.36,2.3886,37601
2.35,1613057580000,2.3693,2.35,2.3689,57695
2.3489,1613057640000,2.3504,2.34,2.3504,83641
2.3311,1613057700000,2.35,2.33,2.3489,54988
2.3489,1613057760000,2.36,2.33,2.33,86552
2.34,1613057820000,2.35,2.33,2.35,88280
2.3381,1613057880000,2.35,2.33,2.3386,62999
2.3383,1613057940000,2.34,2.3301,2.34,36099
2.334,1613058000000,2.34,2.33,2.3381,155494
2.3311,1613058060000,2.34,2.33,2.3387,21966
2.34,1613058120000,2.34,2.33,2.3395,101183
2.3319,1613058180000,2.34,2.33,2.34,67737
2.33,1613058240000,2.34,2.33,2.3311,57391
2.33,1613058300000,2.34,2.33,2.335,75598
2.36,1613058360000,2.36,2.3389,2.3389,153519
2.3785,1613058420000,2.38,2.35,2.3587,69761
2.385,1613058480000,2.4,2.37,2.3711,206108
2.385,1613058540000,2.39,2.38,2.385,79854
2.3889,1613058600000,2.39,2.38,2.385,91133
2.3813,1613058660000,2.39,2.38,2.3889,51177
2.375,1613058720000,2.39,2.37,2.3801,44196
2.3699,1613058780000,2.38,2.36,2.37,62682
2.3699,1613058840000,2.37,2.36,2.3611,30650
2.37,1613058900000,2.37,2.36,2.365,81368
2.4,1613058960000,2.4,2.365,2.37,77345
2.412,1613059020000,2.44,2.39,2.39,219445
2.4089,1613059080000,2.42,2.4,2.4181,86641
2.4011,1613059140000,2.42,2.4,2.4017,52534
2.43,1613059200000,2.44,2.4001,2.405,102754
2.42,1613059260000,2.44,2.42,2.435,65326
2.395,1613059320000,2.425,2.3901,2.425,136409
2.3778,1613059380000,2.4,2.37,2.395,87785
2.37,1613059440000,2.38,2.3611,2.3781,58840
2.3881,1613059500000,2.39,2.37,2.375,45555
2.395,1613059560000,2.4,2.38,2.385,26236
2.3911,1613059620000,2.3989,2.39,2.395,31776
2.3907,1613059680000,2.4,2.39,2.395,27359
2.3811,1613059740000,2.3989,2.38,2.3989,35437
2.3813,1613059800000,2.39,2.38,2.38,41512
2.37,1613059860000,2.38,2.36,2.38,70021
2.3799,1613059920000,2.38,2.36,2.36,42166
2.3699,1613059980000,2.38,2.36,2.38,35308
2.3601,1613060040000,2.37,2.36,2.365,19559
2.3619,1613060100000,2.37,2.3602,2.3683,37715
2.3643,1613060160000,2.37,2.36,2.37,42594
2.365,1613060220000,2.37,2.36,2.36,29495
2.3489,1613060280000,2.37,2.34,2.365,182017
2.34,1613060340000,2.3487,2.34,2.34,16636
2.3399,1613060400000,2.35,2.33,2.345,63613
2.3311,1613060460000,2.34,2.33,2.3301,97081
2.3311,1613060520000,2.34,2.33,2.335,53339
2.3012,1613060580000,2.34,2.3,2.3381,365519
2.32,1613060640000,2.33,2.3,2.3032,123286
