Close,Datetime,High,Low,Open,Volume
7.32,1582005600000,7.44,6.813,7.38,208174
7.074,1582092000000,7.464,6.99,7.335,145986
7.299,1582178400000,7.635,7.02,7.065,278385
7.14,1582264800000,7.365,6.978,7.32,163809
7.047,1582524000000,7.047,6.606,6.96,132289
6.597,1582610400000,7.047,6,6.762,208409
6.126,1582696800000,6.657,6.06,6.6,206304
6.303,1582783200000,6.54,5.559,6,418279
7.893,1582869600000,9.54,7.239,8.7,1775519
12.3,1583128800000,13.347,8.88,10.02,3268249
9.465,1583215200000,16.35,8.58,15.573,3080130
9.048,1583301600000,9.45,8.1,9,757962
10.185,1583388000000,12,9.6,10.2,2177676
9.18,1583474400000,9.87,8.85,9.72,513144
7.926,1583730000000,8.94,7.707,8.37,348214
7.05,1583816400000,7.89,6.6,7.755,301564
7.335,1583902800000,8.4,7.14,7.2,245850
6.045,1583989200000,7.2,6.003,6.897,227363
6.3135,1584075600000,7.167,6.153,6.9,283355
6.6,1584334800000,7.83,5.7,6,288200
6.72,1584421200000,7.05,6.615,6.885,112065
6.3,1584507600000,7.2,6.003,6.9,139603
6.255,1584594000000,6.3,5.973,6,115035
6.42,1584680400000,7.2,6.303,6.9,142708
6.939,1584939600000,7.497,6.366,6.6,184325
6.873,1585026000000,7.11,6.6,7.038,128624
7.794,1585112400000,9,7.311,7.41,592465
7.665,1585198800000,8.175,7.5,7.911,157073
7.5,1585285200000,7.95,7.35,7.95,153065
8.19,1585544400000,8.7,7.8,7.872,283574
6.99,1585630800000,7.5,6.6,7.2,197543
6.534,1585717200000,6.957,6.45,6.9,105542
6.69,1585803600000,7.182,6.45,6.72,117299
6.564,1585890000000,6.93,6.36,6.9,84580
6.81,1586149200000,6.885,6.27,6.75,109053
6.615,1586235600000,6.9,6.525,6.87,95507
6.57,1586322000000,6.705,6.45,6.705,127768
6.57,1586408400000,6.741,6.465,6.63,120888
6.579,1586754000000,6.714,6.48,6.714,119402
6.855,1586840400000,7.14,6.333,6.66,160874
7.17,1586926800000,7.35,6.63,6.834,177117
7.053,1587013200000,7.632,6.897,7.38,193876
7.275,1587099600000,7.65,6.9,7.2,210304
7.125,1587358800000,7.395,6.9,7.395,128298
7.011,1587445200000,7.125,6.75,6.858,103986
6.9,1587531600000,7.11,6.78,6.78,90036
6.921,1587618000000,7.11,6.765,6.9,90708
7.062,1587704400000,7.554,6.756,6.87,243343
7.47,1587963600000,7.47,6.975,7.17,174681
7.578,1588050000000,7.89,7.23,7.434,144698
7.89,1588136400000,8.067,7.548,7.755,298009
7.755,1588222800000,8.16,7.431,8.1,174672
7.5,1588309200000,7.641,7.14,7.5,133194
7.62,1588568400000,7.647,7.2,7.386,88499
9.255,1588654800000,9.846,7.44,7.44,1361100
8.61,1588741200000,9.72,7.989,9,439829
9.564,1588827600000,12.54,9.3,10.8,2214148
9.15,1588914000000,9.6,8.718,9.6,368437
9.6,1589173200000,9.9,8.55,9.099,409453
10.35,1589259600000,10.65,9.75,10.2,497811
9.54,1589346000000,10.05,8.85,9.9,322418
10.203,1589432400000,10.35,9.36,9.54,390263
8.25,1589518800000,10.17,7.65,9.825,1228553
8.169,1589778000000,8.25,7.5,7.5,394180
7.92,1589864400000,8.1,7.8,8.097,208454
8.025,1589950800000,8.1,7.71,7.995,248874
7.8,1590037200000,8.1,7.74,8.064,162390
8.43,1590123600000,8.67,7.92,7.938,634818
8.61,1590469200000,8.97,8.1,8.271,292263
8.967,1590555600000,9.21,8.145,8.7,539346
8.61,1590642000000,9.12,8.475,9.12,221803
8.499,1590728400000,8.64,8.175,8.43,253945
8.25,1590987600000,8.49,7.791,8.406,207905
8.298,1591074000000,8.55,8.043,8.25,184820
8.145,1591160400000,8.394,8.1,8.331,203998
10.8,1591246800000,11.37,8.571,8.82,2057279
10.35,1591333200000,13.176,10.233,11.7,1366456
11.1,1591592400000,11.1,10.26,10.5,487455
12.6,1591678800000,13.32,10.335,10.92,1566364
11.4,1591765200000,14.064,11.1,12.6,729038
9.54,1591851600000,10.797,9.123,10.5,462015
9.948,1591938000000,10.797,9.6,10.104,230885
9.939,1592197200000,9.939,8.31,9.3,283163
10.287,1592283600000,10.98,9.999,10.569,362689
9.672,1592370000000,10.05,9.36,9.777,195630
9.525,1592456400000,9.765,9.15,9.3,159198
9.291,1592542800000,10.17,9,9.39,285156
9.87,1592802000000,9.885,9.306,9.306,198723
9.888,1592888400000,10.17,9.345,9.873,197246
12.264,1592974800000,13.35,10.284,10.56,2956809
10.497,1593061200000,12,9.903,12,758759
10.167,1593147600000,10.188,9.21,10.05,449657
9.72,1593406800000,10.05,9.345,9.6,275138
9.186,1593493200000,9.447,8.4,9.27,419980
8.85,1593579600000,9.15,8.697,8.76,206811
8.982,1593666000000,9.465,8.4,8.85,292265
9,1594011600000,9.1473,8.7,8.964,189415
9,1594098000000,9.15,8.76,8.895,143835
9.054,1594184400000,9.15,8.76,9,167197
8.886,1594270800000,9,8.64,8.97,127168
8.76,1594357200000,8.877,8.64,8.7,103392
