Close,Datetime,High,Low,Open,Volume
0.396,1582005600000,0.426,0.3899,0.4,29054
0.4048,1582092000000,0.4149,0.3895,0.397,20766
0.3974,1582178400000,0.4049,0.3896,0.4,14757
0.388,1582264800000,0.394,0.376,0.391,29087
0.3799,1582524000000,0.3828,0.37,0.3808,33322
0.3951,1582610400000,0.415,0.373687,0.38,47050
0.42,1582696800000,0.4389,0.39,0.4148,72601
0.43,1582783200000,0.44,0.4,0.44,63501
0.41,1582869600000,0.42,0.4,0.415,29901
0.4072,1583128800000,0.423,0.4,0.4,7182
0.38,1583215200000,0.419,0.3705,0.402,50214
0.376,1583301600000,0.38,0.3725,0.38,19062
0.374,1583388000000,0.3769,0.3705,0.3705,22779
0.3732,1583474400000,0.38,0.37,0.3775,55075
0.35,1583730000000,0.3701,0.3451,0.37,121475
0.3552,1583816400000,0.368,0.34501,0.36,12821
0.36,1583902800000,0.363,0.321,0.363,22277
0.35,1583989200000,0.365,0.335,0.35,16593
0.34,1584075600000,0.38,0.300661,0.33,41812
0.308,1584334800000,0.35,0.29,0.3,25828
0.2749,1584421200000,0.333,0.25,0.329,46318
0.2712,1584507600000,0.2993,0.260874,0.2993,25008
0.288,1584594000000,0.29,0.265,0.29,14361
0.3,1584680400000,0.31,0.296,0.302,13132
0.26,1584939600000,0.3401,0.26,0.285,63005
0.31,1585026000000,0.3298,0.273,0.273,29898
0.3,1585112400000,0.34,0.3,0.34,123716
0.333,1585198800000,0.34,0.3015,0.314,31780
0.35,1585285200000,0.35,0.3125,0.34,19295
0.3318,1585544400000,0.35,0.3318,0.35,12053
0.3306,1585630800000,0.35,0.3,0.341,7840
0.35,1585717200000,0.35,0.323,0.3365,4155
0.361,1585803600000,0.38,0.328,0.328,32888
0.375,1585890000000,0.3785,0.32,0.378,12734
0.3211,1586149200000,0.37,0.3112,0.37,31980
0.3479,1586235600000,0.36,0.3212,0.3212,22676
0.35,1586322000000,0.35,0.32,0.3413,9725
0.3604,1586408400000,0.38,0.333232,0.333232,14032
0.3777,1586754000000,0.3784,0.342,0.3784,3865
0.373,1586840400000,0.38,0.35,0.37,83184
0.37,1586926800000,0.3729,0.3459,0.3459,11674
0.37,1587013200000,0.378,0.349585,0.35,25157
0.36,1587099600000,0.37,0.341,0.355,5248
0.37,1587358800000,0.37,0.34,0.34,25090
0.373,1587445200000,0.373,0.352,0.3521,15885
0.355,1587531600000,0.373,0.3451,0.37,27225
0.3525,1587618000000,0.36,0.3473,0.36,7577
0.33,1587704400000,0.366501,0.33,0.356,29781
0.3461,1587963600000,0.373,0.34,0.34,25011
0.368,1588050000000,0.373,0.3463,0.348,13186
0.36,1588136400000,0.368,0.3201,0.355,27011
0.36,1588222800000,0.373,0.325,0.373,15243
0.35,1588309200000,0.36,0.3202,0.358,14458
0.358,1588568400000,0.358,0.315,0.315,31456
0.36,1588654800000,0.36,0.3286,0.3286,20450
0.3675,1588741200000,0.3675,0.345,0.36,17717
0.3524,1588827600000,0.37,0.3306,0.37,17534
0.3509,1588914000000,0.36,0.33901,0.343,20257
0.339,1589173200000,0.36,0.339,0.36,26051
0.3552,1589259600000,0.36,0.342,0.36,54431
0.36,1589346000000,0.36,0.3432,0.36,7237
0.3612,1589432400000,0.3612,0.339,0.3475,33440
0.35,1589518800000,0.35,0.339,0.34301,9774
0.344,1589778000000,0.358,0.339,0.339,22323
0.34,1589864400000,0.35,0.3,0.344,35049
0.3434,1589950800000,0.349,0.32501,0.333,35935
0.333,1590037200000,0.3489,0.325,0.33,29554
0.3385,1590123600000,0.3496,0.327,0.3496,21538
0.3408,1590469200000,0.348,0.33161,0.345,67291
0.3433,1590555600000,0.35,0.3318,0.35,34008
0.3318,1590642000000,0.355,0.3285,0.355,57120
0.3339,1590728400000,0.342,0.32,0.342,17881
0.3399,1590987600000,0.35,0.328,0.3439,22582
0.34,1591074000000,0.342,0.332,0.333,5979
0.3301,1591160400000,0.345,0.33,0.33,52894
0.3334,1591246800000,0.3449,0.33,0.3449,53704
0.341,1591333200000,0.343,0.330101,0.339,29846
0.3739,1591592400000,0.374,0.341,0.35,35594
0.464,1591678800000,0.53,0.33,0.38,522142
0.422,1591765200000,0.52,0.392,0.5,143360
0.47,1591851600000,0.47,0.4,0.422,104077
0.47,1591938000000,0.47,0.44,0.45,67049
0.4414,1592197200000,0.47,0.4192,0.44,26384
0.45,1592283600000,0.45,0.415,0.415,36669
0.423,1592370000000,0.45,0.42,0.4271,17325
0.47,1592456400000,0.52,0.422,0.422,83892
0.5035,1592542800000,0.54,0.437,0.46,206764
0.5,1592802000000,0.51,0.4512,0.5035,84131
0.5355,1592888400000,0.54,0.5,0.5,91663
0.5253,1592974800000,0.55,0.48,0.55,74560
0.5,1593061200000,0.524,0.5,0.5,54377
0.512,1593147600000,0.56,0.5,0.53,194102
0.49,1593406800000,0.52,0.47,0.51,135425
0.49,1593493200000,0.507,0.45,0.45,117803
0.487,1593579600000,0.51,0.478,0.51,71079
0.4751,1593666000000,0.509,0.46,0.498,36255
0.4957,1594011600000,0.503,0.4755,0.4755,98397
0.497,1594098000000,0.4975,0.465,0.497,38592
0.49,1594184400000,0.4975,0.45,0.4975,47564
0.474,1594270800000,0.48,0.45,0.4546,29529
0.4663,1594357200000,0.47,0.45,0.4673,27089
0.465,1594616400000,0.48,0.45,0.4663,29251
0.467,1594702800000,0.475,0.444,0.475,27121
0.4601,1594789200000,0.4749,0.435,0.453,55502
0.4497,1594875600000,0.46,0.4422,0.4442,24090
0.4538,1594962000000,0.4721,0.43,0.4721,34783
0.4393,1595221200000,0.475,0.437,0.4398,27255
0.42,1595307600000,0.452,0.4145,0.452,39058
0.4599,1595394000000,0.4949,0.4104,0.42,242945
0.4349,1595480400000,0.467,0.42,0.45,194811
0.4325,1595566800000,0.4566,0.42,0.4566,35895
0.4158,1595826000000,0.461,0.405,0.461,221779
0.4171,1595912400000,0.42,0.3814,0.41,308975
0.45,1595998800000,0.45,0.395,0.4,69420
0.4137,1596085200000,0.44,0.41,0.44,101094
0.4001,1596171600000,0.41,0.38,0.41,64367
0.4174,1596430800000,0.445,0.41,0.445,32074
0.465,1596517200000,0.4886,0.4053,0.429,192542
0.49,1596603600000,0.5,0.45,0.5,77930
0.5,1596690000000,0.5,0.474,0.5,87498
0.4923,1596776400000,0.505,0.46,0.484,72559
0.51,1597035600000,0.51,0.470001,0.4725,45229
0.5109,1597122000000,0.53,0.4701,0.4947,37497
0.4998,1597208400000,0.53,0.4822,0.5051,54209
0.4906,1597294800000,0.52,0.48,0.52,38249
0.4775,1597381200000,0.494,0.4703,0.4902,28391
0.4962,1597640400000,0.52,0.48,0.496,56970
0.5,1597726800000,0.51,0.48,0.48,66301
0.4973,1597813200000,0.517,0.485,0.485,39149
0.4957,1597899600000,0.52,0.4852,0.5133,16908
0.4734,1597986000000,0.509,0.4408,0.5,71236
0.443,1598245200000,0.48,0.42,0.48,64910
0.4353,1598331600000,0.44,0.421,0.4306,16082
0.4408,1598418000000,0.45,0.4301,0.442,30200
0.4656,1598504400000,0.49,0.4476,0.455,85125
0.49,1598590800000,0.49,0.441,0.47,64905
0.4992,1598850000000,0.545,0.445,0.445,229165
0.503,1598936400000,0.54,0.469,0.535,61415
0.5036,1599022800000,0.54,0.4696,0.54,23914
0.4822,1599109200000,0.512,0.47,0.5,44296
0.49,1599195600000,0.505,0.4554,0.5,30497
0.5,1599541200000,0.5049,0.48,0.5,54810
0.4899,1599627600000,0.5099,0.47701,0.5099,12371
0.49,1599714000000,0.5046,0.47,0.5046,29217
0.48495,1599800400000,0.49,0.48,0.488,10245
0.49,1600059600000,0.49,0.46,0.46,31922
0.487,1600146000000,0.49,0.46,0.46,10945
0.4674,1600232400000,0.5,0.465,0.5,51580
0.48,1600318800000,0.49,0.465,0.466,23872
0.4781,1600405200000,0.49,0.475,0.49,16335
0.4609,1600664400000,0.48,0.4508,0.48,38465
0.4611,1600750800000,0.4771,0.4508,0.4508,16632
0.4269,1600837200000,0.4841,0.424,0.4841,102227
0.3102,1600923600000,0.4598,0.31,0.44,957145
0.3,1601010000000,0.339,0.3,0.335,639601
0.2899,1601269200000,0.32,0.28,0.315,330304
0.2438,1601355600000,0.3,0.2288,0.2899,2035393
0.29,1601442000000,0.295,0.255,0.265,1157984
0.2669,1601528400000,0.29,0.2589,0.29,531630
0.26,1601614800000,0.28,0.2195,0.25,547176
0.3645,1601874000000,0.4322,0.2596,0.26,6560094
0.3241,1601960400000,0.38,0.31,0.3518,4576166
0.58,1602046800000,0.7344,0.35,0.3501,54180189
0.6079,1602133200000,0.63,0.45,0.46,13756619
0.42,1602219600000,0.5501,0.401,0.546,4938327
0.3788,1602478800000,0.41248,0.365,0.4,2600911
0.372,1602565200000,0.385,0.365,0.385,1008374
0.4058,1602651600000,0.4305,0.3702,0.3799,3156747
0.39,1602738000000,0.434,0.3734,0.379,2013641
0.3646,1602824400000,0.39,0.35,0.3863,1185645
0.3369,1603083600000,0.3749,0.3351,0.3591,1091640
0.33285,1603170000000,0.3611,0.33,0.3416,835368
0.325,1603256400000,0.3495,0.32,0.33,593332
0.325,1603342800000,0.332,0.31,0.33,522344
0.378,1603429200000,0.45,0.314,0.3273,10115055
0.425792,1603688400000,0.489,0.3703,0.38,8882074
0.4329,1603774800000,0.475,0.4104,0.4541,3562301
0.3819,1603861200000,0.4017,0.346,0.375,1996654
0.4,1603947600000,0.445,0.36,0.37,4241401
0.3765,1604034000000,0.42,0.37,0.38,1368646
0.362,1604296800000,0.4099,0.355,0.39,1460446
0.350201,1604383200000,0.38,0.3438,0.37,853201
0.351,1604469600000,0.355,0.3405,0.35,578150
0.3745,1604556000000,0.391,0.35,0.3552,2324540
