Close,Datetime,High,Low,Open,Volume
1.68,1612958400000,1.75,1.66,1.7,178514
1.74,1612958460000,1.77,1.67,1.69,104773
1.82,1612958520000,1.82,1.73,1.74,218125
1.89,1612958580000,1.93,1.8,1.82,247685
1.82,1612958640000,1.89,1.8,1.88,163178
1.79,1612958700000,1.84,1.78,1.83,128253
1.75,1612958760000,1.82,1.75,1.79,79002
1.76,1612958820000,1.8,1.75,1.75,59375
1.69,1612958880000,1.76,1.66,1.76,175676
1.65,1612958940000,1.71,1.65,1.69,146344
1.68,1612959000000,1.68,1.65,1.65,100850
1.68,1612959060000,1.69,1.66,1.68,88466
1.69,1612959120000,1.69,1.65,1.68,63148
1.7,1612959180000,1.71,1.69,1.69,40817
1.68,1612959240000,1.7,1.67,1.7,22572
1.67,1612959300000,1.68,1.67,1.68,21830
1.6,1612959360000,1.67,1.6,1.67,129923
1.62,1612959420000,1.62,1.6,1.6,81760
1.61,1612959480000,1.62,1.61,1.61,36023
1.62,1612959540000,1.62,1.61,1.62,23858
1.62,1612959600000,1.62,1.61,1.62,9802
1.62,1612959660000,1.62,1.61,1.62,35346
1.61,1612959720000,1.62,1.61,1.62,15485
1.58,1612959780000,1.62,1.57,1.62,60475
1.51,1612959840000,1.58,1.51,1.58,135138
1.57,1612959900000,1.57,1.51,1.51,92209
1.54,1612959960000,1.57,1.54,1.56,41973
1.55,1612960020000,1.56,1.54,1.55,10912
1.55,1612960080000,1.56,1.55,1.55,14254
1.57,1612960140000,1.57,1.55,1.56,16798
1.6,1612960200000,1.61,1.57,1.57,29635
1.6,1612960260000,1.61,1.59,1.6,25371
1.61,1612960320000,1.61,1.6,1.6,13572
1.62,1612960380000,1.62,1.6,1.61,38222
1.58,1612960440000,1.62,1.57,1.61,34722
1.58,1612960500000,1.59,1.58,1.59,8649
1.58,1612960560000,1.59,1.58,1.58,5687
1.58,1612960620000,1.59,1.58,1.58,8428
1.59,1612960680000,1.59,1.58,1.58,19411
1.57,1612960740000,1.59,1.57,1.59,17567
1.58,1612960800000,1.59,1.57,1.58,21813
1.59,1612960860000,1.59,1.57,1.58,10560
1.57,1612960920000,1.59,1.57,1.59,10342
1.57,1612960980000,1.58,1.57,1.57,36840
1.56,1612961040000,1.57,1.56,1.57,10172
1.57,1612961100000,1.57,1.56,1.56,7755
1.56,1612961160000,1.57,1.56,1.56,7318
1.57,1612961220000,1.58,1.56,1.57,51925
1.57,1612961280000,1.58,1.56,1.56,14488
1.58,1612961340000,1.58,1.57,1.57,12185
1.62,1612961400000,1.64,1.59,1.59,50233
1.6,1612961460000,1.62,1.6,1.62,12345
1.62,1612961520000,1.62,1.6,1.6,18585
1.64,1612961580000,1.64,1.61,1.62,26218
1.63,1612961640000,1.64,1.63,1.63,19807
1.64,1612961700000,1.64,1.63,1.64,13790
1.64,1612961760000,1.64,1.63,1.64,7370
1.64,1612961820000,1.64,1.64,1.64,2900
1.65,1612961880000,1.65,1.64,1.64,57029
1.67,1612961940000,1.67,1.65,1.65,39933
1.65,1612962000000,1.68,1.65,1.67,85156
1.65,1612962060000,1.66,1.65,1.66,43345
1.65,1612962120000,1.66,1.65,1.66,43854
1.66,1612962180000,1.66,1.65,1.65,25787
1.68,1612962240000,1.68,1.66,1.66,32258
1.68,1612962300000,1.69,1.67,1.67,57611
1.7,1612962360000,1.71,1.67,1.67,129000
1.72,1612962420000,1.72,1.69,1.7,67442
1.72,1612962480000,1.72,1.71,1.72,31148
1.7,1612962540000,1.75,1.7,1.72,152758
1.66,1612962600000,1.7,1.65,1.7,128562
1.65,1612962660000,1.67,1.65,1.65,74124
1.66,1612962720000,1.66,1.65,1.66,36573
1.66,1612962780000,1.66,1.65,1.65,22008
1.66,1612962840000,1.66,1.65,1.66,20518
1.67,1612962900000,1.67,1.65,1.66,31116
1.66,1612962960000,1.67,1.66,1.67,22762
1.66,1612963020000,1.67,1.66,1.66,12316
1.67,1612963080000,1.67,1.66,1.66,10250
1.63,1612963140000,1.66,1.63,1.66,134204
1.65,1612963200000,1.65,1.63,1.63,27297
1.64,1612963260000,1.65,1.63,1.65,14192
1.64,1612963320000,1.64,1.63,1.64,14164
1.63,1612963380000,1.64,1.63,1.64,7370
1.64,1612963440000,1.64,1.63,1.64,9493
1.65,1612963500000,1.65,1.64,1.64,24493
1.67,1612963560000,1.67,1.64,1.65,31029
1.67,1612963620000,1.67,1.66,1.66,18472
1.67,1612963680000,1.67,1.66,1.67,25209
1.67,1612963740000,1.67,1.66,1.67,14044
1.7,1612963800000,1.7,1.66,1.67,37643
1.72,1612963860000,1.74,1.71,1.71,47642
1.72,1612963920000,1.72,1.7,1.72,45634
1.74,1612963980000,1.75,1.71,1.71,75558
1.73,1612964040000,1.75,1.72,1.74,51593
1.7,1612964100000,1.73,1.7,1.72,38890
1.68,1612964160000,1.7,1.67,1.69,20197
1.67,1612964220000,1.69,1.66,1.68,16522
1.66,1612964280000,1.66,1.65,1.66,38030
1.67,1612964340000,1.67,1.66,1.66,9042
1.66,1612964400000,1.67,1.66,1.67,9904
1.67,1612964460000,1.67,1.66,1.6699,16913
1.67,1612964520000,1.67,1.66,1.67,12264
1.67,1612964580000,1.67,1.66,1.66,41681
1.66,1612964640000,1.67,1.66,1.67,28486
1.66,1612964700000,1.67,1.65,1.66,13040
1.67,1612964760000,1.67,1.66,1.67,5405
1.66,1612964820000,1.67,1.65,1.67,17660
1.64,1612964880000,1.66,1.64,1.66,30022
1.63,1612964940000,1.64,1.63,1.64,48790
1.63,1612965000000,1.64,1.63,1.63,20975
1.6,1612965060000,1.63,1.58,1.63,66714
1.6,1612965120000,1.61,1.6,1.6,45164
1.6,1612965180000,1.62,1.6,1.6,43795
1.62,1612965240000,1.62,1.6,1.6,37845
1.62,1612965300000,1.62,1.61,1.62,44820
1.62,1612965360000,1.63,1.61,1.62,19400
1.61,1612965420000,1.62,1.6,1.61,31107
1.6,1612965480000,1.61,1.6,1.61,28694
1.61,1612965540000,1.61,1.6,1.61,27719
1.62,1612965600000,1.62,1.61,1.61,31227
1.61,1612965660000,1.62,1.6,1.61,38835
1.61,1612965720000,1.61,1.6,1.61,14113
1.62,1612965780000,1.62,1.6,1.61,23947
1.63,1612965840000,1.64,1.61,1.61,21346
1.62,1612965900000,1.63,1.61,1.63,26670
1.61,1612965960000,1.62,1.61,1.61,37434
1.62,1612966020000,1.62,1.61,1.62,17770
1.62,1612966080000,1.62,1.61,1.62,31639
1.61,1612966140000,1.62,1.6,1.61,37440
1.6,1612966200000,1.61,1.59,1.6,63901
1.58,1612966260000,1.6,1.57,1.59,57480
1.56,1612966320000,1.58,1.56,1.58,62691
1.55,1612966380000,1.5601,1.55,1.56,99393
1.57,1612966440000,1.57,1.55,1.56,41563
1.59,1612966500000,1.6,1.56,1.57,54328
1.6,1612966560000,1.6,1.58,1.58,21478
1.58,1612966620000,1.6,1.58,1.59,35804
1.59,1612966680000,1.59,1.58,1.58,31202
1.6,1612966740000,1.6,1.58,1.59,14584
1.6,1612966800000,1.6,1.59,1.59,19843
1.6,1612966860000,1.6,1.59,1.6,21917
1.5901,1612966920000,1.6,1.59,1.6,13196
1.6,1612966980000,1.6,1.59,1.59,28936
1.6,1612967040000,1.6,1.59,1.6,41795
1.6,1612967100000,1.6,1.59,1.6,19715
1.6,1612967160000,1.6,1.59,1.6,19318
1.59,1612967220000,1.6,1.59,1.5901,49350
1.6,1612967280000,1.6,1.59,1.6,17055
1.6,1612967340000,1.6,1.59,1.6,41738
1.3689,1612967400000,1.6,1.35,1.6,1589968
1.425,1612967460000,1.43,1.35,1.365,782190
1.45,1612967520000,1.46,1.41,1.4207,633005
1.445,1612967580000,1.47,1.44,1.45,403043
