Close,Datetime,High,Low,Open,Volume
1.6089,1613053800000,1.61,1.57,1.6,544434
1.6097,1613053860000,1.61,1.6,1.605,172086
1.615,1613053920000,1.62,1.6,1.61,258478
1.6289,1613053980000,1.63,1.61,1.615,173986
1.63,1613054040000,1.63,1.62,1.625,100216
1.635,1613054100000,1.64,1.62,1.63,194556
1.6443,1613054160000,1.65,1.63,1.6308,157060
1.716,1613054220000,1.72,1.64,1.645,300490
1.8089,1613054280000,1.81,1.715,1.715,768657
1.72,1613054340000,1.84,1.71,1.805,710080
1.74,1613054400000,1.75,1.71,1.715,230282
1.715,1613054460000,1.75,1.71,1.7389,170664
1.63,1613054520000,1.72,1.62,1.71,297452
1.655,1613054580000,1.6789,1.61,1.63,194048
1.6511,1613054640000,1.67,1.65,1.6589,117354
1.665,1613054700000,1.6755,1.6511,1.6511,97545
1.6999,1613054760000,1.7,1.665,1.67,72875
1.7189,1613054820000,1.72,1.69,1.7,165657
1.71,1613054880000,1.72,1.71,1.715,130594
1.6605,1613054940000,1.72,1.66,1.715,146445
1.635,1613055000000,1.6689,1.63,1.6605,209149
1.63,1613055060000,1.64,1.62,1.63,160506
1.6,1613055120000,1.63,1.6,1.63,177714
1.5694,1613055180000,1.61,1.55,1.605,439301
1.5699,1613055240000,1.57,1.56,1.565,159569
1.6001,1613055300000,1.61,1.56,1.5689,320898
1.62,1613055360000,1.63,1.6,1.6011,204430
1.62,1613055420000,1.63,1.61,1.6189,110761
1.6213,1613055480000,1.63,1.62,1.63,72123
1.5911,1613055540000,1.63,1.59,1.63,171871
1.595,1613055600000,1.6,1.59,1.5997,118104
1.59,1613055660000,1.6,1.57,1.5911,182955
1.585,1613055720000,1.59,1.58,1.585,82876
1.5899,1613055780000,1.59,1.58,1.5889,76746
1.5872,1613055840000,1.59,1.58,1.585,41489
1.59,1613055900000,1.6,1.58,1.58,89856
1.6,1613055960000,1.6,1.59,1.5911,67991
1.63,1613056020000,1.63,1.59,1.595,117184
1.625,1613056080000,1.63,1.62,1.625,130424
1.625,1613056140000,1.63,1.62,1.6289,43862
1.65,1613056200000,1.65,1.6201,1.625,113996
1.645,1613056260000,1.65,1.64,1.645,74629
1.6401,1613056320000,1.65,1.64,1.64,25007
1.6477,1613056380000,1.65,1.64,1.645,62335
1.65,1613056440000,1.65,1.64,1.6489,25631
1.6406,1613056500000,1.65,1.64,1.64,85904
1.65,1613056560000,1.65,1.64,1.64,55294
1.6401,1613056620000,1.65,1.64,1.64,83588
1.645,1613056680000,1.65,1.64,1.643,33789
1.64,1613056740000,1.65,1.64,1.6411,23174
1.64,1613056800000,1.65,1.64,1.64,24344
1.64,1613056860000,1.65,1.64,1.64,27214
1.6444,1613056920000,1.65,1.64,1.65,56130
1.6289,1613056980000,1.65,1.62,1.65,132006
1.62,1613057040000,1.63,1.62,1.62,48801
1.61,1613057100000,1.63,1.61,1.6201,140008
1.6101,1613057160000,1.62,1.61,1.6101,34832
1.62,1613057220000,1.62,1.61,1.6101,43776
1.61,1613057280000,1.62,1.61,1.611,46583
1.6099,1613057340000,1.62,1.6,1.61,150117
1.6,1613057400000,1.61,1.6,1.6002,28778
1.6099,1613057460000,1.61,1.6,1.6011,72488
1.6,1613057520000,1.61,1.6,1.6001,31314
1.6,1613057580000,1.61,1.6,1.6,32794
1.6,1613057640000,1.61,1.6,1.6089,33995
1.5911,1613057700000,1.61,1.59,1.6,47528
1.58,1613057760000,1.6,1.58,1.59,162418
1.58,1613057820000,1.59,1.57,1.5811,79021
1.57,1613057880000,1.58,1.57,1.5701,57968
1.575,1613057940000,1.58,1.57,1.5789,68943
1.5689,1613058000000,1.58,1.56,1.575,121274
1.5696,1613058060000,1.57,1.56,1.5613,72980
1.56,1613058120000,1.57,1.56,1.565,61454
1.57,1613058180000,1.57,1.56,1.565,29489
1.56,1613058240000,1.57,1.56,1.5613,55004
1.565,1613058300000,1.57,1.56,1.56,39441
1.56,1613058360000,1.57,1.56,1.57,35403
1.56,1613058420000,1.57,1.56,1.565,49551
1.565,1613058480000,1.57,1.56,1.56,61241
1.565,1613058540000,1.57,1.56,1.565,106128
1.57,1613058600000,1.57,1.56,1.5601,34570
1.5611,1613058660000,1.57,1.56,1.5689,23966
1.565,1613058720000,1.57,1.56,1.5601,57278
1.56,1613058780000,1.57,1.56,1.5689,81606
1.56,1613058840000,1.57,1.56,1.56,40691
1.5699,1613058900000,1.57,1.56,1.56,63303
1.5689,1613058960000,1.57,1.56,1.56,40364
1.56,1613059020000,1.57,1.56,1.565,38405
1.56,1613059080000,1.57,1.56,1.5689,74717
1.565,1613059140000,1.57,1.56,1.5699,33114
1.56,1613059200000,1.57,1.56,1.565,94595
1.565,1613059260000,1.57,1.56,1.565,30970
1.5689,1613059320000,1.57,1.56,1.56,77585
1.5689,1613059380000,1.57,1.56,1.5694,35103
1.5689,1613059440000,1.57,1.56,1.565,33227
1.5699,1613059500000,1.57,1.56,1.57,57405
1.56,1613059560000,1.57,1.56,1.56,30583
1.56,1613059620000,1.57,1.56,1.57,26946
1.56,1613059680000,1.57,1.56,1.56,24283
1.5601,1613059740000,1.57,1.56,1.56,22800
1.57,1613059800000,1.57,1.56,1.56,157508
1.5889,1613059860000,1.59,1.56,1.565,158178
1.6089,1613059920000,1.61,1.58,1.5889,199704
1.6789,1613059980000,1.68,1.6,1.605,671867
1.715,1613060040000,1.7189,1.65,1.6789,874391
1.705,1613060100000,1.73,1.67,1.7111,497828
1.68,1613060160000,1.717,1.68,1.71,298473
1.71,1613060220000,1.72,1.6811,1.685,270377
1.705,1613060280000,1.71,1.7,1.7037,180235
1.7011,1613060340000,1.71,1.7,1.705,240300
1.705,1613060400000,1.71,1.7,1.71,79199
1.7003,1613060460000,1.71,1.7,1.71,140290
1.7089,1613060520000,1.71,1.7,1.705,178406
1.7,1613060580000,1.71,1.7,1.7099,145321
1.705,1613060640000,1.71,1.7,1.7089,145351
1.67,1613060700000,1.71,1.67,1.7,181246
1.67,1613060760000,1.675,1.66,1.675,113944
1.66,1613060820000,1.67,1.66,1.6607,86526
1.665,1613060880000,1.67,1.66,1.6611,144606
1.66,1613060940000,1.67,1.66,1.6611,69782
1.645,1613061000000,1.67,1.64,1.66,202792
1.645,1613061060000,1.65,1.64,1.6459,26684
1.645,1613061120000,1.65,1.64,1.65,91754
1.6401,1613061180000,1.65,1.64,1.64,36141
1.65,1613061240000,1.65,1.64,1.6407,27983
1.6475,1613061300000,1.65,1.64,1.645,24244
1.6402,1613061360000,1.65,1.64,1.64,79229
1.647,1613061420000,1.65,1.64,1.645,41191
1.645,1613061480000,1.65,1.64,1.645,62448
1.645,1613061540000,1.65,1.64,1.6401,50186
1.64,1613061600000,1.65,1.64,1.64,55487
1.635,1613061660000,1.65,1.635,1.645,65970
1.6201,1613061720000,1.6399,1.62,1.63,92951
1.625,1613061780000,1.63,1.62,1.6203,62601
1.6289,1613061840000,1.63,1.62,1.63,51964
1.62,1613061900000,1.63,1.62,1.63,27498
1.62,1613061960000,1.63,1.62,1.6257,40481
1.62,1613062020000,1.63,1.62,1.62,51212
1.62,1613062080000,1.63,1.62,1.6299,44412
1.62,1613062140000,1.63,1.62,1.62,23337
1.61,1613062200000,1.63,1.61,1.62,88584
1.6,1613062260000,1.62,1.6,1.6189,131779
1.5913,1613062320000,1.61,1.59,1.605,160837
1.6,1613062380000,1.6,1.59,1.6,64019
1.6,1613062440000,1.6,1.59,1.5989,18260
1.5801,1613062500000,1.5989,1.58,1.593,97344
1.585,1613062560000,1.59,1.58,1.58,110433
1.585,1613062620000,1.59,1.58,1.58,91849
1.585,1613062680000,1.59,1.58,1.59,56140
1.5899,1613062740000,1.59,1.58,1.59,72491
1.575,1613062800000,1.59,1.575,1.585,107070
1.58,1613062860000,1.58,1.57,1.575,107763
1.58,1613062920000,1.58,1.57,1.5711,21311
1.57,1613062980000,1.58,1.57,1.5786,141535
1.5775,1613063040000,1.58,1.57,1.575,29417
1.573,1613063100000,1.58,1.57,1.57,54505
1.58,1613063160000,1.58,1.57,1.58,30326
1.5789,1613063220000,1.58,1.57,1.5789,27153
1.58,1613063280000,1.58,1.57,1.575,108548
1.585,1613063340000,1.59,1.57,1.575,258085
1.605,1613063400000,1.605,1.58,1.582,113029
1.605,1613063460000,1.61,1.6001,1.6099,50092
1.6,1613063520000,1.62,1.6,1.605,226845
1.5899,1613063580000,1.61,1.58,1.61,121438
1.575,1613063640000,1.59,1.57,1.58,36345
1.58,1613063700000,1.58,1.57,1.575,42276
1.58,1613063760000,1.58,1.57,1.575,37193
1.58,1613063820000,1.58,1.57,1.57,37214
1.57,1613063880000,1.58,1.57,1.575,41992
1.56,1613063940000,1.58,1.56,1.57,209067
1.5502,1613064000000,1.57,1.55,1.57,210841
1.52,1613064060000,1.56,1.52,1.5502,225054
1.5089,1613064120000,1.53,1.5,1.52,308596
1.5,1613064180000,1.51,1.5,1.5021,113710
1.5048,1613064240000,1.51,1.5,1.5089,152006
1.507,1613064300000,1.51,1.5,1.504,133053
1.505,1613064360000,1.51,1.5,1.5089,77988
1.5099,1613064420000,1.51,1.5,1.5099,103737
1.505,1613064480000,1.51,1.5,1.51,88550
1.5097,1613064540000,1.51,1.5,1.505,198038
1.52,1613064600000,1.5219,1.5,1.5099,156007
1.5499,1613064660000,1.55,1.52,1.521,152901
1.55,1613064720000,1.56,1.54,1.55,137171
1.53,1613064780000,1.56,1.51,1.5499,85570
1.525,1613064840000,1.53,1.51,1.53,60817
1.525,1613064900000,1.5291,1.51,1.52,50868
1.56,1613064960000,1.56,1.52,1.53,124664
1.5589,1613065020000,1.56,1.55,1.555,51367
1.553,1613065080000,1.56,1.55,1.555,24502
1.5589,1613065140000,1.56,1.55,1.555,26008
1.5511,1613065200000,1.56,1.55,1.555,29276
1.57,1613065260000,1.58,1.55,1.556,103278
1.565,1613065320000,1.57,1.56,1.57,70349
1.5695,1613065380000,1.58,1.56,1.565,58848
1.565,1613065440000,1.57,1.56,1.56,24738
1.565,1613065500000,1.57,1.56,1.57,22694
1.57,1613065560000,1.57,1.56,1.561,69026
1.57,1613065620000,1.57,1.56,1.565,28571
1.57,1613065680000,1.58,1.56,1.56,40627
1.5689,1613065740000,1.57,1.56,1.565,29911
